location	LR	alpha
560538.000000	4.220631	6.163152e+02
560588.001057	4.354400	6.905927e+02
560638.002115	1.637428	7.642326e+02
560688.003172	2.957428	7.533789e+02
560738.004230	1.498889	8.113059e+02
560788.005287	2.065124	8.631953e+02
560838.006345	2.226475	8.462377e+02
560888.007402	2.031533	9.395850e+02
560938.008460	1.544649	1.201695e+03
560988.009517	0.001737	1.145207e+06
561038.010575	3.634169	4.057039e+03
561088.011632	2.393707	2.663897e+03
561138.012690	0.148479	1.237584e+04
561188.013747	0.003069	3.037067e+08
561238.014805	0.225248	3.339133e+07
561288.015862	0.840750	5.986930e+03
561338.016919	1.088104	3.571138e+03
561388.017977	0.148258	7.451241e+03
561438.019034	0.777578	1.297680e+04
561488.020092	0.007892	6.168620e+04
561538.021149	0.106650	4.304077e+07
561588.022207	0.135243	2.186693e+04
561638.023264	0.898837	2.967620e+07
561688.024322	0.002331	8.232941e+04
561738.025379	0.008201	1.179453e+05
561788.026437	0.010876	2.389600e+08
561838.027494	0.288467	1.008729e+04
561888.028552	0.012972	1.729235e+04
561938.029609	0.010876	2.389599e+08
561988.030667	4.499942	2.542435e+04
562038.031724	0.884125	3.519247e+03
562088.032782	0.299487	4.632060e+04
562138.033839	0.416632	2.004451e+07
562188.034896	1.579343	1.517067e+03
562238.035954	0.000000	6.203293e+05
562288.037011	0.000000	2.990776e+05
562338.038069	1.543478	1.799192e+03
562388.039126	0.876729	2.612264e+03
562438.040184	0.000000	1.824438e+06
562488.041241	0.518379	6.453672e+03
562538.042299	0.103800	4.113520e+04
562588.043356	0.078342	9.404207e+03
562638.044414	0.041330	1.981872e+03
562688.045471	0.059471	4.850539e+03
562738.046529	0.590324	4.183430e+07
562788.047586	0.417322	9.378761e+03
562838.048644	1.436344	1.422054e+03
562888.049701	2.167443	1.105551e+03
562938.050758	1.397405	1.214180e+03
562988.051816	0.193491	2.225032e+03
563038.052873	0.690680	4.528824e+03
563088.053931	0.030141	7.647802e+04
563138.054988	1.684721	9.959650e+03
563188.056046	0.317212	2.149355e+04
563238.057103	0.136275	1.583245e+04
563288.058161	0.285754	7.398300e+07
563338.059218	1.388289	4.617094e+03
563388.060276	0.285754	7.398300e+07
563438.061333	0.399132	5.993046e+03
563488.062391	0.257692	6.272363e+07
563538.063448	0.007338	2.309738e+05
563588.064506	0.072950	1.655437e+08
563638.065563	0.749364	1.556951e+04
563688.066620	0.418874	1.466515e+04
563738.067678	0.500904	3.490126e+04
563788.068735	0.000000	1.200000e+09
563838.069793	0.000000	1.123838e+05
563888.070850	0.000000	4.709677e+04
563938.071908	0.000000	2.979056e+04
563988.072965	0.004966	3.387399e+03
564038.074023	0.022689	2.473571e+03
564088.075080	0.043301	1.951507e+03
564138.076138	0.063908	1.613312e+03
564188.077195	0.084152	1.369859e+03
564238.078253	0.106103	1.176458e+03
564288.079310	0.133606	1.016074e+03
564338.080368	0.164570	9.037366e+02
564388.081425	0.185168	8.428650e+02
564438.082482	0.182682	8.175321e+02
564488.083540	0.152661	8.199722e+02
564538.084597	0.099375	8.597946e+02
564588.085655	0.041575	1.002483e+03
564638.086712	0.015838	1.338069e+03
564688.087770	0.010872	1.605927e+03
564738.088827	0.009676	1.837715e+03
564788.089885	0.009358	2.089665e+03
564838.090942	0.009398	2.397372e+03
564888.092000	0.009697	2.793026e+03
564938.093057	0.010270	3.332134e+03
564988.094115	0.011169	4.121232e+03
565038.095172	0.012449	5.405088e+03
565088.096230	0.013787	7.942441e+03
565138.097287	0.013767	1.591892e+04
565188.098345	0.013496	2.314421e+08
565238.099402	0.125443	2.229045e+04
565288.100459	0.262114	3.621516e+04
565338.101517	2.094047	1.239879e+04
565388.102574	0.000000	1.369750e+06
565438.103632	0.000000	2.786250e+05
565488.104689	0.133733	9.736162e+03
565538.105747	0.782374	2.243711e+03
565588.106804	0.559635	6.768485e+04
565638.107862	1.047605	5.749730e+03
565688.108919	0.157376	4.693264e+04
565738.109977	0.106190	1.504948e+08
565788.111034	0.313370	3.064787e+04
565838.112092	0.172098	1.018563e+08
565888.113149	0.834565	7.418781e+03
565938.114207	0.236830	4.478997e+04
565988.115264	0.000000	1.200000e+09
566038.116321	0.020995	1.764937e+08
566088.117379	0.014275	2.210450e+08
566138.118436	0.325068	2.359003e+04
566188.119494	1.323661	1.195764e+04
566238.120551	0.058336	1.752630e+08
566288.121609	0.106797	1.886396e+04
566338.122666	1.022958	4.439019e+07
566388.123724	1.201510	3.834272e+03
