location	LR	alpha
2476383.000000	1.538040	7.005479e+03
2476433.005570	0.229409	2.600124e+04
2476483.011139	0.081543	3.920901e+04
2476533.016709	0.056990	1.311691e+04
2476583.022279	0.116127	5.577742e+03
2476633.027849	0.342236	6.504639e+03
2476683.033418	0.472604	1.512507e+04
2476733.038988	0.058096	5.054743e+05
2476783.044558	0.112365	3.529679e+04
2476833.050127	0.000000	3.292898e+05
2476883.055697	0.000000	1.163045e+06
2476933.061267	3.460930	2.757824e+04
2476983.066836	0.019016	1.937205e+04
2477033.072406	0.216700	1.266590e+08
2477083.077976	1.331237	6.343676e+06
2477133.083546	1.273620	1.806543e+04
2477183.089115	0.442895	3.943319e+05
2477233.094685	1.167537	1.470624e+07
2477283.100255	0.017840	8.107618e+04
2477333.105824	0.339791	1.439979e+04
2477383.111394	0.014451	1.071372e+05
2477433.116964	0.014451	7.534618e+04
2477483.122533	0.014649	1.997490e+04
2477533.128103	0.040359	1.312123e+04
2477583.133673	0.033976	3.368619e+04
2477633.139243	0.034097	2.200540e+08
2477683.144812	1.956518	5.183608e+04
2477733.150382	2.487686	5.901135e+03
2477783.155952	2.055030	3.959924e+04
2477833.161521	0.029752	3.307052e+04
2477883.167091	0.003337	8.737615e+05
2477933.172661	0.078883	1.975537e+04
2477983.178230	0.066768	3.383564e+04
2478033.183800	0.000000	4.083392e+05
2478083.189370	0.000000	7.704555e+05
2478133.194940	1.374084	5.658855e+04
2478183.200509	0.045916	4.297207e+04
2478233.206079	0.165938	1.215055e+05
2478283.211649	0.157322	1.367136e+04
2478333.217218	0.659443	8.014206e+03
2478383.222788	0.409726	2.566991e+04
2478433.228358	0.061973	2.122532e+08
2478483.233927	0.054980	4.566608e+04
2478533.239497	0.109112	2.506318e+04
2478583.245067	1.149999	3.100485e+04
2478633.250637	0.983700	1.070596e+04
2478683.256206	0.000000	2.555021e+05
2478733.261776	0.000000	1.373037e+05
2478783.267346	0.650384	2.626936e+03
2478833.272915	0.592664	2.070532e+03
2478883.278485	0.538808	1.855822e+03
2478933.284055	0.372647	1.835239e+03
2478983.289624	0.131861	2.075029e+03
2479033.295194	0.078733	3.317058e+03
2479083.300764	0.121355	3.922806e+03
2479133.306334	0.136338	4.937648e+03
2479183.311903	0.135788	7.011620e+03
2479233.317473	0.111993	1.287874e+04
