location	LR	alpha
635379.000000	0.014854	2.200141e+08
635429.002705	2.756323	1.162768e+03
635479.005410	3.507943	2.070167e+03
635529.008115	1.969079	3.610518e+03
635579.010819	6.013536	1.562596e+02
635629.013524	9.136364	1.359106e+02
635679.016229	10.932715	1.278580e+02
635729.018934	12.084043	1.246099e+02
635779.021639	12.827264	1.242994e+02
635829.024344	13.265160	1.262223e+02
635879.027049	13.437480	1.301364e+02
635929.029754	13.336184	1.361168e+02
635979.032458	12.887334	1.445698e+02
636029.035163	11.860444	1.565986e+02
636079.037868	9.445208	1.699335e+02
636129.040573	2.338798	1.886614e+02
636179.043278	1.777719	8.260431e+06
636229.045983	9.875380	1.908159e+02
636279.048688	11.944297	1.885443e+02
636329.051393	12.600361	1.927161e+02
636379.054097	12.590264	2.034745e+02
636429.056802	12.070382	2.238989e+02
636479.059507	10.814200	2.611421e+02
636529.062212	6.266974	3.176487e+02
636579.064917	7.235403	4.395746e+02
636629.067622	7.961396	4.973029e+02
636679.070327	6.212142	6.426802e+02
636729.073031	0.081626	1.447597e+04
636779.075736	0.064621	1.533843e+04
636829.078441	0.008764	4.416512e+06
636879.081146	3.520831	1.147049e+03
636929.083851	2.016852	1.110435e+03
636979.086556	2.576131	9.156373e+02
637029.089261	0.015507	2.191983e+08
637079.091966	0.090803	9.130988e+04
637129.094670	2.940997	3.919064e+03
637179.097375	0.229212	5.538795e+05
637229.100080	2.822202	1.451927e+03
637279.102785	0.064217	3.274939e+04
637329.105490	2.713662	6.593238e+02
637379.108195	3.283238	3.074321e+02
637429.110900	4.668981	9.008889e+01
637479.113604	6.363679	8.404681e+01
637529.116309	7.709504	8.045353e+01
637579.119014	8.781027	7.799329e+01
637629.121719	9.624310	7.620480e+01
637679.124424	10.264206	7.487265e+01
637729.127129	10.704054	7.387940e+01
637779.129834	10.910117	7.315307e+01
637829.132539	10.722659	7.264825e+01
637879.135243	7.356158	7.232926e+01
637929.137948	11.346274	7.195072e+01
637979.140653	12.147333	7.172903e+01
638029.143358	12.608663	7.164944e+01
638079.146063	12.897873	7.170177e+01
