location	LR	alpha	D
560700.000000	0.149596	6.000000e+00	0.032754
560750.002261	0.879241	2.857296e-01	0.016377
560800.004523	1.097781	1.145043e-02	0.032754
560850.006784	1.059173	1.858954e-01	0.032754
560900.009045	1.560148	2.209982e-02	0.032754
560950.011306	1.237690	1.630029e-01	0.032754
561000.013568	4.424401	7.361349e-02	0.032754
561050.015829	2.471096	5.403526e-01	0.032754
561100.018090	0.879241	2.408714e+00	0.016377
561150.020352	2.355693	4.109303e-02	0.032754
561200.022613	0.485519	1.846797e-01	0.032754
561250.024874	0.111264	1.101169e-01	0.032754
561300.027135	0.000000	8.554849e-01	0.016377
561350.029397	2.125775	3.077155e-02	0.032754
561400.031658	1.032725	8.165024e-02	0.032754
561450.033919	3.091067	5.445951e-01	0.032754
561500.036181	2.053972	1.396650e+01	0.032754
561550.038442	0.433980	3.108859e-01	0.032754
561600.040703	2.276673	9.019795e-02	0.032754
561650.042964	0.459116	4.634313e-01	0.032754
561700.045226	1.315917	1.637519e-01	0.016377
561750.047487	1.487362	3.121808e-01	0.032754
561800.049748	0.611004	5.239036e-02	0.032754
561850.052010	7.641044	3.037953e-02	0.032754
561900.054271	1.436057	5.968538e-02	0.032754
561950.056532	0.000000	3.043008e+00	0.016377
562000.058793	2.168592	1.309623e+00	0.032754
562050.061055	1.679471	8.395194e-02	0.032754
562100.063316	0.496868	1.993432e+00	0.032754
562150.065577	2.657839	4.785966e-01	0.032754
562200.067839	0.811808	4.059921e-01	0.032754
562250.070100	2.938526	6.820897e-02	0.032754
562300.072361	2.159988	6.703925e-01	0.032754
562350.074623	2.283827	3.005607e-01	0.032754
562400.076884	1.326446	6.280196e-02	0.032754
562450.079145	3.485688	2.891015e-02	0.032754
562500.081406	1.745680	1.156401e-01	0.016377
562550.083668	1.961814	9.670891e-02	0.016377
562600.085929	2.320705	4.543977e-02	0.016377
562650.088190	1.791732	5.355033e-02	0.032754
562700.090452	1.552946	5.560672e-02	0.016377
562750.092713	3.051760	2.963642e-02	0.016377
562800.094974	3.075535	3.207741e-02	0.016377
562850.097235	2.676797	3.691202e-02	0.016377
562900.099497	1.501454	4.821203e-02	0.016377
562950.101758	2.103877	6.033235e-02	0.016377
563000.104019	1.710614	7.747136e-02	0.016377
563050.106281	2.833815	1.537177e-01	0.032754
563100.108542	1.264393	7.129256e-02	0.016377
563150.110803	4.542828	2.934780e-02	0.032754
563200.113064	3.819850	1.215143e-01	0.032754
563250.115326	3.827467	5.125678e-02	0.032754
563300.117587	1.393145	2.495413e-02	0.032754
563350.119848	1.549309	1.122753e-01	0.016377
563400.122110	1.253912	4.669284e-01	0.016377
563450.124371	5.408044	5.408437e-02	0.032754
563500.126632	3.787125	3.086947e-01	0.032754
563550.128893	1.846145	1.130760e+00	0.032754
563600.131155	2.013269	1.790753e-01	0.032754
563650.133416	3.829621	1.597159e-01	0.032754
563700.135677	2.718988	3.454390e-01	0.032754
563750.137939	0.879241	5.612882e+00	0.016377
563800.140200	0.422609	1.519162e+00	0.032754
563850.142461	0.556536	6.144076e-01	0.032754
563900.144722	0.867877	1.182881e+00	0.016377
563950.146984	0.000000	3.813175e+00	0.016377
564000.149245	0.101991	9.920865e-02	0.032754
564050.151506	0.240865	2.156713e-01	0.032754
564100.153768	0.838685	1.675355e-01	0.032754
564150.156029	1.052571	1.310612e+00	0.032754
564200.158290	0.054984	3.474102e+00	0.032754
564250.160551	0.000000	7.425492e-01	0.016377
564300.162813	0.000000	1.813708e-01	0.016377
564350.165074	0.873831	1.670496e-01	0.016377
564400.167335	0.873831	5.496350e-01	0.016377
564450.169597	1.526884	1.885180e-01	0.032754
564500.171858	0.876597	9.354433e-01	0.016377
564550.174119	0.970839	1.381136e-01	0.032754
564600.176380	0.000000	1.899445e-01	0.016377
564650.178642	0.000000	1.060271e-01	0.016377
564700.180903	0.000000	7.353803e-02	0.016377
564750.183164	0.000000	6.825286e-02	0.016377
564800.185426	0.000000	9.537848e-02	0.016377
564850.187687	0.044691	5.046346e-02	0.032754
564900.189948	0.044691	1.482272e-01	0.032754
564950.192209	0.044691	1.581398e-01	0.032754
565000.194471	0.000000	1.617372e-01	0.016377
565050.196732	0.967294	4.155077e-02	0.032754
565100.198993	2.058802	5.025104e-02	0.032754
565150.201255	1.814476	3.911359e-02	0.032754
565200.203516	2.461175	1.326265e-02	0.016377
565250.205777	2.421373	9.359954e-02	0.016377
565300.208039	2.606333	5.735919e-02	0.016377
565350.210300	3.594974	1.123704e-01	0.016377
565400.212561	5.014141	1.069399e-01	0.032754
565450.214822	1.657967	7.781352e-02	0.016377
565500.217084	2.557826	7.049820e-02	0.016377
565550.219345	1.905695	1.471012e+00	0.032754
565600.221606	3.884276	1.815595e-01	0.032754
565650.223868	1.626277	6.604963e-01	0.016377
565700.226129	0.749190	8.801630e+00	0.032754
565750.228390	3.236812	1.336725e-01	0.032754
565800.230651	3.952785	6.621397e-02	0.032754
565850.232913	2.369559	2.613942e-01	0.032754
565900.235174	1.087000	3.222759e-01	0.032754
565950.237435	3.685096	4.691851e-02	0.032754
566000.239697	2.910868	1.145472e-01	0.032754
566050.241958	2.627345	4.858815e+00	0.032754
566100.244219	1.806658	4.572435e-01	0.032754
566150.246480	2.801825	1.476987e-01	0.032754
566200.248742	3.501934	7.986758e-02	0.016377
566250.251003	3.520241	6.209540e-02	0.016377
566300.253264	0.936237	2.436386e-01	0.032754
566350.255526	1.950249	3.996597e-02	0.016377
566400.257787	1.400902	3.090731e-02	0.032754
566450.260048	5.114337	5.962436e-02	0.032754
566500.262309	1.821080	1.280168e-01	0.032754
566550.264571	0.879241	1.065287e+00	0.016377
566600.266832	1.190828	1.958645e-01	0.016377
566650.269093	0.867877	4.400585e-01	0.016377
566700.271355	1.169448	2.372200e-01	0.032754
566750.273616	1.702330	5.562603e-02	0.032754
566800.275877	0.449213	2.051655e-01	0.032754
566850.278138	3.644562	1.156874e-02	0.032754
566900.280400	0.728134	3.199198e+00	0.032754
566950.282661	3.192374	4.952893e-02	0.032754
567000.284922	0.879241	5.251819e+00	0.016377
567050.287184	1.040905	8.936073e-02	0.016377
567100.289445	1.395688	1.168332e-01	0.016377
567150.291706	2.248184	2.544824e-01	0.016377
567200.293967	1.969287	1.337703e-01	0.016377
567250.296229	3.382715	6.558728e-01	0.032754
567300.298490	1.070818	3.969585e-02	0.016377
567350.300751	1.948352	1.586670e-02	0.016377
567400.303013	5.572433	4.832804e-02	0.032754
567450.305274	4.704916	4.022724e-02	0.032754
567500.307535	0.935808	7.362649e-02	0.032754
567550.309796	2.661934	8.233279e-01	0.032754
567600.312058	3.532206	1.191801e-01	0.032754
567650.314319	1.311247	1.328693e-01	0.032754
567700.316580	2.509394	4.522899e-02	0.016377
567750.318842	0.876597	2.433147e-01	0.016377
567800.321103	0.876597	1.208202e-01	0.016377
567850.323364	1.170992	4.133322e-02	0.016377
567900.325626	1.090771	3.272658e-02	0.016377
567950.327887	0.876597	4.812938e-02	0.016377
568000.330148	0.000000	5.616141e-02	0.016377
568050.332409	0.000000	7.331936e-02	0.016377
568100.334671	0.000000	1.055731e-01	0.016377
568150.336932	0.000000	1.884923e-01	0.016377
568200.339193	0.044691	2.800532e-01	0.032754
568250.341455	1.262697	5.389417e-02	0.032754
568300.343716	2.734309	9.874439e-02	0.032754
568350.345977	2.751337	2.813334e-01	0.032754
568400.348238	0.474137	5.139574e-01	0.032754
568450.350500	0.360494	5.298130e-01	0.032754
568500.352761	0.623880	8.673482e-02	0.032754
568550.355022	1.001921	8.936555e-02	0.016377
568600.357284	3.269399	2.762640e-02	0.032754
568650.359545	1.379818	1.665953e-01	0.032754
568700.361806	2.553086	2.389053e-01	0.032754
568750.364067	1.673887	4.165558e-01	0.032754
568800.366329	3.141407	4.608889e-02	0.032754
568850.368590	0.082802	2.688689e-01	0.016377
568900.370851	0.879241	2.234283e+00	0.016377
568950.373113	0.879241	2.167116e-01	0.016377
569000.375374	0.879241	1.138786e-01	0.016377
569050.377635	0.879241	7.723116e-02	0.016377
569100.379896	0.082863	5.842829e-02	0.016377
569150.382158	0.000000	7.914636e-02	0.016377
569200.384419	0.000000	1.180922e-01	0.016377
569250.386680	0.241741	2.605222e-02	0.032754
569300.388942	2.462323	8.579986e-01	0.032754
569350.391203	3.369348	8.784209e-02	0.032754
569400.393464	5.250822	2.014752e-02	0.032754
569450.395725	1.076227	1.115785e-01	0.032754
569500.397987	0.787180	6.880815e-02	0.032754
569550.400248	3.536942	2.382845e-02	0.032754
569600.402509	2.091455	1.606964e+00	0.032754
569650.404771	0.879241	5.826590e-01	0.016377
569700.407032	0.000000	1.132827e+00	0.016377
569750.409293	2.526659	3.044967e-01	0.032754
569800.411554	1.917621	8.475268e-02	0.032754
569850.413816	1.188173	1.324705e-01	0.016377
569900.416077	1.474289	8.916369e-02	0.016377
569950.418338	3.690389	6.078463e-02	0.016377
570000.420600	1.411880	8.076490e-02	0.016377
570050.422861	2.089723	2.530426e-01	0.032754
570100.425122	2.678456	7.298155e-02	0.032754
570150.427383	2.667129	1.224486e+00	0.032754
570200.429645	0.000000	5.316709e-01	0.016377
570250.431906	0.000000	7.242840e-01	0.016377
570300.434167	0.915158	2.355555e-02	0.032754
570350.436429	3.757756	1.514745e-01	0.032754
570400.438690	1.076363	1.436072e-01	0.032754
570450.440951	0.049996	8.914426e+00	0.032754
570500.443212	1.909601	6.125145e-01	0.032754
570550.445474	1.301727	4.695840e-01	0.016377
570600.447735	0.575568	1.609609e-01	0.032754
570650.449996	1.233746	3.041826e-01	0.032754
