location	LR	alpha
4497.000000	1.772550	9.261383e+07
4547.001606	1.772550	9.261383e+07
4597.003212	2.430138	1.894599e+04
4647.004818	0.686035	2.004291e+05
4697.006424	0.960951	1.645100e+04
4747.008030	0.147507	2.684617e+05
4797.009636	0.312013	1.654255e+04
4847.011242	0.091098	1.022687e+08
4897.012848	0.091098	1.022687e+08
4947.014454	0.084351	1.504407e+05
4997.016060	0.527967	1.986757e+04
5047.017666	0.870839	4.899809e+04
5097.019272	0.868872	1.007278e+08
5147.020878	0.667667	3.262628e+04
5197.022484	0.656535	1.023547e+08
5247.024090	0.656535	1.023547e+08
5297.025695	0.731064	1.124744e+08
5347.027301	0.731064	1.124744e+08
5397.028907	0.731077	6.199494e+04
5447.030513	0.779841	1.733376e+04
5497.032119	0.883053	9.799429e+03
5547.033725	1.061826	6.439790e+03
5597.035331	1.856726	3.840013e+03
5647.036937	3.387201	3.065930e+03
5697.038543	3.983190	2.963946e+03
5747.040149	3.237563	3.256663e+03
5797.041755	1.710323	4.647767e+03
5847.043361	0.684892	1.054469e+04
5897.044967	0.523954	3.167779e+04
5947.046573	1.540267	1.813462e+04
5997.048179	1.207051	9.439641e+07
6047.049785	1.207051	5.498635e+06
6097.051391	0.703887	7.316107e+07
6147.052997	0.703887	7.316107e+07
6197.054603	0.672331	1.090985e+08
6247.056209	0.672331	1.090985e+08
6297.057815	0.840677	1.028281e+05
6347.059421	0.840677	9.427151e+07
6397.061027	1.342975	3.379249e+04
6447.062633	1.287463	8.630897e+07
6497.064239	1.287463	1.135389e+05
6547.065845	1.701532	9.056018e+07
6597.067451	1.701532	9.056018e+07
6647.069057	0.298243	9.501635e+07
6697.070663	0.298243	9.501635e+07
6747.072269	1.692249	8.755639e+03
6797.073875	2.116496	5.372815e+03
6847.075480	0.413224	1.410647e+05
6897.077086	0.413224	1.372548e+08
6947.078692	0.413224	1.372548e+08
6997.080298	0.976507	8.237014e+07
7047.081904	0.976507	8.237014e+07
7097.083510	0.608069	1.239294e+08
7147.085116	0.608069	1.239294e+08
7197.086722	1.342278	5.025005e+07
7247.088328	1.342278	5.025005e+07
7297.089934	1.342278	5.025005e+07
7347.091540	23.154576	1.091516e+03
7397.093146	24.832247	1.033716e+03
7447.094752	11.667871	9.684326e+02
7497.096358	11.667871	9.684326e+02
7547.097964	27.083466	9.343673e+02
7597.099570	1.555907	3.061632e+07
7647.101176	27.087774	8.839330e+02
7697.102782	20.822157	8.810005e+02
7747.104388	20.822157	8.810005e+02
7797.105994	17.605861	8.314431e+02
7847.107600	17.605861	8.314431e+02
7897.109206	30.457204	8.422196e+02
7947.110812	12.581816	8.956471e+02
7997.112418	0.816052	5.031198e+07
8047.114024	0.816052	5.031198e+07
8097.115630	14.902793	1.122558e+03
8147.117236	9.977129	3.164944e+06
8197.118842	16.160979	1.363285e+03
8247.120448	0.948589	6.826631e+07
8297.122054	0.948589	6.826631e+07
8347.123660	0.825901	2.236309e+07
8397.125266	0.825901	2.236309e+07
8447.126871	0.480367	6.919912e+07
8497.128477	0.480367	6.919912e+07
8547.130083	0.480367	6.919912e+07
8597.131689	0.998224	1.307384e+08
8647.133295	0.998224	1.307384e+08
8697.134901	1.580229	5.294240e+07
8747.136507	1.580229	5.294240e+07
8797.138113	1.383641	7.903631e+07
8847.139719	1.383641	7.903631e+07
8897.141325	5.042159	1.620516e+07
8947.142931	5.042159	1.620516e+07
8997.144537	7.394432	7.213423e+03
9047.146143	0.335804	1.030822e+08
9097.147749	0.335804	1.030822e+08
9147.149355	0.394338	8.998699e+04
9197.150961	0.319484	2.584764e+04
9247.152567	0.186451	1.280420e+04
9297.154173	0.000000	1.200000e+09
9347.155779	0.000000	1.200000e+09
9397.157385	0.733470	2.911596e+03
9447.158991	0.386134	3.018120e+04
9497.160597	0.407530	1.397170e+08
9547.162203	0.407530	1.397170e+08
9597.163809	0.291580	1.647995e+08
9647.165415	0.291580	1.647995e+08
9697.167021	0.291580	1.976995e+05
9747.168627	5.259378	2.027564e+03
9797.170233	4.227600	2.100402e+03
9847.171839	0.919523	1.123679e+07
9897.173445	0.919523	1.123679e+07
9947.175051	3.299168	3.336334e+03
9997.176656	2.632233	4.651899e+03
10047.178262	1.789664	9.435802e+03
10097.179868	1.404665	3.029878e+07
10147.181474	1.405131	5.883711e+04
10197.183080	0.331765	1.346029e+08
10247.184686	0.331765	1.346029e+08
10297.186292	0.364114	1.095205e+04
10347.187898	0.645279	6.982038e+03
10397.189504	1.120317	5.425199e+03
10447.191110	1.479033	5.098735e+03
10497.192716	1.344947	5.985990e+03
10547.194322	0.404397	2.315722e+04
10597.195928	0.398663	3.548313e+07
10647.197534	1.449651	1.141313e+07
10697.199140	1.449651	1.141313e+07
10747.200746	0.168316	1.967788e+08
10797.202352	0.168316	1.967788e+08
10847.203958	0.209450	4.084081e+04
10897.205564	0.051080	6.333352e+05
10947.207170	0.051103	4.912485e+04
10997.208776	0.589954	1.150147e+03
11047.210382	3.168181	1.058939e+03
11097.211988	4.107559	1.039950e+03
11147.213594	2.661701	1.073958e+03
11197.215200	0.148501	1.304352e+04
11247.216806	0.335855	3.613532e+07
11297.218412	2.664351	4.786129e+03
11347.220018	1.517810	2.412192e+07
11397.221624	1.517810	2.412192e+07
11447.223230	12.984901	8.899817e+02
11497.224836	17.716280	8.194783e+02
11547.226441	5.888169	7.418636e+02
11597.228047	5.888169	7.418636e+02
11647.229653	19.618336	7.157793e+02
11697.231259	21.284149	6.845887e+02
11747.232865	21.069647	7.212423e+02
11797.234471	4.016909	1.032952e+07
11847.236077	4.016909	1.032952e+07
11897.237683	8.879070	2.040984e+03
11947.239289	5.891329	2.565839e+03
11997.240895	0.924510	3.743977e+03
12047.242501	0.000000	1.200000e+09
12097.244107	1.478833	4.645081e+03
12147.245713	2.041535	6.529974e+03
12197.247319	0.502704	1.838782e+07
12247.248925	1.385356	8.717363e+07
12297.250531	1.426792	3.186726e+04
12347.252137	2.791249	9.922934e+03
12397.253743	5.171381	8.000521e+03
12447.255349	5.171381	8.000521e+03
12497.256955	1.254273	1.319814e+07
12547.258561	1.254273	1.319814e+07
12597.260167	1.120839	5.376329e+04
12647.261773	1.121303	2.274960e+07
12697.263379	5.233450	1.498568e+03
12747.264985	4.515244	1.283338e+03
12797.266591	3.370397	1.156845e+03
12847.268197	1.089475	1.069087e+03
12897.269803	0.045069	4.309880e+05
12947.271409	4.899246	3.764814e+02
12997.273015	9.782418	3.690468e+02
13047.274621	12.362271	3.677749e+02
13097.276226	13.769021	3.705765e+02
13147.277832	14.234316	3.769308e+02
13197.279438	13.656567	3.872769e+02
13247.281044	8.074256	4.099757e+02
13297.282650	1.523970	3.156223e+07
13347.284256	6.692705	4.280806e+02
13397.285862	1.347567	2.537856e+07
13447.287468	11.006955	4.340175e+02
13497.289074	14.707660	4.378415e+02
13547.290680	15.907339	4.420798e+02
13597.292286	16.479278	4.442219e+02
13647.293892	16.645136	4.517141e+02
13697.295498	16.251975	4.635159e+02
13747.297104	15.418793	4.796169e+02
13797.298710	14.196263	5.008461e+02
13847.300316	12.599297	5.295088e+02
13897.301922	10.623215	5.718735e+02
13947.303528	8.276540	6.553490e+02
13997.305134	5.860352	9.300137e+02
14047.306740	3.410318	1.225354e+03
14097.308346	0.543048	1.761363e+05
14147.309952	0.543048	2.779495e+07
14197.311558	3.218683	6.383510e+03
14247.313164	1.381467	7.179175e+03
14297.314770	0.012648	1.532964e+05
14347.316376	0.012648	2.795919e+08
14397.317982	0.012648	2.795919e+08
14447.319588	0.153265	1.594943e+08
14497.321194	0.153265	1.594943e+08
14547.322800	0.159706	4.803597e+04
14597.324406	0.425178	3.389291e+07
14647.326012	0.425411	4.040124e+04
14697.327617	3.227458	2.510317e+03
14747.329223	3.808505	3.764606e+03
14797.330829	1.892353	2.287171e+07
14847.332435	1.892353	2.287171e+07
14897.334041	1.030442	6.282933e+07
14947.335647	1.030442	6.282933e+07
14997.337253	1.030442	6.282933e+07
15047.338859	1.076770	9.374222e+04
15097.340465	1.076770	5.197110e+07
15147.342071	0.700900	1.238705e+08
15197.343677	0.700900	1.238705e+08
15247.345283	0.743715	1.374028e+08
15297.346889	0.743715	1.374028e+08
15347.348495	0.393210	2.510703e+04
15397.350101	0.072248	1.777512e+08
15447.351707	0.072248	1.777512e+08
15497.353313	0.072326	4.960513e+04
15547.354919	0.685428	8.026759e+03
15597.356525	0.443845	1.120805e+04
15647.358131	0.274823	2.211650e+04
15697.359737	0.274147	8.877482e+04
15747.361343	0.274147	1.801508e+08
15797.362949	0.274147	1.801508e+08
15847.364555	0.829329	5.917453e+07
15897.366161	0.829329	5.917453e+07
15947.367767	1.058964	1.484555e+04
15997.369373	0.931342	8.163920e+03
16047.370979	0.763076	6.168796e+03
16097.372585	0.893309	2.171390e+03
16147.374191	2.440156	1.736301e+03
16197.375797	3.628027	1.559728e+03
16247.377402	4.365986	1.474957e+03
16297.379008	4.614201	1.459972e+03
16347.380614	4.325148	1.541159e+03
16397.382220	3.621266	1.998704e+03
16447.383826	2.820200	2.756357e+03
16497.385432	1.410436	7.071681e+03
16547.387038	0.274826	3.210152e+07
16597.388644	0.274826	3.210152e+07
16647.390250	2.322302	9.068356e+03
16697.391856	1.924999	5.957236e+07
16747.393462	1.056333	1.764041e+04
16797.395068	0.180348	1.319651e+08
16847.396674	0.078624	3.540399e+04
16897.398280	0.000000	1.200000e+09
16947.399886	1.413999	5.476034e+03
16997.401492	2.693226	3.148022e+07
17047.403098	2.693226	3.148022e+07
17097.404704	2.693226	3.148022e+07
17147.406310	0.901859	1.893158e+07
17197.407916	0.901859	1.893158e+07
17247.409522	1.056967	1.014277e+08
17297.411128	1.056967	1.014277e+08
17347.412734	0.248160	2.739139e+05
17397.414340	0.248160	8.936688e+07
17447.415946	0.248160	8.936688e+07
17497.417552	1.254751	1.162573e+04
17547.419158	2.994503	7.666813e+03
17597.420764	2.384333	4.287612e+07
17647.422370	2.384333	4.287612e+07
17697.423976	0.169356	1.847410e+08
17747.425582	0.169356	1.847410e+08
17797.427187	0.169359	9.426336e+04
17847.428793	0.008090	2.980487e+08
17897.430399	0.008090	1.177289e+05
17947.432005	0.495257	7.285482e+04
17997.433611	3.771121	1.223339e+04
18047.435217	3.022715	5.841376e+07
18097.436823	3.022715	5.841376e+07
18147.438429	3.022715	5.841376e+07
18197.440035	0.690098	1.167674e+08
18247.441641	0.690098	1.167674e+08
18297.443247	0.664485	6.573750e+07
18347.444853	0.664485	6.573750e+07
18397.446459	1.497220	8.131060e+03
18447.448065	0.259632	1.442074e+08
18497.449671	0.259632	1.442074e+08
18547.451277	1.508279	1.090216e+04
18597.452883	1.049263	2.789965e+07
18647.454489	0.250785	1.678416e+08
18697.456095	0.250785	1.678416e+08
18747.457701	0.219107	2.842085e+04
18797.459307	0.163273	3.524128e+07
18847.460913	0.340018	4.113697e+04
18897.462519	0.311186	1.709495e+08
18947.464125	0.311186	1.709495e+08
18997.465731	2.231102	1.690710e+04
19047.467337	2.028182	4.179233e+07
19097.468943	1.192230	9.462639e+03
19147.470549	0.144156	1.153162e+08
19197.472155	0.144156	1.399381e+05
19247.473761	4.907484	5.037155e+06
19297.475367	4.907484	5.037155e+06
19347.476972	0.822972	4.715052e+07
19397.478578	0.822972	4.715052e+07
19447.480184	5.616990	3.513724e+03
19497.481790	2.918347	3.847954e+07
19547.483396	2.918347	3.847954e+07
19597.485002	2.999057	5.234435e+06
19647.486608	2.999057	5.234435e+06
19697.488214	6.878441	4.591042e+03
19747.489820	2.119369	7.476516e+03
19797.491426	1.354075	3.046556e+04
19847.493032	1.398680	9.690646e+07
19897.494638	1.398680	9.690646e+07
19947.496244	1.480263	1.057780e+08
19997.497850	1.480263	1.057780e+08
20047.499456	1.480274	6.091527e+04
20097.501062	1.589282	1.355442e+04
20147.502668	3.029876	6.851739e+03
20197.504274	0.067909	1.924353e+05
20247.505880	0.062862	2.241177e+08
20297.507486	1.154966	9.926494e+07
20347.509092	1.154966	9.926494e+07
20397.510698	0.803161	8.847370e+07
20447.512304	0.803161	8.847370e+07
20497.513910	0.803161	1.448283e+05
20547.515516	0.946463	1.695678e+04
20597.517122	2.048531	6.590765e+03
20647.518728	4.643528	4.025343e+03
20697.520334	8.012964	3.140500e+03
20747.521940	5.785551	4.593200e+03
20797.523546	3.372604	2.813330e+07
20847.525152	3.372604	2.813330e+07
20897.526757	3.089338	3.618852e+07
20947.528363	3.089338	3.618852e+07
20997.529969	0.020654	1.529339e+06
21047.531575	0.020654	2.178291e+08
21097.533181	0.164728	1.628984e+04
21147.534787	0.206296	1.228642e+08
