location	LR	alpha	D
1850821.000000	5.386704	2.448979e-02	0.036979
1850871.002799	0.253149	2.223441e+02	0.036979
1850921.005599	0.764448	1.199933e-01	0.036979
1850971.008398	2.922337	1.281495e-01	0.036979
1851021.011198	2.763365	2.747400e-02	0.018490
1851071.013997	3.678893	4.799731e-02	0.018490
1851121.016797	2.138103	1.187921e-01	0.036979
1851171.019596	2.545969	4.002615e-01	0.036979
1851221.022396	1.761595	3.647666e-02	0.018490
1851271.025195	1.659431	2.345996e-01	0.036979
1851321.027994	1.784035	2.287365e-01	0.036979
1851371.030794	4.159341	1.322202e-01	0.036979
1851421.033593	0.583401	8.761273e-02	0.036979
1851471.036393	0.672431	6.702545e-02	0.018490
1851521.039192	1.097059	1.704741e+00	0.018490
1851571.041992	1.356436	9.305356e-02	0.036979
1851621.044791	0.000000	1.194649e+00	0.018490
1851671.047590	0.446456	1.086210e+00	0.036979
1851721.050390	0.120874	1.626043e+00	0.036979
1851771.053189	0.730625	1.510039e+00	0.018490
1851821.055989	2.085558	6.016842e-01	0.036979
1851871.058788	0.497847	6.435901e-02	0.036979
1851921.061588	0.268109	2.012447e+00	0.036979
1851971.064387	0.730625	1.512170e+00	0.018490
1852021.067187	2.958326	1.645350e-01	0.036979
1852071.069986	0.000000	5.233316e-01	0.018490
1852121.072785	0.000000	2.024560e+00	0.018490
1852171.075585	0.527869	6.694781e-01	0.036979
1852221.078384	0.353636	5.504069e-01	0.036979
1852271.081184	0.212855	1.255354e+00	0.036979
1852321.083983	0.284960	1.319900e-01	0.036979
1852371.086783	0.000000	2.442392e+00	0.018490
1852421.089582	0.753459	1.970107e-01	0.036979
1852471.092382	0.286847	1.523469e+00	0.036979
1852521.095181	0.722886	1.319379e+00	0.018490
1852571.097980	1.739582	1.330348e+01	0.036979
1852621.100780	0.366553	2.721041e-01	0.036979
1852671.103579	0.000000	5.194001e-01	0.018490
1852721.106379	1.918807	6.192150e-03	0.036979
1852771.109178	2.798029	6.328750e-03	0.036979
1852821.111978	0.737225	1.687294e+00	0.018490
1852871.114777	0.316529	7.618898e-02	0.036979
1852921.117576	2.028394	1.906940e-01	0.036979
1852971.120376	0.000000	2.217280e-01	0.018490
1853021.123175	0.445386	3.201052e-02	0.036979
1853071.125975	4.709713	2.488976e-02	0.036979
1853121.128774	3.854090	4.425943e-02	0.036979
1853171.131574	2.296930	6.225273e-01	0.036979
1853221.134373	1.869744	5.677955e-01	0.036979
1853271.137173	0.664579	1.111804e+00	0.036979
1853321.139972	2.359821	3.065920e-01	0.036979
1853371.142771	7.870315	1.681009e-02	0.036979
1853421.145571	5.329541	1.536206e-02	0.036979
1853471.148370	3.601241	1.443786e-02	0.036979
