location	LR	alpha	D
2476290.000000	8.650742	1.324503e-02	0.045183
2476340.004454	4.482073	1.401876e-02	0.045183
2476390.008909	8.429322	1.451044e-02	0.045183
2476440.013363	5.118451	1.587329e-02	0.045183
2476490.017817	7.757132	1.699759e-02	0.045183
2476540.022272	6.511343	1.772585e-02	0.045183
2476590.026726	6.398269	9.764245e-03	0.045183
2476640.031180	8.257706	1.010017e-02	0.045183
2476690.035635	6.224939	1.062921e-02	0.022591
2476740.040089	3.334831	2.631810e-02	0.045183
2476790.044543	4.973288	2.955988e-02	0.045183
2476840.048998	6.657762	3.224410e-02	0.022591
2476890.053452	4.363095	3.922252e-02	0.022591
2476940.057906	4.692040	3.750679e-02	0.022591
2476990.062361	8.897227	5.415315e-03	0.022591
2477040.066815	9.774300	4.817472e-03	0.022591
2477090.071269	6.210655	6.706582e-02	0.022591
2477140.075724	4.998251	6.663863e-02	0.022591
2477190.080178	7.134843	1.908033e-02	0.022591
2477240.084633	4.113089	2.040522e-02	0.022591
2477290.089087	5.098469	2.597903e-02	0.022591
2477340.093541	6.711290	2.715492e-02	0.045183
2477390.097996	4.834548	2.790061e-02	0.045183
2477440.102450	8.462267	2.499466e-02	0.045183
2477490.106904	8.170951	1.431798e-02	0.045183
2477540.111359	6.488362	1.878261e-02	0.022591
2477590.115813	5.057853	1.904411e-02	0.022591
2477640.120267	5.180102	1.736312e-02	0.022591
2477690.124722	8.087513	1.536247e-02	0.022591
2477740.129176	7.337408	1.526969e-02	0.022591
2477790.133630	5.172999	9.021651e-03	0.022591
2477840.138085	2.055745	1.363422e-02	0.022591
2477890.142539	3.091466	1.219336e-02	0.022591
2477940.146993	2.072124	1.190302e-02	0.022591
2477990.151448	1.351589	3.649096e-02	0.045183
2478040.155902	3.573757	1.058055e-02	0.022591
2478090.160356	6.559043	1.034340e-02	0.022591
2478140.164811	1.342422	2.315030e-01	0.045183
2478190.169265	0.722846	5.949646e-01	0.045183
2478240.173719	2.814363	1.522335e-01	0.045183
2478290.178174	5.826814	8.688238e-03	0.045183
2478340.182628	5.170378	9.010247e-03	0.045183
2478390.187082	2.092009	1.027284e-01	0.045183
2478440.191537	3.868168	1.584803e-02	0.045183
2478490.195991	3.691950	2.776519e-02	0.045183
2478540.200445	0.000000	6.668319e+00	0.022591
2478590.204900	0.200576	2.489374e-01	0.045183
2478640.209354	0.043905	4.253909e-01	0.045183
2478690.213808	1.033158	2.842672e-01	0.022591
2478740.218263	0.770456	3.724594e-01	0.022591
2478790.222717	1.047910	8.437469e-02	0.022591
2478840.227171	1.052181	6.242612e-02	0.022591
2478890.231626	1.102501	4.383267e-02	0.022591
2478940.236080	1.027390	5.167156e-02	0.022591
2478990.240535	0.513702	6.906098e-02	0.022591
2479040.244989	0.513702	9.696575e-02	0.022591
2479090.249443	0.513702	1.627106e-01	0.022591
2479140.253898	0.513702	5.053460e-01	0.022591
2479190.258352	0.000000	9.050899e-01	0.022591
2479240.262806	1.901235	4.127440e-02	0.045183
2479290.267261	1.200385	4.984782e-02	0.045183
2479340.271715	1.542365	1.427373e-01	0.045183
2479390.276169	4.198664	4.915463e-03	0.045183
2479440.280624	6.097082	4.816801e-03	0.045183
2479490.285078	4.934409	4.732393e-03	0.045183
2479540.289532	0.860575	9.396255e-02	0.045183
2479590.293987	0.000000	1.699685e+01	0.022591
2479640.298441	2.412759	2.256906e-02	0.045183
2479690.302895	0.000000	4.449216e+00	0.022591
2479740.307350	0.867838	6.774215e+00	0.045183
