location	LR	alpha	D
635465.000000	4.818877	2.217650e+00	0.043018
635515.004311	2.787147	8.265783e-02	0.043018
635565.008622	1.230064	6.295434e-02	0.043018
635615.012934	0.993471	1.827592e+01	0.043018
635665.017245	0.137054	7.693159e-02	0.043018
635715.021556	1.974387	1.659801e-02	0.043018
635765.025867	1.002869	1.043683e+01	0.043018
635815.030178	0.103838	5.999095e-02	0.043018
635865.034490	2.529054	3.632567e-01	0.043018
635915.038801	0.000000	2.788182e-01	0.021509
635965.043112	0.113039	3.294774e-01	0.043018
636015.047423	0.498576	5.466328e-01	0.043018
636065.051735	0.571808	3.756073e-01	0.043018
636115.056046	0.085766	9.191145e-01	0.043018
636165.060357	4.517422	5.695730e-02	0.043018
636215.064668	0.140768	3.361954e-02	0.043018
636265.068979	0.000000	1.997704e-01	0.021509
636315.073291	0.026635	9.761917e-02	0.043018
636365.077602	0.205737	1.645585e-01	0.043018
636415.081913	0.564845	9.218165e-01	0.043018
636465.086224	1.192647	2.185244e-01	0.043018
636515.090535	1.233534	1.248823e-01	0.043018
636565.094847	1.129638	5.728342e+00	0.021509
636615.099158	0.169787	6.348925e-01	0.043018
636665.103469	0.046913	1.237519e+00	0.043018
636715.107780	1.371897	3.148964e-01	0.043018
636765.112091	1.187474	1.619170e-01	0.043018
636815.116403	2.956121	1.430554e-01	0.043018
636865.120714	1.669478	5.964004e-01	0.021509
636915.125025	0.230394	2.306986e-01	0.043018
636965.129336	2.111788	8.880383e-02	0.043018
637015.133647	0.964318	1.011263e+00	0.043018
637065.137959	2.403961	1.104765e+00	0.043018
637115.142270	2.365596	9.100716e-02	0.043018
637165.146581	0.000000	2.331646e+00	0.021509
637215.150892	0.506057	2.602253e-01	0.043018
637265.155204	0.536493	3.327065e-01	0.043018
637315.159515	3.094185	1.077156e-01	0.043018
637365.163826	0.227638	2.028267e-01	0.043018
637415.168137	0.355235	6.244533e-02	0.043018
637465.172448	0.000000	1.060329e-01	0.021509
637515.176760	0.000000	7.353991e-02	0.021509
637565.181071	0.000000	5.629019e-02	0.021509
637615.185382	0.000000	5.154317e-02	0.021509
637665.189693	0.000000	6.564183e-02	0.021509
637715.194004	0.000000	9.035740e-02	0.021509
637765.198316	0.000000	1.449246e-01	0.021509
637815.202627	3.395842	1.395020e-02	0.043018
637865.206938	3.948778	2.820795e-02	0.043018
637915.211249	2.645828	1.339894e+00	0.043018
637965.215560	5.475460	2.329986e-02	0.043018
638015.219872	3.307981	1.290018e-02	0.043018
638065.224183	1.300853	9.714837e-03	0.043018
638115.228494	0.000000	5.993154e-02	0.021509
638165.232805	0.000000	4.795535e-02	0.021509
638215.237117	0.000000	3.996841e-02	0.021509
638265.241428	0.000000	3.426209e-02	0.021509
638315.245739	0.000000	2.998158e-02	0.021509
638365.250050	0.000000	2.665186e-02	0.021509
638415.254361	0.000000	2.517066e-02	0.021509
638465.258673	0.000000	2.812009e-02	0.021509
638515.262984	0.285283	2.354155e-02	0.021509
638565.267295	0.284659	2.610212e-02	0.021509
638615.271606	0.283571	2.928769e-02	0.021509
638665.275917	0.281444	3.335890e-02	0.021509
638715.280229	0.276584	3.874469e-02	0.021509
638765.284540	0.263250	4.620440e-02	0.021509
638815.288851	0.251255	4.786386e-02	0.021509
638865.293162	1.770249	7.057239e-02	0.043018
638915.297473	1.811439	9.413962e-03	0.043018
638965.301785	3.014737	1.451675e-01	0.021509
639015.306096	1.690444	2.367149e-01	0.021509
639065.310407	1.651975	5.303305e-01	0.043018
639115.314718	2.558824	1.116606e-02	0.021509
639165.319029	0.057403	6.347172e-01	0.043018
