location	LR	alpha
2476163.000000	4.519303	9.237848e+02
2476213.010490	3.564956	9.564093e+02
2476263.020979	2.667613	1.203858e+03
2476313.031469	2.888905	3.265325e+03
2476363.041958	1.475204	3.893063e+03
2476413.052448	0.178331	1.209727e+08
2476463.062937	0.077330	2.101239e+04
2476513.073427	1.197858	2.161063e+03
2476563.083916	1.233420	1.875091e+03
2476613.094406	0.256429	3.009873e+03
2476663.104895	0.000000	1.003459e+09
2476713.115385	0.551072	5.654048e+03
2476763.125874	0.681052	2.635727e+07
2476813.136364	0.016335	2.274392e+08
2476863.146853	0.000000	2.745601e+05
2476913.157343	0.127957	1.436934e+08
2476963.167832	0.249665	1.317704e+08
2477013.178322	0.487508	8.550493e+07
2477063.188811	0.688445	9.747359e+03
2477113.199301	2.539988	1.207209e+04
2477163.209790	0.359899	1.215379e+08
2477213.220280	0.000000	1.200000e+09
2477263.230769	0.000000	5.938578e+08
2477313.241259	0.025040	4.617596e+03
2477363.251748	0.312681	2.807454e+03
2477413.262238	0.549647	2.060847e+03
2477463.272727	0.884790	1.669626e+03
2477513.283217	1.309623	1.409353e+03
2477563.293706	1.852561	1.230460e+03
2477613.304196	2.312791	1.159786e+03
2477663.314685	0.282761	1.796949e+07
2477713.325175	1.822469	6.447577e+06
2477763.335664	2.432037	9.226156e+06
2477813.346154	0.000000	1.200000e+09
2477863.356643	0.002997	7.429699e+04
2477913.367133	0.018113	2.646124e+04
2477963.377622	0.388903	2.377282e+07
2478013.388112	0.008488	3.836378e+05
2478063.398601	0.014510	2.706693e+04
2478113.409091	0.008009	2.537004e+08
2478163.419580	0.008009	4.103297e+04
2478213.430070	0.008178	1.538227e+04
2478263.440559	1.195282	1.076935e+03
2478313.451049	2.313017	1.121862e+03
2478363.461538	3.554724	1.528008e+03
2478413.472028	2.704090	8.309015e+06
2478463.482517	2.265977	1.865651e+07
2478513.493007	0.015633	3.634424e+07
2478563.503497	0.018880	5.270712e+04
2478613.513986	0.010021	2.446357e+08
2478663.524476	0.009911	2.931634e+04
2478713.534965	0.007672	1.348875e+04
2478763.545455	0.004629	9.218987e+03
2478813.555944	0.002291	7.320888e+03
2478863.566434	0.000845	6.430685e+03
2478913.576923	0.000124	6.843418e+03
2478963.587413	0.420783	3.762257e+02
2479013.597902	0.394844	3.759331e+02
2479063.608392	0.000746	9.321608e+03
2479113.618881	0.053559	2.880598e+03
2479163.629371	0.271823	3.511980e+03
2479213.639860	0.759273	6.036766e+03
2479263.650350	1.107265	2.132643e+07
2479313.660839	0.000000	1.200000e+09
2479363.671329	0.000000	1.200000e+09
2479413.681818	0.537081	1.895260e+04
2479463.692308	0.000000	1.200000e+09
2479513.702797	0.001484	1.365664e+05
2479563.713287	0.000680	1.210963e+05
2479613.723776	2.633657	8.509298e+02
2479663.734266	5.773347	9.397893e+02
2479713.744755	4.802862	1.151427e+03
2479763.755245	2.446784	3.640749e+03
2479813.765734	1.220267	4.215527e+07
2479863.776224	1.342480	3.365470e+07
2479913.786713	4.679884	3.151843e+06
2479963.797203	0.210697	4.932103e+04
2480013.807692	0.864199	3.812122e+07
2480063.818182	0.667521	2.105004e+07
2480113.828671	2.732362	4.773602e+06
2480163.839161	1.865218	2.631885e+07
2480213.849650	0.000000	1.200000e+09
2480263.860140	0.113599	7.477784e+07
2480313.870629	0.000000	1.200000e+09
2480363.881119	0.036757	4.124785e+07
2480413.891608	2.727887	3.224282e+03
2480463.902098	0.989827	9.572982e+03
2480513.912587	0.156795	8.069938e+07
2480563.923077	1.646943	9.173906e+06
2480613.933566	1.276041	1.730346e+03
2480663.944056	3.032395	1.406611e+03
2480713.954545	3.387728	1.509092e+03
2480763.965035	2.392957	1.969100e+03
2480813.975524	0.958067	8.075836e+03
2480863.986014	0.032008	1.081736e+08
2480913.996503	1.945894	3.220344e+07
2480964.006993	0.650489	7.325905e+07
