location	LR	alpha	D
295024.000000	1.886336	8.880810e+01	0.036100
295074.006402	0.410246	2.727668e-01	0.036100
295124.012804	2.691592	8.605925e-01	0.036100
295174.019206	0.872537	1.202309e+00	0.018050
295224.025608	0.596754	9.228955e-02	0.036100
295274.032010	0.547728	2.067824e-01	0.036100
295324.038412	0.279622	2.724894e-01	0.036100
295374.044813	2.381670	2.996643e-01	0.036100
295424.051215	0.684941	8.036874e-01	0.036100
295474.057617	0.000000	9.952215e-01	0.018050
295524.064019	0.819374	2.564661e+00	0.036100
295574.070421	0.241849	3.421685e-01	0.036100
295624.076823	0.936568	1.226807e+00	0.036100
295674.083225	0.638744	2.438699e-01	0.036100
295724.089627	1.639000	1.140188e+00	0.036100
295774.096029	0.000000	1.100516e+00	0.018050
295824.102431	0.358256	8.509172e-01	0.018050
295874.108833	0.427220	1.479868e+00	0.036100
295924.115235	1.886336	7.706724e+00	0.036100
295974.121636	0.000000	2.041385e+00	0.018050
296024.128038	1.109870	5.679656e-01	0.018050
296074.134440	0.620304	6.947967e-01	0.036100
296124.140842	1.767760	7.636465e-02	0.036100
296174.147244	1.825782	6.034614e-02	0.036100
296224.153646	1.208675	5.377462e-02	0.018050
296274.160048	2.651578	4.393030e-02	0.018050
296324.166450	2.864349	1.460451e-01	0.036100
296374.172852	2.061528	7.419840e-01	0.018050
296424.179254	2.383615	2.643139e-01	0.036100
296474.185656	2.200018	3.736159e-02	0.036100
296524.192058	1.540598	9.389090e-02	0.036100
296574.198460	0.717244	1.124736e+00	0.036100
296624.204861	0.787155	5.747433e-01	0.036100
296674.211263	1.589607	9.390500e-02	0.036100
296724.217665	0.289301	5.187030e-01	0.018050
296774.224067	0.856493	1.770973e+00	0.018050
296824.230469	0.120703	5.397998e-01	0.036100
296874.236871	0.000000	2.096551e-01	0.018050
296924.243273	0.000000	6.073883e-01	0.018050
296974.249675	0.394330	1.220518e+00	0.036100
297024.256077	1.827551	2.486734e-01	0.036100
297074.262479	0.197669	3.009346e+00	0.036100
297124.268881	0.868944	6.931930e+00	0.018050
297174.275283	0.000000	8.149566e-01	0.018050
297224.281685	0.872537	2.543280e+00	0.018050
297274.288086	1.574644	8.156654e-01	0.018050
297324.294488	2.245924	1.365367e-01	0.036100
297374.300890	0.416903	3.350397e-01	0.036100
297424.307292	2.011347	5.531813e-01	0.036100
297474.313694	1.597457	1.862173e-01	0.036100
297524.320096	0.525886	3.781671e-02	0.036100
297574.326498	0.504574	7.787307e+00	0.036100
297624.332900	0.000000	5.373240e-01	0.018050
297674.339302	0.000000	4.866044e-01	0.018050
297724.345704	0.344407	5.759659e-02	0.036100
297774.352106	0.872537	4.531902e+00	0.018050
297824.358508	2.428592	4.793128e-02	0.036100
