location	LR	alpha	D
2476163.000000	5.209320	7.411983e-03	0.017225
2476213.010490	3.066236	5.400565e-03	0.017225
2476263.020979	2.313815	1.330408e-02	0.017225
2476313.031469	2.783490	1.423540e-02	0.017225
2476363.041958	1.666084	2.746259e-02	0.017225
2476413.052448	3.894054	2.454317e-01	0.034451
2476463.062937	3.741630	2.083561e-02	0.017225
2476513.073427	4.692195	1.840699e-02	0.017225
2476563.083916	3.581655	1.009322e-02	0.017225
2476613.094406	2.778894	2.210329e-02	0.017225
2476663.104895	1.395792	1.284730e+01	0.034451
2476713.115385	5.507875	3.596170e-03	0.017225
2476763.125874	0.555850	2.296354e-01	0.034451
2476813.136364	3.330346	3.717628e-03	0.017225
2476863.146853	2.166302	1.350054e-02	0.017225
2476913.157343	4.162685	1.430542e-02	0.017225
2476963.167832	2.588840	7.280129e-02	0.017225
2477013.178322	4.647539	6.308517e-03	0.034451
2477063.188811	11.365461	8.665445e-03	0.034451
2477113.199301	11.130582	8.990108e-03	0.034451
2477163.209790	3.264109	4.934011e-02	0.034451
2477213.220280	6.084730	2.227255e-02	0.034451
2477263.230769	1.573349	3.723150e-01	0.034451
2477313.241259	5.572273	6.058287e-03	0.034451
2477363.251748	5.409968	4.307640e-03	0.017225
2477413.262238	3.838350	4.386387e-03	0.017225
2477463.272727	2.535718	4.516837e-03	0.017225
2477513.283217	2.137212	4.552841e-03	0.017225
2477563.293706	1.894023	4.640899e-03	0.017225
2477613.304196	1.892317	4.732430e-03	0.017225
2477663.314685	2.098956	5.046923e-03	0.017225
2477713.325175	4.526669	4.967556e-03	0.017225
2477763.335664	3.379361	5.268553e-03	0.017225
2477813.346154	0.422815	7.423270e-02	0.017225
2477863.356643	1.556877	2.052534e-02	0.017225
2477913.367133	3.572222	2.300468e-02	0.034451
2477963.377622	1.038159	2.066748e-02	0.034451
2478013.388112	2.082974	1.851067e-01	0.034451
2478063.398601	3.728150	3.120114e-02	0.034451
2478113.409091	2.235328	1.512138e-02	0.034451
2478163.419580	1.859026	1.341653e-02	0.017225
2478213.430070	1.272395	5.415897e-02	0.017225
2478263.440559	2.475326	6.994660e-02	0.017225
2478313.451049	2.311145	6.646396e-02	0.017225
2478363.461538	1.910447	1.677419e-01	0.017225
