location	LR	alpha	D
2476401.000000	4.074202	1.840705e+01	0.033939
2476451.008274	0.347655	7.400185e-02	0.033939
2476501.016547	0.412648	3.603783e-02	0.033939
2476551.024821	0.000000	2.411974e+00	0.016970
2476601.033095	0.530058	9.758723e-02	0.033939
2476651.041368	2.454298	3.736722e-01	0.033939
2476701.049642	0.086052	1.380098e-01	0.033939
2476751.057916	0.609630	2.324005e+00	0.033939
2476801.066189	0.299611	7.964853e-01	0.033939
2476851.074463	1.518310	1.820223e+00	0.033939
2476901.082737	0.210574	2.851526e-01	0.033939
2476951.091010	0.397320	4.202185e-01	0.033939
2477001.099284	0.319109	8.444800e-02	0.033939
2477051.107558	0.789827	2.864477e-01	0.033939
2477101.115831	1.298755	2.783273e-01	0.033939
2477151.124105	5.746121	6.813374e-02	0.033939
2477201.132379	2.945618	3.621835e-01	0.033939
2477251.140652	7.430141	2.504484e-02	0.033939
2477301.148926	1.570211	1.452523e-02	0.033939
2477351.157200	0.304484	4.115620e-01	0.016970
2477401.165473	0.000000	1.437941e+01	0.016970
2477451.173747	0.251053	7.059933e-02	0.033939
2477501.182021	1.120672	2.876443e-02	0.033939
2477551.190294	0.418820	8.583094e-02	0.016970
2477601.198568	1.326703	1.336281e-01	0.016970
2477651.206842	1.326703	3.015594e-01	0.016970
2477701.215115	1.550135	1.239863e-01	0.016970
2477751.223389	1.637819	1.992581e-01	0.016970
2477801.231663	0.454235	8.594523e-01	0.033939
2477851.239936	0.948080	2.172340e-01	0.033939
2477901.248210	0.341394	4.403960e-01	0.033939
2477951.256484	3.628763	9.351063e-02	0.033939
2478001.264757	0.529468	2.414780e-01	0.033939
2478051.273031	0.000000	5.279295e+00	0.016970
2478101.281305	0.000000	4.413883e+00	0.016970
2478151.289578	0.658231	1.173140e-01	0.033939
2478201.297852	0.000000	4.938709e-01	0.016970
2478251.306126	0.000000	1.614941e-01	0.016970
2478301.314399	0.000000	1.074445e-01	0.016970
2478351.322673	0.232604	8.410586e-02	0.016970
2478401.330947	0.886005	2.368310e-01	0.033939
2478451.339220	0.031903	5.295494e-01	0.016970
2478501.347494	1.349455	1.633209e+00	0.016970
