location	LR	alpha	D
635504.000000	7.570625	7.973422e-03	0.022241
635554.007120	1.689209	2.399658e-01	0.022241
635604.014240	2.443915	8.541015e-03	0.022241
635654.021360	2.198932	9.363810e-03	0.022241
635704.028480	2.352084	1.377771e-02	0.022241
635754.035600	2.786243	1.461695e-02	0.022241
635804.042720	2.007250	3.519504e-02	0.022241
635854.049840	2.635477	1.628333e-02	0.022241
635904.056959	1.361602	1.093122e-02	0.022241
635954.064079	3.298808	1.932567e-02	0.022241
636004.071199	1.858794	2.101838e-02	0.022241
636054.078319	1.456998	1.256648e-02	0.022241
636104.085439	1.312075	1.999715e-02	0.022241
636154.092559	0.837836	1.081806e+00	0.022241
636204.099679	0.000000	1.188157e+00	0.022241
636254.106799	1.775683	3.739562e-02	0.022241
636304.113919	1.844285	4.429905e-02	0.022241
636354.121039	2.784645	7.234190e-02	0.022241
636404.128159	2.868594	7.022804e-02	0.022241
636454.135279	2.986200	9.687989e-02	0.022241
636504.142399	3.867187	1.575994e-01	0.022241
636554.149519	2.340051	5.755262e-01	0.022241
636604.156639	2.432342	3.322659e-02	0.022241
636654.163759	2.960724	6.563250e-02	0.022241
636704.170878	3.619232	3.936633e-02	0.022241
636754.177998	4.777350	4.996293e-02	0.022241
636804.185118	0.909545	2.928036e-01	0.022241
636854.192238	1.613491	6.979893e-01	0.022241
636904.199358	1.613491	1.785731e-01	0.022241
636954.206478	0.000000	2.190040e-01	0.022241
637004.213598	0.000000	2.507103e+00	0.022241
637054.220718	0.000000	8.438393e-01	0.022241
637104.227838	0.000000	5.266902e+01	0.022241
637154.234958	0.030654	2.950448e+00	0.022241
637204.242078	0.000000	3.701331e+00	0.022241
637254.249198	0.000000	7.163837e-01	0.022241
637304.256318	0.054227	2.513423e-01	0.022241
637354.263438	1.040500	6.671633e-01	0.022241
637404.270558	0.519356	2.059359e-01	0.022241
637454.277677	0.519393	1.108261e-01	0.022241
637504.284797	0.519402	7.581270e-02	0.022241
637554.291917	0.519406	5.761145e-02	0.022241
637604.299037	0.000000	4.756261e-02	0.022241
637654.306157	0.374838	3.892235e-02	0.022241
637704.313277	0.363889	3.349025e-02	0.022241
637754.320397	0.000000	1.028458e-01	0.022241
637804.327517	0.378475	2.618214e-02	0.022241
637854.334637	0.000000	7.200564e-01	0.022241
637904.341757	0.000000	3.599091e-01	0.022241
637954.348877	0.330414	1.972552e-02	0.022241
638004.355997	0.560752	1.822722e-02	0.022241
638054.363117	0.356069	1.647530e-02	0.022241
638104.370237	0.000000	5.142044e-02	0.022241
638154.377357	0.000000	4.234636e-02	0.022241
638204.384477	0.000000	3.599448e-02	0.022241
638254.391596	0.000000	3.129959e-02	0.022241
638304.398716	0.000000	2.768814e-02	0.022241
638354.405836	0.000000	2.482387e-02	0.022241
638404.412956	0.000000	2.523198e-02	0.022241
638454.420076	0.000000	2.819683e-02	0.022241
638504.427196	0.000000	3.195120e-02	0.022241
638554.434316	0.000000	3.685892e-02	0.022241
638604.441436	0.000000	4.354792e-02	0.022241
638654.448556	0.000000	5.320295e-02	0.022241
638704.455676	0.000000	6.835881e-02	0.022241
638754.462796	0.000000	9.558922e-02	0.022241
638804.469916	0.000000	1.588771e-01	0.022241
638854.477036	0.000000	4.701649e-01	0.022241
638904.484156	0.280476	3.001984e+00	0.022241
638954.491276	0.000000	7.953741e+00	0.022241
639004.498396	0.000000	4.803083e+00	0.022241
639054.505515	0.000000	4.209712e-01	0.022241
639104.512635	0.519505	1.332409e-01	0.022241
639154.519755	1.613491	3.811914e-01	0.022241
639204.526875	1.613491	6.477074e-01	0.022241
639254.533995	1.909762	1.750956e-01	0.022241
639304.541115	0.561694	9.504515e-02	0.022241
639354.548235	0.030654	1.457929e+00	0.022241
639404.555355	1.524526	9.225092e-01	0.022241
639454.562475	0.000000	3.282054e-01	0.022241
639504.569595	0.000000	1.386168e-01	0.022241
639554.576715	0.000000	1.231738e-01	0.022241
639604.583835	0.111711	1.219312e-01	0.022241
639654.590955	2.073262	5.039093e-01	0.022241
639704.598075	1.360145	7.656081e-01	0.022241
639754.605195	0.230635	1.876523e+00	0.022241
639804.612314	0.000000	5.025788e+00	0.022241
639854.619434	0.000000	2.230249e+00	0.022241
639904.626554	0.426706	1.507035e-01	0.022241
639954.633674	1.652922	4.730681e-01	0.022241
640004.640794	0.159191	2.705188e-01	0.022241
640054.647914	1.373068	2.604997e+00	0.022241
640104.655034	0.000000	1.803147e+00	0.022241
640154.662154	0.000000	2.119335e+00	0.022241
640204.669274	2.489436	3.711639e-01	0.022241
640254.676394	0.000000	9.066142e+00	0.022241
640304.683514	0.028639	5.797677e-01	0.022241
640354.690634	0.473483	5.834004e-02	0.022241
640404.697754	1.617819	2.484357e-01	0.022241
640454.704874	0.577531	1.433608e-01	0.022241
640504.711994	0.415412	2.390874e+00	0.022241
640554.719114	0.277133	7.112412e-02	0.022241
640604.726233	0.000000	1.118753e+00	0.022241
640654.733353	0.000000	3.266786e-01	0.022241
640704.740473	0.000000	1.383437e-01	0.022241
640754.747593	0.000000	3.137058e-01	0.022241
640804.754713	0.000000	1.020867e+00	0.022241
640854.761833	0.000000	3.264256e-01	0.022241
640904.768953	0.000000	2.293997e+00	0.022241
640954.776073	0.000000	2.297123e+00	0.022241
641004.783193	0.594478	1.928738e-01	0.022241
641054.790313	2.441267	9.828261e-01	0.022241
641104.797433	2.051544	2.911181e-01	0.022241
641154.804553	1.613491	9.371662e-01	0.022241
641204.811673	1.936212	8.582974e-02	0.022241
641254.818793	0.000000	4.765460e-01	0.022241
641304.825913	1.924056	1.961615e-01	0.022241
641354.833032	1.063856	3.546830e-01	0.022241
641404.840152	0.000000	1.034619e+01	0.022241
641454.847272	0.000000	1.041010e+01	0.022241
641504.854392	0.000000	2.471989e+00	0.022241
641554.861512	0.527264	5.958738e-01	0.022241
641604.868632	0.000000	9.134658e+01	0.022241
641654.875752	0.000000	1.351998e+00	0.022241
641704.882872	0.000000	9.148346e-01	0.022241
641754.889992	0.000000	5.684509e-01	0.022241
641804.897112	0.000000	4.152665e-01	0.022241
641854.904232	0.000000	6.301754e+00	0.022241
641904.911352	0.000000	1.353665e+02	0.022241
641954.918472	0.000000	1.109541e+01	0.022241
642004.925592	0.000000	1.612723e+02	0.022241
642054.932712	1.571488	4.147557e-01	0.022241
642104.939832	0.000000	3.422688e-01	0.022241
642154.946951	0.000000	1.701392e+00	0.022241
642204.954071	0.000000	2.793683e-01	0.022241
642254.961191	0.000000	1.987148e+00	0.022241
642304.968311	0.000000	3.995781e-01	0.022241
642354.975431	0.000000	2.411852e+00	0.022241
642404.982551	1.260016	1.008256e-01	0.022241
642454.989671	0.000000	1.711760e+00	0.022241
642504.996791	0.000000	5.990391e+00	0.022241
642555.003911	0.000000	1.199531e+00	0.022241
642605.011031	0.000000	7.054247e-01	0.022241
642655.018151	0.000000	1.089112e+00	0.022241
642705.025271	0.000000	1.720497e+00	0.022241
642755.032391	0.000000	5.904379e+00	0.022241
642805.039511	0.000000	5.008245e-01	0.022241
642855.046631	0.000000	1.095554e+00	0.022241
642905.053751	0.000000	1.004500e+00	0.022241
642955.060870	0.000000	1.131147e+01	0.022241
643005.067990	0.000000	1.123606e+01	0.022241
643055.075110	0.000000	1.297452e+01	0.022241
643105.082230	0.000000	2.557667e-01	0.022241
643155.089350	0.000000	1.101575e+01	0.022241
643205.096470	0.000000	3.324426e-01	0.022241
643255.103590	0.000000	1.101280e+00	0.022241
643305.110710	0.568140	8.816353e-02	0.022241
643355.117830	1.934558	1.687341e-01	0.022241
643405.124950	1.326213	3.067097e-01	0.022241
643455.132070	1.280428	3.235654e-02	0.022241
643505.139190	0.324799	6.276479e-02	0.022241
643555.146310	0.797888	6.851412e-02	0.022241
643605.153430	0.260112	2.039201e-01	0.022241
643655.160550	1.652922	1.357550e+00	0.022241
643705.167669	1.652922	2.914908e-01	0.022241
643755.174789	0.230140	1.316153e-01	0.022241
643805.181909	1.374638	5.221521e-02	0.022241
643855.189029	1.098813	5.113783e-01	0.022241
643905.196149	1.866678	6.984711e-02	0.022241
643955.203269	1.560900	2.914060e-02	0.022241
644005.210389	0.000000	5.703719e+01	0.022241
644055.217509	0.140730	5.655709e-01	0.022241
644105.224629	0.000000	2.840487e+00	0.022241
644155.231749	0.000000	3.713161e+00	0.022241
644205.238869	0.000000	2.290572e+00	0.022241
644255.245989	0.783074	1.103407e-01	0.022241
644305.253109	2.334714	2.042661e-01	0.022241
644355.260229	0.954482	1.373033e+00	0.022241
644405.267349	0.937235	2.295888e-01	0.022241
644455.274469	0.765509	8.841376e-02	0.022241
644505.281588	0.000000	3.656767e+00	0.022241
644555.288708	0.000000	1.556160e+00	0.022241
644605.295828	0.000000	1.906024e+00	0.022241
644655.302948	0.000000	1.237490e+00	0.022241
644705.310068	0.000000	4.393985e-01	0.022241
644755.317188	0.000000	1.552049e-01	0.022241
644805.324308	0.000000	9.424753e-02	0.022241
644855.331428	0.000000	6.766992e-02	0.022241
644905.338548	0.000000	5.278472e-02	0.022241
644955.345668	0.000000	4.326731e-02	0.022241
645005.352788	0.000000	3.850509e-02	0.022241
645055.359908	0.108050	3.939074e-02	0.022241
645105.367028	0.107989	4.712664e-02	0.022241
645155.374148	0.107852	5.864360e-02	0.022241
645205.381268	0.000000	1.075089e-01	0.022241
645255.388387	0.104677	1.147100e-01	0.022241
645305.395507	0.256857	2.197621e-01	0.022241
645355.402627	1.652922	2.610186e+00	0.022241
645405.409747	0.074350	2.642604e-01	0.022241
645455.416867	0.000000	2.420178e-01	0.022241
645505.423987	0.213418	4.567088e+00	0.022241
645555.431107	0.000000	4.671275e+00	0.022241
645605.438227	0.000000	3.490172e+00	0.022241
