location	LR	alpha
4108.000000	0.000000	1.200000e+09
4158.001916	0.276146	6.250051e+03
4208.003832	2.915954	9.975813e+03
4258.005747	0.327582	2.152091e+04
4308.007663	0.133910	1.332785e+08
4358.009579	0.135668	4.826275e+04
4408.011495	0.067167	1.191270e+08
4458.013411	0.067167	1.191270e+08
4508.015326	0.081047	1.370023e+08
4558.017242	0.081047	1.370023e+08
4608.019158	0.059188	1.477635e+08
4658.021074	0.059188	1.477635e+08
4708.022990	0.050775	4.212723e+04
4758.024906	0.000000	1.839275e+06
4808.026821	0.000000	2.543652e+05
4858.028737	0.045244	1.120708e+05
4908.030653	0.045244	1.364099e+08
4958.032569	0.029669	1.998417e+08
5008.034485	0.029669	1.998417e+08
5058.036400	0.000000	1.200000e+09
5108.038316	0.000000	1.565919e+08
5158.040232	0.015820	2.049808e+08
5208.042148	0.015820	2.049808e+08
5258.044064	0.019133	5.251059e+04
5308.045979	0.204760	4.249341e+04
5358.047895	0.203310	5.041230e+07
5408.049811	0.956116	6.923131e+03
5458.051727	0.647086	4.869716e+03
5508.053643	0.626172	3.495898e+03
5558.055558	0.859970	2.421289e+03
5608.057474	1.257123	2.025711e+03
5658.059390	1.663181	1.872344e+03
5708.061306	1.973312	1.845697e+03
5758.063222	2.059678	1.943874e+03
5808.065137	1.584212	2.293722e+03
5858.067053	0.203310	5.041229e+07
5908.068969	0.203310	5.041229e+07
5958.070885	1.470695	2.926394e+04
6008.072801	1.461488	3.163390e+07
6058.074717	0.486937	1.642736e+04
6108.076632	0.381979	3.390836e+07
6158.078548	0.381979	3.390836e+07
6208.080464	0.000912	3.086837e+08
6258.082380	0.000912	3.086837e+08
6308.084296	1.297135	3.307985e+07
6358.086211	1.297135	3.307985e+07
6408.088127	4.906937	8.955481e+06
6458.090043	4.906937	8.955481e+06
6508.091959	3.059702	1.196268e+04
6558.093875	2.674772	2.526999e+07
6608.095790	2.674772	2.526999e+07
6658.097706	0.000000	1.200000e+09
6708.099622	0.000000	1.200000e+09
6758.101538	0.000000	1.200000e+09
6808.103454	0.000000	3.866666e+05
6858.105369	1.078243	4.590039e+07
6908.107285	1.078243	4.590039e+07
6958.109201	1.078243	4.590039e+07
7008.111117	0.211899	7.297330e+07
7058.113033	0.211899	7.297330e+07
7108.114948	0.000000	1.200000e+09
7158.116864	0.000000	1.200000e+09
7208.118780	0.000000	1.200000e+09
7258.120696	0.000000	1.200000e+09
7308.122612	0.000000	3.560315e+05
7358.124528	0.000000	1.200000e+09
7408.126443	0.000000	4.721020e+06
7458.128359	0.000000	2.778177e+05
7508.130275	0.000000	7.428388e+05
7558.132191	0.004136	5.864870e+04
7608.134107	0.004966	1.578415e+05
7658.136022	1.929882	1.230126e+07
7708.137938	1.929882	1.230126e+07
7758.139854	0.000000	1.398911e+06
7808.141770	0.000000	1.200000e+09
7858.143686	0.103614	2.363326e+04
7908.145601	1.319679	3.479749e+07
7958.147517	1.319679	3.479749e+07
8008.149433	2.654413	2.312664e+07
8058.151349	2.654413	2.312664e+07
8108.153265	10.563783	1.868305e+03
8158.155180	14.939438	1.417216e+03
8208.157096	14.718634	1.115636e+03
8258.159012	14.955260	1.081706e+03
8308.160928	14.660518	1.102962e+03
8358.162844	7.162811	1.129045e+03
8408.164759	7.162811	1.129045e+03
8458.166675	13.410560	1.221125e+03
8508.168591	4.925455	1.311255e+03
8558.170507	3.023808	1.623908e+03
8608.172423	0.000000	1.200000e+09
8658.174339	2.647871	2.212873e+03
8708.176254	0.834357	4.857057e+07
8758.178170	0.834357	4.857057e+07
8808.180086	4.626284	1.485535e+07
8858.182002	4.626284	1.485535e+07
8908.183918	11.206947	1.829020e+03
8958.185833	11.206947	1.829020e+03
9008.187749	3.873921	1.705866e+03
9058.189665	0.229356	5.712554e+07
9108.191581	1.742218	1.825528e+03
9158.193497	0.603375	1.414531e+04
9208.195412	0.125488	2.508684e+04
9258.197328	0.041071	5.968639e+04
9308.199244	0.040851	1.128198e+06
9358.201160	0.040851	1.651234e+05
