location	LR	alpha	D
509733.000000	0.253149	2.223441e+02	0.036979
509783.002628	1.117311	6.250088e-02	0.018490
509833.005257	4.659322	1.955673e-03	0.018490
509883.007885	1.244588	1.063754e+00	0.018490
509933.010513	2.715576	6.316139e-02	0.018490
509983.013142	1.161002	2.500685e-01	0.036979
510033.015770	2.134672	7.164902e-01	0.036979
510083.018398	1.916871	7.990199e-01	0.036979
510133.021027	1.103267	1.197482e+00	0.018490
510183.023655	2.227328	1.472436e-02	0.018490
510233.026283	1.948950	1.289958e-01	0.036979
510283.028911	4.447963	1.121798e-01	0.036979
510333.031540	1.472068	2.106428e-01	0.018490
510383.034168	3.651570	1.392167e-02	0.018490
510433.036796	1.501718	1.713385e-01	0.036979
510483.039425	1.803185	2.608919e-02	0.018490
510533.042053	0.709870	7.744035e-02	0.036979
510583.044681	0.178351	2.705470e+00	0.036979
510633.047310	0.840266	4.809101e-01	0.036979
510683.049938	3.785577	1.691330e-01	0.018490
510733.052566	3.409589	1.081593e-01	0.018490
510783.055195	1.910566	7.502586e-02	0.018490
510833.057823	14.218069	2.600812e-03	0.018490
510883.060451	11.966328	2.694243e-03	0.018490
510933.063080	13.527685	2.563041e-03	0.018490
510983.065708	1.936890	4.760663e-02	0.018490
511033.068336	1.404931	6.189814e-02	0.018490
511083.070964	3.564602	5.692790e-03	0.018490
511133.073593	0.411218	2.441255e+00	0.036979
511183.076221	2.730474	1.037994e-02	0.036979
511233.078849	6.191170	1.275132e-02	0.036979
511283.081478	3.835303	1.871837e-02	0.036979
511333.084106	5.532255	1.726828e-02	0.036979
511383.086734	6.764524	1.532397e-02	0.036979
511433.089363	10.088755	1.496426e-02	0.036979
511483.091991	3.641831	1.874730e-02	0.036979
511533.094619	4.853879	4.223947e-02	0.036979
511583.097248	3.443829	1.736683e-01	0.036979
511633.099876	1.844091	1.503669e-01	0.036979
511683.102504	0.828853	1.339667e+01	0.036979
511733.105133	4.663433	3.091946e-02	0.036979
511783.107761	3.267649	6.517924e-02	0.036979
511833.110389	1.573854	1.788099e-01	0.036979
511883.113017	1.944998	5.532833e-02	0.036979
511933.115646	1.600125	1.264697e-01	0.036979
511983.118274	3.317799	9.990151e-02	0.036979
512033.120902	2.068425	6.589031e-02	0.018490
512083.123531	2.723507	9.014186e-02	0.018490
512133.126159	2.426859	8.047607e-03	0.018490
512183.128787	5.200120	7.686452e-03	0.018490
512233.131416	0.737225	1.060618e+01	0.018490
512283.134044	1.629669	3.602154e-02	0.036979
512333.136672	3.107703	1.728766e-02	0.018490
512383.139301	7.238836	6.892036e-03	0.018490
512433.141929	1.003475	1.353962e-01	0.036979
512483.144557	5.686941	4.048779e-03	0.018490
512533.147186	7.801020	3.852509e-03	0.018490
512583.149814	6.361224	3.915362e-03	0.018490
512633.152442	4.884026	3.980300e-03	0.018490
512683.155070	3.575759	5.026903e-03	0.018490
512733.157699	5.145089	3.234484e-03	0.018490
512783.160327	7.975360	3.756058e-03	0.018490
512833.162955	3.646916	5.689126e-02	0.036979
512883.165584	7.979884	4.670776e-03	0.018490
512933.168212	14.800185	3.936790e-03	0.018490
512983.170840	7.658369	2.990978e-03	0.018490
513033.173469	4.275645	1.156263e-02	0.018490
513083.176097	2.693705	8.723986e-01	0.036979
513133.178725	4.968651	4.222695e-02	0.018490
513183.181354	3.848034	4.392686e-02	0.018490
513233.183982	8.780228	4.587478e-03	0.018490
513283.186610	10.630820	4.452999e-03	0.018490
513333.189239	7.366385	4.450727e-03	0.018490
513383.191867	8.091996	4.377657e-03	0.018490
513433.194495	8.740715	4.299233e-03	0.018490
513483.197123	9.140638	5.839976e-03	0.018490
513533.199752	10.173669	5.674294e-03	0.018490
513583.202380	9.761833	5.906098e-03	0.018490
513633.205008	10.091198	6.017435e-03	0.018490
513683.207637	9.747655	6.211846e-03	0.018490
513733.210265	9.602746	5.367230e-03	0.018490
513783.212893	8.992742	6.550978e-03	0.018490
513833.215522	8.609896	5.618543e-03	0.018490
513883.218150	8.107773	5.749278e-03	0.018490
513933.220778	7.912205	8.548351e-03	0.018490
513983.223407	6.112719	1.118127e-02	0.018490
514033.226035	9.026030	3.495255e-03	0.018490
514083.228663	10.841829	2.423558e-03	0.018490
514133.231292	8.496476	4.356933e-03	0.018490
514183.233920	11.511030	3.388649e-03	0.018490
514233.236548	8.609140	4.251947e-03	0.018490
514283.239176	6.499067	8.792749e-03	0.018490
514333.241805	5.375762	1.861163e-02	0.018490
514383.244433	1.410706	4.404569e-01	0.018490
514433.247061	6.893906	1.183720e-02	0.018490
514483.249690	11.765231	7.627523e-03	0.018490
514533.252318	2.117697	5.133740e-02	0.018490
514583.254946	9.327982	5.598961e-03	0.018490
514633.257575	4.700683	7.582576e-02	0.036979
514683.260203	5.042132	3.172419e-02	0.036979
514733.262831	9.020893	1.610170e-02	0.018490
514783.265460	3.132042	5.680058e-02	0.018490
514833.268088	3.202806	8.091530e-02	0.018490
514883.270716	8.133040	1.105248e-02	0.018490
514933.273345	4.270529	5.675070e-02	0.018490
514983.275973	9.749648	1.205696e-02	0.018490
515033.278601	8.710923	5.651635e-03	0.018490
515083.281229	6.465702	1.354832e-02	0.018490
515133.283858	9.047761	3.196349e-03	0.018490
515183.286486	9.185761	3.366734e-03	0.018490
515233.289114	1.942271	1.157062e-01	0.018490
515283.291743	3.454435	4.805607e-02	0.018490
515333.294371	10.544579	1.887666e-02	0.018490
515383.296999	6.404811	1.831230e-02	0.018490
515433.299628	8.232770	8.302774e-03	0.018490
515483.302256	13.539375	1.344583e-03	0.018490
515533.304884	8.653140	9.769560e-03	0.018490
515583.307513	8.029012	7.451993e-03	0.018490
515633.310141	6.932813	7.293457e-03	0.018490
515683.312769	4.752407	3.293872e-02	0.018490
515733.315398	4.579325	1.193655e-02	0.018490
515783.318026	1.744714	1.137098e-02	0.018490
515833.320654	14.369426	4.104920e-03	0.018490
515883.323282	3.132535	1.267471e-01	0.018490
515933.325911	10.386701	3.969138e-03	0.018490
515983.328539	2.545188	6.371843e-02	0.036979
516033.331167	1.364014	5.035011e-02	0.036979
516083.333796	19.480818	3.729063e-04	0.018490
516133.336424	28.073009	3.653672e-04	0.018490
516183.339052	32.327717	3.654785e-04	0.018490
516233.341681	35.521276	3.664831e-04	0.018490
516283.344309	35.471615	3.423811e-04	0.018490
516333.346937	38.891300	3.676058e-04	0.018490
516383.349566	39.819489	3.681698e-04	0.018490
516433.352194	38.963412	3.438528e-04	0.018490
516483.354822	40.680990	3.688489e-04	0.018490
516533.357451	41.213629	3.698720e-04	0.018490
516583.360079	41.237728	3.699861e-04	0.018490
516633.362707	41.632128	3.710157e-04	0.018490
516683.365335	41.760461	3.715902e-04	0.018490
516733.367964	41.841561	3.721665e-04	0.018490
516783.370592	41.879709	3.727445e-04	0.018490
516833.373220	41.668658	3.728603e-04	0.018490
516883.375849	41.860372	3.739059e-04	0.018490
516933.378477	40.359336	3.488511e-04	0.018490
516983.381105	41.821894	3.750747e-04	0.018490
517033.383734	41.855857	3.756618e-04	0.018490
517083.386362	41.954560	3.762508e-04	0.018490
517133.388990	42.121859	3.768416e-04	0.018490
517183.391619	42.344137	3.774343e-04	0.018490
517233.394247	42.599527	3.780288e-04	0.018490
517283.396875	41.261890	3.873516e-04	0.018490
517333.399504	43.135122	3.792236e-04	0.018490
517383.402132	47.936249	4.067594e-05	0.018490
517433.404760	51.196233	4.052827e-05	0.018490
517483.407388	54.253699	4.068974e-05	0.018490
517533.410017	44.084406	3.816357e-04	0.018490
517583.412645	60.035930	4.054881e-05	0.018490
517633.415273	62.654775	4.058364e-05	0.018490
517683.417902	65.247764	4.056251e-05	0.018490
517733.420530	67.610883	4.059737e-05	0.018490
517783.423158	69.960970	4.057624e-05	0.018490
517833.425787	72.085482	4.061112e-05	0.018490
517883.428415	73.750994	3.991119e-05	0.018490
