location	LR	alpha
635459.000000	0.033782	1.897615e+08
635509.007419	1.130239	3.547980e+04
635559.014839	0.708410	6.758189e+03
635609.022258	0.936484	1.423819e+03
635659.029677	0.371503	9.301615e+02
635709.037096	0.013510	1.292406e+04
635759.044516	0.013550	2.313900e+05
635809.051935	0.020966	1.323718e+04
635859.059354	0.054979	4.740921e+04
635909.066774	0.003638	5.016109e+04
635959.074193	0.000000	2.975472e+05
636009.081612	0.000000	5.512471e+05
636059.089031	0.019846	1.302821e+04
636109.096451	0.052330	7.459769e+04
636159.103870	0.082762	1.145980e+04
636209.111289	0.102052	4.847502e+03
636259.118709	0.111011	3.057124e+03
636309.126128	0.214719	2.342459e+03
636359.133547	0.164549	3.286073e+03
636409.140967	0.142764	6.865629e+03
636459.148386	0.186088	2.602086e+04
636509.155805	1.023701	1.567090e+04
636559.163224	0.016648	3.726838e+07
636609.170644	0.174790	1.094484e+08
636659.178063	0.089518	4.711697e+07
636709.185482	0.000000	1.200000e+09
636759.192902	0.001595	3.384859e+08
636809.200321	0.000345	4.212982e+08
636859.207740	0.000037	1.047852e+05
636909.215159	0.052027	2.229422e+08
636959.222579	0.000312	4.808488e+04
637009.229998	0.000000	7.469476e+04
637059.237417	0.000000	8.592467e+06
637109.244837	0.168865	7.579607e+07
637159.252256	0.011709	5.647244e+04
637209.259675	0.000000	3.196252e+05
637259.267094	0.049497	5.213352e+03
637309.274514	0.041398	1.043279e+04
637359.281933	0.058645	2.824096e+04
637409.289352	0.024531	2.415070e+03
637459.296772	0.006844	4.764721e+03
637509.304191	0.000000	2.189131e+04
637559.311610	0.000000	1.616909e+04
637609.319029	0.010547	1.075272e+03
637659.326449	0.055923	9.839565e+02
637709.333868	0.108262	9.249704e+02
637759.341287	0.187645	1.400770e+03
637809.348707	0.264432	2.548715e+03
637859.356126	0.265702	2.446044e+03
637909.363545	0.207295	1.143460e+03
637959.370965	0.161067	9.508007e+02
638009.378384	0.119798	8.716276e+02
638059.385803	0.097973	6.018215e+02
638109.393222	0.095704	5.404191e+02
638159.400642	0.139010	4.587809e+02
638209.408061	0.268157	4.179457e+02
638259.415480	0.435071	3.979873e+02
638309.422900	0.605284	3.850616e+02
638359.430319	0.767140	3.730445e+02
638409.437738	0.929420	3.551948e+02
638459.445157	1.128787	3.292052e+02
638509.452577	1.367995	3.155897e+02
638559.459996	1.589001	3.130920e+02
638609.467415	1.742102	3.171334e+02
638659.474835	1.779688	3.276777e+02
638709.482254	1.648369	3.489256e+02
638759.489673	1.313801	3.991536e+02
638809.497092	0.890099	5.258256e+02
638859.504512	0.503997	7.445073e+02
638909.511931	0.000000	1.985072e+05
638959.519350	0.721830	1.279757e+04
639009.526770	0.117866	7.027087e+04
639059.534189	0.630488	8.516299e+03
639109.541608	0.200796	4.177994e+03
639159.549027	0.040180	2.208779e+08
639209.556447	1.066412	1.843514e+03
639259.563866	1.611584	2.429651e+03
639309.571285	0.292745	3.615585e+04
639359.578705	0.000000	2.994857e+05
639409.586124	1.564610	4.816840e+07
639459.593543	0.118700	7.651717e+03
639509.600963	0.057529	4.539506e+07
639559.608382	0.090498	1.077370e+08
639609.615801	1.135718	1.376851e+04
639659.623220	0.052603	7.488788e+04
639709.630640	3.423476	2.441296e+03
639759.638059	1.514374	1.891013e+07
639809.645478	4.988899	1.007091e+03
639859.652898	3.290288	1.230638e+03
639909.660317	1.862168	1.388299e+03
639959.667736	0.356649	6.726642e+03
640009.675155	0.062921	5.288909e+04
640059.682575	0.988558	2.131620e+05
640109.689994	1.167765	5.019910e+03
640159.697413	0.361934	8.978342e+07
640209.704833	0.057403	2.392856e+08
640259.712252	0.020956	3.013960e+08
640309.719671	1.266644	4.662085e+07
640359.727090	0.210994	1.847033e+04
640409.734510	0.820745	5.361038e+03
640459.741929	1.367090	4.163604e+03
640509.749348	0.344974	6.245035e+03
640559.756768	0.721450	2.219108e+03
640609.764187	0.992018	1.438094e+03
640659.771606	0.787309	1.379461e+03
640709.779025	0.362542	1.503301e+03
640759.786445	0.000341	1.328922e+04
640809.793864	0.000345	3.061397e+04
640859.801283	0.000345	7.404875e+04
640909.808703	0.000000	8.147159e+05
640959.816122	0.001809	2.880541e+05
641009.823541	0.083004	1.816039e+08
641059.830960	0.072277	2.042164e+04
641109.838380	0.081321	1.764652e+08
641159.845799	0.000000	1.712052e+07
641209.853218	0.016242	9.773954e+04
641259.860638	0.000000	8.365891e+05
641309.868057	0.612257	4.370294e+07
641359.875476	0.703622	3.853673e+07
641409.882896	2.525478	3.446745e+03
641459.890315	0.015258	2.675261e+08
641509.897734	0.063134	2.596319e+04
641559.905153	0.359145	5.638617e+03
641609.912573	0.028299	1.742548e+05
641659.919992	5.777957	1.995717e+03
641709.927411	2.640707	1.190360e+03
641759.934831	0.746284	1.200761e+03
641809.942250	1.163295	1.068169e+03
641859.949669	0.643820	1.141115e+03
641909.957088	0.872539	1.864574e+03
641959.964508	0.005556	7.106375e+03
642009.971927	0.637362	4.415214e+03
642059.979346	0.000565	3.943578e+08
642109.986766	0.000295	2.438654e+04
642159.994185	0.261210	4.009298e+03
642210.001604	0.260587	4.447804e+03
642260.009023	0.186621	6.247480e+03
642310.016443	0.200203	1.239083e+04
642360.023862	0.106625	4.750141e+04
642410.031281	0.051196	1.996615e+04
642460.038701	0.000000	2.508542e+06
642510.046120	0.088606	1.005239e+04
642560.053539	0.125426	4.126134e+05
642610.060958	0.000000	7.531827e+05
642660.068378	0.128303	8.374619e+04
642710.075797	0.000000	2.334869e+05
642760.083216	0.000000	1.535993e+05
642810.090636	0.000000	9.892718e+04
642860.098055	0.000346	3.730773e+05
642910.105474	0.004916	3.341709e+04
642960.112894	0.002783	8.462345e+04
643010.120313	0.000000	5.876763e+05
643060.127732	0.000000	5.809654e+05
643110.135151	0.000000	1.083224e+05
643160.142571	0.492264	1.690768e+04
643210.149990	0.077253	5.878600e+05
643260.157409	0.001329	8.875546e+04
643310.164829	0.122473	3.923846e+04
643360.172248	0.091747	2.614255e+07
643410.179667	2.224830	6.208294e+06
643460.187086	0.946744	2.222375e+03
643510.194506	0.621106	1.768911e+03
643560.201925	0.687634	1.440288e+03
643610.209344	1.071589	1.301086e+03
643660.216764	1.411038	1.409148e+03
643710.224183	1.383661	1.646760e+03
643760.231602	0.604251	5.224765e+03
643810.239021	0.583310	3.357912e+03
643860.246441	3.383873	3.249802e+03
643910.253860	1.346764	1.714629e+03
643960.261279	0.012364	1.961000e+04
644010.268699	0.030652	6.317007e+04
644060.276118	0.192060	6.646898e+03
644110.283537	0.988978	1.652156e+03
644160.290956	0.276604	4.785000e+03
644210.298376	0.326319	1.834452e+07
644260.305795	0.166529	4.533566e+03
644310.313214	0.033735	1.051010e+04
644360.320634	0.000000	3.102601e+05
644410.328053	1.944165	5.909812e+03
644460.335472	3.956760	1.172672e+03
644510.342892	2.392490	1.828791e+03
644560.350311	0.026325	7.656374e+04
644610.357730	0.000000	1.946850e+05
644660.365149	1.163811	7.666263e+03
644710.372569	0.460439	9.241590e+02
644760.379988	0.100253	8.248400e+02
644810.387407	0.004298	5.179897e+03
644860.394827	0.003746	4.002010e+03
644910.402246	0.003390	3.402943e+03
644960.409665	0.000532	4.040656e+03
645010.417084	0.000208	5.319812e+03
645060.424504	0.000201	6.909104e+03
645110.431923	0.000176	1.000587e+04
645160.439342	0.000162	1.789952e+04
645210.446762	0.000161	7.944853e+04
645260.454181	0.064284	3.410893e+04
645310.461600	0.000000	1.200000e+09
645360.469019	0.000000	1.200000e+09
645410.476439	0.000000	8.122152e+04
645460.483858	0.226638	7.664936e+03
645510.491277	0.150325	5.149821e+05
645560.498697	0.170606	3.383830e+05
645610.506116	0.000000	1.065219e+06
645660.513535	0.107552	1.203838e+04
645710.520954	0.042390	8.521563e+03
645760.528374	0.070663	1.649685e+05
645810.535793	0.117818	3.115105e+05
645860.543212	0.000000	1.200000e+09
645910.550632	0.021382	5.541580e+04
645960.558051	0.261473	9.304042e+04
646010.565470	1.060976	1.047021e+04
646060.572890	0.544365	1.589726e+04
646110.580309	0.003347	8.970130e+04
646160.587728	0.061867	4.255627e+04
646210.595147	0.390041	7.456446e+03
646260.602567	0.000173	3.836520e+04
646310.609986	0.000000	3.324113e+05
646360.617405	0.160634	3.637058e+07
646410.624825	0.020025	2.086349e+08
646460.632244	0.007826	5.454960e+04
646510.639663	0.007057	2.425000e+04
646560.647082	0.008384	3.271151e+08
646610.654502	0.312873	9.648550e+07
646660.661921	0.137445	7.330440e+03
646710.669340	3.053092	6.123066e+03
646760.676760	0.328473	3.550669e+03
646810.684179	0.431911	1.240912e+04
646860.691598	0.189372	8.477062e+04
646910.699017	0.114163	5.755389e+03
646960.706437	0.121076	7.666894e+03
647010.713856	0.700374	1.669065e+03
647060.721275	0.691336	2.289498e+03
647110.728695	0.698492	4.258226e+07
647160.736114	0.700102	3.286292e+07
647210.743533	0.505745	2.177387e+04
647260.750952	0.000000	1.647668e+05
647310.758372	0.000000	1.231248e+06
647360.765791	0.000000	1.181310e+05
647410.773210	0.088221	1.467183e+05
647460.780630	0.029408	1.073303e+05
647510.788049	0.065615	6.270216e+04
647560.795468	1.218618	1.790337e+05
647610.802888	1.038860	3.877284e+03
647660.810307	0.219263	5.814504e+07
647710.817726	0.300824	3.122662e+03
647760.825145	1.036725	3.632746e+03
647810.832565	0.417684	4.604498e+03
647860.839984	0.681970	1.962784e+04
647910.847403	0.009833	3.643836e+04
647960.854823	0.001959	7.950227e+04
648010.862242	0.000012	8.799205e+04
648060.869661	0.000046	3.462224e+04
648110.877080	0.000541	3.930119e+04
648160.884500	0.003245	9.381982e+04
648210.891919	0.042358	1.895313e+04
648260.899338	0.730152	3.117397e+07
648310.906758	0.051878	4.105534e+05
648360.914177	0.039938	2.143763e+08
648410.921596	2.730920	2.977777e+03
648460.929015	0.164634	2.975426e+07
648510.936435	0.809737	1.331207e+04
648560.943854	0.000000	1.200000e+09
648610.951273	0.251480	8.934323e+03
648660.958693	1.085329	2.705992e+04
648710.966112	0.082137	2.342977e+04
648760.973531	0.052306	2.814224e+08
648810.980950	0.024611	5.528422e+04
648860.988370	0.068061	2.163118e+08
648910.995789	0.034113	2.502153e+04
648961.003208	0.000000	6.145071e+05
649011.010628	0.270262	1.830436e+04
649061.018047	1.567115	1.086099e+04
649111.025466	0.577122	4.789126e+07
649161.032886	2.276401	1.872570e+03
649211.040305	2.060757	6.966837e+03
649261.047724	3.692860	1.575047e+03
649311.055143	1.253697	2.736534e+07
649361.062563	0.120665	1.671224e+08
649411.069982	0.367539	1.057895e+04
649461.077401	1.268787	5.588269e+03
649511.084821	0.561069	3.023391e+07
649561.092240	0.000005	1.287590e+06
649611.099659	0.436269	4.715985e+03
649661.107078	0.781120	4.662806e+03
649711.114498	0.135533	1.381491e+05
649761.121917	0.000000	1.736469e+05
649811.129336	0.003285	7.458373e+04
649861.136756	0.414426	1.045627e+04
649911.144175	0.000000	4.124329e+05
649961.151594	0.004991	3.211227e+08
650011.159013	0.000232	1.432959e+05
650061.166433	0.923237	9.398441e+03
650111.173852	0.685732	1.229618e+04
650161.181271	0.086239	3.201738e+04
650211.188691	0.011207	8.385071e+04
650261.196110	0.009639	8.549511e+04
650311.203529	0.000047	1.174025e+05
650361.210948	1.121954	1.558404e+07
650411.218368	0.124714	1.078699e+04
650461.225787	0.015902	3.308995e+08
650511.233206	0.021757	3.993023e+06
650561.240626	0.000000	1.200000e+09
650611.248045	0.078281	2.146384e+04
650661.255464	0.000000	1.200000e+09
650711.262883	0.021421	2.208208e+08
650761.270303	0.072056	4.430976e+04
650811.277722	0.000218	8.099675e+04
650861.285141	0.000000	6.440861e+05
650911.292561	0.000000	1.009825e+05
650961.299980	0.326319	1.834453e+07
651011.307399	0.079178	5.475788e+04
651061.314819	0.030298	3.287113e+04
651111.322238	0.000000	4.745156e+05
651161.329657	0.206886	1.339798e+04
651211.337076	0.092524	4.498278e+03
651261.344496	0.213674	2.763332e+07
651311.351915	0.000000	7.154341e+04
651361.359334	0.000040	1.569694e+05
651411.366754	0.000000	2.555239e+05
651461.374173	0.007108	4.496110e+04
651511.381592	0.173195	8.561147e+03
651561.389011	0.048674	1.801973e+05
651611.396431	0.749000	1.016348e+04
651661.403850	0.086135	9.424939e+04
651711.411269	0.164732	1.762453e+04
651761.418689	0.008384	3.152203e+08
651811.426108	0.173746	2.089051e+07
651861.433527	0.077015	2.633401e+03
651911.440946	0.771220	3.639888e+04
651961.448366	0.003724	4.818403e+05
652011.455785	0.021778	1.972006e+04
652061.463204	0.000346	5.015088e+04
652111.470624	0.000000	1.200000e+09
652161.478043	0.001914	3.368410e+04
652211.485462	0.025594	6.665899e+04
652261.492881	0.024931	1.252245e+04
652311.500301	0.149562	6.214922e+03
652361.507720	0.215078	1.362462e+04
652411.515139	0.162229	5.378750e+07
652461.522559	0.000000	5.685506e+05
652511.529978	0.379948	5.315332e+03
652561.537397	0.767386	2.259184e+03
652611.544817	0.163160	4.160090e+04
652661.552236	2.904313	6.322909e+02
652711.559655	3.956429	1.321451e+03
652761.567074	3.169458	3.424494e+03
652811.574494	0.000261	1.538231e+05
652861.581913	1.120668	6.674440e+03
652911.589332	2.703740	5.905072e+06
652961.596752	0.389087	1.271011e+07
653011.604171	2.209627	1.304301e+03
653061.611590	3.430634	7.904614e+02
653111.619009	0.000000	8.315869e+05
653161.626429	6.542203	1.342569e+03
653211.633848	8.031890	5.477115e+02
653261.641267	1.263991	5.070029e+02
653311.648687	7.211311	8.470513e+02
653361.656106	3.720135	8.264402e+02
653411.663525	0.642943	3.260430e+03
653461.670944	1.759197	8.609727e+02
653511.678364	4.416534	5.980466e+02
653561.685783	1.301184	6.625398e+02
653611.693202	1.856311	9.049966e+02
653661.700622	1.451178	6.515254e+03
653711.708041	1.437204	2.909328e+03
653761.715460	0.409603	2.475618e+03
653811.722879	0.378507	7.705404e+03
653861.730299	0.001261	6.012472e+05
653911.737718	0.250437	4.185681e+04
653961.745137	0.074532	3.376438e+04
654011.752557	0.000459	7.598301e+04
654061.759976	0.192427	1.039611e+08
654111.767395	0.083305	6.942567e+03
654161.774815	0.311738	1.886457e+07
654211.782234	0.000000	1.200000e+09
654261.789653	0.189483	6.593495e+04
