location	LR	alpha
635465.000000	2.798271	5.646949e+03
635515.005113	0.235439	9.313205e+03
635565.010227	0.029674	2.216524e+04
635615.015340	0.000419	6.995295e+07
635665.020453	0.069165	3.868600e+04
635715.025566	0.071272	1.760283e+04
635765.030680	0.011735	2.469768e+08
635815.035793	0.000020	1.812825e+05
635865.040906	0.021373	4.303759e+05
635915.046020	0.000567	1.814287e+04
635965.051133	0.000000	1.200000e+09
636015.056246	0.022756	3.376940e+04
636065.061360	1.434770	3.489837e+03
636115.066473	2.131987	6.158807e+03
636165.071586	0.183789	1.172423e+08
636215.076699	0.594944	1.293804e+04
636265.081813	1.059474	2.334974e+03
636315.086926	0.583175	1.813059e+03
636365.092039	0.125738	3.333852e+03
636415.097153	0.389343	4.000702e+03
636465.102266	0.000000	6.311361e+05
636515.107379	0.000307	1.269635e+05
636565.112492	0.023661	7.789702e+04
636615.117606	0.114546	2.779993e+04
636665.122719	0.446197	2.197643e+04
636715.127832	0.000000	5.413140e+05
636765.132946	0.000018	1.674095e+05
636815.138059	0.009696	4.752454e+04
636865.143172	1.001539	1.381352e+04
636915.148286	0.107047	1.216488e+08
636965.153399	0.145456	5.217537e+04
637015.158512	0.344723	3.018205e+07
637065.163625	0.004584	2.904794e+08
637115.168739	0.136179	1.461791e+08
637165.173852	0.053770	2.385684e+04
637215.178965	0.004002	6.516233e+04
637265.184079	0.208134	7.808732e+03
637315.189192	0.094303	4.623355e+04
637365.194305	0.327343	8.161096e+03
637415.199418	0.215262	3.970546e+03
637465.204532	0.205203	2.580497e+03
637515.209645	0.223150	1.840467e+03
637565.214758	0.273472	1.403143e+03
637615.219872	0.345994	1.142290e+03
637665.224985	0.435136	9.706415e+02
637715.230098	0.546811	8.467109e+02
637765.235212	0.699514	7.512577e+02
637815.240325	0.940623	6.762617e+02
637865.245438	1.402332	6.311670e+02
637915.250551	1.347979	5.831366e+02
637965.255665	1.034307	5.454247e+02
638015.260778	0.871592	5.251044e+02
638065.265891	0.752573	5.137943e+02
638115.271005	0.640197	5.100870e+02
638165.276118	0.520634	5.147015e+02
638215.281231	0.391148	5.315474e+02
638265.286344	0.258862	5.735986e+02
638315.291458	0.146881	6.696140e+02
638365.296571	0.077123	8.057569e+02
638415.301684	0.037260	9.503932e+02
638465.306798	0.013014	1.122409e+03
638515.311911	0.000835	2.240952e+03
638565.317024	0.000406	2.900306e+03
638615.322138	0.000203	3.707551e+03
638665.327251	0.000094	4.912214e+03
638715.332364	0.000043	6.788227e+03
638765.337477	0.000025	9.996515e+03
638815.342591	0.000020	1.688194e+04
638865.347704	0.000020	4.865955e+04
638915.352817	0.000021	6.200580e+04
638965.357931	0.022004	5.754067e+04
639015.363044	1.111106	8.941916e+03
639065.368157	0.017733	1.042093e+06
639115.373271	0.072127	1.107268e+04
639165.378384	0.020564	4.872260e+04
639215.383497	0.032537	2.147139e+04
639265.388610	0.052625	1.154625e+05
639315.393724	0.362214	9.499263e+03
639365.398837	0.000000	3.272151e+05
639415.403950	0.001924	1.938445e+05
639465.409064	0.040035	3.830761e+04
639515.414177	2.392151	5.668707e+06
639565.419290	0.051877	3.808752e+05
639615.424403	0.033814	1.346441e+08
639665.429517	0.117327	2.717205e+04
639715.434630	0.013830	2.620227e+08
639765.439743	0.769483	3.130777e+03
639815.444857	1.487712	1.716060e+03
639865.449970	0.989870	2.626994e+03
639915.455083	0.205721	4.580475e+03
639965.460197	0.026009	1.261235e+04
640015.465310	0.001878	4.688688e+04
640065.470423	1.053714	9.059744e+03
640115.475536	0.000018	5.989920e+05
640165.480650	0.240899	1.165082e+08
640215.485763	0.000000	2.060444e+06
640265.490876	0.821729	2.680533e+07
640315.495990	0.723756	1.030007e+07
640365.501103	0.448992	8.936830e+07
640415.506216	0.000020	4.019845e+05
640465.511329	0.079272	1.520598e+05
640515.516443	0.000000	1.200000e+09
640565.521556	0.000000	1.389526e+05
640615.526669	0.081133	3.288791e+04
640665.531783	0.023020	7.322828e+04
640715.536896	0.005387	1.275155e+04
640765.542009	0.081955	1.679626e+04
640815.547123	0.070756	2.388542e+05
640865.552236	0.000000	1.200000e+09
640915.557349	0.046077	5.892418e+04
640965.562462	0.059207	3.286168e+04
641015.567576	0.000000	2.243007e+05
641065.572689	0.835716	5.171806e+03
641115.577802	0.177725	1.691505e+04
641165.582916	0.172362	3.018205e+07
641215.588029	0.089343	1.220600e+08
641265.593142	0.008278	6.639714e+04
641315.598255	0.378607	3.144746e+04
641365.603369	0.126753	1.166164e+08
641415.608482	0.000229	6.003674e+04
641465.613595	0.001017	3.705053e+08
641515.618709	0.000000	2.820746e+05
641565.623822	0.483046	5.237211e+03
641615.628935	0.208377	2.293553e+03
641665.634049	0.246018	3.052195e+03
641715.639162	0.125735	3.621726e+07
641765.644275	0.178240	1.033646e+08
641815.649388	0.259377	7.647140e+03
641865.654502	0.001786	1.682891e+04
641915.659615	0.006087	6.448407e+04
641965.664728	0.274960	1.309775e+04
642015.669842	0.000000	1.200000e+09
642065.674955	0.446807	1.097125e+04
642115.680068	0.714045	2.426874e+03
642165.685181	0.112055	8.832032e+03
642215.690295	0.178805	3.149854e+03
642265.695408	0.000573	5.537798e+03
642315.700521	0.026447	1.450187e+04
642365.705635	0.059854	7.877539e+04
642415.710748	0.068955	5.904485e+04
642465.715861	0.154016	2.182666e+04
642515.720975	0.000018	9.417422e+05
642565.726088	1.175433	2.038653e+04
642615.731201	0.140570	1.173726e+08
642665.736314	0.051026	3.009967e+04
642715.741428	0.000000	1.235225e+05
642765.746541	0.042285	7.897081e+03
642815.751654	0.000000	4.387863e+04
642865.756768	0.000000	8.358131e+04
642915.761881	0.000000	3.687815e+05
642965.766994	0.000000	1.244499e+05
643015.772107	0.005317	2.598312e+04
643065.777221	0.000020	3.364494e+04
643115.782334	0.000020	1.353279e+05
643165.787447	0.059850	2.703575e+05
643215.792561	0.016895	2.254492e+08
643265.797674	0.043693	2.384513e+04
643315.802787	0.159906	3.312038e+04
643365.807901	0.000000	1.200000e+09
643415.813014	0.747152	4.240664e+07
643465.818127	0.000261	2.891796e+04
643515.823240	0.000346	1.062448e+05
643565.828354	0.000049	2.469181e+04
643615.833467	0.000018	8.054914e+06
643665.838580	0.000018	7.627528e+05
643715.843694	0.000049	2.474313e+04
643765.848807	0.005318	5.635293e+04
643815.853920	0.237756	1.989652e+04
643865.859033	0.069777	5.563690e+04
643915.864147	0.532913	6.914035e+03
643965.869260	0.093135	4.401539e+04
644015.874373	0.222867	9.094696e+07
644065.879487	0.020513	5.360339e+05
644115.884600	0.014983	2.023001e+04
644165.889713	0.005319	4.565124e+04
644215.894827	0.006849	1.055603e+04
644265.899940	0.033084	2.812788e+03
644315.905053	0.344944	5.737917e+03
644365.910166	0.292042	9.884718e+07
644415.915280	2.421978	5.616114e+03
644465.920393	0.000563	3.866920e+08
644515.925506	2.938391	1.464718e+03
644565.930620	2.749201	1.363913e+03
644615.935733	1.580433	3.821148e+03
644665.940846	0.738322	2.170190e+04
644715.945959	1.014628	1.684788e+03
644765.951073	2.120220	7.016132e+02
644815.956186	2.422646	5.758338e+02
644865.961299	2.078003	5.415241e+02
644915.966413	1.273763	5.465577e+02
644965.971526	0.196367	6.091901e+02
645015.976639	0.010198	2.432457e+03
645065.981753	0.012397	2.767538e+03
645115.986866	0.015117	3.328798e+03
645165.991979	0.018893	4.218994e+03
645215.997092	0.023541	5.853529e+03
645266.002206	0.032099	9.311423e+03
645316.007319	0.038443	1.349210e+08
645366.012432	0.001078	3.497537e+08
645416.017546	0.000019	4.240708e+04
645466.022659	0.076930	1.320981e+04
645516.027772	0.020513	8.501134e+04
645566.032886	0.104458	5.887784e+06
645616.037999	0.000000	1.200000e+09
645666.043112	0.000018	9.785832e+04
645716.048225	0.000018	7.950456e+04
645766.053339	0.011667	6.447337e+04
645816.058452	0.002610	3.095457e+08
645866.063565	0.318624	9.318901e+07
645916.068679	0.166240	1.412894e+08
645966.073792	0.022371	2.079859e+08
646016.078905	0.030971	2.598299e+05
646066.084018	2.028868	6.610251e+03
646116.089132	0.774252	2.571633e+04
646166.094245	0.039066	2.877675e+04
646216.099358	0.164308	2.055454e+04
646266.104472	0.471682	4.202594e+03
646316.109585	0.353605	3.177318e+03
646366.114698	0.075197	1.093993e+05
646416.119812	0.277015	3.141221e+04
646466.124925	0.073178	1.604224e+08
646516.130038	2.777991	2.338510e+03
646566.135151	1.226028	4.429821e+03
646616.140265	0.376717	7.256348e+04
646666.145378	0.821296	3.808369e+03
646716.150491	0.048782	1.895978e+08
646766.155605	0.005318	1.675203e+05
646816.160718	0.761965	6.911080e+05
646866.165831	0.000777	4.971846e+06
646916.170944	0.000000	1.465820e+05
646966.176058	0.000839	3.966580e+06
