location	LR	alpha
1378545.000000	0.000002	6.456257e+08
1378595.003419	0.067167	3.199462e+08
1378645.006838	0.125627	2.201982e+07
1378695.010256	0.007683	3.498019e+08
1378745.013675	0.002025	4.175844e+08
1378795.017094	0.968270	1.934973e+07
1378845.020513	0.496584	2.009190e+04
1378895.023932	0.535594	1.132963e+08
1378945.027350	0.086337	3.208284e+05
1378995.030769	2.861693	3.795163e+03
1379045.034188	2.696885	3.207581e+03
1379095.037607	1.383040	2.864186e+03
1379145.041026	1.363358	3.505854e+03
1379195.044444	0.838488	1.581187e+04
1379245.047863	0.000000	1.200000e+09
1379295.051282	1.167114	3.527582e+06
1379345.054701	0.000000	1.200000e+09
1379395.058120	0.062929	1.705725e+04
1379445.061538	0.195964	8.975695e+04
1379495.064957	1.445021	6.994167e+07
1379545.068376	0.034284	3.303059e+08
1379595.071795	1.817199	1.489033e+07
1379645.075214	0.263930	2.234703e+08
1379695.078632	0.156315	2.712841e+04
1379745.082051	0.071070	2.090706e+08
1379795.085470	0.651875	1.791945e+04
1379845.088889	0.000000	2.639665e+05
1379895.092308	0.000000	1.200000e+09
1379945.095726	0.060401	2.975323e+08
1379995.099145	0.000000	3.570501e+05
1380045.102564	0.345888	1.970129e+04
1380095.105983	0.005801	9.004974e+04
1380145.109402	0.005131	9.430240e+04
1380195.112821	0.109012	2.192865e+08
1380245.116239	0.876879	1.202117e+08
1380295.119658	0.423641	2.444456e+07
1380345.123077	0.000000	1.200000e+09
1380395.126496	0.002601	3.951450e+08
1380445.129915	0.251369	1.485973e+08
1380495.133333	0.501768	8.006104e+07
1380545.136752	0.186933	1.716006e+08
1380595.140171	0.799008	3.458265e+07
1380645.143590	2.778962	1.750482e+06
1380695.147009	8.993483	2.074783e+03
1380745.150427	1.272411	1.676343e+07
1380795.153846	1.317752	1.307899e+07
1380845.157265	0.012082	1.021248e+05
1380895.160684	0.137304	2.535258e+08
1380945.164103	0.002944	4.241772e+08
1380995.167521	1.317909	3.250116e+07
1381045.170940	3.094911	5.102746e+06
1381095.174359	0.105578	1.462395e+05
1381145.177778	0.000000	1.200000e+09
1381195.181197	0.342162	1.007918e+08
1381245.184615	0.337836	1.500326e+04
1381295.188034	0.033938	6.327999e+04
1381345.191453	0.000041	5.400160e+08
1381395.194872	0.025641	8.630410e+04
1381445.198291	0.037039	1.099549e+08
1381495.201709	0.000000	1.200000e+09
