location	LR	alpha	D
635465.000000	5.468664	2.643755e-03	0.030913
635515.002607	3.955159	2.673203e-03	0.030913
635565.005214	1.072585	9.180158e-01	0.030913
635615.007820	2.857414	2.804399e-03	0.030913
635665.010427	0.480911	1.578730e-01	0.015456
635715.013034	1.701986	1.692556e-02	0.030913
635765.015641	1.543209	4.765057e+01	0.030913
635815.018247	2.845392	1.970503e-02	0.030913
635865.020854	0.023223	8.869178e-01	0.030913
635915.023461	0.000000	8.585818e-01	0.015456
635965.026068	0.037691	2.147771e-01	0.030913
636015.028675	5.283059	3.093604e-03	0.030913
636065.031281	6.289079	3.169083e-03	0.030913
636115.033888	0.544825	1.289046e-01	0.030913
636165.036495	5.039853	3.252589e-03	0.030913
636215.039102	5.688013	3.261792e-03	0.030913
636265.041708	2.497644	3.209451e-03	0.030913
636315.044315	0.000000	1.101365e-01	0.015456
636365.046922	0.000000	2.035517e-01	0.015456
636415.049529	0.000000	1.340712e+00	0.015456
636465.052136	0.464025	2.451588e-01	0.030913
636515.054742	0.377328	6.687005e-01	0.030913
636565.057349	0.229307	2.470567e+00	0.030913
636615.059956	0.078291	1.084995e+00	0.015456
636665.062563	0.000000	5.818006e+00	0.015456
636715.065169	0.915189	9.599495e-03	0.030913
636765.067776	0.000000	3.911628e+00	0.015456
636815.070383	0.117399	2.225122e-01	0.030913
636865.072990	8.301165	4.078958e-03	0.030913
636915.075597	0.251584	5.435867e-01	0.030913
636965.078203	0.000000	6.637830e-01	0.015456
637015.080810	0.545319	1.762611e-01	0.030913
637065.083417	0.369911	2.793407e-01	0.030913
637115.086024	2.910600	6.011932e-02	0.030913
637165.088630	1.110262	1.081235e+01	0.030913
637215.091237	0.449352	1.156616e+00	0.030913
637265.093844	5.096061	4.564637e-03	0.030913
637315.096451	1.092402	1.175360e-01	0.015456
637365.099058	0.938402	3.418896e-01	0.015456
637415.101664	0.650996	6.246692e-02	0.015456
637465.104271	0.798575	4.956542e-02	0.015456
637515.106878	0.826085	4.108084e-02	0.015456
637565.109485	1.794176	3.429644e-02	0.015456
637615.112091	1.796681	3.060349e-02	0.015456
637665.114698	2.217623	2.714227e-02	0.015456
637715.117305	2.114279	2.438442e-02	0.015456
637765.119912	1.572814	2.325041e-02	0.015456
637815.122519	1.202128	1.201472e-01	0.015456
637865.125125	1.448838	1.840138e-02	0.015456
637915.127732	4.541106	1.709091e-02	0.015456
637965.130339	1.201814	1.931423e-01	0.015456
638015.132946	1.202140	1.070158e-01	0.015456
638065.135552	1.202199	7.401212e-02	0.015456
638115.138159	1.240545	1.558162e-02	0.015456
638165.140766	1.202235	4.577693e-02	0.015456
638215.143373	1.932118	1.209502e-02	0.015456
638265.145980	2.740894	1.151470e-02	0.015456
638315.148586	3.609882	1.098751e-02	0.015456
638365.151193	3.880201	1.046345e-02	0.015456
638415.153800	4.011644	9.885931e-03	0.015456
638465.156407	4.784586	9.487336e-03	0.015456
638515.159013	4.526277	9.286780e-03	0.015456
638565.161620	4.331901	8.940801e-03	0.015456
638615.164227	4.038054	9.383537e-03	0.015456
638665.166834	3.587514	8.145719e-03	0.015456
638715.169441	3.691052	1.017958e-02	0.015456
638765.172047	3.996695	1.234786e-02	0.015456
638815.174654	4.536970	1.009400e-02	0.030913
638865.177261	5.385249	1.166382e-02	0.030913
638915.179868	5.053083	1.185560e-02	0.030913
638965.182474	1.743083	2.740867e-02	0.030913
639015.185081	0.889561	1.123438e-01	0.030913
639065.187688	1.920340	1.929643e-01	0.030913
639115.190295	2.004812	4.169421e-02	0.015456
639165.192902	2.727562	1.869720e-02	0.015456
639215.195508	1.805038	1.767815e-02	0.015456
639265.198115	3.257543	2.214831e-02	0.015456
639315.200722	1.920890	6.097582e-02	0.015456
639365.203329	2.361425	4.548957e-02	0.015456
639415.205935	2.394145	2.911167e-02	0.015456
639465.208542	3.207143	3.021084e-02	0.015456
639515.211149	4.426266	3.294791e-02	0.015456
639565.213756	1.926878	2.609909e-02	0.015456
639615.216363	2.147390	5.123467e-02	0.015456
639665.218969	2.164292	2.333636e-02	0.015456
639715.221576	2.379878	9.472738e-02	0.015456
639765.224183	1.584635	1.785072e-01	0.030913
639815.226790	1.106767	3.595256e-02	0.015456
639865.229396	1.314934	1.505213e-02	0.015456
639915.232003	1.535495	1.416377e-02	0.015456
639965.234610	0.894325	4.127039e-02	0.030913
640015.237217	1.360676	2.763467e-02	0.030913
640065.239824	1.588853	9.618458e-02	0.030913
640115.242430	4.730052	6.208746e-03	0.030913
640165.245037	3.023380	1.836983e-02	0.030913
640215.247644	0.432739	1.825030e-01	0.030913
640265.250251	0.152611	6.808502e-02	0.030913
640315.252857	1.700708	1.313622e-01	0.030913
640365.255464	0.727786	4.285426e-01	0.015456
640415.258071	6.301623	6.202379e-03	0.030913
640465.260678	0.692223	2.192209e-01	0.030913
640515.263285	1.024654	7.905043e-02	0.030913
640565.265891	0.988556	4.892650e-02	0.030913
640615.268498	2.634471	3.552681e-03	0.015456
640665.271105	2.931301	3.606064e-03	0.015456
640715.273712	1.190507	3.661076e-03	0.015456
640765.276318	0.715430	2.876064e-01	0.015456
640815.278925	0.708841	1.063931e+00	0.015456
640865.281532	0.009065	4.139025e-01	0.030913
640915.284139	1.557331	2.516124e+00	0.030913
640965.286746	2.550180	3.047904e-02	0.030913
641015.289352	1.352549	1.564320e-01	0.030913
641065.291959	4.620234	1.732486e-02	0.030913
641115.294566	1.495955	7.657679e-02	0.030913
641165.297173	1.808951	1.124618e-01	0.030913
641215.299779	2.216558	5.732575e-03	0.030913
641265.302386	1.185554	4.362547e+00	0.030913
641315.304993	1.250543	2.414730e-01	0.015456
641365.307600	1.674782	1.981043e+00	0.030913
641415.310207	1.519448	4.332050e-01	0.030913
641465.312813	0.604093	2.737010e-01	0.030913
641515.315420	2.874122	4.205871e-02	0.030913
641565.318027	1.079636	3.127590e-02	0.015456
641615.320634	1.630469	1.326586e-01	0.030913
641665.323240	2.057814	2.462433e-02	0.015456
641715.325847	1.639804	9.207688e-02	0.015456
641765.328454	2.384914	6.533401e-02	0.030913
641815.331061	2.650372	5.209892e-02	0.030913
641865.333668	1.772492	4.280613e-02	0.015456
641915.336274	1.386531	3.567859e-02	0.015456
641965.338881	1.669708	3.119630e-02	0.015456
642015.341488	0.971739	3.249025e-02	0.015456
642065.344095	0.567112	1.160082e+00	0.030913
642115.346701	0.593231	5.113929e-02	0.030913
642165.349308	0.205457	2.046562e-02	0.030913
642215.351915	0.000000	8.912121e-02	0.015456
642265.354522	0.869962	1.132455e-02	0.030913
