location	LR	alpha
509733.000000	0.000549	4.213192e+08
509783.001898	0.000549	4.213192e+08
509833.003796	0.884952	1.126089e+04
509883.005695	2.257581	4.696442e+07
509933.007593	2.257581	4.696442e+07
509983.009491	0.000000	1.200000e+09
510033.011389	0.000000	1.200000e+09
510083.013288	0.000000	1.200000e+09
510133.015186	0.015920	2.135020e+08
510183.017084	0.015920	2.135020e+08
510233.018982	0.227412	1.840298e+08
510283.020880	0.227412	1.840298e+08
510333.022779	0.227412	1.840298e+08
510383.024677	0.051883	2.064812e+08
510433.026575	0.051883	2.064812e+08
510483.028473	0.048471	6.554516e+04
510533.030372	0.000000	1.200000e+09
510583.032270	0.000000	1.200000e+09
510633.034168	0.387061	1.094563e+05
510683.036066	0.387061	1.173203e+08
510733.037965	0.387061	1.173203e+08
510783.039863	0.645561	3.865693e+07
510833.041761	0.645561	3.865693e+07
510883.043659	0.892718	1.535219e+04
510933.045557	0.177518	7.302622e+04
510983.047456	0.177473	9.443377e+07
511033.049354	0.000000	1.200000e+09
511083.051252	0.000000	1.200000e+09
511133.053150	0.000000	1.200000e+09
511183.055049	0.174815	8.585004e+07
511233.056947	0.174815	8.585004e+07
511283.058845	0.060658	8.263142e+04
511333.060743	0.060761	2.143525e+08
511383.062641	0.060761	2.143525e+08
511433.064540	1.184252	5.462122e+07
511483.066438	1.184252	5.462122e+07
511533.068336	2.743103	1.233170e+04
511583.070234	1.876193	4.238954e+07
511633.072133	1.876193	4.238954e+07
511683.074031	0.026668	2.591908e+08
511733.075929	0.026668	2.591908e+08
511783.077827	0.371556	3.102010e+04
511833.079725	0.498439	8.890110e+07
511883.081624	1.035290	1.913049e+04
511933.083522	0.718382	7.283884e+05
511983.085420	0.718382	8.042793e+07
512033.087318	0.718384	8.062712e+04
512083.089217	0.629756	1.611302e+07
512133.091115	0.370995	1.525920e+04
512183.093013	0.030852	4.075943e+04
512233.094911	0.029856	1.282842e+08
512283.096810	0.029856	1.282842e+08
512333.098708	0.000000	1.200000e+09
512383.100606	0.000000	1.200000e+09
512433.102504	0.000000	1.200000e+09
512483.104402	0.000000	2.846577e+05
512533.106301	0.000000	1.317849e+05
512583.108199	0.000000	8.573934e+04
512633.110097	0.038244	3.006510e+03
512683.111995	0.427908	2.759281e+03
512733.113894	0.475020	5.888696e+03
512783.115792	0.712434	6.623276e+03
