location	LR	alpha	D
2476101.000000	1.458200	1.323248e+01	0.045619
2476151.004608	1.916145	4.298896e-01	0.045619
2476201.009215	1.745118	2.033581e-01	0.022809
2476251.013823	3.541511	8.000739e-02	0.045619
2476301.018430	5.370844	1.538498e-02	0.022809
2476351.023038	7.002659	3.781939e-03	0.022809
2476401.027645	1.350957	8.906975e+00	0.045619
2476451.032253	4.218258	1.869252e-02	0.022809
2476501.036861	4.910256	2.027153e-02	0.022809
2476551.041468	4.904010	2.166228e-02	0.022809
2476601.046076	3.876394	6.339296e-03	0.022809
2476651.050683	6.254671	5.819734e-03	0.022809
2476701.055291	3.642342	2.863584e-02	0.022809
2476751.059898	5.831012	3.637023e-02	0.045619
2476801.064506	3.473630	3.251465e-02	0.045619
2476851.069113	0.525652	4.960094e-02	0.045619
2476901.073721	2.776787	7.533302e-03	0.022809
2476951.078329	2.982280	7.777449e-03	0.022809
2477001.082936	5.205941	4.756400e-03	0.022809
2477051.087544	2.077281	4.852580e-03	0.045619
2477101.092151	1.448910	1.843540e-01	0.045619
2477151.096759	7.595759	5.032906e-02	0.045619
2477201.101366	5.058290	4.223844e-02	0.045619
2477251.105974	5.291913	2.504665e-02	0.045619
2477301.110582	6.839720	1.054379e-02	0.045619
2477351.115189	7.680574	9.593206e-03	0.045619
2477401.119797	5.019045	9.147176e-03	0.045619
2477451.124404	9.719352	5.879827e-03	0.045619
2477501.129012	12.116311	5.932165e-03	0.045619
2477551.133619	14.701312	6.082520e-03	0.045619
2477601.138227	16.007409	6.240699e-03	0.045619
2477651.142834	14.922892	5.994436e-03	0.045619
2477701.147442	15.331901	6.768753e-03	0.045619
2477751.152050	2.159785	2.441403e-01	0.045619
2477801.156657	14.073334	7.232590e-03	0.045619
2477851.161265	1.910457	2.175439e-01	0.045619
2477901.165872	10.972136	6.877444e-03	0.045619
2477951.170480	4.618820	2.480211e-02	0.045619
2478001.175087	1.074115	3.511330e-01	0.045619
2478051.179695	3.498930	1.854199e-02	0.045619
2478101.184303	4.695195	5.958837e-03	0.022809
2478151.188910	3.214506	1.648101e-01	0.045619
2478201.193518	4.250074	6.191741e-02	0.045619
2478251.198125	4.693090	6.528767e-02	0.045619
2478301.202733	5.054160	4.942395e-02	0.022809
2478351.207340	4.504522	1.986494e-03	0.045619
2478401.211948	5.633002	2.003076e-03	0.045619
2478451.216555	4.472562	7.958433e-02	0.022809
2478501.221163	5.317162	5.666288e-02	0.022809
2478551.225771	5.247825	3.917171e-02	0.045619
2478601.230378	8.828065	3.893193e-02	0.045619
2478651.234986	6.948039	1.902451e-02	0.045619
2478701.239593	6.834936	1.493950e-02	0.022809
2478751.244201	6.368638	1.595227e-02	0.022809
2478801.248808	6.110987	1.660323e-02	0.022809
2478851.253416	6.002297	1.820241e-02	0.045619
2478901.258024	7.063016	1.972847e-02	0.045619
2478951.262631	7.447398	1.694287e-02	0.045619
2479001.267239	5.825203	1.832809e-02	0.045619
2479051.271846	2.923758	5.005671e-02	0.045619
2479101.276454	1.959331	1.145874e-01	0.045619
2479151.281061	6.365166	1.106278e-02	0.045619
2479201.285669	4.160499	1.336728e-02	0.022809
2479251.290276	1.702452	8.484451e-01	0.045619
2479301.294884	1.895069	1.895888e-01	0.045619
2479351.299492	1.814841	5.668387e-02	0.022809
2479401.304099	1.118041	5.530999e-01	0.045619
2479451.308707	2.387552	9.529039e-03	0.045619
2479501.313314	4.266673	9.931200e-03	0.045619
2479551.317922	0.568992	9.943485e-02	0.045619
2479601.322529	1.372504	2.309508e+00	0.045619
2479651.327137	0.607189	1.484599e+00	0.045619
2479701.331745	0.189752	1.531946e-01	0.045619
2479751.336352	3.029001	3.354937e-02	0.045619
2479801.340960	2.886882	1.829244e-01	0.045619
2479851.345567	1.189276	9.550002e-02	0.045619
2479901.350175	0.157746	2.628707e-01	0.045619
2479951.354782	3.371232	1.781611e-01	0.045619
2480001.359390	2.902764	8.127847e-02	0.022809
2480051.363997	1.804155	2.382654e-01	0.022809
2480101.368605	2.983511	9.806438e-02	0.022809
2480151.373213	2.408140	1.801077e-01	0.045619
2480201.377820	0.895663	4.549275e-01	0.022809
2480251.382428	0.237575	2.160037e+00	0.045619
2480301.387035	0.786636	3.722234e-02	0.045619
2480351.391643	1.673610	2.247543e-01	0.045619
2480401.396250	0.000000	5.007825e+00	0.022809
2480451.400858	2.339929	1.193527e+00	0.045619
2480501.405466	0.943341	8.607986e-02	0.022809
2480551.410073	0.000000	2.614422e+00	0.022809
2480601.414681	0.745428	1.822235e+00	0.022809
2480651.419288	0.360482	6.017474e-02	0.045619
2480701.423896	0.855930	1.284468e-01	0.045619
2480751.428503	0.000000	2.800445e+01	0.022809
2480801.433111	0.745428	2.155602e+00	0.022809
2480851.437718	0.686074	1.498352e+00	0.045619
2480901.442326	0.691916	1.612399e+00	0.045619
2480951.446934	0.888177	6.167983e-02	0.045619
2481001.451541	0.000000	4.894881e+00	0.022809
2481051.456149	0.745428	1.138104e+00	0.022809
2481101.460756	1.917400	3.692419e-01	0.045619
2481151.465364	0.278799	3.119688e-01	0.045619
2481201.469971	0.000000	2.553347e+01	0.022809
2481251.474579	0.000000	1.853403e+00	0.022809
2481301.479187	0.000000	5.847722e-01	0.022809
2481351.483794	0.530940	1.137266e-01	0.045619
2481401.488402	1.098832	3.808120e-01	0.022809
2481451.493009	0.619117	3.380946e-01	0.045619
2481501.497617	0.745428	1.599491e+00	0.022809
2481551.502224	0.238692	4.919011e+00	0.045619
2481601.506832	0.842168	3.365995e-02	0.045619
2481651.511439	0.000000	8.881366e-01	0.022809
2481701.516047	0.000000	9.587694e-01	0.022809
2481751.520655	0.000000	1.919366e-01	0.022809
2481801.525262	0.000000	1.066427e-01	0.022809
2481851.529870	0.477355	8.249113e-02	0.045619
2481901.534477	0.523924	1.371970e-01	0.045619
2481951.539085	1.245617	2.378078e-01	0.022809
2482001.543692	0.000000	2.629805e+01	0.022809
2482051.548300	0.261047	7.734415e-01	0.045619
2482101.552908	0.049761	3.655029e-02	0.045619
2482151.557515	0.000000	2.204876e+00	0.022809
2482201.562123	0.000000	2.740494e+01	0.022809
2482251.566730	0.584431	1.422935e+00	0.045619
2482301.571338	1.923232	2.204720e-01	0.045619
2482351.575945	1.400066	1.038278e-01	0.022809
2482401.580553	1.209972	7.864697e-02	0.022809
2482451.585160	0.000000	1.530323e-01	0.022809
2482501.589768	1.045527	4.518248e-02	0.045619
2482551.594376	0.000000	2.723791e+00	0.022809
2482601.598983	0.000000	4.617190e+00	0.022809
2482651.603591	1.801836	9.025250e-03	0.045619
2482701.608198	1.491621	1.511491e-01	0.045619
2482751.612806	5.731690	2.327328e-02	0.045619
2482801.617413	3.426745	6.110524e-02	0.045619
2482851.622021	1.340534	3.276718e-01	0.045619
2482901.626629	0.000000	4.050411e-01	0.022809
2482951.631236	1.090707	9.893378e-01	0.045619
2483001.635844	0.897462	6.804322e-01	0.045619
2483051.640451	0.846149	2.572873e-01	0.022809
2483101.645059	0.703077	3.915802e-01	0.022809
2483151.649666	0.867353	8.182766e-02	0.022809
2483201.654274	0.703077	9.184543e-02	0.022809
2483251.658881	0.703077	6.642352e-02	0.022809
2483301.663489	0.938178	2.773517e-02	0.022809
2483351.668097	0.625794	3.263813e-02	0.022809
2483401.672704	0.864455	2.994964e-02	0.045619
2483451.677312	0.707820	2.805854e-02	0.045619
2483501.681919	0.722604	2.786278e-02	0.045619
2483551.686527	0.642116	2.195042e-02	0.022809
2483601.691134	0.474113	1.020397e-01	0.045619
2483651.695742	1.877196	1.719948e-02	0.022809
2483701.700350	1.809758	1.770695e-02	0.022809
2483751.704957	1.112694	1.083962e-01	0.022809
2483801.709565	1.117084	7.466883e-02	0.022809
2483851.714172	1.188161	2.540834e-02	0.022809
2483901.718780	1.254845	2.841708e-02	0.022809
2483951.723387	1.265876	3.223409e-02	0.022809
2484001.727995	1.469528	3.326606e-02	0.022809
2484051.732602	0.975267	2.788963e-02	0.022809
2484101.737210	0.965369	2.604521e-02	0.022809
2484151.741818	0.703077	6.966286e-02	0.022809
2484201.746425	0.703077	9.815662e-02	0.022809
2484251.751033	0.703077	1.660923e-01	0.022809
2484301.755640	0.703077	5.394625e-01	0.022809
2484351.760248	0.703077	4.322727e-01	0.022809
2484401.764855	0.092075	1.228897e+00	0.045619
2484451.769463	0.215062	5.327875e-02	0.022809
2484501.774071	0.000000	8.122339e-01	0.022809
2484551.778678	0.332258	2.022854e-02	0.045619
2484601.783286	1.507273	2.209064e-02	0.045619
2484651.787893	1.900802	6.622077e-02	0.045619
2484701.792501	1.726117	6.771721e-02	0.045619
2484751.797108	1.018349	9.146143e-02	0.045619
2484801.801716	0.745428	9.092089e-01	0.022809
2484851.806323	1.184751	1.398286e-02	0.045619
2484901.810931	0.544048	1.115782e-01	0.045619
2484951.815539	0.883235	1.109423e-01	0.045619
2485001.820146	0.000000	3.350071e-01	0.022809
2485051.824754	0.745428	1.930028e-01	0.022809
2485101.829361	0.745428	9.859791e-01	0.022809
2485151.833969	0.743580	1.935137e-01	0.045619
2485201.838576	0.000000	9.117556e-01	0.022809
2485251.843184	0.000000	9.343478e-01	0.022809
2485301.847792	0.745428	2.052056e+00	0.022809
2485351.852399	0.000000	1.472826e+00	0.022809
2485401.857007	0.000000	7.567635e-01	0.022809
2485451.861614	0.000000	5.676877e-01	0.022809
2485501.866222	0.000000	4.157109e-01	0.022809
2485551.870829	0.000000	1.521475e-01	0.022809
2485601.875437	0.000000	1.109831e-01	0.022809
2485651.880044	0.000000	2.064696e-01	0.022809
2485701.884652	0.974623	6.775248e-02	0.045619
2485751.889260	0.761457	7.213336e-01	0.045619
2485801.893867	0.000000	8.057008e-01	0.022809
2485851.898475	0.000000	1.335597e+01	0.022809
2485901.903082	0.000000	1.328783e+01	0.022809
2485951.907690	0.000000	1.482890e+00	0.022809
2486001.912297	0.170474	1.520676e-01	0.045619
2486051.916905	0.000000	1.444130e+02	0.022809
2486101.921513	0.703077	4.457401e-01	0.022809
2486151.926120	0.000000	4.100994e+00	0.022809
2486201.930728	0.000000	9.942606e-01	0.022809
2486251.935335	0.365983	3.434918e-01	0.045619
2486301.939943	0.000000	4.081712e+00	0.022809
2486351.944550	1.127460	8.892543e-02	0.045619
2486401.949158	1.001905	4.790257e-01	0.045619
2486451.953765	1.766948	5.107388e-02	0.022809
2486501.958373	1.986796	1.600888e-01	0.022809
2486551.962981	1.084104	1.224952e-01	0.022809
2486601.967588	1.476756	8.109882e-02	0.045619
2486651.972196	0.662865	5.580675e-02	0.045619
2486701.976803	0.000000	3.155969e-01	0.022809
2486751.981411	1.543540	3.571627e-02	0.045619
2486801.986018	2.713126	1.910871e-02	0.045619
2486851.990626	0.300968	2.170020e-02	0.045619
2486901.995234	1.611914	1.996657e-02	0.045619
2486951.999841	0.000000	3.999790e+00	0.022809
2487002.004449	0.000000	3.428136e-01	0.022809
2487052.009056	0.000000	1.200000e+03	0.022809
2487102.013664	0.812066	2.404455e-01	0.045619
2487152.018271	0.000000	9.217817e-01	0.022809
2487202.022879	0.000000	2.982940e+00	0.022809
2487252.027486	0.288402	5.999176e-02	0.045619
2487302.032094	1.406050	1.429117e-01	0.022809
2487352.036702	1.404899	3.533225e-01	0.022809
2487402.041309	1.402063	4.437653e-01	0.022809
2487452.045917	0.832735	4.878959e-02	0.045619
2487502.050524	1.535140	3.445685e-01	0.045619
2487552.055132	2.232279	5.455915e-02	0.045619
2487602.059739	0.000000	5.230980e-01	0.022809
2487652.064347	0.000000	6.019367e-01	0.022809
2487702.068955	0.315319	4.296296e-01	0.045619
2487752.073562	1.436852	1.729452e-02	0.045619
2487802.078170	1.189638	2.065682e-02	0.045619
2487852.082777	3.110662	1.823479e-02	0.045619
2487902.087385	1.225746	7.847620e-02	0.045619
2487952.091992	0.000000	1.304456e+02	0.022809
2488002.096600	1.342533	5.740693e-01	0.045619
2488052.101207	1.881137	1.996632e-01	0.022809
2488102.105815	1.755498	1.089861e-01	0.045619
2488152.110423	1.488504	4.122236e-01	0.045619
2488202.115030	0.000000	1.355979e+01	0.022809
2488252.119638	0.624933	9.168678e-02	0.022809
2488302.124245	1.881088	1.044607e-01	0.022809
2488352.128853	2.321152	1.963066e-01	0.022809
2488402.133460	2.936950	1.060695e-01	0.022809
2488452.138068	1.928163	7.447030e-02	0.045619
2488502.142676	1.768054	4.479997e-02	0.022809
2488552.147283	1.366020	4.446872e-02	0.045619
2488602.151891	3.632236	3.856636e-02	0.045619
2488652.156498	3.161888	2.456827e-01	0.045619
2488702.161106	1.137446	1.947702e+00	0.045619
2488752.165713	0.968451	7.423116e-01	0.022809
2488802.170321	0.745428	1.359053e+00	0.022809
2488852.174929	0.105566	7.093250e-02	0.045619
2488902.179536	0.000000	1.462588e+01	0.022809
2488952.184144	0.146799	4.261581e+00	0.045619
2489002.188751	0.000000	1.177769e+00	0.022809
2489052.193359	0.000000	1.762984e+00	0.022809
2489102.197966	0.000000	1.667138e+00	0.022809
2489152.202574	0.000000	5.448173e+00	0.022809
2489202.207181	1.230024	6.940903e-01	0.045619
2489252.211789	0.000000	5.666017e+01	0.022809
2489302.216397	2.188823	4.955320e-01	0.045619
2489352.221004	0.000000	5.402963e+00	0.022809
2489402.225612	0.000000	8.122165e-01	0.022809
2489452.230219	0.703077	2.294358e+00	0.022809
2489502.234827	0.000000	9.717965e+00	0.022809
2489552.239434	2.214818	3.769745e-03	0.045619
2489602.244042	0.703077	2.096287e-01	0.022809
2489652.248650	0.312236	9.696865e-02	0.045619
2489702.253257	0.238908	1.775581e-01	0.045619
2489752.257865	0.703077	1.296195e+00	0.022809
2489802.262472	1.359611	1.083644e-01	0.045619
2489852.267080	1.415172	3.416204e-02	0.045619
2489902.271687	1.096342	5.619254e+00	0.045619
2489952.276295	0.000000	4.853643e-01	0.022809
2490002.280902	0.745428	5.791756e-01	0.022809
2490052.285510	0.827709	1.593933e-01	0.045619
2490102.290118	1.137208	4.623033e-01	0.045619
2490152.294725	0.883276	2.366617e-01	0.045619
2490202.299333	3.461269	4.499426e-02	0.045619
2490252.303940	1.928336	1.772630e-01	0.045619
2490302.308548	2.676876	9.069710e-02	0.045619
2490352.313155	0.000000	3.831964e+01	0.022809
2490402.317763	1.137758	3.321177e-02	0.045619
2490452.322371	1.039858	7.195267e-01	0.022809
2490502.326978	0.000000	9.043107e+00	0.022809
2490552.331586	0.142739	6.729037e-02	0.045619
2490602.336193	0.904817	5.372446e-01	0.022809
2490652.340801	0.330141	1.439871e-01	0.045619
2490702.345408	0.000000	1.636094e-01	0.022809
2490752.350016	0.100661	1.241594e-01	0.045619
2490802.354623	0.000000	7.293164e+00	0.022809
2490852.359231	1.159640	1.794017e-01	0.045619
2490902.363839	0.321603	6.680172e-02	0.045619
2490952.368446	0.566876	3.130148e-02	0.045619
2491002.373054	0.000000	5.817633e-01	0.022809
2491052.377661	0.000000	1.881568e+00	0.022809
2491102.382269	0.284724	2.518657e-01	0.045619
2491152.386876	0.059715	4.193881e-01	0.045619
2491202.391484	0.607854	9.967486e-02	0.045619
2491252.396092	0.000000	1.987057e+01	0.022809
2491302.400699	0.000000	2.429116e-01	0.022809
2491352.405307	0.120713	7.125668e-02	0.045619
2491402.409914	0.870256	7.575282e-02	0.022809
2491452.414522	0.703077	2.575910e-01	0.022809
2491502.419129	0.862262	4.310049e-02	0.022809
2491552.423737	0.703077	2.246192e-01	0.022809
2491602.428344	0.332612	3.981027e-01	0.045619
2491652.432952	2.473759	2.901585e-02	0.045619
2491702.437560	1.565959	3.220937e-02	0.022809
2491752.442167	0.000000	7.703010e+00	0.022809
2491802.446775	0.918798	1.299480e-02	0.045619
2491852.451382	1.117448	1.506500e-02	0.045619
2491902.455990	1.456396	2.341263e-02	0.045619
2491952.460597	0.574504	9.792770e-02	0.045619
2492002.465205	2.475040	1.697964e-01	0.045619
2492052.469813	1.177203	3.114441e-01	0.022809
2492102.474420	3.528914	1.428342e-01	0.045619
2492152.479028	0.391802	7.281983e-01	0.045619
2492202.483635	2.132350	5.810676e-02	0.022809
2492252.488243	2.722485	2.407279e-02	0.022809
2492302.492850	1.597989	4.278183e-02	0.022809
2492352.497458	1.011300	2.123798e-01	0.022809
2492402.502065	0.587588	9.601588e-01	0.045619
2492452.506673	0.973055	9.338033e-02	0.045619
2492502.511281	1.097338	4.452877e-02	0.022809
2492552.515888	2.352694	2.249364e-02	0.022809
2492602.520496	1.197327	1.126977e-01	0.022809
2492652.525103	0.475796	1.004395e-01	0.045619
2492702.529711	1.421672	1.737796e-02	0.022809
2492752.534318	0.286395	6.137030e-02	0.045619
2492802.538926	2.378819	2.908817e-02	0.045619
2492852.543534	1.935502	1.918664e-01	0.045619
2492902.548141	1.022351	1.822190e-02	0.045619
2492952.552749	0.000000	7.728234e+00	0.022809
2493002.557356	2.552532	9.611093e-03	0.045619
2493052.561964	1.663415	3.942436e-01	0.045619
2493102.566571	2.280082	9.556687e-02	0.045619
2493152.571179	1.992886	6.131466e-01	0.045619
2493202.575786	1.731147	1.007916e-02	0.045619
2493252.580394	0.000000	8.453051e+00	0.022809
2493302.585002	1.422071	9.555283e-02	0.045619
2493352.589609	3.664216	7.506620e-03	0.022809
2493402.594217	0.851476	1.195150e-01	0.022809
2493452.598824	0.747625	1.127807e-01	0.045619
2493502.603432	1.680102	7.711910e-02	0.022809
2493552.608039	1.268505	8.249647e-03	0.022809
2493602.612647	0.241955	2.329253e-01	0.045619
2493652.617255	0.000000	1.431512e+00	0.022809
2493702.621862	0.779559	3.374369e-02	0.045619
2493752.626470	2.195204	2.630582e-02	0.045619
2493802.631077	0.000000	1.901511e+01	0.022809
2493852.635685	0.703077	6.804385e-01	0.022809
2493902.640292	0.703077	1.774090e-01	0.022809
2493952.644900	0.703077	1.020018e-01	0.022809
2494002.649507	0.703077	7.157790e-02	0.022809
2494052.654115	0.703077	5.513334e-02	0.022809
2494102.658723	0.000000	5.098978e-02	0.022809
2494152.663330	0.000000	6.474704e-02	0.022809
2494202.667938	0.000000	8.867079e-02	0.022809
2494252.672545	0.608221	1.696527e-02	0.045619
2494302.677153	0.788972	2.731477e-02	0.045619
2494352.681760	0.886452	5.298173e-02	0.045619
2494402.686368	1.234406	2.356113e-02	0.045619
2494452.690976	0.286405	2.365423e-02	0.045619
2494502.695583	0.262426	2.624074e-02	0.045619
2494552.700191	0.764641	2.946234e-02	0.045619
2494602.704798	0.984380	3.930621e-02	0.045619
2494652.709406	1.367704	4.628013e-02	0.045619
2494702.714013	0.968413	5.733783e-02	0.022809
2494752.718621	0.463757	7.727904e-02	0.022809
2494802.723228	1.583992	7.629864e-02	0.045619
2494852.727836	1.059641	2.171074e-01	0.022809
2494902.732444	3.439913	2.124900e-02	0.022809
2494952.737051	1.532729	1.745783e-01	0.045619
2495002.741659	1.158762	2.848859e-02	0.045619
2495052.746266	1.801812	2.409136e-01	0.045619
2495102.750874	0.593220	2.562739e-02	0.045619
2495152.755481	0.438006	4.465025e-02	0.022809
2495202.760089	0.356237	2.060443e-01	0.045619
2495252.764697	1.213934	5.918191e-02	0.022809
2495302.769304	0.493050	9.247183e-02	0.022809
2495352.773912	0.892171	8.505073e-02	0.045619
2495402.778519	0.745428	6.585633e-01	0.022809
2495452.783127	0.745428	3.775588e-01	0.022809
2495502.787734	0.000000	1.461229e+00	0.022809
2495552.792342	0.000000	6.590635e-01	0.022809
2495602.796949	0.000000	6.677985e+00	0.022809
2495652.801557	0.000000	2.499189e+00	0.022809
2495702.806165	0.000000	6.643913e+00	0.022809
2495752.810772	1.750265	1.187166e-02	0.045619
2495802.815380	0.000000	1.109531e+00	0.022809
2495852.819987	0.000000	6.376201e-01	0.022809
2495902.824595	0.000000	5.947837e-01	0.022809
2495952.829202	0.000000	9.859666e-01	0.022809
2496002.833810	1.806563	4.518354e-03	0.045619
2496052.838418	0.000000	2.480150e+00	0.022809
2496102.843025	1.562989	6.264036e-01	0.045619
2496152.847633	0.387353	2.359993e-01	0.045619
2496202.852240	0.745428	1.217997e+00	0.022809
2496252.856848	0.703077	2.048883e+00	0.022809
2496302.861455	0.429569	1.576075e-01	0.045619
2496352.866063	1.698013	4.783429e-02	0.022809
2496402.870670	0.000000	1.746555e+00	0.022809
2496452.875278	1.569172	3.517776e-02	0.022809
2496502.879886	0.239702	4.689700e-02	0.045619
2496552.884493	0.239486	5.943993e-02	0.045619
2496602.889101	2.423699	8.564642e-02	0.045619
2496652.893708	1.633597	1.177698e-01	0.022809
2496702.898316	2.145261	2.864076e-01	0.045619
2496752.902923	3.587925	3.960524e-03	0.045619
2496802.907531	2.702656	5.605056e-02	0.045619
2496852.912139	1.287581	5.631478e-02	0.045619
2496902.916746	0.606478	2.028142e+00	0.045619
2496952.921354	1.403560	9.749864e-02	0.045619
2497002.925961	9.262351	1.331963e-02	0.045619
2497052.930569	2.244554	7.963141e-01	0.045619
2497102.935176	1.436443	2.723261e-01	0.045619
2497152.939784	7.145254	1.639479e-02	0.045619
2497202.944391	1.173213	1.250725e-01	0.045619
2497252.948999	6.165799	1.604169e-02	0.045619
2497302.953607	5.624001	1.721779e-02	0.045619
2497352.958214	4.484361	1.706869e-02	0.045619
2497402.962822	3.616717	1.617331e-02	0.045619
2497452.967429	4.632851	2.371389e-02	0.045619
2497502.972037	2.434358	3.361607e-02	0.045619
2497552.976644	5.026514	3.856391e-02	0.022809
2497602.981252	2.112530	4.724060e-02	0.022809
2497652.985860	5.678973	5.714671e-02	0.022809
2497702.990467	5.973082	6.704268e-02	0.022809
2497752.995075	5.691866	5.240061e-02	0.022809
2497802.999682	6.809978	6.060616e-02	0.022809
2497853.004290	8.372554	3.647370e-02	0.022809
2497903.008897	3.908403	1.318552e-01	0.045619
2497953.013505	8.591542	2.684644e-02	0.022809
2498003.018112	2.677921	2.575007e-02	0.022809
2498053.022720	3.031690	2.170071e-02	0.022809
2498103.027328	0.000000	4.391164e+02	0.022809
2498153.031935	5.403067	1.886887e-02	0.022809
2498203.036543	4.636352	1.769816e-02	0.045619
2498253.041150	1.520196	2.573132e-01	0.045619
2498303.045758	7.182510	1.540346e-02	0.045619
2498353.050365	7.225099	1.400151e-02	0.045619
