location	LR	alpha	D
1850800.000000	12.777905	6.707657e-03	0.016975
1850850.004899	2.013322	1.333406e-01	0.033950
1850900.009798	5.789408	3.560934e-02	0.016975
1850950.014697	7.340186	2.234698e-02	0.016975
1851000.019596	8.298457	5.845162e-03	0.016975
1851050.024495	10.216964	7.797394e-03	0.016975
1851100.029394	7.373745	8.059258e-03	0.016975
1851150.034293	9.133585	1.854812e-02	0.016975
1851200.039192	8.101279	2.010182e-02	0.016975
1851250.044091	13.195818	6.655738e-03	0.016975
1851300.048990	12.022883	6.845601e-03	0.016975
1851350.053889	13.119494	7.046613e-03	0.016975
1851400.058788	11.254486	1.432081e-02	0.016975
1851450.063687	9.883611	1.481598e-02	0.016975
1851500.068586	10.357711	1.626167e-02	0.016975
1851550.073485	11.564018	1.210988e-02	0.016975
1851600.078384	9.762662	1.275345e-02	0.016975
1851650.083283	2.329375	3.910755e-01	0.033950
1851700.088182	5.355763	1.333202e-02	0.016975
1851750.093081	14.516706	1.430433e-02	0.016975
1851800.097980	7.669223	1.612691e-02	0.016975
1851850.102879	3.772448	6.482880e-02	0.033950
1851900.107778	3.110610	1.163830e-01	0.033950
1851950.112677	6.348817	4.168297e-02	0.016975
1852000.117576	9.674738	1.229656e-02	0.016975
1852050.122476	11.546740	1.221843e-02	0.016975
1852100.127375	3.745037	9.221732e-02	0.033950
1852150.132274	11.368893	1.191502e-02	0.016975
1852200.137173	13.237212	8.371131e-03	0.016975
1852250.142072	14.366787	7.562239e-03	0.016975
1852300.146971	3.215248	3.634744e-02	0.016975
1852350.151870	7.365046	5.450784e-02	0.033950
1852400.156769	2.066373	2.938063e-01	0.033950
1852450.161668	2.151670	1.066380e-01	0.016975
1852500.166567	12.996169	7.058129e-03	0.016975
1852550.171466	9.204276	5.489911e-03	0.016975
1852600.176365	1.895133	1.929994e-01	0.033950
1852650.181264	8.200932	7.527371e-03	0.033950
1852700.186163	5.303983	7.197044e-03	0.033950
1852750.191062	5.940364	3.759505e-02	0.033950
1852800.195961	7.907528	6.879958e-03	0.033950
1852850.200860	6.682730	1.012486e-02	0.033950
1852900.205759	3.784273	6.787552e-02	0.033950
1852950.210658	8.436795	1.475632e-02	0.033950
1853000.215557	7.735337	2.108165e-02	0.033950
1853050.220456	2.683203	9.358882e-02	0.033950
1853100.225355	1.515312	1.704054e+00	0.033950
1853150.230254	4.500493	6.443633e-02	0.033950
1853200.235153	2.627784	4.574017e-01	0.033950
1853250.240052	1.531655	2.388533e-01	0.033950
1853300.244951	5.043507	2.568246e-02	0.033950
1853350.249850	3.995562	1.319769e-02	0.033950
1853400.254749	6.163037	9.499269e-03	0.033950
1853450.259648	4.743250	9.137567e-03	0.033950
1853500.264547	7.794903	5.090646e-03	0.033950
1853550.269446	10.047180	4.834285e-03	0.033950
1853600.274345	10.009686	4.716471e-03	0.033950
1853650.279244	10.003366	4.657879e-03	0.033950
1853700.284143	10.628804	4.533920e-03	0.033950
1853750.289042	9.996690	4.453864e-03	0.033950
1853800.293941	6.776821	4.372708e-03	0.033950
1853850.298840	8.276833	2.800662e-03	0.033950
1853900.303739	12.843257	2.707155e-03	0.033950
1853950.308638	16.554241	2.679541e-03	0.033950
1854000.313537	17.937278	2.600646e-03	0.033950
1854050.318436	17.249961	2.526179e-03	0.033950
1854100.323335	17.982678	2.466033e-03	0.033950
1854150.328234	20.666257	2.408470e-03	0.033950
1854200.333133	20.878071	2.387450e-03	0.033950
1854250.338032	20.329779	2.429921e-03	0.033950
1854300.342931	20.026539	2.588463e-03	0.033950
1854350.347830	19.812780	2.718071e-03	0.033950
1854400.352729	19.111163	2.863376e-03	0.033950
1854450.357628	17.770195	3.049149e-03	0.033950
1854500.362527	15.890726	3.188405e-03	0.033950
1854550.367427	15.477543	2.092184e-03	0.033950
1854600.372326	16.769692	2.110585e-03	0.033950
1854650.377225	16.343266	1.899749e-03	0.033950
1854700.382124	11.602407	2.611665e-03	0.033950
1854750.387023	0.683725	3.377539e-01	0.033950
1854800.391922	2.487807	2.800528e-02	0.033950
1854850.396821	0.327404	3.418736e+00	0.033950
1854900.401720	0.479277	4.030365e-01	0.033950
1854950.406619	2.876591	1.372359e-02	0.033950
1855000.411518	0.625230	1.591269e-01	0.033950
1855050.416417	4.309934	1.987550e-03	0.033950
1855100.421316	0.870879	1.194965e-01	0.033950
1855150.426215	3.549531	2.021028e-03	0.033950
1855200.431114	4.245577	2.727005e-03	0.033950
1855250.436013	0.637594	1.891670e-01	0.033950
1855300.440912	0.533264	2.632105e+00	0.016975
1855350.445811	1.403040	5.838226e-01	0.033950
1855400.450710	4.445888	2.115077e-03	0.033950
1855450.455609	9.635431	2.128587e-03	0.033950
1855500.460508	9.329235	2.171341e-03	0.033950
1855550.465407	2.169462	1.699588e-03	0.033950
1855600.470306	8.821059	1.643491e-03	0.033950
1855650.475205	5.475975	1.315137e-03	0.033950
1855700.480104	1.544226	1.076425e-01	0.033950
1855750.485003	1.455532	3.195868e-02	0.033950
1855800.489902	1.074955	5.108577e-01	0.016975
1855850.494801	1.261920	5.852175e-01	0.033950
1855900.499700	1.455526	8.070185e-01	0.033950
1855950.504599	0.674243	3.858113e+00	0.033950
1856000.509498	2.250851	2.681508e-02	0.033950
1856050.514397	2.085225	2.051786e-01	0.033950
1856100.519296	4.853933	2.332449e-02	0.033950
1856150.524195	1.345161	4.214105e-01	0.033950
1856200.529094	0.798752	7.971882e-02	0.033950
1856250.533993	0.832376	2.072730e+00	0.033950
1856300.538892	10.473606	5.746506e-03	0.033950
1856350.543791	10.045568	5.275784e-03	0.033950
1856400.548690	0.876616	1.355186e-01	0.033950
1856450.553589	1.473171	7.297212e-02	0.033950
1856500.558488	0.448460	3.121626e-01	0.033950
1856550.563387	0.643617	4.218868e-02	0.033950
1856600.568286	1.310689	3.120650e+00	0.033950
1856650.573185	0.000000	2.623992e+00	0.016975
1856700.578084	1.752514	8.251852e-02	0.033950
1856750.582983	3.294592	8.755395e-03	0.033950
1856800.587882	4.825127	1.968543e-02	0.033950
1856850.592781	1.328127	1.587453e-01	0.033950
1856900.597680	1.148661	4.713319e-02	0.033950
1856950.602579	4.037896	7.616134e-03	0.033950
1857000.607479	1.651315	8.356113e-02	0.033950
1857050.612378	4.907401	2.001797e-03	0.033950
1857100.617277	0.953881	2.056370e-01	0.033950
1857150.622176	0.879717	2.622032e-01	0.033950
1857200.627075	1.235962	6.395666e-02	0.016975
1857250.631974	0.923074	6.395498e-02	0.016975
1857300.636873	1.025625	5.049721e-02	0.016975
1857350.641772	1.311027	4.022011e-02	0.016975
1857400.646671	0.929955	3.754145e-02	0.016975
1857450.651570	0.891522	9.526446e-03	0.033950
1857500.656469	1.439225	1.543719e-02	0.033950
1857550.661368	2.304484	2.266980e-02	0.033950
1857600.666267	2.943556	2.041976e-02	0.033950
1857650.671166	2.709865	1.956536e-02	0.033950
1857700.676065	3.750351	1.385950e-03	0.033950
1857750.680964	5.362794	3.415699e-02	0.033950
1857800.685863	1.780558	4.540051e-02	0.033950
1857850.690762	5.420332	1.347662e-03	0.033950
1857900.695661	5.748316	1.418725e-03	0.033950
1857950.700560	2.557130	9.426591e-02	0.033950
1858000.705459	2.075178	8.935579e-02	0.016975
1858050.710358	3.288280	5.573887e-02	0.016975
1858100.715257	5.005876	1.103230e-02	0.016975
1858150.720156	2.996063	7.932320e-02	0.016975
1858200.725055	3.173648	6.291778e-02	0.016975
1858250.729954	4.483414	3.067941e-02	0.033950
1858300.734853	1.114923	5.921496e-01	0.033950
1858350.739752	3.520918	9.318650e-03	0.016975
1858400.744651	2.987823	8.647126e-03	0.016975
1858450.749550	3.030947	2.722634e-02	0.016975
1858500.754449	3.216431	2.445214e-02	0.016975
1858550.759348	3.295952	2.219101e-02	0.016975
1858600.764247	3.332360	2.031267e-02	0.016975
1858650.769146	3.350624	1.872749e-02	0.016975
1858700.774045	3.360591	1.737181e-02	0.016975
1858750.778944	3.366423	1.619916e-02	0.016975
1858800.783843	3.370050	1.517481e-02	0.016975
1858850.788742	3.372418	1.427231e-02	0.016975
1858900.793641	3.374029	1.347113e-02	0.016975
1858950.798540	3.375165	1.275512e-02	0.016975
1859000.803439	3.934212	6.103154e-03	0.016975
1859050.808338	4.232304	5.931221e-03	0.016975
1859100.813237	3.920021	6.067307e-03	0.016975
1859150.818136	3.909425	1.051877e-02	0.016975
1859200.823035	3.278282	6.794336e-03	0.016975
1859250.827934	3.288311	6.992304e-03	0.016975
1859300.832833	3.561752	6.972011e-03	0.016975
1859350.837732	3.328480	7.424996e-03	0.016975
1859400.842631	4.683287	7.662065e-03	0.016975
1859450.847530	4.682375	7.914769e-03	0.016975
1859500.852430	5.259029	8.049086e-03	0.016975
1859550.857329	5.174865	7.878448e-03	0.016975
1859600.862228	3.751653	7.543079e-03	0.016975
1859650.867127	3.523791	7.313206e-03	0.016975
1859700.872026	3.477853	7.096929e-03	0.016975
1859750.876925	2.505008	6.977241e-03	0.016975
1859800.881824	2.345334	9.425676e-03	0.016975
1859850.886723	2.319384	9.811029e-03	0.016975
1859900.891622	2.054270	1.125589e-02	0.016975
1859950.896521	2.245936	1.068468e-02	0.016975
1860000.901420	1.968648	1.242109e-02	0.016975
1860050.906319	2.184213	1.157080e-02	0.016975
1860100.911218	2.007661	1.295772e-02	0.016975
1860150.916117	2.148010	1.369732e-02	0.016975
1860200.921016	2.265741	1.527013e-02	0.016975
1860250.925915	2.166173	1.675804e-02	0.016975
1860300.930814	2.511996	1.524644e-02	0.016975
1860350.935713	1.916624	1.782891e-02	0.016975
1860400.940612	3.735793	1.782903e-02	0.016975
1860450.945511	0.643915	2.325335e-02	0.016975
1860500.950410	3.771329	2.294238e-02	0.016975
1860550.955309	2.117904	1.965773e-01	0.033950
1860600.960208	3.926404	2.463865e-02	0.016975
1860650.965107	1.793741	2.745777e-02	0.016975
1860700.970006	2.628387	3.737967e-02	0.033950
1860750.974905	2.453392	3.647696e-02	0.033950
1860800.979804	2.608801	5.429367e-02	0.016975
1860850.984703	2.200303	1.034346e-01	0.016975
1860900.989602	1.663494	1.817895e-01	0.016975
1860950.994501	2.673312	8.758773e-02	0.016975
1861000.999400	2.097952	1.481492e-01	0.016975
1861051.004299	3.177747	4.768612e-02	0.033950
1861101.009198	2.118749	7.842666e-02	0.033950
1861151.014097	0.724132	3.166548e-02	0.033950
1861201.018996	1.458967	3.811687e-02	0.033950
1861251.023895	2.137416	3.519309e-02	0.033950
1861301.028794	2.888867	1.405105e-02	0.033950
1861351.033693	2.828926	1.339236e-02	0.033950
1861401.038592	1.356763	1.253969e-02	0.033950
1861451.043491	1.284965	1.103646e-02	0.033950
1861501.048390	4.372835	1.112091e-02	0.033950
1861551.053289	2.000968	4.538391e-02	0.033950
1861601.058188	0.299069	9.672882e-02	0.033950
1861651.063087	1.936510	4.338165e-01	0.016975
1861701.067986	2.906004	3.903794e-03	0.016975
1861751.072885	2.474574	1.069449e-02	0.033950
1861801.077784	1.681374	3.055051e-03	0.016975
1861851.082683	1.747409	2.467571e-03	0.016975
1861901.087582	1.431156	2.691844e-03	0.016975
1861951.092482	2.135523	2.506315e-03	0.016975
1862001.097381	3.515657	2.876941e-03	0.033950
1862051.102280	5.354253	2.842860e-03	0.033950
1862101.107179	6.398332	2.818296e-03	0.033950
1862151.112078	7.679633	2.885232e-03	0.033950
1862201.116977	7.932383	2.850955e-03	0.033950
1862251.121876	0.831634	5.663632e-02	0.033950
1862301.126775	10.279449	2.784788e-03	0.033950
1862351.131674	12.481452	2.753639e-03	0.033950
1862401.136573	3.773013	3.120235e-03	0.033950
1862451.141472	0.790286	7.480923e-01	0.033950
1862501.146371	1.430655	2.683513e-01	0.033950
1862551.151270	5.267496	5.213203e-03	0.033950
1862601.156169	1.394883	8.324305e-02	0.033950
1862651.161068	1.090627	4.758935e+00	0.033950
1862701.165967	6.792689	5.786383e-03	0.033950
1862751.170866	6.326022	5.885733e-03	0.033950
1862801.175765	4.192848	6.033716e-03	0.033950
1862851.180664	4.391527	6.119892e-03	0.033950
1862901.185563	0.403420	2.388624e+00	0.033950
1862951.190462	1.367914	7.805943e-02	0.033950
1863001.195361	2.625090	1.831514e-02	0.033950
1863051.200260	4.304414	1.190712e-02	0.033950
1863101.205159	1.285305	2.671386e-02	0.033950
1863151.210058	0.381655	1.134323e-01	0.033950
1863201.214957	5.687721	7.624929e-03	0.033950
1863251.219856	2.963780	5.654514e-02	0.033950
1863301.224755	0.406237	1.928493e-01	0.016975
1863351.229654	1.724179	1.064110e-01	0.033950
1863401.234553	5.857274	8.640770e-03	0.033950
1863451.239452	4.478747	9.057857e-03	0.033950
1863501.244351	2.453966	7.196159e-02	0.033950
1863551.249250	1.350448	3.600910e-02	0.033950
1863601.254149	2.857622	2.467846e-02	0.033950
1863651.259048	2.092365	7.856440e-02	0.033950
1863701.263947	0.711648	1.240657e-01	0.033950
1863751.268846	1.638916	3.245602e-02	0.016975
1863801.273745	1.219538	1.513742e-01	0.016975
1863851.278644	3.930811	1.321992e-02	0.016975
1863901.283543	2.433342	7.370727e-02	0.016975
1863951.288442	3.613460	6.172958e-02	0.033950
1864001.293341	4.928449	1.531993e-02	0.016975
1864051.298240	1.126041	1.431224e+00	0.033950
1864101.303139	4.512606	1.711100e-02	0.033950
1864151.308038	2.014993	1.924027e-02	0.033950
1864201.312937	2.618826	5.121356e-02	0.033950
1864251.317836	9.298102	2.267069e-02	0.033950
1864301.322735	4.629130	2.106457e-02	0.016975
1864351.327634	3.339806	2.832377e-02	0.033950
1864401.332533	3.711949	3.180218e-02	0.016975
1864451.337433	3.562779	2.686593e-02	0.016975
1864501.342332	4.150322	4.534159e-02	0.016975
1864551.347231	4.251015	5.055885e-02	0.016975
1864601.352130	4.684590	6.910534e-02	0.016975
1864651.357029	4.788268	9.705360e-02	0.016975
1864701.361928	3.008927	7.115830e-02	0.016975
1864751.366827	3.808584	5.590935e-02	0.016975
1864801.371726	3.069988	8.369850e-02	0.016975
1864851.376625	1.236456	6.443514e-01	0.033950
1864901.381524	1.688234	1.880428e+00	0.033950
1864951.386423	4.419464	2.261533e-02	0.016975
1865001.391322	3.511411	2.175455e-02	0.033950
1865051.396221	3.592846	2.332832e-02	0.033950
1865101.401120	1.943322	1.022156e-01	0.033950
1865151.406019	7.633546	1.733087e-02	0.033950
1865201.410918	5.597378	1.614182e-02	0.033950
