location	LR	alpha
1000017.000000	0.062196	1.517645e+02
1000067.001650	0.000690	3.292086e+00
1000117.003300	0.190896	8.621185e-02
1000167.004951	0.000319	5.574428e-01
1000217.006601	0.121977	1.419246e-01
1000267.008251	0.000690	2.745984e-01
1000317.009901	0.000000	1.200000e+03
1000367.011552	0.001131	1.343867e+00
1000417.013202	0.000690	1.659715e+00
1000467.014852	0.033796	1.289965e-01
1000517.016502	0.005487	3.955594e-02
1000567.018153	0.002562	2.426213e-02
1000617.019803	0.004973	1.592336e-02
1000667.021453	0.000822	2.480867e-02
1000717.023103	0.000254	5.721738e-02
1000767.024754	0.000964	2.549194e-01
1000817.026404	0.120603	2.040484e-01
1000867.028054	0.062196	7.483257e-01
1000917.029704	0.000000	2.009951e+00
1000967.031355	0.129068	3.636947e+01
1001017.033005	0.000690	1.621920e+00
1001067.034655	2.310884	2.159955e-02
1001117.036305	2.354165	6.846225e-03
1001167.037956	1.230433	5.501304e-03
1001217.039606	0.416740	5.322896e-03
1001267.041256	0.000249	2.599796e-02
1001317.042906	0.000111	4.583328e-02
1001367.044557	0.000440	9.052762e-02
1001417.046207	0.000000	3.035061e+00
1001467.047857	0.000016	1.183845e-01
1001517.049507	0.000414	5.281108e-02
1001567.051158	0.000690	1.837228e-01
1001617.052808	0.000000	5.845652e+00
1001667.054458	0.000000	1.085535e+00
1001717.056108	0.188417	3.523278e-02
1001767.057759	2.212059	5.399550e-03
1001817.059409	2.158690	1.259123e-02
1001867.061059	1.414309	6.109670e-02
1001917.062709	0.000690	4.753325e-01
1001967.064360	0.001792	2.520848e-01
1002017.066010	0.000918	3.886192e-01
1002067.067660	1.092224	1.924089e-02
1002117.069310	0.219264	1.349133e-02
1002167.070961	0.313349	1.022881e-03
1002217.072611	1.073648	9.352868e-04
1002267.074261	1.356423	8.925624e-04
1002317.075911	1.118286	8.747421e-04
1002367.077562	0.000000	2.732089e-01
1002417.079212	0.000000	1.973940e+00
1002467.080862	0.000595	1.415944e-01
1002517.082512	0.000000	1.082787e+00
1002567.084163	0.048808	9.895722e-04
1002617.085813	0.098735	2.259528e-02
1002667.087463	0.147370	3.423690e-02
1002717.089113	0.000979	5.976921e-01
1002767.090764	0.000000	2.933439e+00
1002817.092414	0.013340	1.037886e+00
1002867.094064	2.315981	3.314476e-02
1002917.095714	3.209526	2.790758e-03
1002967.097365	5.742800	2.145451e-03
1003017.099015	8.565470	2.143603e-03
1003067.100665	2.827602	5.032738e-02
1003117.102315	0.000690	2.991448e+00
1003167.103966	9.022595	2.830650e-03
1003217.105616	5.831980	3.795961e-03
1003267.107266	2.980146	5.482300e-03
1003317.108916	2.656418	7.165455e-03
1003367.110567	0.441366	5.613815e-01
1003417.112217	0.895310	2.406276e-02
1003467.113867	0.062196	1.332821e+01
1003517.115517	2.090443	1.674357e-02
1003567.117168	2.630950	7.768747e-03
1003617.118818	3.007240	7.787726e-03
1003667.120468	1.547662	1.457651e-02
1003717.122118	1.443562	1.615587e-02
1003767.123769	2.848178	4.490321e-03
1003817.125419	1.774163	4.721289e-03
1003867.127069	0.000726	1.544845e+00
1003917.128719	1.306700	3.447526e-02
1003967.130370	0.000000	8.070141e-01
1004017.132020	0.000000	7.562402e-01
1004067.133670	0.000552	5.485861e-01
1004117.135320	0.000689	4.622530e-01
1004167.136971	0.114037	2.428971e-02
1004217.138621	0.000000	1.053907e+01
1004267.140271	0.000783	1.676207e-01
1004317.141921	0.000000	2.048453e+00
1004367.143572	0.001099	7.938924e-01
1004417.145222	2.465029	4.819831e-02
1004467.146872	0.712961	6.338891e-02
1004517.148522	0.362764	1.810751e-02
1004567.150173	0.004376	2.270821e-01
1004617.151823	0.665483	8.391154e-02
1004667.153473	0.000000	4.631702e-01
1004717.155123	0.000719	7.881795e-01
1004767.156774	0.000731	2.197990e-01
1004817.158424	0.000000	1.310269e+00
1004867.160074	0.000000	5.555365e+00
1004917.161724	1.385909	2.072386e-02
1004967.163375	0.224583	3.349106e-02
1005017.165025	0.000690	2.830428e+00
1005067.166675	0.000000	1.756100e+00
1005117.168325	0.000000	2.779816e-01
1005167.169975	0.000000	9.353064e-01
1005217.171626	1.024331	2.667768e-03
1005267.173276	1.417137	2.451199e-03
1005317.174926	0.000690	7.898387e-01
1005367.176576	1.528813	2.097607e-03
1005417.178227	0.514846	2.929234e-03
1005467.179877	4.116700	3.955061e-03
1005517.181527	1.780234	3.563687e-03
1005567.183177	5.414887	2.284134e-03
1005617.184828	5.800242	2.606845e-03
1005667.186478	2.126804	5.592543e-03
1005717.188128	4.721149	4.518388e-03
1005767.189778	0.271896	3.844154e-02
1005817.191429	0.001216	1.715156e+00
1005867.193079	0.000690	2.086104e-01
1005917.194729	1.501797	3.040937e-02
1005967.196379	0.000690	1.679157e+01
1006017.198030	0.881803	6.191712e-02
1006067.199680	0.001131	1.501544e+00
1006117.201330	0.931586	1.259696e-01
1006167.202980	0.000016	2.005686e-01
1006217.204631	0.000690	1.495724e+00
1006267.206281	0.201688	1.988359e-01
1006317.207931	0.000000	9.934345e+00
1006367.209581	0.000000	2.303448e+00
1006417.211232	0.653332	1.091610e-01
1006467.212882	0.000690	2.718747e+00
1006517.214532	0.008387	4.306557e-02
1006567.216182	1.921957	1.132520e-02
1006617.217833	2.629706	5.639721e-03
1006667.219483	4.065501	4.189444e-03
1006717.221133	0.000979	2.490902e+00
1006767.222783	3.890366	3.521882e-03
1006817.224434	3.386080	3.073998e-03
1006867.226084	2.822399	3.197944e-03
1006917.227734	1.406258	4.213045e-03
1006967.229384	0.702159	4.025453e-02
1007017.231035	0.610177	2.707558e-02
1007067.232685	0.942718	9.037071e-03
1007117.234335	0.648307	1.934077e-02
1007167.235985	0.212326	6.101417e-01
1007217.237636	0.001108	1.272984e-01
1007267.239286	0.017599	5.707718e-01
1007317.240936	0.000000	1.580895e+01
1007367.242586	0.720507	2.127727e-02
1007417.244237	0.310334	1.270562e-01
1007467.245887	0.644217	1.402531e-02
1007517.247537	0.915639	6.206962e-03
1007567.249187	0.941666	4.295120e-03
1007617.250838	0.779663	3.582655e-03
1007667.252488	0.361092	3.418783e-03
1007717.254138	0.000000	1.145630e-01
1007767.255788	0.000000	2.192013e-01
1007817.257439	0.000000	2.530278e+00
1007867.259089	0.000000	8.140611e-01
1007917.260739	0.000000	3.209191e+00
1007967.262389	0.157402	8.757940e-02
1008017.264040	0.002901	1.069662e-01
1008067.265690	0.887255	1.552996e-01
1008117.267340	0.027933	4.755453e-02
1008167.268990	0.000464	1.043929e-01
1008217.270641	0.000000	1.645279e+01
1008267.272291	0.166919	2.436008e-02
1008317.273941	0.323801	7.162408e-03
1008367.275591	0.285968	8.023612e-02
1008417.277242	0.628763	2.149925e-02
1008467.278892	1.626189	5.627663e-02
1008517.280542	0.921618	1.605838e-02
1008567.282192	1.092308	6.066204e-03
1008617.283843	1.570527	2.821268e-03
1008667.285493	2.659527	1.998541e-03
1008717.287143	3.528815	1.750291e-03
1008767.288793	3.974882	1.678965e-03
1008817.290444	3.978638	1.732493e-03
1008867.292094	3.573544	2.002447e-03
1008917.293744	3.066927	2.975373e-03
1008967.295394	2.536573	4.644590e-03
1009017.297045	1.127438	5.025369e-02
1009067.298695	0.776145	1.659648e-02
1009117.300345	0.339912	4.299815e-02
1009167.301995	0.315366	1.396831e-02
1009217.303646	2.480091	9.858020e-03
1009267.305296	0.071891	9.215413e-01
1009317.306946	0.226661	3.257844e-02
1009367.308596	0.294007	3.122385e-03
1009417.310247	0.837876	3.225876e-03
1009467.311897	0.000000	3.253706e+00
1009517.313547	0.000000	8.767796e-01
1009567.315197	0.000000	9.744062e-01
1009617.316848	0.856883	2.635435e-01
1009667.318498	0.000000	3.767688e+01
1009717.320148	0.129068	6.788419e-01
1009767.321798	0.369387	1.685086e-02
1009817.323449	0.151491	1.194791e-02
1009867.325099	0.752875	1.701585e-02
1009917.326749	0.031515	1.986901e-01
1009967.328399	2.195120	4.593484e-02
1010017.330050	0.081516	2.617018e-01
1010067.331700	0.338193	1.395922e-01
1010117.333350	0.784683	9.446296e-02
1010167.335000	0.203786	9.090234e-02
1010217.336650	0.000687	4.307374e-01
1010267.338301	0.305375	2.961678e-02
1010317.339951	0.502688	3.669252e-02
1010367.341601	0.125166	7.027725e-02
1010417.343251	0.000000	1.634154e+00
1010467.344902	0.923490	8.770155e-03
1010517.346552	0.001094	1.026078e+00
1010567.348202	1.165493	3.426988e-03
1010617.349852	2.866441	2.258789e-03
1010667.351503	3.565026	1.939779e-03
1010717.353153	3.853307	1.845346e-03
1010767.354803	3.523069	2.116790e-03
1010817.356453	3.684085	1.709373e-02
1010867.358104	2.393757	6.179440e-03
1010917.359754	2.480571	1.672387e-03
1010967.361404	1.937859	1.522438e-03
1011017.363054	0.076778	1.675292e-03
1011067.364705	0.000690	5.190529e+00
1011117.366355	0.702384	3.436048e-02
1011167.368005	0.001131	1.976059e+00
1011217.369655	0.854234	2.667948e-02
1011267.371306	0.361733	1.527264e-02
1011317.372956	0.000710	3.086048e-01
1011367.374606	0.037304	4.676903e-02
1011417.376256	0.010212	1.041845e-01
1011467.377907	2.100343	2.909045e-02
1011517.379557	0.000000	8.698445e+00
1011567.381207	0.000979	1.879007e+00
1011617.382857	0.541678	5.114282e-02
1011667.384508	0.000000	1.392840e+00
1011717.386158	0.380294	9.437041e-02
1011767.387808	1.005485	1.260707e-01
1011817.389458	0.000000	1.878094e+00
1011867.391109	0.223409	7.495038e-03
1011917.392759	0.135358	1.262496e-02
1011967.394409	0.236519	7.319921e-02
1012017.396059	0.782085	1.852095e-01
1012067.397710	0.214381	5.280622e-01
1012117.399360	1.914862	7.175224e-03
1012167.401010	1.965747	4.471369e-03
1012217.402660	1.632584	4.259333e-03
1012267.404311	0.850177	5.340205e-03
1012317.405961	0.557899	1.498457e-02
1012367.407611	0.000000	2.943983e+01
1012417.409261	0.000000	6.518459e-01
1012467.410912	0.000000	8.505141e+00
1012517.412562	0.000000	7.559352e+00
1012567.414212	0.026055	8.530485e-01
1012617.415862	0.001131	1.046097e+00
1012667.417513	0.001131	1.046793e+00
1012717.419163	0.078039	1.248590e-01
1012767.420813	0.000000	2.620553e+00
1012817.422463	0.000000	2.840483e+01
1012867.424114	0.000000	4.950264e+00
1012917.425764	0.001127	4.210612e-01
1012967.427414	0.000000	8.406811e+00
1013017.429064	0.000690	2.307464e+00
1013067.430715	0.042634	5.208303e-01
1013117.432365	1.787300	1.172834e-02
1013167.434015	0.446266	1.131854e+00
1013217.435665	0.032087	3.132800e-02
1013267.437316	0.000000	5.120040e-01
1013317.438966	0.001131	1.108363e+00
1013367.440616	0.000000	1.038118e+00
1013417.442266	0.028142	1.075161e-01
1013467.443917	0.000000	1.862222e+00
1013517.445567	1.366862	1.393133e-02
1013567.447217	0.150724	6.376636e-02
1013617.448867	0.856423	8.792192e-02
1013667.450518	0.000000	4.706840e+00
1013717.452168	0.000000	2.528862e-01
1013767.453818	0.072478	2.430992e-02
1013817.455468	0.100130	7.804889e-01
1013867.457119	0.086835	1.495165e-01
1013917.458769	0.000000	8.226117e+00
1013967.460419	0.000000	2.606322e+01
1014017.462069	0.062215	9.221641e-02
1014067.463720	0.001131	1.759586e+00
1014117.465370	0.027680	1.150581e+00
1014167.467020	0.001131	5.788450e+00
