location	LR	alpha
2476329.000000	3.168960	4.749583e+02
2476379.011778	2.818183	6.357783e+02
2476429.023556	1.824815	9.749067e+06
2476479.035333	0.597695	1.188444e+03
2476529.047111	0.000000	3.035155e+05
2476579.058889	0.000000	1.200000e+09
2476629.070667	0.000000	1.200000e+09
2476679.082445	0.731252	6.549145e+02
2476729.094223	1.920038	5.797270e+02
2476779.106000	2.478690	3.400931e+02
2476829.117778	2.563745	3.351774e+02
2476879.129556	1.791290	3.524963e+02
2476929.141334	1.325565	7.394793e+02
2476979.153112	2.605882	3.647586e+02
2477029.164889	2.631971	3.768671e+02
2477079.176667	2.401092	3.960161e+02
2477129.188445	2.170713	8.943694e+02
2477179.200223	2.164955	1.017398e+03
2477229.212001	0.000000	9.079203e+05
2477279.223778	0.165767	2.773544e+03
2477329.235556	1.004749	1.421195e+03
2477379.247334	0.281166	1.542259e+03
2477429.259112	0.000000	4.123680e+05
2477479.270890	0.000000	9.148777e+04
2477529.282668	0.000000	5.145139e+04
2477579.294445	0.000000	3.578941e+04
2477629.306223	0.000000	2.743738e+04
2477679.318001	0.000000	3.328014e+04
2477729.329779	0.000000	4.641976e+04
2477779.341557	0.000000	7.670388e+04
2477829.353334	0.000000	2.206655e+05
2477879.365112	0.000000	1.200000e+09
2477929.376890	0.000000	6.396419e+05
2477979.388668	0.008007	1.601150e+08
2478029.400446	0.000000	1.200000e+09
2478079.412223	0.064991	3.828056e+04
2478129.424001	0.162117	2.631774e+04
2478179.435779	0.922638	2.470291e+03
2478229.447557	1.789906	2.701096e+03
2478279.459335	2.139336	4.092810e+03
2478329.471113	0.427397	1.484775e+07
2478379.482890	3.695933	8.463391e+03
2478429.494668	0.581789	3.980655e+05
2478479.506446	0.288565	3.276633e+04
2478529.518224	0.241340	4.321751e+04
2478579.530002	0.265594	3.695126e+04
2478629.541779	0.333200	3.079428e+04
2478679.553557	0.868421	3.565482e+03
2478729.565335	1.232188	2.248383e+03
2478779.577113	1.435595	1.554501e+03
2478829.588891	1.671702	1.279967e+03
2478879.600668	1.827740	1.113402e+03
2478929.612446	1.951428	9.762684e+02
2478979.624224	2.117383	8.543655e+02
2479029.636002	2.361758	7.595949e+02
2479079.647780	2.662900	6.955167e+02
2479129.659558	2.959144	6.582537e+02
2479179.671335	3.085021	6.462954e+02
2479229.683113	2.112116	6.688720e+02
2479279.694891	2.238518	6.830381e+02
2479329.706669	3.041925	6.595637e+02
2479379.718447	3.356341	6.382632e+02
2479429.730224	2.928476	6.489532e+02
2479479.742002	1.273136	6.932449e+02
2479529.753780	0.046296	1.991835e+08
2479579.765558	0.272614	3.223589e+03
2479629.777336	2.189838	6.825446e+02
2479679.789113	2.938824	6.246473e+02
2479729.800891	2.993595	6.250418e+02
2479779.812669	2.279262	6.035254e+02
2479829.824447	0.510816	8.800597e+02
2479879.836225	0.747529	1.007496e+03
2479929.848003	0.445896	1.400120e+07
2479979.859780	1.169488	1.023159e+03
2480029.871558	1.108002	1.107900e+03
2480079.883336	1.006473	1.205693e+03
2480129.895114	0.903509	1.285283e+03
2480179.906892	0.791138	1.374897e+03
2480229.918669	0.670679	1.507964e+03
2480279.930447	0.559013	1.730972e+03
2480329.942225	0.488782	2.103008e+03
2480379.954003	0.489084	2.680778e+03
2480429.965781	0.567360	3.556300e+03
2480479.977558	0.550840	8.990999e+03
2480529.989336	0.126800	3.207710e+04
2480580.001114	0.106136	1.765274e+08
2480630.012892	2.417755	1.668753e+04
2480680.024670	0.023239	3.838483e+04
2480730.036448	0.964892	6.300876e+03
2480780.048225	2.657609	7.009665e+03
2480830.060003	1.137607	1.134840e+04
2480880.071781	0.324171	9.279450e+07
2480930.083559	0.000000	1.200000e+09
2480980.095337	0.000000	1.431751e+06
2481030.107114	2.280430	5.459889e+04
2481080.118892	0.350393	6.636431e+07
2481130.130670	0.697688	1.874297e+07
2481180.142448	0.020693	1.786591e+04
2481230.154226	0.156153	2.472939e+07
2481280.166004	0.000000	1.200000e+09
2481330.177781	0.264616	1.843645e+04
2481380.189559	1.722281	5.682843e+04
2481430.201337	0.000000	1.200000e+09
2481480.213115	0.644205	2.886967e+07
2481530.224893	2.289837	4.575760e+04
2481580.236670	0.000000	5.566596e+05
2481630.248448	0.000000	1.021250e+05
2481680.260226	0.000000	5.621956e+04
2481730.272004	0.000000	3.878541e+04
2481780.283782	0.000000	2.960474e+04
2481830.295559	0.000678	1.131878e+04
2481880.307337	0.008170	6.221181e+03
2481930.319115	0.128135	6.058750e+03
2481980.330893	0.548784	9.220726e+03
2482030.342671	0.361988	8.920500e+07
2482080.354449	0.000000	1.200000e+09
2482130.366226	0.005899	1.223453e+06
2482180.378004	0.000000	1.216650e+06
2482230.389782	1.148255	5.564767e+04
2482280.401560	0.127579	1.058087e+04
2482330.413338	0.021056	1.120989e+04
2482380.425115	0.004730	9.872858e+03
2482430.436893	0.001031	9.112394e+03
2482480.448671	0.000179	9.121797e+03
