location	LR	alpha
635459.000000	2.180570	2.542060e+04
635509.006617	0.020007	1.981006e+05
635559.013234	1.840044	4.568269e+03
635609.019852	0.036987	2.448216e+04
635659.026469	0.191362	3.119808e+03
635709.033086	0.582870	1.600236e+03
635759.039703	0.000657	3.000982e+05
635809.046320	0.656651	2.912546e+03
635859.052938	0.242398	1.054557e+04
635909.059555	0.621984	1.796448e+03
635959.066172	2.574868	6.313510e+02
636009.072789	3.018298	5.278226e+02
636059.079406	3.361312	5.981030e+02
636109.086024	0.579766	2.325688e+07
636159.092641	1.421365	1.211788e+07
636209.099258	0.000000	7.903872e+05
636259.105875	1.935053	7.687022e+02
636309.112492	3.272624	6.372081e+02
636359.119110	3.015809	7.225554e+02
636409.125727	1.768604	1.198230e+03
636459.132344	0.419471	1.176280e+04
636509.138961	1.982717	3.293754e+03
636559.145579	0.346307	3.495610e+07
636609.152196	0.418034	3.954667e+07
636659.158813	0.163043	1.319656e+08
636709.165430	0.420675	8.446311e+03
636759.172047	1.387323	4.256563e+03
636809.178665	0.000000	3.008917e+05
636859.185282	0.678733	1.638251e+04
636909.191899	0.007788	2.826567e+08
636959.198516	0.012608	4.446663e+04
637009.205133	0.039906	1.808183e+06
637059.211751	0.098424	5.236012e+04
637109.218368	0.003478	1.165492e+08
637159.224985	0.029630	3.082626e+08
637209.231602	0.011148	6.203365e+04
637259.238219	0.181825	7.934670e+03
637309.244837	0.016594	5.782063e+04
637359.251454	0.013402	6.009313e+04
637409.258071	0.031637	7.438429e+03
637459.264688	0.034944	4.336390e+03
637509.271305	0.027789	3.483503e+03
637559.277923	0.002295	3.990667e+03
637609.284540	0.000000	1.436811e+04
637659.291157	0.648838	8.956036e+02
637709.297774	1.409470	7.927540e+02
637759.304391	2.284442	7.203181e+02
637809.311009	2.994655	8.407320e+02
637859.317626	3.069983	1.377834e+03
637909.324243	1.936023	2.528385e+07
637959.330860	2.724712	1.382574e+03
638009.337477	2.866955	7.285462e+02
638059.344095	2.504791	5.679628e+02
638109.350712	2.104261	5.006959e+02
638159.357329	1.744893	4.894465e+02
638209.363946	1.441557	4.906137e+02
638259.370563	1.180003	4.933031e+02
638309.377181	0.946879	4.940920e+02
638359.383798	0.736886	4.900734e+02
638409.390415	0.552892	4.794265e+02
638459.397032	0.400995	4.685775e+02
638509.403649	0.279727	4.653737e+02
638559.410267	0.182792	4.703133e+02
638609.416884	0.107135	4.831639e+02
638659.423501	0.095931	1.029310e+03
638709.430118	0.204526	1.087681e+03
638759.436736	0.322315	1.146322e+03
638809.443353	0.461666	1.148713e+03
638859.449970	0.678878	9.955641e+02
638909.456587	0.901290	1.192050e+03
638959.463204	0.456445	3.989991e+03
639009.469822	1.835025	3.755134e+03
639059.476439	0.000000	4.223587e+05
639109.483056	0.000000	8.422861e+04
639159.489673	0.101756	4.336936e+07
639209.496290	0.072863	5.802071e+04
639259.502908	2.439785	6.916181e+03
639309.509525	0.742021	4.127039e+03
639359.516142	1.410776	3.196967e+03
639409.522759	0.125675	2.420200e+04
639459.529376	0.703017	2.170245e+03
639509.535994	0.128741	4.268075e+07
639559.542611	0.428052	4.439364e+03
639609.549228	0.308078	2.342734e+07
639659.555845	0.000000	5.568297e+05
639709.562462	0.067203	6.339752e+04
639759.569080	0.000009	1.653549e+05
639809.575697	0.047376	5.941050e+03
639859.582314	0.001186	3.146594e+04
639909.588931	0.001186	5.892779e+04
639959.595548	0.032053	1.737240e+04
640009.602166	0.279284	2.758236e+04
640059.608783	0.221113	4.455698e+07
640109.615400	0.011787	3.003391e+04
640159.622017	0.000000	1.200000e+09
640209.628634	0.859407	3.955656e+07
640259.635252	0.039162	1.212206e+05
640309.641869	0.000000	1.200000e+09
640359.648486	0.001964	7.300157e+04
640409.655103	0.180464	2.969975e+04
640459.661720	0.013728	7.092957e+03
640509.668338	0.000000	1.200000e+09
640559.674955	0.060404	2.622756e+04
640609.681572	0.349427	1.902367e+04
640659.688189	0.034835	8.932663e+03
640709.694806	0.000000	3.414431e+04
640759.701424	0.001683	1.289575e+04
640809.708041	0.486503	3.924557e+03
640859.714658	2.007279	1.379025e+07
640909.721275	0.000000	6.592502e+05
640959.727893	0.000000	2.479672e+05
641009.734510	0.000000	4.138816e+06
641059.741127	0.000000	1.203538e+05
641109.747744	0.000000	1.200000e+09
641159.754361	0.000722	1.924248e+06
641209.760979	0.000000	3.124469e+05
641259.767596	0.000000	9.379940e+05
641309.774213	0.021783	2.844451e+08
641359.780830	0.000000	1.200000e+09
641409.787447	0.000000	1.200000e+09
641459.794065	0.073529	2.156148e+08
641509.800682	0.000000	2.695519e+05
641559.807299	0.327770	1.934685e+04
641609.813916	0.002715	3.520086e+08
641659.820533	0.359423	1.521368e+05
641709.827151	0.248431	3.049685e+03
641759.833768	0.675442	5.254277e+03
641809.840385	0.148851	4.503165e+03
641859.847002	0.012851	7.323109e+03
641909.853619	0.454909	1.858384e+03
641959.860237	0.980699	2.130691e+03
642009.866854	0.278848	3.783313e+07
642059.873471	0.000000	1.200000e+09
642109.880088	0.000000	9.939731e+04
642159.886705	0.084311	1.021104e+04
642209.893323	0.179930	5.959758e+03
642259.899940	0.254290	8.064555e+03
642309.906557	0.021744	2.594018e+04
642359.913174	0.051258	5.306221e+04
642409.919791	0.000000	3.357339e+05
642459.926409	0.000000	2.259551e+05
642509.933026	0.000000	1.717502e+05
642559.939643	0.023399	4.676633e+04
642609.946260	0.000000	1.200000e+09
642659.952877	0.000000	4.705434e+05
642709.959495	0.000000	2.037503e+05
642759.966112	0.000000	4.913444e+04
642809.972729	0.173237	7.880394e+03
642859.979346	0.119693	6.015322e+03
642909.985964	0.000000	1.176288e+05
642959.992581	0.000000	2.627438e+05
643009.999198	0.000000	8.098377e+05
643060.005815	0.000000	5.927589e+05
643110.012432	0.000000	1.079195e+05
643160.019050	0.514759	1.851543e+04
643210.025667	0.000000	2.586385e+06
643260.032284	0.645954	3.209490e+03
643310.038901	0.225520	1.092586e+04
643360.045518	2.134578	3.117246e+03
