location	LR	alpha	D
1850816.000000	9.777169	7.312614e-03	0.020337
1850866.006499	5.594241	1.046213e-02	0.020337
1850916.012999	3.759572	1.093905e-02	0.020337
1850966.019498	2.438156	2.194996e-02	0.020337
1851016.025997	4.196685	3.125211e-02	0.020337
1851066.032497	0.000000	3.692677e+02	0.020337
1851116.038996	5.667062	8.948805e-03	0.020337
1851166.045495	2.540648	5.129201e-02	0.040673
1851216.051995	4.612915	2.385932e-02	0.020337
1851266.058494	3.624925	1.895910e-02	0.020337
1851316.064994	4.154739	1.699874e-02	0.020337
1851366.071493	6.170471	1.844125e-01	0.020337
1851416.077992	3.872832	9.998071e-02	0.020337
1851466.084492	3.371923	1.211001e-02	0.020337
1851516.090991	6.548688	5.579034e-02	0.040673
1851566.097490	4.440963	2.499492e-02	0.040673
1851616.103990	4.975386	4.208990e-02	0.040673
1851666.110489	2.234566	3.459314e-02	0.040673
1851716.116988	3.322167	2.147343e-01	0.020337
1851766.123488	6.882767	1.736924e-02	0.040673
1851816.129987	4.737641	4.564995e-02	0.040673
1851866.136486	13.084558	1.804882e-02	0.040673
1851916.142986	11.618876	1.907357e-02	0.040673
1851966.149485	5.293897	1.858015e-02	0.040673
1852016.155984	4.205477	2.689642e-02	0.020337
1852066.162484	1.269376	2.717240e-01	0.040673
1852116.168983	2.310178	7.733503e-02	0.040673
1852166.175482	1.886853	7.626863e-01	0.040673
1852216.181982	3.755133	4.121134e-02	0.040673
1852266.188481	7.969036	3.717341e-02	0.040673
1852316.194981	5.058307	4.601139e-02	0.040673
1852366.201480	3.201289	1.321607e-01	0.040673
1852416.207979	3.809914	1.477687e-01	0.020337
1852466.214479	2.809502	4.759169e-01	0.020337
1852516.220978	3.712311	1.129720e-01	0.040673
1852566.227477	3.861210	3.638871e-02	0.040673
1852616.233977	1.515153	6.847986e-02	0.040673
1852666.240476	0.148391	7.873768e-01	0.020337
1852716.246975	5.531680	8.396032e-03	0.020337
1852766.253475	2.584705	8.329016e-03	0.020337
1852816.259974	4.429806	5.985816e-03	0.020337
1852866.266473	2.566661	5.291629e-03	0.040673
1852916.272973	1.341995	6.991895e-03	0.040673
1852966.279472	4.123461	6.796095e-03	0.040673
1853016.285971	5.428719	7.070112e-03	0.040673
1853066.292471	7.116400	6.867769e-03	0.040673
1853116.298970	4.703957	8.472790e-03	0.040673
1853166.305469	3.897906	1.586660e-02	0.040673
1853216.311969	0.784377	5.932496e-01	0.040673
1853266.318468	1.581257	2.338339e-01	0.040673
1853316.324968	2.401917	1.222836e-02	0.040673
1853366.331467	0.000000	3.620272e+01	0.020337
1853416.337966	5.802028	2.424897e-03	0.040673
1853466.344466	0.957600	3.588017e+00	0.020337
1853516.350965	0.000000	3.419146e+01	0.020337
1853566.357464	0.000000	6.536852e-01	0.020337
1853616.363964	0.217764	1.258337e-01	0.020337
1853666.370463	0.000000	1.385209e-01	0.020337
1853716.376962	0.924001	6.056294e-02	0.040673
1853766.383462	0.371048	1.844946e-01	0.040673
1853816.389961	0.957600	4.920055e-01	0.020337
1853866.396460	0.764862	1.058234e-01	0.040673
1853916.402960	0.932932	5.127554e-01	0.020337
1853966.409459	2.708871	6.437444e-02	0.040673
1854016.415958	1.831895	2.132127e-01	0.040673
1854066.422458	2.014693	1.817020e-02	0.040673
1854116.428957	0.763040	2.766082e-02	0.040673
1854166.435456	2.794945	2.252078e-03	0.040673
1854216.441956	1.793014	5.251983e+00	0.040673
1854266.448455	7.113621	2.474600e-03	0.040673
1854316.454955	7.369284	2.357831e-03	0.040673
1854366.461454	5.335081	2.319207e-03	0.040673
1854416.467953	2.505666	2.278396e-03	0.040673
1854466.474453	0.000000	5.096094e-02	0.020337
1854516.480952	0.000000	5.567954e-02	0.020337
1854566.487451	0.284926	3.159131e-03	0.040673
1854616.493951	0.678579	3.157484e-03	0.040673
1854666.500450	0.985442	3.308063e-03	0.040673
1854716.506949	0.000000	7.745411e-01	0.020337
1854766.513449	0.000000	7.735225e-01	0.020337
1854816.519948	2.384552	1.484343e+00	0.040673
1854866.526447	0.957600	2.534037e+01	0.020337
1854916.532947	0.085018	4.891380e-01	0.020337
1854966.539446	0.957600	2.643494e+00	0.020337
1855016.545945	0.483673	9.634997e-02	0.040673
1855066.552445	0.957600	8.289839e+00	0.020337
1855116.558944	1.501925	2.270533e-02	0.040673
1855166.565443	0.000000	1.614084e+00	0.020337
1855216.571943	0.108796	9.655571e-01	0.020337
1855266.578442	0.044775	1.738101e+00	0.040673
1855316.584942	0.056779	1.273977e+00	0.040673
1855366.591441	0.000000	3.341278e+00	0.020337
1855416.597940	1.154190	2.884757e-01	0.020337
1855466.604440	1.281983	6.295763e-02	0.020337
1855516.610939	3.299215	8.473918e-02	0.040673
1855566.617438	2.172543	9.493198e-02	0.040673
1855616.623938	2.559487	5.549405e-01	0.020337
