location	LR	alpha
560681.000000	0.001558	6.206299e+07
560731.002517	0.701387	3.407805e+03
560781.005033	0.749185	4.821974e+03
560831.007550	3.195767	1.756434e+04
560881.010066	0.064542	6.802498e+04
560931.012583	0.482495	2.716750e+04
560981.015099	0.000000	7.819680e+05
561031.017616	0.637901	1.006413e+08
561081.020132	0.249106	1.062951e+08
561131.022649	0.503351	7.189154e+03
561181.025165	0.052382	1.214954e+08
561231.027682	0.000001	3.512652e+05
561281.030198	0.095258	2.181852e+04
561331.032715	0.289317	4.894643e+04
561381.035231	0.643725	7.709954e+03
561431.037748	0.302079	7.782732e+04
561481.040264	0.182226	4.155025e+07
561531.042781	0.729579	8.948972e+07
561581.045297	0.325725	4.042146e+04
561631.047814	0.784155	5.516058e+04
561681.050330	0.766190	1.793394e+04
561731.052847	0.203286	1.170811e+05
561781.055363	0.319438	8.087221e+04
561831.057880	0.305120	2.911959e+04
561881.060396	0.320390	2.486265e+04
561931.062913	0.330477	3.124073e+04
561981.065429	0.964928	1.838535e+04
562031.067946	0.337151	2.720887e+04
562081.070462	0.000000	4.138319e+05
562131.072979	0.431555	1.021389e+04
562181.075495	0.300209	1.293321e+04
562231.078012	0.377145	5.642281e+04
562281.080528	0.188016	2.332897e+04
562331.083045	0.235033	1.132814e+08
562381.085561	0.029932	9.592956e+03
562431.088078	0.000001	1.822327e+05
562481.090594	0.545695	1.853483e+04
562531.093111	0.022631	9.854526e+04
562581.095627	0.029595	1.291925e+04
562631.098144	0.033267	8.778067e+03
562681.100660	0.041327	3.041970e+04
562731.103177	0.000000	2.408501e+06
562781.105693	0.358851	3.474469e+05
562831.108210	1.133811	7.461948e+03
562881.110726	0.904041	3.857692e+03
562931.113243	0.113961	1.348705e+04
562981.115759	0.131347	2.686726e+05
563031.118276	0.131527	2.307043e+04
563081.120792	0.066659	1.280277e+08
563131.123309	0.154739	1.818387e+08
563181.125825	0.241293	1.410954e+08
563231.128342	0.133091	1.657101e+05
563281.130858	0.000000	1.223155e+05
563331.133375	0.000023	1.907609e+05
563381.135891	0.000000	1.200000e+09
563431.138408	0.278028	4.663734e+04
563481.140924	0.228081	1.553222e+08
563531.143441	0.320736	4.103640e+04
563581.145957	0.019263	3.898234e+04
563631.148474	0.007941	3.259511e+08
563681.150990	0.000000	1.200000e+09
563731.153507	0.492820	2.276314e+07
563781.156023	0.000057	4.935617e+08
563831.158540	0.022519	6.555987e+04
563881.161056	0.277882	3.083747e+04
563931.163573	0.986490	4.212758e+03
563981.166089	1.711138	4.398234e+03
564031.168606	0.147848	2.383834e+03
564081.171122	0.000008	4.246784e+05
564131.173639	0.002381	2.268788e+05
564181.176155	0.010010	1.179149e+05
564231.178672	0.024510	1.556228e+08
564281.181188	0.036195	1.119950e+04
564331.183705	0.288012	5.875709e+03
564381.186221	0.555206	9.277900e+03
564431.188738	0.092440	5.684971e+05
564481.191254	0.000000	1.200000e+09
564531.193771	0.000000	1.200000e+09
564581.196287	0.000000	1.470021e+05
564631.198804	0.000000	5.053766e+04
564681.201320	0.000000	3.051402e+04
564731.203837	0.000182	8.081889e+03
564781.206353	0.076824	2.525454e+03
564831.208870	0.169055	3.865064e+03
564881.211386	0.138703	1.147458e+04
564931.213903	1.381308	1.044000e+04
564981.216419	0.800208	3.963138e+03
565031.218936	0.185436	3.348562e+03
565081.221452	0.023485	3.960433e+04
565131.223969	0.087022	4.841540e+07
565181.226485	0.328627	1.385379e+08
565231.229002	0.545770	3.615526e+04
565281.231518	0.999261	1.238607e+04
565331.234035	0.000000	1.200000e+09
565381.236551	0.243297	1.320947e+08
565431.239068	0.274190	1.224726e+08
565481.241584	0.999764	7.753526e+03
