location	LR	alpha
295072.000000	0.000000	1.200000e+09
295122.007404	0.000000	6.006353e+05
295172.014807	0.000000	1.200000e+09
295222.022211	0.137292	1.057095e+08
295272.029615	0.070779	1.061120e+05
295322.037019	0.528498	9.746715e+07
295372.044422	0.011527	2.767869e+08
295422.051826	0.000000	2.260942e+06
295472.059230	0.000000	1.300434e+05
295522.066633	0.000000	5.782107e+05
295572.074037	0.000000	1.200000e+09
295622.081441	0.000557	6.395168e+05
295672.088844	0.000259	4.323044e+08
295722.096248	1.148415	5.316804e+04
295772.103652	0.077214	4.366825e+07
295822.111056	0.034619	6.727147e+03
295872.118459	0.852933	5.201768e+03
295922.125863	1.266471	7.262120e+06
295972.133267	0.156153	9.492281e+04
296022.140670	0.158012	1.042923e+04
296072.148074	0.156153	2.472939e+07
296122.155478	0.046318	2.312624e+08
296172.162881	0.046695	7.552592e+04
296222.170285	0.300240	2.493394e+07
296272.177689	0.299521	1.960030e+04
296322.185093	0.000000	1.944973e+07
296372.192496	0.044752	2.498884e+08
296422.199900	0.000000	1.200000e+09
296472.207304	0.000000	1.354129e+05
296522.214707	0.000000	6.117436e+04
296572.222111	0.000000	1.246151e+05
296622.229515	0.000000	1.181754e+06
296672.236918	0.042831	4.512928e+03
296722.244322	0.428600	3.642123e+03
296772.251726	0.225401	3.274014e+03
296822.259130	0.172513	3.733345e+03
296872.266533	0.135448	5.057342e+03
296922.273937	0.099132	7.998796e+03
296972.281341	0.084081	1.642818e+04
297022.288744	0.081710	2.407653e+05
297072.296148	0.081710	1.488665e+05
297122.303552	0.859738	2.929085e+03
297172.310955	1.334498	1.967177e+03
297222.318359	1.702557	2.336540e+03
297272.325763	2.242463	3.085897e+03
297322.333167	0.204839	1.478508e+04
297372.340570	0.000000	1.033598e+06
297422.347974	0.253504	2.898474e+04
297472.355378	0.003599	2.379273e+05
297522.362781	0.618644	1.137579e+08
297572.370185	0.017741	1.648557e+04
297622.377589	0.000000	8.441268e+05
297672.384992	0.000346	2.416855e+05
297722.392396	0.000000	1.200000e+09
297772.399800	0.000000	3.731753e+05
297822.407204	1.149172	4.388964e+04
297872.414607	0.387340	1.925489e+04
297922.422011	0.000000	6.440929e+05
297972.429415	0.000000	1.607937e+05
298022.436818	0.000000	7.088804e+04
298072.444222	0.003950	4.413249e+03
298122.451626	0.186221	3.059992e+03
298172.459030	0.467886	3.053796e+03
298222.466433	0.730856	4.022847e+03
298272.473837	0.849955	5.469029e+03
298322.481241	0.000000	1.200000e+09
298372.488644	0.488175	9.665937e+07
298422.496048	0.141886	1.615834e+08
298472.503452	0.324556	1.217260e+08
298522.510855	0.848416	9.352598e+06
298572.518259	0.215949	5.600776e+07
298622.525663	0.484016	7.908124e+07
298672.533067	0.139015	2.605067e+07
298722.540470	0.098770	1.111310e+05
298772.547874	0.000000	4.400737e+05
298822.555278	0.000000	1.200000e+09
298872.562681	0.023534	4.893823e+04
298922.570085	0.015603	8.759335e+04
298972.577489	0.122622	1.528869e+05
299022.584892	0.030320	9.196490e+05
299072.592296	0.525250	5.871316e+04
299122.599700	0.000000	1.200000e+09
299172.607104	0.015814	2.630534e+08
299222.614507	0.045100	7.586446e+04
299272.621911	0.001436	1.157881e+06
299322.629315	0.000000	1.200000e+09
299372.636718	0.292104	8.567349e+07
299422.644122	0.183265	1.389238e+04
299472.651526	0.142351	6.463810e+03
299522.658929	0.171268	4.511650e+03
299572.666333	0.416818	1.267362e+04
299622.673737	0.070697	9.460875e+03
299672.681141	0.024873	8.181699e+03
299722.688544	0.009662	7.324725e+03
299772.695948	0.003765	6.758832e+03
299822.703352	0.001433	6.380160e+03
299872.710755	0.000530	6.123380e+03
299922.718159	0.000192	5.946374e+03
299972.725563	0.000070	5.806713e+03
300022.732966	0.000038	5.455281e+03
300072.740370	0.000275	4.277289e+03
300122.747774	0.002070	3.659185e+03
300172.755178	0.004205	3.604804e+03
300222.762581	0.005262	3.829559e+03
300272.769985	0.005594	4.262204e+03
300322.777389	0.005727	4.880667e+03
300372.784792	0.005806	5.741940e+03
300422.792196	0.005859	7.002697e+03
300472.799600	0.005914	8.997977e+03
300522.807004	0.005989	1.262091e+04
300572.814407	0.006046	2.127655e+04
300622.821811	0.055520	1.730062e+04
300672.829215	0.187522	2.399395e+07
300722.836618	0.000001	5.962477e+08
300772.844022	0.258335	2.281486e+04
300822.851426	0.028669	1.332247e+04
300872.858829	0.079425	6.887421e+03
300922.866233	0.307316	7.178544e+03
300972.873637	0.448609	2.493972e+07
301022.881041	0.243165	1.319486e+04
301072.888444	0.005899	8.969794e+05
301122.895848	0.170313	2.924287e+04
301172.903252	0.000346	1.290307e+05
301222.910655	0.002727	6.504862e+04
301272.918059	0.262607	6.806058e+03
301322.925463	0.185334	5.711807e+03
301372.932866	0.085326	5.968166e+03
301422.940270	0.054816	5.273476e+03
301472.947674	0.040010	4.892840e+03
301522.955078	0.024288	4.995723e+03
301572.962481	0.009177	6.066155e+03
301622.969885	0.007722	7.860760e+03
301672.977289	0.012488	9.713040e+03
301722.984692	0.026216	1.272330e+04
301772.992096	0.097423	1.898877e+04
301822.999500	0.000350	1.079251e+05
301873.006903	0.000162	4.990330e+04
301923.014307	0.156153	2.472939e+07
301973.021711	0.090224	1.064605e+04
302023.029115	0.021445	7.654859e+03
302073.036518	0.000000	4.997124e+04
302123.043922	0.000000	3.631916e+04
302173.051326	0.000000	2.852591e+04
302223.058729	0.000000	2.453669e+04
302273.066133	0.000000	3.009046e+04
302323.073537	0.000000	3.889392e+04
302373.080940	0.000000	5.497893e+04
302423.088344	0.000000	9.375048e+04
302473.095748	0.000000	3.180215e+05
302523.103152	0.018012	1.349183e+04
302573.110555	0.041798	4.332857e+05
302623.117959	0.026729	1.633260e+05
302673.125363	0.021710	2.389534e+08
302723.132766	0.021770	3.109171e+04
302773.140170	0.023741	1.428544e+04
302823.147574	0.035336	9.271992e+03
302873.154977	0.016405	1.191155e+04
302923.162381	0.037680	1.729630e+04
302973.169785	0.393057	3.186459e+04
303023.177189	0.000692	1.399775e+05
303073.184592	0.197885	1.633596e+04
303123.191996	0.168081	1.094684e+04
303173.199400	0.066600	8.389106e+03
303223.206803	0.033797	7.139918e+03
303273.214207	0.006151	7.459723e+03
303323.221611	0.000000	3.180812e+04
303373.229015	0.000000	4.222006e+04
303423.236418	0.000000	6.276544e+04
303473.243822	0.000000	1.222606e+05
303523.251226	0.000000	2.346501e+06
