location	LR	alpha	D
509767.000000	0.031691	3.183117e+02	0.037122
509817.002921	3.268209	9.917593e-02	0.037122
509867.005841	1.645350	3.589294e-01	0.037122
509917.008762	8.035651	3.000658e-01	0.018561
509967.011682	7.709774	3.077015e-02	0.018561
510017.014603	6.286303	8.218358e-02	0.018561
510067.017523	12.901022	1.108051e-02	0.018561
510117.020444	3.879338	1.966555e-01	0.037122
510167.023364	2.236117	2.100020e-01	0.037122
510217.026285	8.516131	2.090687e-02	0.018561
510267.029206	5.572086	8.512404e-02	0.018561
510317.032126	1.056165	4.806176e-01	0.018561
510367.035047	0.710145	1.297989e-01	0.037122
510417.037967	0.000000	3.160616e+02	0.018561
510467.040888	3.702707	6.774354e-01	0.037122
510517.043808	10.760152	3.681475e-02	0.018561
510567.046729	10.189870	4.224657e-02	0.018561
510617.049650	10.042711	2.285498e-02	0.018561
510667.052570	15.901213	1.532670e-02	0.018561
510717.055491	7.796269	2.631258e-02	0.018561
510767.058411	11.197124	2.479040e-02	0.018561
510817.061332	6.148088	6.678449e-02	0.018561
510867.064252	1.100381	3.991452e-01	0.018561
510917.067173	2.563956	1.997082e-01	0.037122
510967.070093	3.052790	5.083235e-02	0.018561
511017.073014	5.626262	1.634715e-02	0.018561
511067.075935	1.873736	1.189013e-01	0.018561
511117.078855	0.811718	8.619980e-01	0.018561
511167.081776	4.328881	8.049275e-02	0.018561
511217.084696	2.561252	5.065103e-02	0.037122
511267.087617	0.396519	8.753525e-02	0.037122
511317.090537	0.394195	3.069476e+00	0.037122
511367.093458	2.119554	1.393835e-01	0.037122
511417.096379	0.976784	3.647014e-01	0.018561
511467.099299	5.736448	1.455146e-01	0.037122
511517.102220	2.758760	9.223517e-02	0.018561
511567.105140	2.887534	4.226917e-02	0.018561
511617.108061	4.135383	4.880192e-02	0.018561
511667.110981	4.809573	2.844350e-02	0.018561
511717.113902	5.665665	1.525620e-02	0.018561
511767.116822	5.729628	1.251523e-01	0.037122
511817.119743	3.343373	2.740476e-02	0.018561
511867.122664	4.349165	5.499084e-02	0.018561
511917.125584	3.579551	1.238717e-01	0.037122
511967.128505	0.605294	2.560191e-01	0.037122
512017.131425	1.794906	1.821810e-01	0.018561
512067.134346	1.173695	4.097442e-02	0.018561
512117.137266	1.158165	2.752677e-02	0.018561
512167.140187	0.640531	1.834469e-02	0.018561
512217.143107	0.185064	3.519408e+00	0.037122
512267.146028	5.984333	1.279516e-02	0.018561
512317.148949	1.997720	2.574284e-02	0.018561
512367.151869	2.018762	1.677883e+00	0.037122
512417.154790	7.559147	6.763783e-03	0.018561
512467.157710	22.734903	4.158231e-03	0.018561
512517.160631	16.608841	4.069396e-03	0.018561
512567.163551	14.758712	6.535365e-03	0.018561
512617.166472	22.607433	4.386231e-03	0.018561
512667.169393	24.074794	4.287504e-03	0.018561
512717.172313	23.249919	4.216699e-03	0.018561
512767.175234	16.825455	3.858738e-03	0.018561
512817.178154	9.546265	4.403380e-03	0.018561
512867.181075	11.415082	3.342389e-03	0.018561
512917.183995	12.862896	2.959466e-03	0.018561
512967.186916	19.809687	3.101155e-03	0.018561
513017.189836	28.768577	3.261380e-03	0.018561
513067.192757	25.945273	3.768616e-03	0.018561
513117.195678	4.064385	5.557591e-02	0.018561
513167.198598	15.163616	2.808284e-03	0.018561
513217.201519	2.447449	1.359313e-02	0.018561
513267.204439	8.993299	3.547980e-03	0.018561
513317.207360	14.151204	4.487310e-03	0.018561
513367.210280	20.191960	4.404945e-03	0.018561
513417.213201	23.789970	4.325550e-03	0.018561
513467.216121	24.607233	3.742729e-03	0.018561
513517.219042	26.202001	4.057866e-03	0.018561
513567.221963	26.030598	3.953581e-03	0.018561
513617.224883	24.942777	3.575445e-03	0.018561
513667.227804	25.277319	5.213373e-03	0.018561
513717.230724	25.988676	5.423068e-03	0.018561
513767.233645	24.929436	5.323316e-03	0.018561
513817.236565	23.435737	5.679764e-03	0.018561
513867.239486	21.146783	5.097186e-03	0.018561
513917.242407	21.034443	5.729995e-03	0.018561
513967.245327	18.172578	8.659541e-03	0.018561
514017.248248	21.892953	8.983703e-03	0.018561
514067.251168	15.993302	9.333080e-03	0.018561
514117.254089	11.775578	9.710733e-03	0.018561
514167.257009	12.422749	1.012023e-02	0.018561
514217.259930	6.389105	5.234233e-02	0.018561
514267.262850	5.119707	6.656945e-02	0.018561
514317.265771	4.239231	1.391050e-01	0.018561
514367.268692	12.952766	7.318271e-03	0.018561
514417.271612	5.393196	2.319810e-01	0.037122
514467.274533	3.965472	6.603369e-02	0.037122
514517.277453	6.980198	2.267241e-02	0.018561
514567.280374	2.349319	4.259553e-02	0.018561
514617.283294	5.134393	1.303332e-02	0.018561
514667.286215	3.889662	9.503341e-03	0.018561
514717.289136	2.917082	3.206077e-02	0.018561
514767.292056	2.191631	9.444278e-01	0.037122
514817.294977	2.503619	2.107870e-02	0.018561
514867.297897	13.162787	2.427686e-02	0.018561
514917.300818	6.950074	9.897678e-03	0.018561
514967.303738	9.683181	6.462167e-02	0.037122
515017.306659	11.131137	3.574690e-02	0.018561
515067.309579	16.620311	1.464647e-02	0.018561
515117.312500	20.045734	1.463973e-02	0.018561
515167.315421	12.246607	3.758040e-02	0.018561
515217.318341	26.474663	7.810240e-03	0.018561
515267.321262	8.200258	1.400581e-01	0.018561
515317.324182	18.646972	2.363713e-02	0.018561
515367.327103	9.654094	1.171501e-02	0.018561
515417.330023	15.901343	1.979120e-02	0.018561
515467.332944	15.599208	2.337664e-02	0.018561
515517.335864	14.742348	1.698908e-02	0.018561
515567.338785	5.580273	4.657278e-02	0.018561
515617.341706	18.731062	7.364937e-03	0.018561
515667.344626	13.472039	7.145643e-03	0.018561
515717.347547	4.261147	1.114698e-01	0.037122
515767.350467	15.288179	6.744031e-03	0.018561
515817.353388	12.845683	1.192424e-02	0.018561
515867.356308	23.347993	3.517663e-03	0.018561
515917.359229	18.121152	4.311337e-03	0.018561
515967.362150	2.831355	3.840176e+00	0.037122
516017.365070	11.888702	9.306905e-03	0.018561
516067.367991	23.940577	2.008244e-03	0.018561
516117.370911	31.582415	1.925431e-03	0.018561
516167.373832	33.321365	1.910106e-03	0.018561
516217.376752	32.850301	1.895023e-03	0.018561
516267.379673	33.478067	1.473184e-03	0.018561
516317.382593	34.774384	1.573230e-03	0.018561
516367.385514	34.558929	1.469397e-03	0.018561
516417.388435	33.987522	1.478449e-03	0.018561
516467.391355	33.742985	1.487614e-03	0.018561
516517.394276	35.126266	1.615594e-03	0.018561
516567.397196	36.968830	1.506288e-03	0.018561
516617.400117	39.978873	1.415996e-03	0.018561
516667.403037	41.144590	1.424400e-03	0.018561
516717.405958	41.965161	1.432905e-03	0.018561
516767.408879	42.438298	1.441512e-03	0.018561
516817.411799	41.762557	1.166454e-03	0.018561
516867.414720	43.609124	1.156561e-03	0.018561
516917.417640	44.732585	1.162162e-03	0.018561
516967.420561	45.765898	1.061611e-03	0.018561
517017.423481	46.175631	1.053225e-03	0.018561
517067.426402	47.923185	1.071087e-03	0.018561
517117.429322	48.742309	1.043336e-03	0.018561
517167.432243	48.878537	1.080733e-03	0.018561
517217.435164	49.617643	1.052487e-03	0.018561
517267.438084	49.650464	1.057123e-03	0.018561
517317.441005	48.655366	1.020533e-03	0.018561
517367.443925	48.407894	1.018801e-03	0.018561
517417.446846	48.880505	9.863108e-04	0.018561
517467.449766	47.719711	1.027525e-03	0.018561
517517.452687	47.812942	9.985399e-04	0.018561
517567.455607	47.345880	1.002712e-03	0.018561
517617.458528	46.785844	1.009970e-03	0.018561
517667.461449	46.457045	1.012356e-03	0.018561
517717.464369	45.756702	1.098144e-03	0.018561
517767.467290	45.979630	1.015526e-03	0.018561
517817.470210	45.527522	1.108286e-03	0.018561
517867.473131	44.958959	1.031679e-03	0.018561
517917.476051	52.674452	5.448224e-04	0.018561
517967.478972	53.485243	5.400170e-04	0.018561
518017.481893	55.362047	5.423111e-04	0.018561
518067.484813	57.421232	5.406010e-04	0.018561
518117.487734	59.117012	5.418216e-04	0.018561
518167.490654	60.688018	5.430475e-04	0.018561
518217.493575	62.826873	5.523461e-04	0.018561
518267.496495	64.082271	5.536204e-04	0.018561
518317.499416	65.217637	5.549003e-04	0.018561
518367.502336	66.235088	5.561864e-04	0.018561
518417.505257	66.731864	5.492620e-04	0.018561
518467.508178	67.592531	5.505220e-04	0.018561
518517.511098	68.343640	5.517878e-04	0.018561
518567.514019	68.827221	5.162070e-04	0.018561
518617.516939	69.533057	5.543369e-04	0.018561
518667.519860	69.980798	5.556203e-04	0.018561
518717.522780	71.037930	5.195596e-04	0.018561
518767.525701	70.562407	5.666933e-04	0.018561
518817.528621	72.014938	5.218191e-04	0.018561
518867.531542	72.365866	5.229562e-04	0.018561
518917.534463	70.997354	5.621276e-04	0.018561
518967.537383	72.815399	5.252454e-04	0.018561
519017.540304	70.737772	5.734640e-04	0.018561
519067.543224	72.963580	5.275546e-04	0.018561
519117.546145	72.939222	5.287169e-04	0.018561
519167.549065	72.857202	5.298843e-04	0.018561
519217.551986	72.723330	5.310569e-04	0.018561
519267.554907	69.964260	5.722338e-04	0.018561
519317.557827	69.794332	5.736016e-04	0.018561
519367.560748	72.064970	5.346059e-04	0.018561
519417.563668	71.776357	5.357995e-04	0.018561
519467.566589	71.460214	5.369984e-04	0.018561
519517.569509	71.119890	5.382026e-04	0.018561
519567.572430	68.913626	5.805395e-04	0.018561
519617.575350	70.376261	5.406275e-04	0.018561
519667.578271	69.975635	5.418481e-04	0.018561
519717.581192	68.797755	5.933128e-04	0.018561
519767.584112	69.117947	5.443062e-04	0.018561
519817.587033	67.998431	5.876473e-04	0.018561
519867.589953	68.897400	5.977462e-04	0.018561
519917.592874	68.466989	5.897557e-04	0.018561
519967.595794	67.705737	5.492894e-04	0.018561
520017.598715	68.349344	6.022463e-04	0.018561
520067.601636	68.132142	6.037615e-04	0.018561
520117.604556	67.892761	6.052841e-04	0.018561
520167.607477	67.628147	6.068147e-04	0.018561
520217.610397	66.469101	6.008595e-04	0.018561
520267.613318	66.342019	6.000784e-04	0.018561
520317.616238	65.595691	6.052235e-04	0.018561
520367.619159	66.258461	6.130148e-04	0.018561
520417.622079	65.822774	6.145847e-04	0.018561
520467.625000	65.343026	6.161626e-04	0.018561
520517.627921	64.815620	6.177487e-04	0.018561
520567.630841	64.237137	6.193430e-04	0.018561
520617.633762	62.257565	6.145220e-04	0.018561
520667.636682	62.913561	6.225562e-04	0.018561
520717.639603	62.161765	6.241754e-04	0.018561
520767.642523	61.345540	6.258032e-04	0.018561
520817.645444	60.461671	6.274393e-04	0.018561
520867.648364	59.506997	6.290839e-04	0.018561
520917.651285	58.478515	6.307374e-04	0.018561
520967.654206	57.373342	6.323995e-04	0.018561
521017.657126	56.188727	6.340703e-04	0.018561
521067.660047	54.922137	6.357501e-04	0.018561
521117.662967	52.678760	7.401770e-04	0.018561
521167.665888	52.137107	7.424669e-04	0.018561
521217.668808	51.522006	7.447711e-04	0.018561
521267.671729	50.828026	7.470896e-04	0.018561
521317.674650	50.049989	7.494225e-04	0.018561
521367.677570	49.182891	7.517702e-04	0.018561
521417.680491	48.222014	7.541326e-04	0.018561
521467.683411	47.163015	7.565098e-04	0.018561
521517.686332	45.564858	7.611647e-04	0.018561
521567.689252	44.735314	7.613096e-04	0.018561
521617.692173	43.359707	7.637325e-04	0.018561
521667.695093	41.487971	7.684768e-04	0.018561
521717.698014	41.149141	1.535057e-03	0.018561
521767.700935	40.544835	1.507860e-03	0.018561
521817.703855	40.550955	1.517394e-03	0.018561
521867.706776	40.459672	1.520391e-03	0.018561
521917.709696	39.514135	1.512613e-03	0.018561
521967.712617	37.396594	1.573712e-03	0.018561
522017.715537	36.316688	1.616877e-03	0.018561
522067.718458	36.229411	1.557892e-03	0.018561
522117.721379	35.270615	1.473709e-03	0.018561
522167.724299	36.619369	1.585147e-03	0.018561
522217.727220	34.116422	1.443475e-03	0.018561
522267.730140	35.271881	1.606699e-03	0.018561
522317.733061	34.348520	1.596014e-03	0.018561
522367.735981	32.355608	1.432026e-03	0.018561
522417.738902	32.046681	1.606585e-03	0.018561
522467.741822	30.889393	1.525797e-03	0.018561
522517.744743	29.717575	1.547639e-03	0.018561
522567.747664	28.793020	1.547040e-03	0.018561
522617.750584	27.269735	1.537131e-03	0.018561
522667.753505	25.871909	1.527348e-03	0.018561
522717.756425	23.214656	1.534575e-03	0.018561
522767.759346	18.206900	1.902273e-03	0.018561
522817.762266	17.931908	1.917473e-03	0.018561
522867.765187	18.720498	2.086508e-03	0.018561
522917.768107	18.422294	2.104808e-03	0.018561
522967.771028	17.876680	2.123432e-03	0.018561
523017.773949	17.035328	2.284310e-03	0.018561
523067.776869	15.845392	2.161686e-03	0.018561
523117.779790	15.140804	2.328640e-03	0.018561
523167.782710	13.775382	2.944628e-03	0.018561
523217.785631	13.208424	2.981208e-03	0.018561
523267.788551	12.203539	3.018707e-03	0.018561
523317.791472	10.580506	3.057162e-03	0.018561
523367.794393	9.691215	6.935594e-03	0.018561
523417.797313	10.442637	7.141998e-03	0.018561
523467.800234	10.957110	7.361063e-03	0.018561
523517.803154	10.003749	7.622933e-03	0.018561
523567.806075	7.546166	1.241986e-02	0.018561
523617.808995	6.259630	3.997454e-02	0.018561
523667.811916	12.347942	8.425853e-03	0.018561
523717.814836	5.818474	5.146126e-02	0.018561
523767.817757	4.931646	6.772687e-02	0.018561
523817.820678	13.551161	9.417826e-03	0.018561
523867.823598	6.025652	1.554879e-01	0.018561
523917.826519	6.375569	9.536940e-02	0.018561
523967.829439	6.944734	1.892236e-02	0.018561
