location	LR	alpha
1311297.000000	0.000000	1.200000e+09
1311347.001749	2.970273	1.226371e+02
1311397.003497	3.808931	1.470125e+02
1311447.005246	5.804396	1.789349e+02
1311497.006994	6.460764	2.072020e+02
1311547.008743	5.017245	3.148328e+02
1311597.010491	0.459996	7.612628e+07
1311647.012240	6.984732	4.107772e+02
1311697.013988	9.099785	4.133461e+02
1311747.015737	9.572698	4.181150e+02
1311797.017485	8.959358	4.235121e+02
1311847.019234	7.699510	4.479135e+02
1311897.020982	5.372594	4.933902e+02
1311947.022731	0.019784	1.508363e+05
1311997.024479	0.019198	6.340282e+04
1312047.026228	0.000000	1.200000e+09
1312097.027976	3.781779	6.330196e+02
1312147.029725	2.437558	6.676286e+02
1312197.031474	5.530936	6.860109e+02
1312247.033222	5.038325	7.382797e+02
1312297.034971	0.801168	8.467587e+02
1312347.036719	1.754391	9.180683e+02
1312397.038468	0.892258	1.280707e+07
1312447.040216	0.866436	3.855901e+07
1312497.041965	4.227097	1.670920e+03
1312547.043713	1.798419	8.527097e+06
1312597.045462	2.340770	1.818018e+07
1312647.047210	0.000000	1.200000e+09
1312697.048959	2.560973	2.262426e+03
1312747.050707	0.495266	2.192449e+06
1312797.052456	5.202553	2.003451e+03
1312847.054204	1.434485	9.262234e+03
1312897.055953	0.220034	2.436788e+04
1312947.057701	0.127577	2.335813e+05
1312997.059450	0.445827	5.747324e+07
1313047.061199	0.655323	8.941515e+03
1313097.062947	0.758916	5.869784e+03
1313147.064696	0.168236	2.702790e+04
1313197.066444	0.630009	5.214296e+03
1313247.068193	1.196453	4.021729e+03
1313297.069941	0.824042	3.232020e+03
1313347.071690	0.040075	1.718545e+08
1313397.073438	0.930474	2.348639e+03
1313447.075187	1.344375	1.798615e+03
1313497.076935	0.881264	7.514939e+03
1313547.078684	0.979459	1.713560e+07
1313597.080432	0.080150	1.718545e+08
1313647.082181	0.484437	8.277351e+03
1313697.083929	0.878558	2.938903e+07
1313747.085678	0.520227	4.596819e+07
1313797.087426	0.031877	4.564929e+04
1313847.089175	0.004303	3.612022e+05
1313897.090924	0.000000	1.200000e+09
1313947.092672	0.000000	3.105736e+05
1313997.094421	0.854901	1.570775e+03
1314047.096169	0.849985	1.205262e+03
1314097.097918	2.146079	1.466220e+03
1314147.099666	2.339129	4.472484e+03
1314197.101415	2.027838	1.900932e+07
1314247.103163	0.102325	3.943219e+07
1314297.104912	0.495266	3.705777e+07
1314347.106660	0.618779	1.219463e+04
1314397.108409	1.206011	3.731887e+04
1314447.110157	0.000000	4.078537e+05
1314497.111906	0.000000	1.621450e+06
1314547.113654	0.026487	5.441333e+04
1314597.115403	0.029643	2.258735e+08
1314647.117151	0.029645	9.236708e+04
1314697.118900	0.936748	2.208349e+04
1314747.120649	0.000020	4.670866e+08
1314797.122397	0.584190	8.458109e+07
1314847.124146	0.389880	1.622579e+04
1314897.125894	0.000000	1.200000e+09
1314947.127643	0.204954	7.950961e+07
1314997.129391	0.000000	1.200000e+09
1315047.131140	0.000000	6.623670e+05
1315097.132888	0.905082	1.233537e+04
1315147.134637	6.048867	2.072412e+03
1315197.136385	6.738737	2.059091e+03
1315247.138134	6.877192	2.163382e+03
1315297.139882	1.606816	3.331099e+07
1315347.141631	1.951482	5.169765e+03
1315397.143379	0.445945	5.610749e+04
1315447.145128	0.401739	1.591393e+04
1315497.146876	0.019389	1.912696e+08
1315547.148625	0.075072	1.471090e+04
1315597.150374	0.002512	7.803362e+04
1315647.152122	0.003923	6.438101e+04
1315697.153871	0.182497	1.361396e+08
1315747.155619	0.204121	3.910577e+04
1315797.157368	2.870162	6.064394e+03
1315847.159116	1.021797	2.862183e+07
1315897.160865	0.349229	1.423423e+04
1315947.162613	0.031751	1.941079e+04
1315997.164362	0.002595	2.736005e+08
