location	LR	alpha
5223817.000000	1.307111	5.194964e+03
5223867.002907	0.947480	8.863527e+03
5223917.005815	0.007598	1.719912e+08
5223967.008722	0.000000	5.934825e+05
5224017.011629	0.001695	3.525206e+04
5224067.014536	0.002816	2.539177e+08
5224117.017444	0.014740	2.234464e+08
5224167.020351	0.015007	1.917345e+04
5224217.023258	0.016886	9.271366e+03
5224267.026165	0.048897	5.818910e+03
5224317.029073	0.031480	8.050159e+03
5224367.031980	0.021468	1.836387e+04
5224417.034887	0.020236	2.082183e+08
5224467.037794	0.466695	4.554322e+07
5224517.040702	0.341037	1.323244e+04
5224567.043609	0.010407	9.119009e+04
5224617.046516	0.000000	1.200000e+09
5224667.049424	0.017502	1.694179e+05
5224717.052331	0.339919	1.580750e+04
5224767.055238	0.475845	6.765524e+03
5224817.058145	0.000000	1.200000e+09
5224867.061053	0.292717	4.945502e+03
5224917.063960	0.000000	1.200000e+09
5224967.066867	0.318126	1.455759e+04
5225017.069774	0.033932	5.688155e+04
5225067.072682	1.530756	1.258048e+07
5225117.075589	0.000000	1.200000e+09
5225167.078496	0.006638	2.543024e+08
5225217.081404	0.007990	1.504837e+05
5225267.084311	0.007992	1.030838e+05
5225317.087218	0.050416	8.627512e+04
5225367.090125	0.056266	1.221580e+05
5225417.093033	0.000000	4.217305e+05
5225467.095940	0.774238	7.202425e+03
5225517.098847	4.506693	3.401140e+03
5225567.101754	2.419249	2.901530e+03
5225617.104662	2.406445	9.318135e+06
5225667.107569	1.532455	7.896363e+06
5225717.110476	0.031720	1.008780e+05
5225767.113383	5.173551	1.126172e+03
5225817.116291	1.171344	2.089615e+07
5225867.119198	0.532390	2.262135e+07
5225917.122105	2.395427	2.133847e+07
5225967.125013	1.510965	2.314818e+07
5226017.127920	0.711492	1.915326e+07
5226067.130827	14.893037	8.869798e+02
5226117.133734	11.119823	8.981464e+02
5226167.136642	1.426471	2.161285e+07
5226217.139549	11.914431	1.002572e+03
5226267.142456	2.395752	1.117862e+07
5226317.145363	1.977369	2.248202e+03
5226367.148271	3.477754	2.866458e+03
5226417.151178	0.432431	3.919607e+03
5226467.154085	0.000000	1.297563e+05
5226517.156992	0.002485	2.008845e+08
5226567.159900	0.026208	1.020263e+05
5226617.162807	0.026211	3.564138e+04
5226667.165714	0.026428	1.280703e+04
5226717.168622	0.026680	7.797115e+03
5226767.171529	0.048919	4.725594e+03
5226817.174436	0.148652	3.731106e+03
5226867.177343	0.190114	4.257281e+03
5226917.180251	0.212040	6.167401e+03
5226967.183158	0.485745	1.117590e+04
5227017.186065	0.068438	1.571171e+08
5227067.188972	0.272322	9.420660e+03
5227117.191880	0.431044	4.734374e+03
5227167.194787	0.490203	6.609873e+03
5227217.197694	0.450510	1.050590e+04
5227267.200602	0.082254	7.202511e+04
5227317.203509	0.090687	4.140570e+04
5227367.206416	0.234413	9.821908e+03
5227417.209323	0.130316	7.277518e+03
5227467.212231	0.008244	1.277006e+04
5227517.215138	0.005554	3.298200e+04
5227567.218045	0.000273	3.820560e+08
5227617.220952	0.467081	4.736520e+07
5227667.223860	0.219490	7.918735e+03
5227717.226767	0.036908	1.990030e+04
5227767.229674	0.036096	1.792120e+08
5227817.232581	0.005520	1.323607e+05
5227867.235489	0.000000	2.369541e+07
5227917.238396	0.000000	1.304909e+05
5227967.241303	0.000000	1.209727e+06
5228017.244211	2.463898	2.491220e+03
5228067.247118	5.282517	1.756335e+03
5228117.250025	2.138321	8.054084e+06
5228167.252932	11.799037	8.971984e+02
5228217.255840	3.740645	6.074188e+02
5228267.258747	13.637090	4.669206e+02
5228317.261654	14.653696	3.670568e+02
5228367.264561	16.012677	3.219867e+02
5228417.267469	17.524721	2.960571e+02
5228467.270376	19.097510	2.794824e+02
5228517.273283	20.667960	2.689292e+02
5228567.276190	22.165675	2.633209e+02
5228617.279098	23.469315	2.608116e+02
5228667.282005	14.612015	2.562345e+02
5228717.284912	23.096173	2.532439e+02
5228767.287820	21.862301	2.492496e+02
5228817.290727	16.889529	2.461736e+02
5228867.293634	0.340529	8.131823e+07
5228917.296541	21.349328	2.252968e+02
5228967.299449	26.164655	2.114600e+02
5229017.302356	29.249361	2.026470e+02
5229067.305263	31.611046	1.972014e+02
5229117.308170	34.723504	1.922755e+02
5229167.311078	35.907210	1.924375e+02
5229217.313985	36.197104	1.936438e+02
5229267.316892	35.138140	1.934599e+02
5229317.319799	34.426836	1.920959e+02
5229367.322707	35.024702	1.826434e+02
5229417.325614	31.595569	1.775113e+02
5229467.328521	28.625607	1.734154e+02
5229517.331429	28.292922	1.672516e+02
5229567.334336	26.528358	1.612992e+02
5229617.337243	27.549151	1.585922e+02
5229667.340150	10.000510	1.542818e+02
5229717.343058	10.661257	1.518567e+02
5229767.345965	29.878764	1.496176e+02
5229817.348872	32.077486	1.475183e+02
5229867.351779	32.928575	1.467186e+02
5229917.354687	32.955575	1.472081e+02
5229967.357594	32.596846	1.479821e+02
5230017.360501	22.445084	1.476117e+02
5230067.363409	29.455709	1.474434e+02
5230117.366316	21.317807	1.442503e+02
5230167.369223	19.079827	1.426994e+02
5230217.372130	25.755081	1.411187e+02
5230267.375038	27.962093	1.400612e+02
5230317.377945	28.997123	1.389192e+02
5230367.380852	29.011153	1.381588e+02
5230417.383759	28.613763	1.374605e+02
5230467.386667	27.970285	1.374926e+02
5230517.389574	27.146826	1.382601e+02
5230567.392481	25.716615	1.394016e+02
5230617.395388	24.286805	1.406947e+02
5230667.398296	22.735884	1.427413e+02
5230717.401203	21.059324	1.456627e+02
5230767.404110	19.249176	1.496617e+02
5230817.407018	17.294952	1.550724e+02
5230867.409925	15.184655	1.624503e+02
5230917.412832	12.906951	1.728053e+02
5230967.415739	10.456688	1.881887e+02
5231017.418647	7.854265	2.141356e+02
5231067.421554	5.276849	2.920298e+02
5231117.424461	5.492783	3.483997e+03
5231167.427368	5.645637	3.881314e+03
5231217.430276	1.931244	1.199828e+03
5231267.433183	0.000000	2.115750e+05
5231317.436090	0.000000	1.200000e+09
5231367.438997	0.000007	1.590851e+05
