location	LR	alpha	D
635459.000000	6.068426	3.960397e-02	0.041963
635509.007419	3.166077	1.025706e-01	0.041963
635559.014839	0.640923	5.710252e-01	0.041963
635609.022258	2.294380	2.127940e-01	0.041963
635659.029677	0.642748	3.633095e-01	0.013988
635709.037096	2.955918	2.790938e-02	0.041963
635759.044516	2.803918	6.915721e-02	0.041963
635809.051935	2.533843	2.035690e-01	0.041963
635859.059354	3.383771	2.999554e-02	0.041963
635909.066774	3.576842	4.080707e-02	0.041963
635959.074193	0.900855	6.669415e-02	0.041963
636009.081612	2.170941	2.714431e-02	0.013988
636059.089031	1.225269	1.034101e-01	0.041963
636109.096451	2.084303	1.689881e-01	0.013988
636159.103870	2.917614	5.968999e-01	0.041963
636209.111289	2.034034	6.312093e-02	0.027976
636259.118709	0.634074	4.424988e-01	0.013988
636309.126128	0.716675	8.443202e-02	0.013988
636359.133547	0.000000	1.092236e-01	0.013988
636409.140967	0.000000	2.004710e-01	0.013988
636459.148386	3.334780	1.397761e-01	0.041963
636509.155805	0.775317	2.111034e-01	0.041963
636559.163224	1.686365	1.582346e-01	0.027976
636609.170644	0.640796	3.784720e+00	0.013988
636659.178063	2.503170	2.734292e+00	0.041963
636709.185482	2.341147	3.803672e-01	0.041963
636759.192902	0.785700	9.557570e-01	0.041963
636809.200321	0.642748	2.856925e+00	0.013988
636859.207740	0.640796	4.297594e+00	0.013988
636909.215159	2.744349	2.883748e-01	0.041963
636959.222579	1.252455	1.050581e-01	0.013988
637009.229998	2.524260	2.145062e+00	0.041963
637059.237417	1.035899	1.399212e-01	0.041963
637109.244837	2.706092	1.720303e-01	0.041963
637159.252256	3.564123	7.283863e-02	0.041963
637209.259675	1.494689	1.045840e-01	0.041963
637259.267094	0.854234	4.176396e-01	0.013988
637309.274514	2.745908	4.050296e-02	0.041963
637359.281933	2.025722	9.932488e-02	0.041963
637409.289352	0.000000	2.094631e-01	0.013988
637459.296772	3.827069	4.928733e-03	0.041963
637509.304191	4.287286	4.839304e-03	0.041963
637559.311610	0.000000	5.788388e-02	0.013988
637609.319029	0.000000	5.388877e-02	0.013988
637659.326449	0.000000	6.949531e-02	0.013988
637709.333868	0.192267	3.358204e-02	0.041963
637759.341287	1.499563	1.419545e-02	0.041963
637809.348707	4.462519	2.046564e-02	0.041963
637859.356126	3.814771	4.088998e-02	0.041963
637909.363545	5.412900	3.384635e-02	0.041963
637959.370965	6.210233	4.141445e-02	0.041963
638009.378384	7.101695	2.082797e-02	0.041963
638059.385803	6.785120	1.434745e-02	0.041963
638109.393222	5.118325	1.017472e-02	0.041963
638159.400642	5.376662	9.129637e-03	0.041963
638209.408061	2.585178	8.699384e-03	0.041963
638259.415480	0.000000	3.484165e-02	0.013988
638309.422900	0.000000	3.042420e-02	0.013988
638359.430319	0.000000	2.700087e-02	0.013988
638409.437738	0.014991	1.011431e-02	0.013988
638459.445157	0.226435	1.205358e-02	0.013988
638509.452577	0.866345	2.236521e-02	0.013988
638559.459996	0.866226	2.466395e-02	0.013988
638609.467415	0.964171	2.341314e-02	0.013988
638659.474835	0.863992	3.104584e-02	0.027976
638709.482254	0.957467	2.908966e-02	0.013988
638759.489673	1.742584	9.831949e-03	0.027976
638809.497092	2.351015	1.302221e-02	0.027976
638859.504512	3.006832	1.617086e-02	0.027976
638909.511931	2.355333	2.199864e-02	0.013988
638959.519350	2.027404	1.633082e-01	0.041963
639009.526770	4.301643	2.523802e-02	0.013988
639059.534189	2.686463	1.567927e-01	0.041963
639109.541608	1.451984	7.922968e-02	0.013988
639159.549027	2.576699	5.923956e-01	0.041963
639209.556447	3.751444	5.296692e-02	0.041963
639259.563866	3.905047	3.222029e-02	0.013988
639309.571285	1.537084	9.801620e-02	0.027976
639359.578705	1.678052	2.449269e-02	0.013988
639409.586124	2.010479	2.813030e-02	0.013988
639459.593543	1.529351	9.259723e-02	0.013988
639509.600963	1.292299	2.432809e-01	0.041963
639559.608382	0.716298	4.226598e-01	0.013988
639609.615801	2.568623	4.145462e+00	0.041963
639659.623220	1.305638	5.154495e-02	0.013988
639709.630640	1.217779	5.816592e-01	0.013988
639759.638059	1.089005	9.865335e-02	0.013988
639809.645478	0.642748	4.536041e+00	0.013988
639859.652898	0.185003	1.545338e-01	0.013988
639909.660317	1.828341	8.883035e-02	0.041963
639959.667736	0.642748	5.901949e-01	0.013988
640009.675155	0.577771	1.078603e+00	0.041963
640059.682575	1.242989	3.843042e-01	0.041963
640109.689994	0.642748	8.385737e-01	0.013988
640159.697413	0.642748	7.069580e+00	0.013988
640209.704833	2.893042	4.021503e-01	0.041963
640259.712252	1.288881	9.577954e-02	0.041963
640309.719671	2.389895	2.099051e+00	0.041963
640359.727090	0.642748	2.808390e+00	0.013988
640409.734510	0.773884	9.295614e-01	0.041963
640459.741929	0.536799	8.587261e-02	0.041963
640509.749348	1.820756	2.035930e-01	0.041963
640559.756768	1.353663	4.880064e-01	0.041963
640609.764187	1.124237	1.881934e-01	0.041963
640659.771606	0.565531	8.585435e-02	0.041963
640709.779025	0.000000	1.214833e-01	0.013988
640759.786445	1.307107	2.998400e-02	0.041963
640809.793864	1.626834	6.036404e-02	0.041963
640859.801283	1.336558	5.353616e-02	0.013988
640909.808703	1.887023	2.803169e-01	0.041963
640959.816122	0.136325	2.677609e-01	0.041963
641009.823541	1.764707	3.398857e-01	0.041963
641059.830960	0.899028	1.107935e+00	0.013988
641109.838380	1.330244	3.064225e-01	0.041963
641159.845799	2.717713	1.752900e+00	0.041963
641209.853218	1.513730	1.653168e-01	0.041963
641259.860638	1.578571	1.687729e+00	0.041963
641309.868057	1.955740	2.333987e+00	0.041963
641359.875476	3.517882	2.782639e-01	0.041963
641409.882896	0.530639	2.734551e-01	0.013988
641459.890315	2.157864	2.109321e-01	0.041963
641509.897734	2.100885	9.167463e-02	0.041963
641559.905153	0.000000	6.284420e-01	0.013988
641609.912573	1.761263	7.228200e-01	0.041963
641659.919992	2.178256	1.495580e+00	0.041963
641709.927411	0.642748	5.200976e-01	0.013988
641759.934831	0.785700	5.050386e-01	0.041963
641809.942250	0.912268	7.950062e-02	0.041963
641859.949669	0.000000	1.111629e-01	0.013988
641909.957088	0.000000	1.289728e-01	0.013988
641959.964508	0.167010	5.924790e-02	0.041963
642009.971927	1.057085	3.594203e-01	0.041963
642059.979346	4.305755	4.615703e-02	0.041963
642109.986766	1.253773	4.285513e-02	0.041963
642159.994185	0.785700	2.108510e-01	0.041963
642210.001604	1.106862	1.226124e-01	0.041963
642260.009023	0.785700	3.080474e-01	0.041963
642310.016443	0.882434	4.379826e-02	0.041963
642360.023862	2.725649	1.206834e-01	0.041963
642410.031281	0.859166	1.041970e-01	0.041963
642460.038701	1.228493	8.485013e-02	0.041963
642510.046120	0.540330	1.788348e-01	0.041963
642560.053539	0.785659	4.631767e-02	0.041963
642610.060958	0.691694	1.412778e-01	0.041963
642660.068378	2.104583	9.614108e-02	0.041963
642710.075797	0.612391	8.506068e-02	0.041963
642760.083216	0.642748	2.225651e-01	0.013988
642810.090636	0.642748	3.069552e+00	0.013988
642860.098055	1.110752	1.413396e-01	0.041963
642910.105474	0.000000	4.779834e-01	0.013988
642960.112894	1.831365	4.526376e-02	0.041963
643010.120313	1.351805	3.793125e-01	0.041963
643060.127732	1.423484	2.601472e-01	0.041963
643110.135151	0.217302	3.850520e-02	0.041963
643160.142571	2.669972	3.716004e-01	0.041963
643210.149990	1.764707	3.293018e-01	0.041963
643260.157409	1.734194	1.044909e-01	0.041963
643310.164829	3.150814	9.800409e-02	0.041963
643360.172248	1.246830	6.988021e-01	0.041963
643410.179667	0.642748	2.316751e+00	0.013988
643460.187086	0.000000	2.738919e-01	0.013988
643510.194506	1.616095	3.640588e-01	0.041963
643560.201925	1.146461	7.227556e-03	0.041963
643610.209344	0.815891	7.995391e-03	0.041963
643660.216764	0.736600	8.414064e-01	0.041963
643710.224183	0.000000	2.841974e-01	0.013988
643760.231602	3.151841	2.613061e-02	0.041963
643810.239021	1.929824	4.030395e-02	0.041963
643860.246441	2.707234	9.383760e+00	0.041963
643910.253860	2.725536	5.986023e-01	0.041963
643960.261279	0.642748	5.520103e-01	0.013988
644010.268699	0.917336	4.663582e-01	0.041963
644060.276118	1.778298	6.605220e-01	0.041963
644110.283537	2.156652	1.068058e-01	0.041963
644160.290956	1.077825	1.864781e-01	0.041963
644210.298376	0.785700	2.263857e-01	0.041963
644260.305795	6.928272	1.433757e-02	0.041963
644310.313214	1.526233	2.324171e-02	0.041963
644360.320634	2.083158	5.076508e-01	0.041963
644410.328053	2.140808	2.293225e-01	0.027976
644460.335472	2.291392	4.417650e-01	0.041963
644510.342892	1.077364	2.041106e+00	0.041963
644560.350311	4.826446	5.930311e-02	0.041963
644610.357730	4.107256	1.729998e-02	0.041963
644660.365149	2.163079	1.529900e-02	0.041963
644710.372569	0.642748	2.382248e-01	0.013988
644760.379988	0.642748	1.195457e-01	0.013988
644810.387407	0.642748	7.979391e-02	0.013988
644860.394827	0.642748	5.988177e-02	0.013988
644910.402246	0.642748	4.792288e-02	0.013988
644960.409665	0.000000	4.307400e-02	0.013988
645010.417084	0.000000	5.249738e-02	0.013988
645060.424504	0.000000	6.719847e-02	0.013988
645110.431923	0.000000	9.333577e-02	0.013988
645160.439342	0.000000	1.527482e-01	0.013988
645210.446762	0.706096	1.301294e-01	0.041963
645260.454181	0.267168	6.511946e-02	0.041963
645310.461600	0.783405	3.290208e-01	0.041963
645360.469019	2.744703	1.530028e+00	0.041963
645410.476439	0.000000	3.584611e-01	0.013988
645460.483858	0.761440	3.132149e-01	0.041963
645510.491277	3.923168	8.026288e-02	0.041963
645560.498697	4.353433	6.098507e-02	0.041963
645610.506116	0.785700	8.893234e-01	0.041963
645660.513535	2.375274	2.201289e-01	0.041963
645710.520954	0.000000	2.961431e-01	0.013988
645760.528374	0.977125	1.300348e+00	0.041963
645810.535793	2.484763	1.799848e+00	0.041963
645860.543212	2.743218	4.216919e-01	0.041963
645910.550632	2.941147	5.140301e-02	0.041963
645960.558051	0.636473	2.715244e+01	0.013988
646010.565470	2.519069	1.473576e-01	0.027976
646060.572890	0.806622	2.754007e-01	0.013988
646110.580309	1.742655	2.359626e-01	0.041963
646160.587728	0.716379	1.170832e-01	0.027976
646210.595147	1.656613	1.203162e-01	0.027976
646260.602567	0.008869	1.507488e-01	0.013988
646310.609986	0.000000	2.586764e-01	0.013988
646360.617405	2.508799	2.056937e+00	0.041963
646410.624825	1.106323	2.915833e+00	0.041963
646460.632244	0.739762	3.635989e-01	0.041963
646510.639663	4.239841	4.389811e-02	0.041963
646560.647082	2.069536	1.658105e-01	0.041963
646610.654502	2.606520	6.937869e-01	0.041963
646660.661921	3.064165	1.323599e-01	0.041963
646710.669340	0.815408	2.600862e-01	0.013988
646760.676760	0.704905	9.728331e-02	0.027976
646810.684179	1.109192	3.149740e-01	0.041963
646860.691598	0.559584	7.652127e-02	0.041963
646910.699017	0.409056	1.267173e-01	0.041963
646960.706437	1.461297	3.907976e-01	0.041963
647010.713856	0.000000	2.683733e-01	0.013988
647060.721275	0.820872	1.453092e-01	0.041963
647110.728695	0.562532	3.119856e+00	0.041963
647160.736114	1.275315	1.584450e-01	0.041963
647210.743533	0.642748	2.089306e+00	0.013988
647260.750952	1.246685	1.333019e-01	0.041963
647310.758372	2.108140	5.157827e-01	0.041963
647360.765791	0.985377	1.194524e-01	0.041963
647410.773210	0.877361	5.639809e-02	0.013988
647460.780630	0.642748	8.118731e-01	0.013988
647510.788049	2.694550	7.935884e-02	0.041963
647560.795468	1.999972	3.787934e-02	0.027976
647610.802888	0.642748	5.262491e-01	0.013988
647660.810307	2.189766	6.902492e-01	0.041963
647710.817726	0.977125	8.418560e-01	0.041963
647760.825145	0.585909	6.718903e-02	0.027976
647810.832565	1.804420	1.760372e-01	0.041963
647860.839984	1.130757	9.664948e-02	0.013988
647910.847403	0.000000	3.979757e-01	0.013988
647960.854823	1.773031	2.137317e-01	0.041963
648010.862242	1.262856	1.717666e-01	0.013988
648060.869661	3.089705	2.361600e-02	0.013988
648110.877080	2.937035	1.503991e-02	0.027976
648160.884500	1.382318	2.410198e-02	0.013988
648210.891919	3.013569	1.505553e-01	0.041963
648260.899338	3.596510	8.170683e-01	0.041963
648310.906758	2.179748	8.713475e-01	0.041963
648360.914177	2.034334	1.721443e+00	0.041963
648410.921596	0.871230	7.647131e-02	0.013988
648460.929015	2.921076	1.249076e-01	0.041963
648510.936435	1.063476	7.950367e-02	0.013988
648560.943854	2.066187	1.667968e-01	0.013988
648610.951273	0.000000	3.247520e-01	0.013988
648660.958693	2.286091	1.365128e+00	0.041963
648710.966112	1.937737	2.498236e-01	0.041963
648760.973531	1.115117	1.666054e-01	0.041963
648810.980950	2.763080	2.919572e-02	0.027976
