location	LR	alpha	D
2476329.000000	1.809161	9.090908e-02	0.005892
2476379.009071	0.871579	1.463576e-01	0.005892
2476429.018141	1.004907	2.565287e-01	0.005892
2476479.027212	0.672161	8.220713e-02	0.005892
2476529.036283	1.726855	1.689277e-01	0.041242
2476579.045353	1.052415	6.751614e-02	0.035351
2476629.054424	1.147868	2.991861e-02	0.041242
2476679.063495	1.005421	2.333796e-02	0.023567
2476729.072565	1.967538	2.685000e-02	0.041242
2476779.081636	0.689522	1.887035e-02	0.005892
2476829.090707	1.073188	1.139700e-02	0.005892
2476879.099777	0.703780	2.104735e-01	0.041242
2476929.108848	1.821162	7.807967e-03	0.005892
2476979.117919	2.285616	7.947642e-03	0.005892
2477029.126989	1.271918	8.016715e-03	0.005892
2477079.136060	1.168865	4.924360e-03	0.005892
2477129.145130	1.818540	5.027536e-03	0.005892
2477179.154201	2.282772	4.538842e-03	0.005892
2477229.163272	0.661549	5.362388e-01	0.041242
2477279.172342	0.750649	3.631335e-01	0.041242
2477329.181413	1.545558	3.391920e-03	0.005892
2477379.190484	0.834720	3.479460e-03	0.005892
2477429.199554	0.661549	2.327527e-01	0.041242
2477479.208625	1.269225	3.542130e-03	0.005892
2477529.217696	1.468421	3.637705e-03	0.005892
2477579.226766	1.473001	3.693701e-03	0.005892
2477629.235837	1.665166	3.751448e-03	0.005892
2477679.244908	1.496863	5.597652e-03	0.005892
2477729.253978	1.685206	5.731354e-03	0.005892
2477779.263049	1.881654	5.871597e-03	0.005892
2477829.272120	2.673491	6.018875e-03	0.005892
2477879.281190	1.394907	7.331742e-03	0.017675
2477929.290261	3.920657	9.183191e-02	0.041242
2477979.299332	5.822677	4.384138e-01	0.041242
2478029.308402	2.527555	1.755177e-02	0.029459
2478079.317473	2.918332	9.253367e-02	0.041242
2478129.326544	1.095471	3.564284e-02	0.005892
2478179.335614	0.431559	1.545109e-01	0.005892
2478229.344685	0.687798	6.196574e-02	0.005892
2478279.353756	1.895642	4.123975e-01	0.041242
2478329.362826	0.960031	8.782380e-02	0.005892
2478379.371897	1.827748	8.799465e-02	0.005892
2478429.380968	5.395660	1.830727e+00	0.041242
2478479.390038	3.496150	6.465168e-02	0.023567
2478529.399109	2.258779	9.095163e-01	0.041242
2478579.408180	1.905745	7.527842e-02	0.035351
2478629.417250	4.579348	1.508411e-01	0.041242
2478679.426321	3.304407	2.118065e-02	0.017675
2478729.435391	1.776535	1.569786e-02	0.011784
2478779.444462	1.352173	1.605471e-02	0.005892
2478829.453533	1.324404	1.710507e-02	0.005892
2478879.462603	1.269973	1.565481e-02	0.005892
2478929.471674	1.544101	1.438036e-02	0.011784
2478979.480745	2.116487	1.422611e-02	0.035351
2479029.489815	3.224266	1.462541e-02	0.041242
2479079.498886	2.790075	1.613985e-02	0.041242
2479129.507957	2.605275	2.583379e-02	0.041242
2479179.517027	2.330229	4.188730e-02	0.041242
2479229.526098	2.066521	1.439314e-01	0.041242
2479279.535169	0.286590	7.724408e-01	0.005892
2479329.544239	0.195990	1.257302e+00	0.005892
2479379.553310	0.799372	9.557696e-02	0.005892
2479429.562381	1.048269	3.569897e-02	0.005892
2479479.571451	0.922153	5.566599e-02	0.005892
2479529.580522	2.989612	9.692003e-01	0.041242
2479579.589593	1.703404	7.663342e-02	0.041242
2479629.598663	1.079713	3.282287e-02	0.005892
2479679.607734	1.017917	2.819499e-02	0.005892
2479729.616805	0.941898	1.092515e-02	0.005892
2479779.625875	1.128502	1.144629e-02	0.005892
2479829.634946	1.460524	1.201965e-02	0.005892
2479879.644017	0.999041	2.408353e-01	0.041242
2479929.653087	0.847556	7.115196e-02	0.041242
2479979.662158	1.329503	3.461582e-02	0.041242
2480029.671229	1.531924	1.959731e-02	0.041242
2480079.680299	2.644733	1.579612e-02	0.041242
2480129.689370	2.504570	1.565945e-02	0.041242
2480179.698440	1.540537	1.636434e-02	0.041242
2480229.707511	1.305498	2.005708e-02	0.017675
2480279.716582	0.935605	2.017767e-02	0.005892
2480329.725652	0.591840	2.368145e-02	0.017675
2480379.734723	0.595544	2.676986e-02	0.005892
2480429.743794	0.192642	4.402667e-01	0.005892
2480479.752864	3.344297	5.522947e-03	0.005892
2480529.761935	1.490928	7.433005e-02	0.029459
2480579.771006	2.096333	1.187008e-01	0.011784
2480629.780076	2.562272	2.181068e-02	0.005892
2480679.789147	0.930142	1.605972e-02	0.005892
2480729.798218	0.948066	8.746240e-02	0.005892
2480779.807288	0.964386	3.537813e-02	0.005892
2480829.816359	1.609050	5.314052e-02	0.005892
2480879.825430	1.738676	1.550375e+00	0.041242
2480929.834500	3.017671	1.310787e+00	0.041242
2480979.843571	1.426928	4.361157e-02	0.005892
2481029.852642	1.955867	3.253331e-02	0.005892
2481079.861712	0.783739	1.063248e-01	0.005892
2481129.870783	2.579670	1.299773e-02	0.011784
2481179.879854	0.803334	5.772565e-02	0.011784
2481229.888924	0.986041	4.631220e-02	0.005892
2481279.897995	3.090827	1.453420e-01	0.041242
2481329.907066	1.017939	3.352825e-02	0.011784
2481379.916136	0.282772	2.851448e-01	0.005892
2481429.925207	0.751007	1.014722e+00	0.041242
2481479.934278	2.449732	1.932755e-01	0.041242
2481529.943348	0.791227	5.107616e-02	0.005892
2481579.952419	1.600913	2.443756e-02	0.005892
2481629.961489	1.298581	1.810060e-02	0.005892
2481679.970560	0.990731	1.683099e-02	0.005892
2481729.979631	0.680780	3.761515e-02	0.005892
2481779.988701	0.990104	3.821793e-02	0.005892
2481829.997772	0.823375	5.479396e-02	0.005892
