location	LR	alpha	D
294909.000000	3.810605	7.075356e+01	0.047290
294959.005100	2.643151	2.251429e-02	0.047290
295009.010200	2.897392	8.327606e-03	0.010509
295059.015300	1.503423	9.049875e-03	0.005254
295109.020400	1.819327	2.013491e-02	0.010509
295159.025500	2.084456	5.406026e-02	0.015763
295209.030600	2.052637	6.476091e-03	0.010509
295259.035700	4.141038	5.342915e-03	0.010509
295309.040800	1.271984	2.999695e-02	0.005254
295359.045900	0.747713	2.067898e-02	0.005254
295409.051000	1.784879	1.152794e-02	0.005254
295459.056100	1.480049	3.935151e-02	0.026272
295509.061200	3.643659	4.741936e-02	0.047290
295559.066300	2.421414	5.873907e-03	0.005254
295609.071400	3.930932	6.424229e-03	0.005254
295659.076500	4.340256	6.428278e-03	0.005254
295709.081600	1.604664	1.542496e-02	0.005254
295759.086700	3.841272	9.829079e-02	0.047290
295809.091800	1.452759	1.836879e-02	0.005254
295859.096900	2.116745	9.975865e-03	0.005254
295909.102000	0.903777	1.580816e-02	0.005254
295959.107100	1.298639	1.252885e-03	0.010509
296009.112200	1.446326	6.032764e-01	0.047290
296059.117300	1.522703	4.227097e-02	0.021018
296109.122400	3.782629	2.772549e-01	0.047290
296159.127500	1.192322	4.895413e-02	0.010509
296209.132600	3.117463	1.263175e-03	0.010509
296259.137700	3.866226	1.269860e-03	0.010509
296309.142800	2.997236	1.276615e-03	0.010509
296359.147900	1.830353	1.195475e-03	0.010509
296409.153000	1.065203	1.007427e-02	0.005254
296459.158100	0.752222	9.968089e-03	0.005254
296509.163200	1.134325	3.322597e-02	0.005254
296559.168300	0.942720	2.818013e-02	0.005254
296609.173400	1.039685	2.514810e-02	0.005254
296659.178500	0.676359	1.372717e-02	0.005254
296709.183600	0.421202	3.277044e-02	0.005254
296759.188700	0.356769	2.119435e-02	0.005254
296809.193800	0.476792	1.807756e-02	0.005254
296859.198900	0.410099	9.085394e-03	0.005254
296909.204000	0.987906	1.591943e-02	0.005254
296959.209100	0.878527	1.611191e-02	0.005254
297009.214200	0.206330	2.273338e-01	0.005254
297059.219300	1.705757	4.927488e-02	0.026272
297109.224400	3.076786	1.235854e+00	0.047290
297159.229500	1.219107	1.928098e-01	0.047290
297209.234600	1.499594	4.250104e-01	0.047290
297259.239700	0.292924	1.252296e-02	0.005254
297309.244800	0.798090	8.606808e-03	0.010509
297359.249900	0.651970	1.019108e-01	0.005254
297409.255000	1.228536	9.395149e-03	0.010509
297459.260100	2.770091	9.476723e-03	0.015763
297509.265200	0.837683	4.614915e-03	0.010509
297559.270300	1.074393	4.527841e-03	0.010509
297609.275400	2.513351	2.398679e-02	0.021018
297659.280500	4.915766	4.973464e-02	0.047290
297709.285600	2.031982	3.402187e-02	0.026272
297759.290700	2.559269	6.768544e-02	0.047290
297809.295800	1.826361	7.223274e-03	0.010509
297859.300900	3.099013	7.201579e-03	0.015763
297909.306000	3.122374	6.991759e-03	0.015763
297959.311100	1.978317	7.424313e-03	0.015763
298009.316200	1.553807	5.179475e-02	0.047290
298059.321300	1.547589	1.765540e-02	0.047290
298109.326400	3.285450	2.011150e-02	0.047290
298159.331500	2.990931	2.841370e-02	0.047290
298209.336600	2.703769	6.228480e-02	0.047290
298259.341700	2.511730	3.945731e-01	0.047290
298309.346800	2.622514	5.007234e-02	0.047290
298359.351900	1.397954	2.545869e-02	0.031527
298409.357000	1.447067	3.448560e-01	0.047290
298459.362100	2.645517	1.597672e-01	0.047290
298509.367200	0.713793	8.569182e-03	0.010509
298559.372300	3.075336	6.548767e-03	0.010509
298609.377400	4.032760	6.384175e-03	0.010509
298659.382500	3.481837	6.456310e-03	0.010509
298709.387600	1.494116	6.611421e-01	0.047290
298759.392700	3.365953	5.884459e-01	0.047290
298809.397800	4.655346	3.203398e-02	0.047290
298859.402900	4.492704	9.966538e-02	0.047290
298909.408000	2.478807	9.602776e-01	0.047290
298959.413100	2.524055	2.334036e-01	0.031527
299009.418200	1.406180	1.658792e-02	0.010509
299059.423300	1.982801	1.635417e-03	0.010509
299109.428400	5.941090	1.646639e-03	0.010509
299159.433500	8.463266	1.658016e-03	0.010509
299209.438600	8.758686	1.528553e-03	0.010509
299259.443700	7.786866	1.538352e-03	0.010509
299309.448800	2.553251	1.050947e+00	0.047290
299359.453900	7.548898	1.558331e-03	0.010509
299409.459000	6.798803	1.535371e-03	0.010509
299459.464100	4.965747	1.541122e-03	0.010509
299509.469200	2.225590	1.551083e-03	0.010509
299559.474300	1.427846	1.095002e-01	0.047290
299609.479400	3.571899	2.407321e-02	0.047290
299659.484500	1.441150	2.028794e-02	0.031527
299709.489600	1.347089	1.618364e-02	0.021018
299759.494700	1.452977	1.643722e-03	0.010509
299809.499800	2.102174	1.655058e-03	0.010509
299859.504900	2.503451	1.666551e-03	0.010509
299909.510000	2.749137	1.678207e-03	0.010509
299959.515100	2.887066	1.690025e-03	0.010509
300009.520200	3.005503	1.677129e-03	0.005254
300059.525300	3.092012	1.669804e-03	0.005254
300109.530400	3.141908	1.681504e-03	0.005254
300159.535500	3.629278	1.739013e-03	0.010509
300209.540600	3.631451	1.705404e-03	0.005254
300259.545700	3.624405	1.717610e-03	0.005254
300309.550800	3.782201	5.930172e-03	0.047290
300359.555900	4.341187	5.787162e-03	0.047290
300409.561000	4.460608	6.360778e-03	0.047290
300459.566100	4.936161	8.276457e-03	0.047290
300509.571200	4.374485	1.277372e-02	0.047290
300559.576300	4.137826	1.645134e-02	0.047290
300609.581400	2.393727	3.944956e-01	0.047290
300659.586500	4.833697	7.093933e-03	0.047290
300709.591600	2.528734	8.589223e-02	0.047290
300759.596700	3.755925	3.138048e-02	0.047290
300809.601800	3.516859	1.876765e-02	0.047290
300859.606900	4.380346	1.147087e-02	0.047290
300909.612000	3.707024	1.893824e-03	0.005254
300959.617100	3.354210	1.967090e-03	0.005254
301009.622200	1.802228	2.223613e-03	0.010509
301059.627300	2.855195	3.364858e-02	0.047290
301109.632400	3.653924	4.249846e-03	0.021018
301159.637500	2.939610	5.411166e-03	0.026272
301209.642600	3.111365	4.130300e-03	0.021018
301259.647700	1.368613	2.508611e-02	0.010509
301309.652800	0.574649	1.988905e-02	0.010509
301359.657900	3.176068	2.995761e-03	0.015763
301409.663000	1.030790	3.122259e-02	0.015763
301459.668100	4.587935	1.353004e-01	0.047290
301509.673200	2.029400	3.345664e-02	0.047290
301559.678300	3.961139	2.213482e-03	0.010509
301609.683400	5.172782	2.197125e-03	0.010509
301659.688500	5.921953	2.170889e-03	0.010509
301709.693600	6.276632	2.167511e-03	0.010509
301759.698700	6.026051	2.138389e-03	0.010509
301809.703800	5.259939	2.119503e-03	0.010509
301859.708900	2.830477	2.120625e-03	0.010509
301909.714000	3.129515	5.201244e-02	0.047290
301959.719100	1.583062	3.205363e-02	0.026272
302009.724200	2.870238	2.047179e-03	0.005254
302059.729300	3.699126	2.040723e-03	0.005254
302109.734400	4.034146	1.823911e-03	0.005254
302159.739500	3.981500	1.837880e-03	0.005254
302209.744600	3.864054	1.819079e-03	0.005254
302259.749700	3.336373	3.163932e-03	0.005254
302309.754800	3.261576	1.070707e-02	0.047290
302359.759900	3.823511	1.179060e-02	0.047290
302409.765000	4.368707	1.276915e-02	0.047290
302459.770100	3.950634	3.444970e-01	0.047290
302509.775200	6.131471	2.795737e-02	0.047290
302559.780300	3.402440	3.164392e-02	0.047290
302609.785400	2.013837	1.084780e-02	0.010509
302659.790500	3.473524	3.260684e-03	0.005254
302709.795600	3.893891	3.207017e-03	0.005254
302759.800700	4.461331	3.164724e-03	0.005254
302809.805800	5.442217	3.123531e-03	0.005254
302859.810900	6.303670	3.083398e-03	0.005254
302909.816000	5.602827	3.123522e-03	0.005254
302959.821100	2.999986	3.548081e-01	0.047290
303009.826200	3.127808	2.976800e-03	0.005254
303059.831300	2.636058	2.999873e-03	0.005254
303109.836400	0.970992	6.689571e-03	0.005254
