location	LR	alpha
1311267.000000	0.000000	1.200000e+09
1311317.002014	0.108545	1.693643e+04
1311367.004027	0.591122	7.535339e+05
1311417.006041	0.000303	4.357855e+08
1311467.008055	1.719740	3.674768e+03
1311517.010068	3.408116	2.422579e+03
1311567.012082	0.411277	2.129435e+07
1311617.014096	1.130376	2.991670e+07
1311667.016109	5.024565	2.769833e+06
1311717.018123	8.898591	6.500538e+02
1311767.020137	9.314290	5.804858e+02
1311817.022150	8.869954	5.683468e+02
1311867.024164	7.840435	5.801790e+02
1311917.026178	5.897967	6.148094e+02
1311967.028191	1.575321	6.829281e+02
1312017.030205	0.038677	4.884204e+05
1312067.032219	0.171083	2.503213e+04
1312117.034232	1.471888	7.332678e+02
1312167.036246	1.025443	7.063399e+02
1312217.038260	7.801160	6.750450e+02
1312267.040273	9.880346	6.905906e+02
1312317.042287	10.118998	7.538834e+02
1312367.044301	4.224389	6.363945e+06
1312417.046314	9.210169	9.788074e+02
1312467.048328	0.767229	2.940910e+07
1312517.050342	1.067247	1.987781e+07
1312567.052355	1.409035	1.246728e+07
1312617.054369	1.409035	1.246728e+07
1312667.056383	4.608527	1.814672e+03
1312717.058396	0.324602	3.376260e+07
1312767.060410	2.999185	2.642765e+03
1312817.062424	2.514551	3.696448e+03
1312867.064437	2.101985	1.044000e+04
1312917.066451	1.422818	3.668314e+04
1312967.068465	1.411069	1.226192e+05
1313017.070479	2.933832	6.854266e+03
1313067.072492	3.508528	3.880369e+03
1313117.074506	0.366980	2.339214e+04
1313167.076520	0.354604	5.475598e+07
1313217.078533	2.732878	2.525033e+03
1313267.080547	5.946895	1.605227e+03
1313317.082561	4.428713	1.233276e+03
1313367.084574	0.013311	4.025253e+05
1313417.086588	4.374948	8.217037e+02
1313467.088602	6.623112	6.560142e+02
1313517.090615	3.280724	6.435597e+02
1313567.092629	0.085808	2.045555e+08
1313617.094643	0.032351	3.671786e+05
1313667.096656	0.411277	2.129435e+07
1313717.098670	0.411277	2.129435e+07
1313767.100684	1.407751	6.445000e+06
1313817.102697	0.137892	2.006788e+08
1313867.104711	0.199755	3.948409e+04
1313917.106725	0.113538	1.376983e+05
1313967.108738	7.951079	3.991348e+02
1314017.110752	4.617635	3.931574e+02
1314067.112766	8.063796	3.965671e+02
1314117.114779	0.000002	5.766285e+08
1314167.116793	5.766502	4.321058e+02
1314217.118807	7.330350	4.584850e+02
1314267.120820	1.558827	1.390306e+07
1314317.122834	0.169910	3.930771e+07
1314367.124848	6.057767	4.864651e+02
1314417.126861	3.137558	5.374946e+02
1314467.128875	0.011279	2.633078e+08
1314517.130889	1.311440	2.655082e+07
1314567.132902	10.253624	1.050974e+03
1314617.134916	9.843727	1.012756e+03
1314667.136930	1.907312	1.297043e+03
1314717.138943	0.085808	2.045555e+08
1314767.140957	0.982039	1.911705e+04
1314817.142971	1.076002	6.361396e+07
1314867.144984	0.726087	1.408810e+07
1314917.146998	2.548713	2.077562e+07
1314967.149012	4.423483	3.185338e+03
1315017.151025	0.177413	3.753228e+07
1315067.153039	8.434848	1.030089e+03
1315117.155053	12.463415	9.213883e+02
1315167.157066	15.864426	8.506840e+02
