location	LR	alpha
1378086.000000	1.174218	1.829430e+04
1378136.003233	0.010483	1.120964e+05
1378186.006467	0.440393	3.817691e+07
1378236.009700	0.051072	4.580429e+04
1378286.012934	0.020520	7.210851e+04
1378336.016167	0.021015	6.775734e+04
1378386.019401	0.001737	1.617446e+05
1378436.022634	0.000040	3.700344e+08
1378486.025868	0.074778	5.005357e+04
1378536.029101	1.134920	3.079147e+03
1378586.032335	0.176857	3.426177e+07
1378636.035568	2.921843	2.472327e+07
1378686.038802	1.891063	3.833463e+03
1378736.042035	0.020366	2.151675e+08
1378786.045269	2.377913	1.758449e+04
1378836.048502	0.176721	3.681914e+04
1378886.051736	0.000012	4.739017e+08
1378936.054969	0.007264	6.541190e+03
1378986.058203	0.120134	4.124287e+03
1379036.061436	0.255657	2.924519e+03
1379086.064670	0.853479	1.507578e+03
1379136.067903	1.266531	1.634848e+03
1379186.071137	1.489526	1.801524e+03
1379236.074370	1.561516	2.066564e+03
1379286.077604	1.377031	2.665806e+03
1379336.080837	0.638842	3.993533e+03
1379386.084071	0.296628	7.514694e+03
1379436.087304	0.209599	2.688686e+04
1379486.090537	0.179827	4.076998e+04
1379536.093771	0.222396	2.900325e+04
1379586.097004	0.322405	1.994732e+05
1379636.100238	0.062555	2.066293e+08
1379686.103471	0.000000	1.200000e+09
1379736.106705	0.020947	1.372345e+05
1379786.109938	0.282702	1.132628e+08
1379836.113172	0.247674	1.508082e+08
1379886.116405	0.231252	1.229740e+08
1379936.119639	0.098938	1.621540e+08
1379986.122872	0.038494	1.912280e+08
1380036.126106	0.043335	1.811252e+08
1380086.129339	0.006022	1.728207e+05
1380136.132573	0.131269	2.575203e+04
1380186.135806	0.234730	3.899608e+04
1380236.139040	0.223289	6.684380e+05
1380286.142273	0.138491	4.274671e+05
1380336.145507	0.000000	2.688399e+05
1380386.148740	0.000000	3.189374e+05
1380436.151974	0.000000	5.851781e+05
1380486.155207	0.130881	1.776654e+08
1380536.158441	0.305395	1.114634e+08
1380586.161674	0.376266	1.279368e+04
1380636.164908	3.124927	6.294647e+03
1380686.168141	0.026135	2.132343e+08
1380736.171375	0.054596	1.875672e+08
1380786.174608	0.228046	2.386295e+04
1380836.177841	0.010516	4.361169e+05
1380886.181075	0.637367	2.112449e+04
1380936.184308	0.000000	1.200000e+09
1380986.187542	0.622090	3.873727e+07
1381036.190775	0.020947	1.060538e+05
1381086.194009	0.004311	3.262310e+04
1381136.197242	0.002271	1.089342e+05
1381186.200476	0.056690	7.114818e+03
1381236.203709	0.727728	9.254223e+03
1381286.206943	0.076305	3.634838e+04
1381336.210176	0.042306	2.075143e+08
1381386.213410	0.687389	8.930957e+03
1381436.216643	1.020224	4.626115e+07
1381486.219877	0.000000	3.774455e+05
1381536.223110	0.000000	3.730638e+05
1381586.226344	0.007650	1.339654e+05
1381636.229577	0.000071	4.540748e+08
1381686.232811	0.000070	1.199428e+05
1381736.236044	0.482311	6.221726e+07
1381786.239278	0.735111	2.515605e+04
1381836.242511	0.998504	2.131422e+04
1381886.245745	0.722234	4.360412e+04
1381936.248978	0.000104	3.979747e+08
1381986.252212	0.004670	9.502400e+04
1382036.255445	0.011139	7.090080e+04
1382086.258679	0.011527	1.803595e+04
1382136.261912	0.013255	1.007635e+04
1382186.265146	0.018187	6.620963e+03
1382236.268379	0.090489	3.533480e+03
1382286.271612	0.297560	3.036451e+03
1382336.274846	0.430558	3.165449e+03
1382386.278079	0.523630	3.621133e+03
1382436.281313	0.725358	4.437548e+03
1382486.284546	1.556688	5.428555e+03
1382536.287780	4.212647	5.828638e+06
1382586.291013	0.000000	7.381487e+05
1382636.294247	0.012859	2.067699e+06
1382686.297480	0.035680	2.225331e+08
1382736.300714	0.219057	4.670132e+04
1382786.303947	0.000711	1.739038e+05
1382836.307181	0.000711	7.100832e+04
1382886.310414	0.039180	1.717791e+04
1382936.313648	0.196173	8.620250e+03
1382986.316881	0.986764	4.748528e+03
1383036.320115	0.944880	3.847911e+03
1383086.323348	0.440675	2.626734e+03
1383136.326582	0.548189	2.317379e+03
1383186.329815	0.429258	2.745446e+03
1383236.333049	0.000000	1.177605e+05
1383286.336282	0.000000	1.200000e+09
1383336.339516	0.773623	1.605122e+04
1383386.342749	1.920732	3.711822e+03
1383436.345983	2.256742	2.779285e+03
1383486.349216	0.060587	9.629237e+04
1383536.352450	0.075694	1.268510e+04
1383586.355683	0.085824	6.435484e+03
1383636.358916	0.024727	6.386896e+03
1383686.362150	0.024138	1.174673e+04
1383736.365383	0.040074	2.520689e+04
1383786.368617	0.000000	5.555226e+05
1383836.371850	0.000000	1.200000e+09
1383886.375084	0.026071	3.878359e+04
1383936.378317	0.131652	1.264495e+04
1383986.381551	0.096165	5.065145e+04
1384036.384784	0.123914	4.360283e+04
1384086.388018	0.627343	1.060974e+04
1384136.391251	2.216118	4.758604e+03
1384186.394485	1.478624	3.859675e+03
1384236.397718	1.424884	3.200292e+03
1384286.400952	1.360591	2.464231e+03
1384336.404185	0.975388	2.070874e+03
1384386.407419	0.880815	1.672278e+03
1384436.410652	1.031396	1.409520e+03
1384486.413886	1.220067	1.347931e+03
1384536.417119	1.269579	1.383307e+03
1384586.420353	1.083234	1.533322e+03
1384636.423586	0.644095	2.041504e+03
1384686.426820	0.139570	5.388646e+03
1384736.430053	0.146470	4.741827e+04
1384786.433287	0.566858	3.417448e+07
1384836.436520	0.092935	1.735945e+05
1384886.439754	3.700869	5.634944e+04
1384936.442987	1.834649	3.434706e+03
1384986.446220	0.000000	7.194664e+04
1385036.449454	0.000000	2.314800e+05
1385086.452687	0.000000	1.200000e+09
1385136.455921	0.016852	2.142112e+08
1385186.459154	0.066703	1.432725e+05
1385236.462388	0.101314	4.348242e+04
1385286.465621	0.101514	4.743118e+04
1385336.468855	0.043910	9.376597e+03
1385386.472088	0.448582	4.989362e+03
1385436.475322	0.000507	2.957027e+05
1385486.478555	0.000510	1.057221e+05
1385536.481789	3.098820	2.248906e+03
1385586.485022	1.349913	2.733692e+07
1385636.488256	0.863223	1.911949e+07
1385686.491489	1.410059	3.184478e+03
1385736.494723	0.000000	8.312270e+06
1385786.497956	0.194909	2.107593e+04
1385836.501190	0.055459	1.436339e+08
1385886.504423	0.047063	1.486462e+08
1385936.507657	1.414648	1.450420e+07
1385986.510890	0.879185	4.734899e+03
1386036.514124	1.046500	3.495205e+03
1386086.517357	0.514875	2.802087e+03
1386136.520591	0.358548	2.271723e+03
1386186.523824	0.322589	1.701606e+03
1386236.527058	0.377839	1.403191e+03
1386286.530291	0.445620	1.309113e+03
1386336.533524	0.498683	1.281282e+03
1386386.536758	0.540922	1.293751e+03
1386436.539991	0.590766	1.345961e+03
1386486.543225	0.677927	1.440619e+03
1386536.546458	0.840279	1.558784e+03
1386586.549692	1.139545	1.674623e+03
1386636.552925	1.782725	1.795357e+03
1386686.556159	4.321204	2.807732e+03
1386736.559392	4.202990	2.717599e+03
1386786.562626	0.866367	2.738908e+03
1386836.565859	0.425800	3.219013e+03
1386886.569093	0.119471	4.104634e+03
1386936.572326	0.000000	3.622280e+04
1386986.575560	0.000000	5.138935e+04
1387036.578793	0.000000	8.840446e+04
1387086.582027	0.000000	3.160548e+05
1387136.585260	0.041568	6.675209e+04
1387186.588494	0.000000	1.200000e+09
1387236.591727	0.000049	9.863047e+04
1387286.594961	0.006496	3.118510e+08
1387336.598194	0.008075	2.649643e+08
1387386.601428	0.021107	2.448372e+08
