location	LR	alpha	D
294986.000000	0.098651	2.543889e+02	0.039718
295036.004101	0.000000	1.500770e+00	0.019859
295086.008202	0.000000	2.993862e+00	0.019859
295136.012302	1.704972	1.304174e-01	0.019859
295186.016403	0.987745	5.951190e+00	0.019859
295236.020504	1.238218	1.666193e-01	0.039718
295286.024605	1.443293	3.967460e+00	0.019859
295336.028706	0.979165	5.915101e+00	0.019859
295386.032807	0.098651	7.754206e+01	0.039718
295436.036907	1.404980	3.424961e-01	0.039718
295486.041008	0.000000	4.055437e+00	0.019859
295536.045109	0.992477	1.652989e-01	0.039718
295586.049210	0.000000	4.452561e-01	0.019859
295636.053311	2.212561	6.686470e-01	0.039718
295686.057411	0.279152	8.606724e-01	0.039718
295736.061512	0.081868	3.081783e-01	0.039718
295786.065613	0.718375	5.920212e-01	0.039718
295836.069714	0.000000	3.053213e+00	0.019859
295886.073815	2.001534	2.435962e+00	0.039718
295936.077916	0.144345	4.106657e+00	0.019859
295986.082016	0.000000	4.112429e+00	0.019859
296036.086117	0.000000	4.783523e-01	0.019859
296086.090218	0.184204	1.320100e+00	0.039718
296136.094319	1.696514	2.672267e-01	0.039718
296186.098420	0.833307	1.541393e+00	0.039718
296236.102521	1.866546	2.724902e-01	0.039718
296286.106621	2.085643	4.856230e-02	0.039718
296336.110722	0.961202	7.267851e-02	0.019859
296386.114823	0.995319	1.478775e+00	0.039718
296436.118924	1.966721	1.646518e-01	0.039718
296486.123025	4.290988	3.705110e-02	0.039718
296536.127125	1.195582	3.325272e-02	0.039718
296586.131226	0.000000	2.044721e+00	0.019859
296636.135327	0.000000	3.827353e+00	0.019859
296686.139428	0.987745	5.608976e+00	0.019859
296736.143529	1.821839	1.768439e-01	0.019859
296786.147630	1.682847	3.980412e-01	0.019859
296836.151730	1.574935	2.175816e-01	0.039718
296886.155831	0.000000	1.106586e+00	0.019859
296936.159932	0.979165	2.325612e+00	0.019859
296986.164033	0.455128	1.159605e+00	0.039718
297036.168134	0.000000	6.550699e+00	0.019859
297086.172234	0.175076	5.412176e-01	0.039718
297136.176335	0.000000	3.138351e+00	0.019859
297186.180436	0.000000	1.759644e+00	0.019859
297236.184537	0.981840	2.098441e-01	0.039718
297286.188638	2.462612	1.769615e-01	0.019859
297336.192739	0.774326	6.380515e-01	0.039718
297386.196839	0.000000	2.067840e+00	0.019859
297436.200940	1.072220	6.224098e-02	0.039718
297486.205041	2.581474	2.744709e-02	0.039718
297536.209142	0.987745	1.225633e+00	0.019859
297586.213243	0.250653	1.513673e+00	0.039718
297636.217343	0.000000	5.411883e+00	0.019859
297686.221444	3.631729	6.424719e-02	0.039718
297736.225545	0.449022	8.437300e-02	0.019859
297786.229646	1.107927	1.123908e-01	0.019859
297836.233747	3.458961	4.757493e-02	0.019859
297886.237848	2.417451	9.431155e-02	0.019859
