location	LR	alpha
1378715.000000	2.335968	3.549239e+03
1378765.003358	0.363997	3.984640e+07
1378815.006716	1.120357	4.963165e+03
1378865.010073	0.493816	9.094187e+03
1378915.013431	0.042393	1.501592e+08
1378965.016789	0.571069	1.051192e+04
1379015.020147	0.325938	5.486137e+03
1379065.023504	0.459435	2.977406e+03
1379115.026862	0.555537	3.052812e+03
1379165.030220	0.188593	4.564129e+03
1379215.033578	0.000000	9.535964e+05
1379265.036935	0.174240	9.272610e+07
1379315.040293	0.302885	5.510890e+04
1379365.043651	0.000000	3.038560e+05
1379415.047009	0.000000	4.584490e+06
1379465.050366	0.000000	5.864059e+05
1379515.053724	0.236993	1.003329e+05
1379565.057082	0.485328	1.792136e+07
1379615.060440	1.037666	5.657324e+03
1379665.063797	0.122723	5.165412e+04
1379715.067155	0.498132	1.331780e+04
1379765.070513	1.050933	5.968306e+03
1379815.073871	1.347692	4.128512e+03
1379865.077228	2.383016	2.309079e+03
1379915.080586	2.229946	1.788669e+03
1379965.083944	1.843982	1.626794e+03
1380015.087302	1.699168	1.374185e+03
1380065.090659	1.396835	1.095201e+03
1380115.094017	1.105807	1.105105e+03
1380165.097375	0.635864	1.251268e+03
1380215.100733	0.577054	6.657764e+03
1380265.104090	0.922908	1.301270e+04
1380315.107448	0.000000	1.200000e+09
1380365.110806	0.000000	5.620252e+05
1380415.114164	0.000000	1.334011e+05
1380465.117521	0.063975	8.622725e+07
1380515.120879	1.769400	9.245088e+03
1380565.124237	0.565135	4.649655e+03
1380615.127595	0.300594	3.179548e+03
1380665.130952	0.161082	2.322630e+03
1380715.134310	0.043907	1.965065e+03
1380765.137668	0.000000	2.481883e+04
1380815.141026	0.224867	5.141287e+02
1380865.144383	0.545543	4.790287e+02
1380915.147741	0.584829	4.645204e+02
1380965.151099	0.000000	2.329667e+05
1381015.154457	0.000000	3.314127e+05
1381065.157814	0.000000	1.651863e+06
1381115.161172	0.005899	1.314530e+05
1381165.164530	0.005888	3.921861e+04
1381215.167888	1.524695	5.073551e+02
1381265.171245	2.576027	5.136855e+02
1381315.174603	2.731948	5.232907e+02
1381365.177961	2.757907	5.731071e+02
1381415.181319	2.663160	6.529570e+02
1381465.184676	2.296471	8.186482e+02
1381515.188034	0.383054	1.325188e+03
1381565.191392	2.243877	1.405567e+03
1381615.194750	1.074600	2.519002e+03
1381665.198107	0.379996	3.457246e+07
1381715.201465	1.763344	2.003106e+03
1381765.204823	2.588948	1.818495e+03
1381815.208181	2.862543	2.184655e+03
1381865.211538	0.821445	4.887222e+03
1381915.214896	0.207009	4.536558e+04
1381965.218254	0.527096	1.594225e+04
1382015.221612	1.415211	5.211117e+03
1382065.224969	2.732282	2.326723e+03
1382115.228327	2.672808	1.943961e+03
1382165.231685	2.146921	1.702189e+03
1382215.235043	1.790532	1.495569e+03
1382265.238400	1.604809	6.970592e+02
1382315.241758	1.528463	1.350304e+03
1382365.245116	0.000346	1.246877e+05
1382415.248474	0.274728	1.130163e+03
1382465.251832	0.655615	2.406836e+03
1382515.255189	0.122622	1.733814e+08
1382565.258547	1.706863	5.522089e+04
1382615.261905	0.000000	1.200000e+09
1382665.265263	0.000000	1.200000e+09
1382715.268620	0.819605	1.469164e+07
1382765.271978	0.057452	9.946712e+04
1382815.275336	0.000000	3.950870e+05
