location	LR	alpha
5223854.000000	0.000000	1.200000e+09
5223904.006517	1.406114	1.562366e+03
5223954.013034	1.772397	1.524383e+03
5224004.019551	0.381100	1.729534e+03
5224054.026068	1.214306	3.782527e+04
5224104.032585	0.542540	1.944157e+07
5224154.039102	2.912892	2.832228e+03
5224204.045619	2.943071	3.415321e+03
5224254.052136	0.126165	2.200831e+04
5224304.058652	0.011326	2.948475e+04
5224354.065169	0.071708	3.174012e+04
5224404.071686	0.002287	7.953046e+04
5224454.078203	0.002211	2.842156e+08
5224504.084720	0.325052	2.375799e+04
5224554.091237	0.000000	2.630505e+06
5224604.097754	0.111244	1.187963e+04
5224654.104271	0.000000	2.821167e+05
5224704.110788	0.000000	3.053855e+05
5224754.117305	0.107606	1.296484e+04
5224804.123822	0.000000	2.637017e+05
5224854.130339	0.001765	6.587434e+04
5224904.136856	0.006564	1.916786e+08
5224954.143373	0.000000	1.200000e+09
5225004.149890	0.000000	1.200000e+09
5225054.156407	0.088107	7.609394e+07
5225104.162924	0.000000	1.200000e+09
5225154.169441	0.000000	1.200000e+09
5225204.175957	0.000000	5.321488e+05
5225254.182474	4.178748	6.558443e+06
5225304.188991	0.313811	6.578421e+03
5225354.195508	0.000000	2.874149e+05
5225404.202025	0.016754	9.720655e+07
5225454.208542	0.502496	6.387143e+03
5225504.215059	1.797799	1.251209e+07
5225554.221576	0.000000	1.200000e+09
5225604.228093	0.000000	5.194981e+05
5225654.234610	0.000000	6.803769e+05
5225704.241127	0.000000	1.200000e+09
5225754.247644	0.000000	1.626573e+05
5225804.254161	0.169469	2.103294e+05
5225854.260678	0.959946	8.383731e+03
5225904.267195	0.335380	5.041598e+03
5225954.273712	0.189812	4.034229e+03
5226004.280229	0.127900	3.552589e+03
5226054.286746	0.082352	3.557802e+03
5226104.293262	0.041032	4.193524e+03
5226154.299779	0.030656	5.719694e+03
5226204.306296	0.045020	7.900779e+03
5226254.312813	0.081681	1.532818e+04
5226304.319330	0.075622	8.284835e+07
5226354.325847	0.006705	2.523211e+08
5226404.332364	0.006751	2.275864e+04
5226454.338881	0.000000	7.566627e+04
5226504.345398	0.000000	4.307999e+05
5226554.351915	0.000000	1.200000e+09
5226604.358432	0.000000	5.626200e+05
5226654.364949	0.000000	3.558215e+05
5226704.371466	0.000000	1.200000e+09
5226754.377983	0.000000	3.355447e+05
5226804.384500	0.018492	4.135655e+03
5226854.391017	0.834352	3.560296e+03
5226904.397534	0.395786	3.831108e+04
5226954.404051	1.038674	7.813398e+03
5227004.410567	1.177843	2.177116e+07
5227054.417084	4.637162	2.709478e+03
5227104.423601	2.916707	1.992398e+03
5227154.430118	1.339677	2.140581e+03
5227204.436635	0.126246	3.640859e+04
5227254.443152	0.000000	2.189052e+05
5227304.449669	0.000000	1.200000e+09
5227354.456186	0.000000	1.211187e+05
5227404.462703	0.000000	5.416597e+04
5227454.469220	0.000388	1.251231e+04
5227504.475737	0.036457	1.011975e+04
5227554.482254	0.313574	2.442273e+04
5227604.488771	0.000308	1.196413e+05
5227654.495288	0.000000	4.755185e+05
5227704.501805	0.000000	1.204347e+06
5227754.508322	0.000000	1.200000e+09
5227804.514839	0.000000	5.164755e+05
5227854.521356	0.002376	8.642954e+04
5227904.527872	0.554713	1.722274e+04
5227954.534389	0.002402	9.911074e+04
5228004.540906	0.000000	2.403333e+05
5228054.547423	0.000000	1.200000e+09
5228104.553940	0.157295	1.358866e+08
5228154.560457	0.000000	1.200000e+09
5228204.566974	0.125704	1.435241e+08
5228254.573491	0.000000	1.200000e+09
5228304.580008	0.002401	1.023170e+05
5228354.586525	0.000000	1.007067e+06
5228404.593042	0.000000	3.463084e+05
5228454.599559	0.019382	7.656670e+04
5228504.606076	1.072107	2.730163e+07
5228554.612593	0.077889	2.846538e+04
5228604.619110	0.585557	6.077597e+04
5228654.625627	0.148150	1.026681e+04
5228704.632144	0.000000	3.737486e+05
5228754.638661	0.000000	1.200000e+09
5228804.645177	0.000000	3.398994e+05
5228854.651694	0.000000	1.200000e+09
5228904.658211	0.000000	1.200000e+09
5228954.664728	0.392476	4.693797e+07
5229004.671245	0.000000	2.549545e+06
5229054.677762	0.120271	2.368260e+04
5229104.684279	0.075005	2.571778e+04
5229154.690796	0.000000	3.786854e+05
5229204.697313	0.047253	1.200493e+08
5229254.703830	0.530561	5.620218e+03
5229304.710347	1.377482	5.416698e+03
5229354.716864	0.606558	2.670649e+07
5229404.723381	0.018857	1.729492e+05
5229454.729898	0.086402	1.177030e+05
5229504.736415	0.000000	2.075709e+06
5229554.742932	0.011332	9.605181e+03
5229604.749449	0.000000	1.447114e+05
5229654.755966	0.025288	1.781631e+05
5229704.762482	0.000000	1.222134e+05
5229754.768999	0.000000	5.905818e+04
5229804.775516	0.000000	3.893702e+04
5229854.782033	0.000573	6.569703e+03
5229904.788550	0.033310	4.922307e+03
5229954.795067	0.076455	5.629263e+03
5230004.801584	0.200427	7.641330e+03
5230054.808101	0.253091	1.658179e+04
5230104.814618	0.000000	1.200000e+09
5230154.821135	0.019388	1.412564e+05
5230204.827652	0.126253	4.306979e+07
5230254.834169	1.113825	1.769337e+07
5230304.840686	0.000000	4.999107e+05
5230354.847203	0.221243	4.284541e+07
5230404.853720	0.016261	7.358264e+03
5230454.860237	0.201869	5.299643e+03
5230504.866754	0.270648	1.249171e+04
5230554.873271	0.063562	1.331971e+05
5230604.879787	0.072935	1.487437e+04
5230654.886304	0.119154	5.808715e+03
5230704.892821	0.141215	3.793069e+03
5230754.899338	0.131478	3.137152e+03
5230804.905855	0.078104	3.149615e+03
5230854.912372	0.015415	3.941324e+03
5230904.918889	0.001199	6.450018e+03
5230954.925406	0.001532	8.099941e+03
5231004.931923	0.002622	1.042707e+04
5231054.938440	0.004251	1.570062e+04
5231104.944957	0.005323	3.993079e+04
5231154.951474	0.005333	2.520675e+08
5231204.957991	0.000000	3.671275e+05
5231254.964508	0.051925	3.210935e+04
5231304.971025	0.000000	1.200000e+09
5231354.977542	0.000000	9.170959e+04
5231404.984059	0.000000	3.661803e+05
5231454.990575	0.000000	4.924642e+05
5231504.997092	3.601052	6.282145e+06
5231555.003609	0.186559	1.899047e+04
5231605.010126	0.000000	1.200000e+09
5231655.016643	2.794250	5.048421e+04
5231705.023160	0.541799	7.772680e+03
5231755.029677	0.114587	5.566485e+03
5231805.036194	0.079941	2.757824e+03
5231855.042711	0.305824	1.999322e+03
5231905.049228	0.622959	1.900068e+03
5231955.055745	1.040772	1.986606e+03
5232005.062262	1.707353	2.309503e+03
5232055.068779	2.069643	2.837676e+03
5232105.075296	1.173148	3.577688e+03
5232155.081813	0.360031	6.483351e+03
5232205.088330	0.116961	3.070212e+06
5232255.094847	0.109167	8.000909e+04
5232305.101364	0.000000	1.117767e+06
5232355.107880	0.183935	1.485796e+04
5232405.114397	0.000000	1.498373e+05
5232455.120914	0.000000	6.360793e+08
5232505.127431	0.000000	6.619017e+04
5232555.133948	0.000000	1.203358e+05
5232605.140465	0.000000	1.200000e+09
5232655.146982	0.000000	3.255588e+05
5232705.153499	0.000000	1.492718e+06
5232755.160016	0.000000	1.144756e+05
5232805.166533	0.022235	1.687694e+04
5232855.173050	0.047253	7.500508e+05
5232905.179567	0.000000	1.223387e+06
