location	LR	alpha
560690.000000	0.000000	1.200000e+09
560740.002626	1.867234	9.525439e+02
560790.005252	1.827537	1.223587e+03
560840.007878	0.921588	1.455330e+04
560890.010504	0.011978	2.127167e+03
560940.013130	1.352116	3.424061e+03
560990.015756	0.000000	1.200000e+09
561040.018382	0.888612	9.510279e+07
561090.021008	0.770101	1.217567e+04
561140.023634	0.244390	2.132455e+04
561190.026260	0.534328	1.075247e+08
561240.028886	0.499510	1.105839e+04
561290.031512	0.098211	4.179591e+04
561340.034138	0.236253	9.943422e+07
561390.036764	0.055489	1.793501e+04
561440.039390	0.000654	3.839096e+05
561490.042016	0.000000	3.449276e+05
561540.044642	3.068893	2.618331e+04
561590.047268	0.537704	1.833876e+04
561640.049894	0.045344	2.061359e+08
561690.052520	0.184469	1.457409e+04
561740.055146	0.147302	2.124326e+08
561790.057772	0.492548	2.674424e+04
561840.060398	0.202123	5.075746e+04
561890.063024	0.740300	7.044721e+03
561940.065650	0.754559	1.108396e+08
561990.068276	2.072482	3.648539e+07
562040.070902	0.228772	2.975273e+04
562090.073528	0.899584	2.868646e+03
562140.076154	0.941761	1.033917e+04
562190.078780	0.557189	1.608337e+04
562240.081406	0.561748	1.594758e+04
562290.084032	0.266484	7.993408e+07
562340.086658	0.594528	3.262681e+04
562390.089284	2.184186	2.503191e+03
562440.091910	0.196513	8.503384e+03
562490.094536	0.177074	6.778392e+04
562540.097162	0.032226	1.135977e+04
562590.099788	0.070735	5.884635e+03
562640.102414	0.000657	3.629708e+04
562690.105040	0.000654	1.274106e+05
562740.107666	0.129333	2.909437e+05
562790.110293	0.699428	1.956547e+04
562840.112919	0.725901	5.740203e+03
562890.115545	0.336823	3.490805e+03
562940.118171	0.285850	6.375018e+03
562990.120797	0.000000	6.251730e+05
563040.123423	0.000000	1.589104e+05
563090.126049	0.014446	7.017334e+04
563140.128675	0.840626	1.099956e+08
563190.131301	0.064854	1.019031e+05
563240.133927	0.032351	9.721708e+06
563290.136553	0.000000	1.357063e+06
563340.139179	0.196128	3.529505e+07
563390.141805	0.000000	1.200000e+09
563440.144431	0.042940	2.129283e+05
563490.147057	0.452571	1.435074e+08
563540.149683	0.031592	2.709132e+08
563590.152309	0.070907	2.640889e+04
563640.154935	0.123172	4.400504e+04
563690.157561	0.069610	6.728895e+04
563740.160187	0.544758	5.258978e+03
563790.162813	0.557029	3.807987e+03
563840.165439	0.360043	3.452248e+03
563890.168065	0.000000	1.773784e+05
563940.170691	0.092066	1.459835e+04
563990.173317	0.001106	1.256554e+05
564040.175943	0.000000	2.372176e+05
564090.178569	0.008033	2.683227e+08
564140.181195	0.004339	3.129963e+08
564190.183821	0.000000	1.200000e+09
564240.186447	0.000000	9.711933e+04
564290.189073	0.000000	4.386492e+04
564340.191699	0.000000	6.801762e+04
564390.194325	0.000000	4.542526e+05
564440.196951	0.215579	3.495835e+04
564490.199577	0.000000	4.286147e+05
564540.202203	0.000080	4.784998e+08
564590.204829	0.000080	4.584749e+04
564640.207455	0.000068	1.927343e+04
564690.210081	0.000043	1.260632e+04
564740.212707	0.001657	6.834705e+03
564790.215333	0.028583	5.781126e+03
564840.217959	0.029698	8.950584e+03
564890.220585	0.029073	2.157290e+04
564940.223211	0.029066	5.471364e+04
564990.225837	0.881060	9.154994e+03
565040.228463	0.000000	4.477879e+05
565090.231089	0.013311	1.496826e+06
565140.233715	0.000009	1.403407e+05
565190.236341	0.024891	2.625661e+08
565240.238967	0.680705	3.048900e+07
565290.241593	0.000005	8.575482e+04
565340.244219	0.000717	3.895636e+08
565390.246845	0.745315	2.455455e+07
565440.249471	0.000000	2.844222e+05
565490.252097	0.000000	1.200000e+09
565540.254723	0.064638	7.384070e+04
565590.257349	0.290716	1.600218e+05
565640.259975	0.000158	4.135342e+08
565690.262601	0.055830	1.799784e+08
565740.265227	0.183236	1.391176e+04
565790.267853	0.857002	4.191761e+03
565840.270479	1.214090	3.149796e+07
565890.273105	0.000634	4.030300e+08
565940.275731	0.239900	4.087977e+04
565990.278357	0.100791	2.138697e+08
566040.280983	0.139301	2.029024e+05
566090.283609	0.127454	1.398039e+08
566140.286235	0.167564	3.689836e+04
566190.288861	3.736550	3.255568e+07
566240.291487	0.000000	1.200000e+09
566290.294113	0.000000	2.453167e+05
566340.296739	1.077797	3.814013e+07
566390.299365	0.035226	3.400322e+04
566440.301991	0.001963	2.305470e+05
566490.304617	0.001968	2.208492e+04
566540.307243	0.002148	1.136124e+04
566590.309869	0.003484	8.528714e+03
566640.312495	0.001242	1.529809e+04
566690.315121	0.001107	3.805565e+04
566740.317747	0.406649	1.073565e+08
566790.320373	0.002237	6.715974e+04
566840.322999	0.000456	1.908126e+04
566890.325626	0.273067	1.371272e+04
566940.328252	0.063187	1.764359e+08
566990.330878	0.000000	1.200000e+09
567040.333504	0.006209	2.661655e+08
567090.336130	0.138286	2.005816e+08
567140.338756	0.348217	1.483234e+08
567190.341382	0.199914	2.290500e+04
567240.344008	0.382245	1.809604e+08
567290.346634	0.000189	4.512330e+08
567340.349260	0.000000	1.896534e+05
567390.351886	0.462583	7.592441e+04
567440.354512	0.440227	7.479634e+03
567490.357138	0.429114	3.822660e+03
567540.359764	0.527798	2.511427e+03
567590.362390	0.596965	1.970847e+03
567640.365016	0.628251	1.656848e+03
567690.367642	0.634505	1.446457e+03
567740.370268	0.622778	1.292074e+03
567790.372894	0.597474	1.170124e+03
567840.375520	0.565738	1.061350e+03
567890.378146	0.569174	9.367953e+02
567940.380772	0.760724	7.956619e+02
567990.383398	1.229104	7.085350e+02
568040.386024	1.789821	6.724468e+02
568090.388650	2.229407	6.677292e+02
568140.391276	2.359523	6.916985e+02
568190.393902	1.968429	7.699442e+02
568240.396528	0.759682	1.059323e+03
568290.399154	0.075773	1.444176e+05
568340.401780	1.100990	1.163121e+04
568390.404406	1.301130	1.043896e+04
568440.407032	2.787179	1.790924e+03
568490.409658	0.189928	3.062305e+07
568540.412284	0.728038	3.116350e+03
568590.414910	0.000000	1.195948e+06
