location	LR	alpha
1378003.000000	2.986761	8.243432e+03
1378053.003781	0.449985	2.831259e+07
1378103.007562	0.006153	2.088914e+08
1378153.011343	0.000000	1.200000e+09
1378203.015124	0.093985	3.347008e+07
1378253.018905	0.353903	1.174959e+04
1378303.022686	0.144332	1.930655e+04
1378353.026467	0.000000	3.766646e+05
1378403.030248	0.093985	3.347008e+07
1378453.034029	0.341348	1.369956e+05
1378503.037809	1.257971	5.242219e+03
1378553.041590	1.692606	4.885430e+03
1378603.045371	0.662709	1.720563e+07
1378653.049152	0.000000	1.200000e+09
1378703.052933	0.022313	1.813692e+08
1378753.056714	0.000000	1.200000e+09
1378803.060495	0.123076	2.027327e+04
1378853.064276	0.000000	5.429081e+05
1378903.068057	0.000000	1.200000e+09
1378953.071838	0.000000	1.200000e+09
1379003.075619	0.000000	3.836421e+05
1379053.079400	1.542940	3.131339e+07
1379103.083181	1.295543	6.798133e+03
1379153.086962	0.701645	3.965085e+03
1379203.090743	0.269993	3.966388e+03
1379253.094524	0.075450	6.442539e+03
1379303.098305	0.093530	1.939136e+04
1379353.102086	0.070091	1.548344e+04
1379403.105867	0.000000	2.699382e+05
1379453.109648	0.000000	1.840927e+06
1379503.113428	0.000000	1.200000e+09
1379553.117209	1.083976	1.687684e+04
1379603.120990	0.137891	1.207612e+08
1379653.124771	0.000000	1.200000e+09
1379703.128552	0.000000	1.200000e+09
1379753.132333	0.016997	6.917729e+04
1379803.136114	0.000000	1.498743e+07
1379853.139895	0.281954	3.347008e+07
1379903.143676	0.000000	4.978836e+05
1379953.147457	0.000217	7.811834e+04
1380003.151238	0.028214	5.249684e+04
1380053.155019	1.325239	5.297381e+03
1380103.158800	2.111289	2.970637e+07
1380153.162581	2.701522	6.856016e+03
1380203.166362	0.001579	2.041422e+08
1380253.170143	0.006641	2.439313e+04
1380303.173924	0.079998	1.023146e+05
1380353.177705	0.000000	1.542834e+06
1380403.181486	0.564400	2.754251e+03
1380453.185266	0.311750	4.040191e+07
1380503.189047	0.186460	7.054921e+07
1380553.192828	1.864905	2.173444e+03
1380603.196609	3.094840	5.351177e+03
1380653.200390	0.093095	1.197741e+08
1380703.204171	3.131182	3.462415e+03
1380753.207952	3.849447	3.400552e+03
1380803.211733	1.524121	2.260414e+03
1380853.215514	0.003188	3.292769e+05
1380903.219295	0.128156	1.643450e+04
1380953.223076	0.156547	3.878370e+05
1381003.226857	0.000000	1.102001e+06
1381053.230638	0.594583	2.731553e+04
1381103.234419	0.000000	1.535713e+06
1381153.238200	0.000000	1.740118e+05
1381203.241981	0.065245	1.587491e+04
1381253.245762	0.094638	2.254798e+04
1381303.249543	1.022995	5.565622e+04
1381353.253324	0.008073	2.066779e+08
1381403.257105	0.141093	1.504865e+08
1381453.260885	0.000000	1.200000e+09
1381503.264666	0.003994	2.495354e+08
1381553.268447	0.000000	1.200000e+09
1381603.272228	0.000000	1.200000e+09
1381653.276009	0.000000	3.168458e+05
1381703.279790	0.000000	4.954011e+05
1381753.283571	0.802250	2.722959e+03
1381803.287352	3.134388	2.154548e+03
1381853.291133	3.273925	1.811828e+03
1381903.294914	3.433786	1.651065e+03
1381953.298695	2.897597	1.510864e+03
