location	LR	alpha
1378585.000000	0.540502	4.875780e+07
1378635.001587	0.087365	1.579043e+08
1378685.003175	1.081098	1.220808e+07
1378735.004762	0.010505	2.906235e+08
1378785.006349	0.752084	3.354394e+07
1378835.007937	0.148098	2.759472e+04
1378885.009524	0.080417	1.694794e+08
1378935.011111	0.000000	2.217280e+05
1378985.012698	0.000000	2.230365e+05
1379035.014286	0.126672	6.229987e+03
1379085.015873	0.351914	9.761972e+03
1379135.017460	0.001355	2.273294e+04
1379185.019048	0.000000	2.367178e+05
1379235.020635	0.085360	3.393134e+04
1379285.022222	0.428288	3.801613e+03
1379335.023810	0.034855	7.804006e+03
1379385.025397	0.000000	1.704124e+05
1379435.026984	0.254914	1.389343e+04
1379485.028571	0.031857	4.764249e+04
1379535.030159	0.016547	1.795588e+08
1379585.031746	0.822608	5.275994e+07
1379635.033333	0.126648	7.499924e+07
1379685.034921	0.010175	6.630210e+04
1379735.036508	0.597870	3.869045e+04
1379785.038095	0.063615	1.325237e+08
1379835.039683	2.717840	7.342648e+06
1379885.041270	2.053449	4.610765e+06
1379935.042857	0.024009	1.752561e+08
1379985.044444	0.093926	1.281795e+04
1380035.046032	0.044338	5.669508e+03
1380085.047619	0.403890	3.035701e+03
1380135.049206	1.258339	2.151996e+03
1380185.050794	2.818895	1.618246e+03
1380235.052381	3.959679	1.470566e+03
1380285.053968	3.695250	1.457516e+03
1380335.055556	2.710429	1.372067e+03
1380385.057143	2.416910	1.306099e+03
1380435.058730	0.000000	7.174482e+05
1380485.060317	0.746648	3.380542e+07
1380535.061905	3.060096	2.261204e+03
1380585.063492	2.659500	1.702896e+03
1380635.065079	1.675128	1.598426e+03
1380685.066667	0.547674	1.987373e+03
1380735.068254	0.077709	3.313635e+03
1380785.069841	0.220553	4.303393e+03
1380835.071429	0.215234	7.160557e+03
1380885.073016	0.205825	9.452860e+07
1380935.074603	0.000024	4.761265e+08
1380985.076190	0.012934	6.687170e+04
1381035.077778	0.020282	9.910403e+04
1381085.079365	0.006483	2.721010e+08
1381135.080952	0.000005	2.731062e+05
1381185.082540	0.666738	5.398767e+07
1381235.084127	0.594669	1.114553e+07
1381285.085714	3.648902	3.615350e+03
1381335.087302	2.391958	6.327169e+03
1381385.088889	0.088217	4.804312e+04
1381435.090476	0.106336	1.907925e+08
1381485.092063	0.094418	1.451527e+08
1381535.093651	0.003435	8.304649e+04
1381585.095238	0.224127	3.857831e+04
1381635.096825	0.271631	2.240306e+04
1381685.098413	0.382352	5.238008e+03
1381735.100000	3.049666	1.280402e+07
1381785.101587	0.761449	4.985029e+07
1381835.103175	0.211228	5.091357e+07
1381885.104762	5.887134	4.837574e+03
1381935.106349	0.075245	1.774708e+08
1381985.107937	0.053837	9.484321e+04
1382035.109524	0.027699	1.906598e+08
1382085.111111	0.000024	4.109992e+08
1382135.112698	0.054524	1.989764e+08
1382185.114286	0.000000	1.200000e+09
1382235.115873	0.007125	2.673634e+08
1382285.117460	0.000000	1.557624e+05
1382335.119048	0.000000	1.200000e+09
1382385.120635	0.000000	4.155947e+05
1382435.122222	0.000005	3.971346e+05
1382485.123810	0.492643	1.633209e+04
1382535.125397	0.019824	1.416844e+08
1382585.126984	0.001141	3.971349e+08
1382635.128571	0.000000	1.200000e+09
1382685.130159	0.000000	5.633384e+05
1382735.131746	0.022687	5.863778e+04
1382785.133333	0.000000	4.931509e+05
1382835.134921	0.146010	3.470152e+07
1382885.136508	0.022748	1.728658e+04
1382935.138095	0.062449	3.723451e+04
1382985.139683	0.155321	5.345375e+03
1383035.141270	0.673636	4.729629e+03
1383085.142857	0.225965	6.362175e+03
1383135.144444	0.076889	1.273337e+04
1383185.146032	0.083834	1.031135e+05
1383235.147619	0.000000	3.801119e+06
1383285.149206	0.023924	2.454929e+08
1383335.150794	0.045611	3.200581e+05
1383385.152381	0.113660	4.307911e+04
1383435.153968	0.082845	3.678065e+07
1383485.155556	0.369775	6.181611e+07
1383535.157143	1.753231	1.755349e+07
1383585.158730	1.099323	6.629948e+03
1383635.160317	0.393994	5.888763e+05
1383685.161905	1.731647	9.760565e+03
1383735.163492	0.000000	1.200000e+09
1383785.165079	0.002302	6.463206e+05
1383835.166667	0.012910	1.212979e+05
1383885.168254	0.000000	2.810410e+05
1383935.169841	0.000000	3.249617e+05
1383985.171429	0.004591	2.884625e+05
1384035.173016	0.004591	1.750106e+05
1384085.174603	0.000000	1.200000e+09
1384135.176190	0.000000	2.684279e+05
1384185.177778	0.074064	2.502646e+05
1384235.179365	0.000014	1.782591e+05
1384285.180952	0.000000	1.200000e+09
1384335.182540	0.000000	2.924412e+05
1384385.184127	0.051287	1.755444e+08
1384435.185714	0.051582	2.949625e+04
1384485.187302	0.057749	1.002965e+04
1384535.188889	0.044496	6.679587e+03
1384585.190476	0.010613	5.239756e+03
1384635.192063	0.000000	4.175607e+04
1384685.193651	0.000000	6.893963e+04
1384735.195238	0.040583	9.045863e+03
1384785.196825	0.154858	1.419347e+04
1384835.198413	0.070031	3.452878e+04
1384885.200000	0.006543	2.994277e+08
1384935.201587	0.006312	2.545497e+04
1384985.203175	0.000000	2.250344e+05
1385035.204762	0.000000	6.365529e+05
1385085.206349	0.014520	2.833139e+04
1385135.207937	0.081178	3.231538e+04
1385185.209524	0.080242	1.361397e+08
1385235.211111	0.160982	3.012720e+04
1385285.212698	0.023825	1.136276e+05
1385335.214286	0.022395	2.623269e+04
1385385.215873	0.088593	2.138710e+05
1385435.217460	0.206265	2.695262e+04
1385485.219048	0.120030	6.029543e+04
1385535.220635	0.161088	8.652394e+03
1385585.222222	0.482283	3.371056e+03
1385635.223810	2.155486	2.156787e+03
1385685.225397	4.175926	1.886261e+03
1385735.226984	4.784937	2.401088e+03
1385785.228571	0.573117	2.095702e+07
1385835.230159	1.356260	6.251180e+06
1385885.231746	2.289955	6.095862e+03
1385935.233333	0.237599	9.571849e+07
1385985.234921	0.064369	1.810992e+08
1386035.236508	0.521699	2.721984e+07
1386085.238095	0.486869	5.536947e+03
1386135.239683	0.384984	3.801030e+07
1386185.241270	0.543967	1.214039e+07
1386235.242857	0.000124	4.592598e+08
1386285.244444	0.001275	1.208366e+05
1386335.246032	0.403391	2.161238e+04
1386385.247619	0.166747	6.733663e+04
1386435.249206	0.117881	1.318851e+08
1386485.250794	4.026683	3.276882e+06
1386535.252381	0.668433	3.964163e+03
1386585.253968	0.178789	3.293613e+03
1386635.255556	0.285866	2.989424e+03
1386685.257143	0.000000	3.132868e+05
1386735.258730	0.000000	3.848961e+05
1386785.260317	0.000000	2.692787e+05
1386835.261905	1.666618	1.182245e+07
1386885.263492	2.352064	5.310587e+03
1386935.265079	2.026270	3.426814e+03
1386985.266667	0.045918	3.385542e+05
1387035.268254	0.047554	5.762239e+04
1387085.269841	0.184562	1.221130e+04
1387135.271429	0.258222	7.500026e+03
1387185.273016	0.393999	5.367368e+04
1387235.274603	0.225958	3.520244e+07
1387285.276190	0.889973	3.406815e+03
1387335.277778	0.000000	1.200000e+09
1387385.279365	0.158396	6.691035e+07
1387435.280952	1.711262	1.317699e+07
1387485.282540	1.720306	3.073687e+03
1387535.284127	7.394979	4.589164e+02
1387585.285714	12.214086	3.858992e+02
1387635.287302	0.957563	1.336996e+07
1387685.288889	18.582049	3.290333e+02
1387735.290476	20.995940	2.997883e+02
1387785.292063	20.045022	2.893573e+02
1387835.293651	0.188692	3.147969e+07
1387885.295238	16.982462	2.747608e+02
1387935.296825	16.806208	2.674460e+02
1387985.298413	18.664491	2.604509e+02
1388035.300000	27.717921	2.461606e+02
1388085.301587	32.192012	2.384686e+02
1388135.303175	31.668237	2.318732e+02
1388185.304762	1.539611	2.738792e+07
1388235.306349	28.577932	2.155367e+02
1388285.307937	42.434676	2.027872e+02
1388335.309524	36.663286	1.910879e+02
1388385.311111	18.884844	1.826536e+02
1388435.312698	42.483333	1.724435e+02
1388485.314286	45.722598	1.675578e+02
1388535.315873	44.486454	1.604120e+02
1388585.317460	46.725014	1.557622e+02
1388635.319048	49.002258	1.509802e+02
1388685.320635	50.131721	1.472266e+02
1388735.322222	50.886253	1.442342e+02
1388785.323810	51.453343	1.418356e+02
1388835.325397	51.905794	1.399208e+02
1388885.326984	52.275685	1.384151e+02
1388935.328571	52.575483	1.372703e+02
1388985.330159	52.805187	1.364565e+02
1389035.331746	52.953950	1.359592e+02
1389085.333333	52.998027	1.357773e+02
1389135.334921	52.894110	1.359244e+02
1389185.336508	52.563374	1.364315e+02
1389235.338095	51.849889	1.373531e+02
1389285.339683	50.376232	1.387800e+02
1389335.341270	38.656275	1.408045e+02
1389385.342857	18.324278	1.423917e+02
1389435.344444	41.214090	1.450439e+02
1389485.346032	17.031610	1.460132e+02
1389535.347619	46.500458	1.478351e+02
1389585.349206	49.733216	1.484900e+02
1389635.350794	53.000626	1.493070e+02
1389685.352381	52.374554	1.490383e+02
1389735.353968	49.078644	1.495738e+02
1389785.355556	45.111951	1.513226e+02
1389835.357143	44.161261	1.524421e+02
1389885.358730	41.842462	1.544414e+02
1389935.360317	4.402872	1.078732e+07
1389985.361905	32.788052	1.608114e+02
1390035.363492	35.837801	1.615747e+02
1390085.365079	34.471586	1.637619e+02
1390135.366667	30.947103	1.675295e+02
1390185.368254	23.362806	1.734190e+02
1390235.369841	0.190762	3.618277e+07
1390285.371429	1.283166	1.826444e+07
1390335.373016	13.585354	1.888851e+02
1390385.374603	4.696243	1.953895e+02
1390435.376190	7.893463	2.019881e+02
1390485.377778	6.288273	2.122915e+02
1390535.379365	1.869149	1.196073e+07
1390585.380952	0.951985	6.831106e+03
1390635.382540	0.567758	6.365266e+07
1390685.384127	0.207159	9.832002e+04
1390735.385714	1.873993	2.111744e+07
1390785.387302	0.000002	8.129379e+05
1390835.388889	3.919811	2.283598e+02
1390885.390476	9.191913	2.223879e+02
1390935.392063	12.413702	2.197620e+02
1390985.393651	14.503466	2.191485e+02
1391035.395238	15.870073	2.199674e+02
1391085.396825	16.738871	2.219465e+02
1391135.398413	17.249241	2.249479e+02
1391185.400000	17.494290	2.289100e+02
1391235.401587	17.539934	2.338259e+02
1391285.403175	17.435075	2.397134e+02
1391335.404762	17.217450	2.466213e+02
1391385.406349	16.917343	2.546412e+02
1391435.407937	16.559961	2.638857e+02
1391485.409524	16.167064	2.745214e+02
1391535.411111	15.758422	2.868114e+02
1391585.412698	15.353232	3.011683e+02
1391635.414286	14.971517	3.182810e+02
1391685.415873	14.635862	3.393360e+02
1391735.417460	14.371935	3.664172e+02
1391785.419048	14.203775	4.034788e+02
1391835.420635	14.120879	4.592220e+02
1391885.422222	12.519084	6.137922e+02
1391935.423810	5.546125	2.296144e+04
1391985.425397	0.892969	2.975350e+07
