location	LR	alpha
1311297.000000	1880.363410	1.665783e+00
1311347.002544	1879.115358	1.666454e+00
1311397.005088	1876.431525	1.667879e+00
1311447.007632	1875.473195	1.668382e+00
1311497.010175	1874.420227	1.668930e+00
1311547.012719	1872.735205	1.669798e+00
1311597.015263	1871.425274	1.670465e+00
1311647.017807	1870.295329	1.671035e+00
1311697.020351	1868.174752	1.672089e+00
1311747.022895	1865.827233	1.673232e+00
1311797.025439	1864.294118	1.673964e+00
1311847.027982	1862.737316	1.674699e+00
1311897.030526	1861.154730	1.675433e+00
1311947.033070	1859.543840	1.676170e+00
1311997.035614	1858.177909	1.676783e+00
1312047.038158	1856.831994	1.677377e+00
1312097.040702	1855.297136	1.678041e+00
1312147.043246	1853.264915	1.678899e+00
1312197.045789	1851.098282	1.679782e+00
1312247.048333	1848.832551	1.680666e+00
1312297.050877	1846.425795	1.681552e+00
1312347.053421	1843.779070	1.682440e+00
1312397.055965	1842.903892	1.682705e+00
1312447.058509	1832.909144	1.683366e+00
1312497.061053	1837.486624	1.684737e+00
1312547.063596	1837.287106	1.684847e+00
1312597.066140	1834.295640	1.686110e+00
1312647.068684	1831.535225	1.686992e+00
1312697.071228	1828.565483	1.687682e+00
1312747.073772	1826.012178	1.688286e+00
1312797.076316	1823.500999	1.689022e+00
1312847.078860	1816.596658	1.689805e+00
1312897.081403	1822.534637	1.690657e+00
1312947.083947	1822.467254	1.691422e+00
1312997.086491	1821.611084	1.692218e+00
1313047.089035	1820.398767	1.693015e+00
1313097.091579	1818.935940	1.693813e+00
1313147.094123	1817.240669	1.694612e+00
1313197.096666	1815.256404	1.695413e+00
1313247.099210	1810.529410	1.696577e+00
1313297.101754	1810.231038	1.696895e+00
1313347.104298	1810.009447	1.697684e+00
1313397.106842	1808.541981	1.698473e+00
1313447.109386	1806.372064	1.699287e+00
1313497.111930	1798.229650	1.699557e+00
1313547.114473	1802.633073	1.701417e+00
1313597.117017	1801.211069	1.702160e+00
1313647.119561	1801.079296	1.702221e+00
1313697.122105	1796.915810	1.703743e+00
1313747.124649	1788.897760	1.703933e+00
1313797.127193	1794.207686	1.704935e+00
1313847.129737	1793.482710	1.705518e+00
1313897.132280	1791.338267	1.706578e+00
1313947.134824	1789.679775	1.707247e+00
1313997.137368	1787.810221	1.707916e+00
1314047.139912	1785.703829	1.708587e+00
1314097.142456	1783.290924	1.709257e+00
1314147.145000	1775.929384	1.710672e+00
1314197.147544	1772.229257	1.711324e+00
1314247.150087	1744.080977	1.710382e+00
1314297.152631	1770.609430	1.712891e+00
1314347.155175	1771.613025	1.713679e+00
1314397.157719	1771.161686	1.714565e+00
1314447.160263	1769.815201	1.715447e+00
1314497.162807	1767.956433	1.716218e+00
1314547.165351	1764.168801	1.717148e+00
1314597.167894	1750.282194	1.716770e+00
1314647.170438	1762.003900	1.718114e+00
1314697.172982	1759.885820	1.719338e+00
1314747.175526	1746.307654	1.718995e+00
1314797.178070	1758.733859	1.720964e+00
1314847.180614	1756.470511	1.721765e+00
1314897.183158	1744.357370	1.721225e+00
1314947.185701	1758.531224	1.723609e+00
1314997.188245	1758.556106	1.724161e+00
1315047.190789	1758.343672	1.724713e+00
1315097.193333	1757.955662	1.725266e+00
1315147.195877	1756.738799	1.726389e+00
1315197.198421	1754.682703	1.727690e+00
1315247.200965	1754.682703	1.727690e+00
1315297.203508	1752.196679	1.728817e+00
1315347.206052	1747.651354	1.730093e+00
1315397.208596	1747.613840	1.730842e+00
1315447.211140	1746.056518	1.731590e+00
1315497.213684	1744.175556	1.732201e+00
1315547.216228	1726.943103	1.732464e+00
1315597.218772	1738.024685	1.734031e+00
1315647.221315	1731.424579	1.734029e+00
1315697.223859	1723.782969	1.734725e+00
1315747.226403	1736.818638	1.736154e+00
1315797.228947	1737.714730	1.736729e+00
1315847.231491	1736.356194	1.737997e+00
1315897.234035	1737.959504	1.738610e+00
1315947.236579	1738.299524	1.739286e+00
1315997.239122	1738.168790	1.740076e+00
1316047.241666	1737.350210	1.741275e+00
1316097.244210	1736.012204	1.742415e+00
1316147.246754	1735.387573	1.742824e+00
1316197.249298	1734.001076	1.743557e+00
1316247.251842	1724.870198	1.744259e+00
1316297.254385	1728.808510	1.745697e+00
1316347.256929	1728.603069	1.745968e+00
1316397.259473	1730.017962	1.746987e+00
1316447.262017	1729.463288	1.748071e+00
1316497.264561	1728.705793	1.748854e+00
