location	LR	alpha
560705.000000	0.045502	3.930881e+07
560755.001459	1.635557	4.167536e+02
560805.002918	0.904573	6.448503e+02
560855.004377	0.000000	8.412275e+05
560905.005836	0.002218	3.130944e+04
560955.007294	0.001223	2.576899e+05
561005.008753	0.011695	1.651242e+08
561055.010212	4.193863	2.608312e+03
561105.011671	7.031112	1.011954e+03
561155.013130	4.494731	8.098763e+02
561205.014589	1.275854	1.228441e+07
561255.016048	4.954695	8.360609e+02
561305.017507	2.712974	1.153356e+03
561355.018966	3.055256	1.554842e+03
561405.020425	1.258351	3.446245e+03
561455.021883	0.453475	1.369153e+04
561505.023342	0.311880	9.527547e+07
561555.024801	1.713488	6.790152e+03
561605.026260	0.005274	2.425783e+08
561655.027719	2.335597	1.634912e+03
561705.029178	3.318855	1.583347e+03
561755.030637	0.193371	4.079854e+07
561805.032096	4.712851	7.936743e+02
561855.033555	1.275854	1.228441e+07
561905.035013	7.686094	4.248752e+02
561955.036472	5.523267	4.188051e+02
562005.037931	2.660931	4.217438e+02
562055.039390	0.000000	8.530046e+07
562105.040849	0.136518	3.421403e+03
562155.042308	0.152875	3.231563e+02
562205.043767	8.615628	2.869008e+02
562255.045226	10.252652	2.776724e+02
562305.046685	11.166298	2.702485e+02
562355.048144	10.041549	2.659791e+02
562405.049602	6.581119	2.700675e+02
562455.051061	0.279252	1.793389e+04
562505.052520	0.236797	3.194905e+07
562555.053979	6.336757	2.877182e+02
562605.055438	8.598402	2.804893e+02
562655.056897	8.371384	2.815189e+02
562705.058356	3.653023	2.904564e+02
562755.059815	8.250381	3.052013e+02
562805.061274	2.804119	3.094686e+02
562855.062733	12.291304	3.066397e+02
562905.064191	12.139158	3.247256e+02
562955.065650	7.720448	3.796229e+02
563005.067109	9.017890	4.588083e+02
563055.068568	8.142080	6.145205e+02
563105.070027	4.659789	9.865529e+02
563155.071486	0.185296	1.199874e+06
563205.072945	3.673858	2.120363e+03
563255.074404	3.345287	1.034868e+03
563305.075863	12.100169	8.918472e+02
563355.077321	11.584035	9.773342e+02
563405.078780	2.257784	1.250113e+03
563455.080239	8.036503	1.437730e+03
563505.081698	3.035479	2.387925e+03
563555.083157	1.104571	3.384689e+03
563605.084616	0.083776	2.580938e+05
563655.086075	0.013321	2.400445e+08
563705.087534	0.074801	3.444660e+04
563755.088993	0.095354	1.305938e+04
563805.090452	1.230896	1.187610e+04
563855.091910	0.000000	1.200000e+09
563905.093369	0.174716	1.305300e+04
563955.094828	0.024145	2.264148e+08
564005.096287	0.133210	3.037947e+04
564055.097746	0.004724	6.646058e+04
564105.099205	0.000182	3.765192e+08
564155.100664	0.000000	1.200000e+09
564205.102123	0.002555	3.230155e+08
564255.103582	0.002486	2.655125e+04
564305.105040	0.001544	1.268921e+04
564355.106499	0.000079	1.106214e+04
564405.107958	0.000000	3.749888e+04
564455.109417	0.110824	3.437923e+03
564505.110876	0.042259	2.905515e+04
564555.112335	0.508749	2.989304e+03
564605.113794	0.304455	2.035423e+03
564655.115253	0.189127	1.885708e+03
564705.116712	0.099422	1.947480e+03
564755.118171	0.021567	2.230044e+03
564805.119629	0.001197	3.208960e+03
564855.121088	0.015542	3.709120e+03
564905.122547	0.020442	4.457086e+03
564955.124006	0.019178	5.968931e+03
565005.125465	0.014662	9.579565e+03
565055.126924	0.010954	2.424935e+04
565105.128383	0.006483	2.721010e+08
565155.129842	0.024145	1.096481e+05
565205.131301	0.000000	3.067120e+05
565255.132760	0.084064	1.615669e+08
565305.134218	0.021551	6.178608e+04
565355.135677	0.157461	1.535241e+08
565405.137136	0.002614	2.090915e+06
565455.138595	0.000000	3.866904e+05
565505.140054	0.257115	1.573804e+04
565555.141513	0.000182	3.765192e+08
565605.142972	0.005638	1.416327e+05
565655.144431	0.033787	1.987847e+08
565705.145890	0.134017	4.525756e+04
565755.147348	0.000000	1.200000e+09
565805.148807	1.123185	1.301849e+04
565855.150266	1.072232	1.210809e+07
565905.151725	0.068291	1.416479e+04
565955.153184	0.006653	8.310168e+04
566005.154643	0.000505	3.404157e+08
566055.156102	0.209615	1.428399e+08
566105.157561	0.043417	2.052072e+08
566155.159020	0.004996	3.188052e+08
566205.160479	0.159310	1.553910e+08
566255.161937	0.000236	1.024167e+05
566305.163396	1.155632	5.092032e+03
566355.164855	2.530556	5.119923e+03
566405.166314	0.258629	1.802746e+04
566455.167773	0.096434	2.795953e+04
566505.169232	0.014775	2.678332e+05
566555.170691	0.653444	1.138382e+04
566605.172150	0.000002	1.802137e+05
566655.173609	1.025449	4.881608e+03
566705.175067	0.021570	1.463082e+05
566755.176526	0.221162	7.072104e+07
566805.177985	0.975737	1.355790e+05
566855.179444	0.177637	3.420553e+04
566905.180903	0.239551	1.091295e+08
566955.182362	0.000000	1.200000e+09
567005.183821	3.979436	3.915387e+03
567055.185280	1.189338	1.114553e+07
567105.186739	1.640223	5.526763e+03
567155.188198	1.876984	1.197052e+07
567205.189656	0.060602	4.228953e+07
567255.191115	0.546654	1.826765e+07
567305.192574	1.313332	3.738175e+03
567355.194033	0.190254	1.080819e+04
567405.195492	0.070943	4.265810e+04
567455.196951	0.045641	1.313096e+04
567505.198410	0.015813	3.409069e+04
567555.199869	1.545137	2.530121e+03
567605.201328	2.610711	1.707003e+03
567655.202786	0.917932	4.780469e+03
567705.204245	0.730863	1.133245e+04
567755.205704	1.204462	1.162722e+03
567805.207163	1.614332	9.316392e+02
567855.208622	1.351216	8.844401e+02
567905.210081	0.746680	9.527812e+02
567955.211540	0.269685	1.558134e+03
568005.212999	0.237173	2.327270e+03
568055.214458	0.317988	3.025837e+03
568105.215917	0.536199	4.102232e+03
568155.217375	2.474655	8.363192e+03
568205.218834	0.107573	2.402900e+04
568255.220293	0.014681	4.293319e+04
568305.221752	0.006026	6.295943e+04
568355.223211	0.061062	1.920482e+08
568405.224670	0.685961	1.570975e+04
568455.226129	2.282553	1.734128e+04
568505.227588	0.048356	1.095704e+05
568555.229047	0.010015	9.964677e+04
568605.230506	0.176329	1.628935e+04
568655.231964	0.188687	2.750030e+04
568705.233423	0.065545	6.637643e+04
568755.234882	0.000014	4.689876e+08
568805.236341	0.000014	6.128175e+04
568855.237800	0.168986	5.528159e+03
568905.239259	0.796974	2.860564e+03
568955.240718	0.504491	1.975263e+03
569005.242177	0.552531	1.541581e+03
569055.243636	0.794530	1.205593e+03
569105.245094	1.128963	1.118419e+03
569155.246553	1.297801	1.174450e+03
569205.248012	1.358249	1.543440e+03
569255.249471	1.821029	2.406496e+03
569305.250930	0.222635	5.153260e+04
569355.252389	0.545681	1.252759e+04
569405.253848	1.408987	4.879718e+03
569455.255307	0.289619	2.323419e+04
569505.256766	0.065768	9.483308e+04
569555.258225	0.000000	3.198475e+05
569605.259683	0.038213	1.677889e+08
569655.261142	0.000000	2.628533e+05
569705.262601	0.000000	1.095931e+06
569755.264060	0.248646	9.444064e+03
569805.265519	0.280324	4.487221e+03
569855.266978	0.372192	4.723121e+03
569905.268437	1.084070	1.282846e+04
569955.269896	0.065292	2.248423e+05
570005.271355	0.594669	1.114553e+07
570055.272813	0.020161	1.579623e+08
570105.274272	0.125623	1.228507e+08
570155.275731	0.075873	1.549736e+08
570205.277190	0.005554	4.917223e+05
570255.278649	0.035667	1.650141e+04
570305.280108	0.231861	1.014052e+04
570355.281567	0.128040	5.140429e+04
570405.283026	0.182859	7.117666e+03
570455.284485	0.036267	1.903732e+04
570505.285944	0.561640	1.454134e+04
570555.287402	0.342744	6.210310e+03
570605.288861	0.048613	1.865401e+04
570655.290320	0.159864	1.514571e+08
570705.291779	0.009705	1.318562e+05
570755.293238	0.617294	6.984629e+03
570805.294697	0.036073	2.662786e+04
570855.296156	0.260352	1.403962e+04
570905.297615	0.323552	2.200571e+04
570955.299074	1.116216	3.719320e+07
571005.300532	0.869052	7.954343e+03
571055.301991	0.921561	1.630405e+04
571105.303450	0.128860	7.171199e+05
571155.304909	2.717840	7.342649e+06
571205.306368	0.726306	3.900866e+04
571255.307827	1.299589	2.850654e+03
571305.309286	0.571067	1.902274e+03
571355.310745	0.076320	1.636171e+03
571405.312204	0.041252	1.741593e+04
571455.313663	0.263998	2.771685e+04
571505.315121	0.041475	3.754228e+04
571555.316580	0.313035	2.124733e+04
571605.318039	0.001728	1.164055e+04
571655.319498	0.000000	4.248995e+04
571705.320957	0.136166	4.531672e+03
571755.322416	0.249525	1.050368e+04
571805.323875	0.034486	1.178045e+05
571855.325334	0.901866	5.334814e+07
571905.326793	0.031132	1.087396e+08
571955.328252	0.102766	4.740870e+04
572005.329710	0.012910	1.644907e+05
572055.331169	0.546806	5.303965e+07
572105.332628	5.869131	3.381376e+03
