location	LR	alpha
2463008.000000	0.002792	2.136018e+02
2463058.003610	0.086559	2.717806e-02
2463108.007221	2.022698	1.334383e-02
2463158.010831	1.723059	5.832244e-03
2463208.014441	0.951745	5.038915e-03
2463258.018051	0.698664	5.014239e-03
2463308.021662	0.563076	5.059118e-03
2463358.025272	0.636931	5.543588e-03
2463408.028882	0.429259	7.697131e-03
2463458.032493	0.172811	1.119914e-02
2463508.036103	0.630404	1.548465e-02
2463558.039713	0.001662	1.042496e+00
2463608.043323	0.000012	4.381246e+00
2463658.046934	0.069404	1.458000e-01
2463708.050544	0.000000	2.374167e+02
2463758.054154	0.005105	1.675961e-01
2463808.057765	0.116744	5.375757e-02
2463858.061375	0.001101	3.438611e-01
2463908.064985	0.097383	2.666428e-02
2463958.068595	0.097975	4.995792e-02
2464008.072206	0.000065	1.749813e+00
2464058.075816	1.082642	1.120185e-01
2464108.079426	0.320541	3.365524e-02
2464158.083037	0.275262	8.108280e-02
2464208.086647	0.955044	5.389795e-03
2464258.090257	0.332141	3.106829e-02
2464308.093868	0.491541	1.080005e-01
2464358.097478	0.450041	1.902091e-01
2464408.101088	2.663951	8.347540e-03
2464458.104698	0.141761	6.180912e-01
2464508.108309	5.338278	6.331288e-03
2464558.111919	4.693626	4.835708e-03
2464608.115529	0.601941	2.404456e-01
2464658.119140	0.000012	3.518090e+01
2464708.122750	1.796085	7.836533e-03
2464758.126360	1.932626	1.791390e-02
2464808.129970	0.000012	4.817577e+00
2464858.133581	0.046119	4.659039e-02
2464908.137191	0.134146	6.293660e-03
2464958.140801	0.166849	9.522903e-03
2465008.144412	0.223291	8.798633e-03
2465058.148022	0.267596	1.061648e-02
2465108.151632	0.351628	1.519678e-02
2465158.155242	0.020333	2.720715e-02
2465208.158853	0.000124	8.477423e-02
2465258.162463	0.000041	8.420805e-01
2465308.166073	0.000000	9.350218e-01
2465358.169684	0.000000	1.220714e+00
2465408.173294	1.022479	1.217119e-02
2465458.176904	1.906444	1.526825e-02
2465508.180514	0.006138	4.226927e-02
2465558.184125	0.000007	4.894813e-01
2465608.187735	0.047674	9.520834e-02
2465658.191345	0.000000	3.150719e+00
2465708.194956	0.956565	1.466794e-02
2465758.198566	0.934510	4.189527e-02
2465808.202176	0.041964	2.774705e-01
2465858.205786	0.000000	3.162711e+00
2465908.209397	0.092179	2.767390e-01
2465958.213007	0.083411	6.004257e+00
2466008.216617	0.187287	1.187773e-01
2466058.220228	0.000898	4.294471e-01
2466108.223838	0.006001	6.369664e-01
2466158.227448	0.927787	2.763658e-02
2466208.231059	0.005954	4.197571e-01
2466258.234669	0.000000	2.833753e+00
2466308.238279	0.077568	5.275562e-02
2466358.241889	0.062003	1.327226e-01
2466408.245500	0.092273	1.950297e-01
2466458.249110	0.061829	3.368917e-02
2466508.252720	0.046821	1.671697e-02
2466558.256331	0.070094	8.008645e-03
2466608.259941	0.116405	6.447542e-03
2466658.263551	0.120118	6.711481e-03
2466708.267161	0.092492	8.439327e-03
2466758.270772	0.068682	1.839024e-02
2466808.274382	0.068323	1.252019e-01
