location	LR	alpha
2476383.000000	4.052166	1.919788e+03
2476433.006204	3.013158	1.994718e+07
2476483.012409	0.546185	2.543142e+03
2476533.018613	0.000000	2.558592e+05
2476583.024817	0.000000	2.320985e+08
2476633.031021	0.000016	6.063827e+05
2476683.037226	1.131088	1.089138e+07
2476733.043430	0.082918	1.209439e+08
2476783.049634	0.075458	8.797783e+07
2476833.055838	0.000000	2.533763e+05
2476883.062043	0.000000	1.200000e+09
2476933.068247	0.073008	6.417296e+07
2476983.074451	0.162522	2.096266e+08
2477033.080655	0.712850	1.054205e+07
2477083.086860	0.000139	5.516787e+08
2477133.093064	0.001332	4.797946e+08
2477183.099268	3.859944	3.308189e+05
2477233.105472	1.214078	1.651816e+04
2477283.111677	1.040845	2.513752e+07
2477333.117881	0.144174	6.733093e+04
2477383.124085	0.003418	3.863092e+08
2477433.130290	0.011297	1.334811e+05
2477483.136494	0.011317	2.939960e+04
2477533.142698	0.000000	7.132746e+04
2477583.148902	0.000000	1.799027e+05
2477633.155107	0.000000	3.026127e+05
2477683.161311	0.954929	1.308035e+04
2477733.167515	0.750364	4.072314e+03
2477783.173719	0.429545	5.416704e+03
2477833.179924	0.038066	3.224536e+08
2477883.186128	0.016517	4.319976e+04
2477933.192332	0.000000	1.696824e+06
2477983.198536	0.526212	6.021157e+04
2478033.204741	0.483719	1.733388e+04
2478083.210945	0.822172	1.154481e+04
2478133.217149	1.767348	1.528360e+05
2478183.223353	0.164774	1.928447e+04
2478233.229558	0.166683	2.834379e+04
2478283.235762	0.219485	1.111418e+04
2478333.241966	0.215397	2.207144e+03
2478383.248171	0.097744	4.434362e+04
2478433.254375	0.629294	4.796279e+07
2478483.260579	0.600824	1.697145e+04
2478533.266783	0.175767	2.060695e+04
2478583.272988	1.450062	8.236002e+04
2478633.279192	1.634806	1.003733e+04
2478683.285396	2.262481	5.202917e+03
2478733.291600	2.027389	3.250304e+03
2478783.297805	1.824269	2.394209e+03
2478833.304009	1.530072	1.949707e+03
2478883.310213	1.633419	1.431006e+03
2478933.316417	2.065418	1.293455e+03
2478983.322622	1.650283	1.319589e+03
2479033.328826	0.927949	1.630742e+03
2479083.335030	0.776107	2.045727e+03
2479133.341234	0.536553	2.646210e+03
2479183.347439	0.548347	4.163748e+03
2479233.353643	0.442274	7.508182e+03
2479283.359847	0.195736	7.957913e+04
2479333.366052	0.821453	1.889413e+04
2479383.372256	0.788842	2.899186e+04
2479433.378460	1.803661	1.005098e+04
2479483.384664	0.024533	8.200315e+04
2479533.390869	0.126656	1.037137e+05
2479583.397073	0.742976	3.716619e+04
2479633.403277	0.631385	1.537605e+08
2479683.409481	0.895984	2.092085e+04
2479733.415686	1.234949	1.540819e+04
2479783.421890	0.139305	4.545766e+04
2479833.428094	0.040194	2.486084e+08
2479883.434298	0.536953	1.291846e+04
2479933.440503	1.204847	2.201138e+04
