location	LR	alpha
2460897.000000	0.012099	2.276776e+02
2460947.003153	1.150387	3.355270e-04
2460997.006306	2.365677	3.397784e-04
2461047.009459	3.003657	3.442306e-04
2461097.012613	3.403130	3.488846e-04
2461147.015766	3.669613	3.537444e-04
2461197.018919	3.849554	3.588162e-04
2461247.022072	3.967235	3.641090e-04
2461297.025225	4.036666	3.696340e-04
2461347.028378	4.066397	3.754048e-04
2461397.031532	4.061752	3.814387e-04
2461447.034685	4.025966	3.877542e-04
2461497.037838	3.960792	3.943745e-04
2461547.040991	3.866827	4.013256e-04
2461597.044144	3.743657	4.086368e-04
2461647.047297	3.589880	4.163443e-04
2461697.050450	3.403018	4.244879e-04
2461747.053604	3.179292	4.331177e-04
2461797.056757	2.913228	4.422930e-04
2461847.059910	2.596980	4.520856e-04
2461897.063063	2.219157	4.625826e-04
2461947.066216	1.762726	4.738935e-04
2461997.069369	1.200975	4.861617e-04
2462047.072523	0.488990	4.995831e-04
2462097.075676	0.041502	1.035614e-02
2462147.078829	0.042299	1.523405e-02
2462197.081982	0.044483	2.879668e-02
2462247.085135	0.074870	2.608236e-01
2462297.088288	0.033458	3.685405e-02
2462347.091441	0.036875	1.722746e-02
2462397.094595	0.037915	1.123607e-02
2462447.097748	0.040120	8.133116e-03
2462497.100901	0.091204	4.562988e-03
2462547.104054	0.215565	3.870657e-03
2462597.107207	0.277481	3.837907e-03
2462647.110360	0.269948	4.091269e-03
2462697.113514	0.214360	4.790342e-03
2462747.116667	0.156321	6.254021e-03
2462797.119820	0.113788	8.448417e-03
2462847.122973	0.075335	1.214060e-02
2462897.126126	0.038074	1.997380e-02
2462947.129279	0.000000	3.345348e-01
2462997.132432	0.069458	7.934670e-01
2463047.135586	0.035965	5.667649e-02
2463097.138739	0.591420	1.969243e-01
2463147.141892	2.745838	1.402654e-02
2463197.145045	0.163371	8.968582e-03
2463247.148198	3.122086	6.990289e-03
2463297.151351	1.769638	4.508817e-03
2463347.154505	0.098557	4.218776e-03
2463397.157658	0.000000	5.561587e+00
2463447.160811	0.784990	3.554132e-03
2463497.163964	1.052931	1.085201e-02
2463547.167117	0.000000	1.028175e+01
2463597.170270	0.000000	7.047620e+01
2463647.173423	1.356787	3.667507e-02
2463697.176577	0.536979	3.067463e-01
2463747.179730	0.004403	7.237662e-01
2463797.182883	0.003407	1.333599e+00
2463847.186036	0.000000	6.450364e+01
2463897.189189	0.000000	3.762713e+00
2463947.192342	1.933592	4.668558e-03
2463997.195495	0.649647	1.153871e-02
2464047.198649	0.000000	6.040817e+01
2464097.201802	1.400938	4.609947e-02
2464147.204955	0.069841	1.400007e+00
2464197.208108	0.485674	4.511589e-02
2464247.211261	0.024724	5.934603e-02
2464297.214414	6.509624	1.246970e-02
2464347.217568	0.560883	5.305009e-01
2464397.220721	0.908710	8.701208e-03
2464447.223874	0.001284	5.721137e-01
2464497.227027	0.509058	3.668013e-01
2464547.230180	1.208660	3.547388e-02
2464597.233333	0.362536	1.199591e+00
2464647.236486	0.000000	6.804598e+00
2464697.239640	0.000000	3.704116e+00
2464747.242793	6.936327	1.189047e-02
2464797.245946	0.608142	6.627859e-02
2464847.249099	5.329951	4.511064e-03
2464897.252252	4.435935	3.913725e-03
2464947.255405	2.951299	3.952085e-03
2464997.258559	1.017577	4.966317e-03
2465047.261712	0.000000	1.486284e-01
2465097.264865	0.000000	3.904327e-01
2465147.268018	0.012099	1.314549e+00
2465197.271171	0.009204	2.490207e-01
2465247.274324	0.570548	2.115705e+00
2465297.277477	0.069410	9.827980e-01
2465347.280631	0.000000	4.412789e+00
2465397.283784	0.138584	1.525362e-02
2465447.286937	0.221137	1.892702e-01
2465497.290090	0.208124	1.530402e-01
2465547.293243	0.617204	4.049958e-01
2465597.296396	0.250562	6.764656e-02
2465647.299550	0.056749	1.203471e-01
2465697.302703	3.230226	1.980326e-02
2465747.305856	2.093323	4.395254e-02
2465797.309009	0.866279	7.954680e-02
2465847.312162	0.726478	3.217452e-02
2465897.315315	0.004403	2.102144e+00
2465947.318468	0.069410	5.315735e+00
2465997.321622	0.834358	3.461238e-02
2466047.324775	0.604264	1.534499e-01
2466097.327928	1.007549	1.501090e-02
2466147.331081	1.288476	1.211191e-02
2466197.334234	0.012724	3.354702e-01
2466247.337387	0.000000	2.573665e+00
2466297.340541	0.005376	1.854690e-01
2466347.343694	0.000000	8.930607e+00
2466397.346847	0.170962	7.616974e-01
2466447.350000	0.000000	3.598201e-01
2466497.353153	0.000000	1.439658e-01
2466547.356306	0.000000	8.998451e-02
2466597.359459	0.000000	6.544523e-02
2466647.362613	0.000000	6.871387e-02
2466697.365766	0.235841	7.255214e-03
2466747.368919	0.526183	9.219501e-03
2466797.372072	1.082645	1.860684e-02
2466847.375225	0.118627	5.631984e-01
2466897.378378	0.000000	1.279539e+00
2466947.381532	0.000000	2.815681e-01
2466997.384685	0.000000	2.736799e+00
2467047.387838	0.006023	1.581049e-01
2467097.390991	0.000000	3.325013e+00
2467147.394144	0.141721	9.807114e-02
2467197.397297	2.016672	1.009542e-02
2467247.400450	4.031402	9.632990e-03
2467297.403604	1.151412	3.287288e-02
2467347.406757	1.458026	9.548582e-03
2467397.409910	0.004403	7.701479e-01
2467447.413063	1.603649	6.483883e-02
2467497.416216	0.005148	3.609941e-01
2467547.419369	0.639309	1.365266e-01
2467597.422523	0.000000	3.354319e+00
2467647.425676	0.000000	3.122913e-01
2467697.428829	0.000000	1.357024e-01
2467747.431982	0.000000	8.668519e-02
2467797.435135	0.000000	6.368240e-02
2467847.438288	0.000000	5.296571e-02
2467897.441441	0.011719	1.133948e-02
2467947.444595	0.015960	1.406212e-02
2467997.447748	0.009194	2.047784e-02
2468047.450901	0.000000	4.519928e-01
2468097.454054	0.534895	8.254239e-01
2468147.457207	0.665881	6.502953e-02
2468197.460360	0.003856	6.339966e-01
2468247.463514	0.006398	7.606466e-01
2468297.466667	0.239858	1.133824e-01
2468347.469820	0.694205	9.537051e-02
2468397.472973	0.000000	2.537144e+01
2468447.476126	1.143359	9.706601e-03
