location	LR	alpha
1311351.000000	0.276280	1.139465e+08
1311401.003021	0.599576	1.536851e+04
1311451.006041	1.330478	3.318431e+03
1311501.009062	2.497549	3.243920e+03
1311551.012083	0.570985	2.705868e+07
1311601.015103	1.797073	1.186088e+07
1311651.018124	5.541494	2.424133e+03
1311701.021145	4.865934	1.882535e+03
1311751.024165	2.705673	1.603926e+03
1311801.027186	0.792155	1.698780e+03
1311851.030207	0.025508	1.887982e+04
1311901.033227	0.018668	3.752975e+04
1311951.036248	0.018639	3.523619e+05
1312001.039269	0.008308	1.160336e+05
1312051.042289	0.008308	1.220806e+06
1312101.045310	0.683495	1.011559e+07
1312151.048331	0.027398	2.219887e+08
1312201.051351	0.025815	3.213612e+04
1312251.054372	0.526022	5.814486e+03
1312301.057393	0.812039	2.395744e+07
1312351.060413	0.348013	2.241330e+04
1312401.063434	0.365643	3.180486e+07
1312451.066455	1.101861	2.742913e+07
1312501.069475	0.111184	2.128935e+08
1312551.072496	0.172104	1.942602e+04
1312601.075517	1.711071	3.489455e+07
1312651.078537	0.000000	1.200000e+09
1312701.081558	0.007078	6.101483e+04
1312751.084579	0.303962	2.416063e+04
1312801.087599	0.957481	1.558491e+04
1312851.090620	4.669047	1.215791e+04
1312901.093641	0.808096	7.838702e+03
1312951.096661	0.000000	1.200000e+09
1313001.099682	0.410110	5.681768e+07
1313051.102703	0.668057	8.444371e+03
1313101.105723	0.244641	1.228614e+04
1313151.108744	0.182252	4.612054e+04
1313201.111765	0.359663	1.910217e+04
1313251.114785	0.011472	9.462457e+04
1313301.117806	0.011470	8.781899e+04
1313351.120827	0.000004	2.495539e+05
1313401.123847	0.000004	1.113225e+05
1313451.126868	0.002407	5.390763e+04
1313501.129889	0.061243	3.165646e+07
1313551.132909	0.155544	3.698295e+07
1313601.135930	0.103755	2.786720e+04
1313651.138951	0.357965	1.044075e+04
1313701.141971	0.311695	3.129868e+07
1313751.144992	1.357335	2.592029e+07
1313801.148013	0.030699	6.052739e+04
1313851.151033	0.026505	1.409786e+05
1313901.154054	0.073221	3.716666e+07
1313951.157075	0.824467	1.854292e+04
1314001.160095	0.007724	7.508877e+04
1314051.163116	0.007549	9.075047e+04
1314101.166137	0.000000	2.347502e+06
1314151.169157	0.670346	2.473343e+07
1314201.172178	0.670346	2.473343e+07
1314251.175199	0.012107	2.849232e+08
1314301.178219	0.311695	3.129868e+07
1314351.181240	0.046483	1.452681e+04
1314401.184261	0.010711	3.207735e+04
1314451.187281	0.006902	2.086199e+05
1314501.190302	0.393285	1.390090e+05
1314551.193323	0.025307	8.896962e+04
1314601.196343	0.025282	2.830277e+08
1314651.199364	0.025284	5.321415e+04
1314701.202385	0.002301	9.284187e+04
1314751.205405	0.002301	3.849459e+05
1314801.208426	0.988105	6.132893e+07
1314851.211447	0.683495	1.011559e+07
1314901.214467	0.683495	1.011559e+07
1314951.217488	1.549282	3.561785e+07
1315001.220509	0.027730	2.241399e+08
1315051.223529	0.027730	9.593550e+04
1315101.226550	0.868722	1.940704e+04
1315151.229571	4.149465	2.534528e+03
1315201.232591	1.176281	2.051571e+07
1315251.235612	1.665518	6.462070e+03
1315301.238633	0.915965	4.870801e+07
1315351.241653	2.670076	5.455028e+03
1315401.244674	0.707554	1.269548e+05
1315451.247695	0.549964	1.102097e+04
1315501.250715	0.004319	3.369414e+08
