location	LR	alpha
1378413.000000	1.053933	5.102508e+06
1378463.003601	0.201330	2.719244e+04
1378513.007202	0.008969	2.869976e+05
1378563.010803	0.044099	4.049503e+04
1378613.014404	0.046855	5.581526e+04
1378663.018005	0.004548	3.732532e+08
1378713.021606	0.050369	2.446448e+08
1378763.025208	0.446478	2.149837e+07
1378813.028809	0.684910	3.374753e+04
1378863.032410	0.370246	2.436442e+05
1378913.036011	0.188891	7.778142e+04
1378963.039612	0.242454	1.405327e+08
1379013.043213	0.413866	1.041300e+08
1379063.046814	5.649228	1.354679e+07
1379113.050415	0.945325	2.365936e+07
1379163.054016	1.092912	3.904694e+03
1379213.057617	0.000000	1.200000e+09
1379263.061218	1.326781	2.808701e+03
1379313.064819	4.265194	1.999533e+03
1379363.068420	3.426708	1.389072e+03
1379413.072021	1.072176	6.110758e+03
1379463.075623	2.384411	2.531888e+06
1379513.079224	0.270097	1.382468e+08
1379563.082825	4.198111	3.961844e+03
1379613.086426	8.395248	9.069422e+05
1379663.090027	0.586519	2.646113e+07
1379713.093628	0.478025	1.742167e+05
1379763.097229	3.442034	3.144687e+03
1379813.100830	4.515566	2.324270e+03
1379863.104431	0.102857	4.227423e+04
1379913.108032	1.781954	1.623960e+07
1379963.111633	4.529940	1.603454e+07
1380013.115234	4.997754	6.054365e+03
1380063.118835	0.000000	1.200000e+09
1380113.122437	2.347171	2.664573e+07
1380163.126038	0.041766	2.745615e+08
1380213.129639	0.081437	2.473048e+08
1380263.133240	0.681703	1.097067e+08
1380313.136841	0.167037	1.253300e+08
1380363.140442	0.000000	6.647660e+05
1380413.144043	1.156695	5.551714e+03
1380463.147644	2.388375	2.550635e+06
1380513.151245	0.097200	1.154308e+08
1380563.154846	1.572761	3.418817e+07
1380613.158447	3.920594	4.485987e+03
1380663.162048	2.566369	5.078595e+03
1380713.165649	3.983148	8.448499e+03
1380763.169250	0.289982	1.486308e+08
1380813.172852	3.796401	7.017915e+03
1380863.176453	0.036866	8.611421e+04
1380913.180054	0.036891	1.256277e+05
