location	LR	alpha	D
1850853.000000	2.240943	3.585839e+01	0.031515
1850903.003300	3.152759	1.531797e+00	0.031515
1850953.006599	3.387223	7.495348e-03	0.031515
1851003.009899	5.148991	9.716676e-03	0.031515
1851053.013199	4.243952	1.756988e-02	0.015758
1851103.016498	2.728314	2.222901e-01	0.015758
1851153.019798	1.521533	4.523401e-01	0.031515
1851203.023098	3.428482	4.032206e-01	0.031515
1851253.026397	3.841402	4.027202e-02	0.015758
1851303.029697	2.833973	7.740452e-02	0.015758
1851353.032997	2.831498	3.632732e-01	0.031515
1851403.036296	8.151217	9.304944e-02	0.031515
1851453.039596	3.418668	8.111349e-01	0.031515
1851503.042896	7.069864	5.556658e-02	0.031515
1851553.046195	1.930619	1.396099e-01	0.015758
1851603.049495	2.764679	1.499073e-01	0.031515
1851653.052795	1.402338	1.091433e-01	0.015758
1851703.056094	7.804093	1.540548e-02	0.031515
1851753.059394	2.309173	3.199122e-01	0.015758
1851803.062694	1.468928	1.661110e+00	0.031515
1851853.065993	7.370910	1.840305e-02	0.031515
1851903.069293	4.728086	1.935268e-02	0.015758
1851953.072593	2.542674	4.180128e-02	0.031515
1852003.075892	1.313034	1.190961e+00	0.015758
1852053.079192	2.032282	1.189051e-01	0.031515
1852103.082492	2.368487	4.126194e-01	0.031515
1852153.085791	4.779070	6.893152e-02	0.031515
1852203.089091	3.675112	1.815730e-01	0.031515
1852253.092391	1.126907	4.271619e-01	0.031515
1852303.095690	2.602466	1.762226e-01	0.031515
1852353.098990	4.271939	5.973092e-02	0.015758
1852403.102290	3.980342	2.987049e-01	0.031515
1852453.105589	1.846719	2.927191e-01	0.015758
1852503.108889	0.084790	4.596135e-01	0.015758
1852553.112189	5.155001	1.721942e-02	0.031515
1852603.115488	2.104443	1.434981e-01	0.031515
1852653.118788	3.468603	2.280854e-02	0.031515
1852703.122088	0.000000	5.424444e-01	0.015758
1852753.125387	0.766122	6.200372e-01	0.031515
1852803.128687	0.896188	1.352674e+00	0.015758
1852853.131987	2.862476	1.415061e+00	0.031515
1852903.135286	1.659676	9.090319e-02	0.031515
1852953.138586	1.600019	5.243348e-02	0.031515
1853003.141886	0.341771	5.002959e-02	0.031515
1853053.145185	0.000000	9.312808e-02	0.015758
1853103.148485	2.932606	1.562198e-02	0.031515
1853153.151785	2.157695	2.541556e-02	0.031515
1853203.155084	2.930264	4.271361e-01	0.031515
1853253.158384	0.886306	6.263575e-01	0.031515
1853303.161684	1.751147	5.483498e-02	0.031515
1853353.164984	0.336352	5.079946e-02	0.031515
1853403.168283	0.894964	1.469097e+00	0.015758
1853453.171583	4.766960	1.088425e-02	0.031515
1853503.174883	2.653737	5.249643e-02	0.031515
1853553.178182	1.340425	3.729233e-01	0.015758
1853603.181482	1.340497	1.460183e-01	0.015758
1853653.184782	1.340514	9.078200e-02	0.015758
1853703.188081	1.340521	6.586599e-02	0.015758
1853753.191381	1.340525	5.168150e-02	0.015758
1853803.194681	1.340528	4.252383e-02	0.015758
1853853.197980	1.340530	3.612303e-02	0.015758
1853903.201280	0.804080	3.115255e-02	0.015758
1853953.204580	1.076166	2.068236e-02	0.031515
1854003.207879	2.619012	1.904134e-02	0.031515
1854053.211179	3.225614	2.254744e-02	0.031515
1854103.214479	2.524188	3.774992e-02	0.031515
1854153.217778	2.640892	8.003153e-02	0.031515
1854203.221078	1.040467	7.025303e-01	0.015758
1854253.224378	0.792349	4.783888e-02	0.031515
1854303.227677	0.684765	3.402909e-02	0.031515
1854353.230977	0.615821	2.610007e-02	0.031515
1854403.234277	0.085354	6.146460e-02	0.015758
1854453.237576	0.085356	4.893214e-02	0.015758
1854503.240876	1.337236	1.045077e-02	0.031515
1854553.244176	2.866115	1.095646e-02	0.031515
1854603.247475	3.241100	1.111366e-02	0.031515
1854653.250775	1.866303	1.218584e-02	0.031515
1854703.254075	0.000000	1.093435e-01	0.015758
1854753.257374	0.000000	2.008617e-01	0.015758
1854803.260674	0.000000	1.232119e+00	0.015758
1854853.263974	0.000000	2.279648e+00	0.015758
1854903.267273	2.700224	1.864783e+00	0.031515
1854953.270573	0.000000	1.374661e+00	0.015758
1855003.273873	3.866835	6.264933e-01	0.031515
1855053.277172	0.358351	4.316677e-02	0.031515
1855103.280472	3.283913	2.244167e-02	0.031515
1855153.283772	1.772716	1.437614e-02	0.015758
1855203.287071	1.342956	4.666912e-01	0.015758
1855253.290371	1.015280	3.417356e-01	0.015758
1855303.293671	0.860136	9.427023e-02	0.031515
1855353.296970	2.132556	4.091416e-02	0.015758
1855403.300270	3.180424	5.112914e-02	0.015758
1855453.303570	4.324981	5.256159e-02	0.015758
1855503.306869	3.538206	8.909137e-02	0.015758
1855553.310169	3.326435	1.416935e-01	0.015758
1855603.313469	2.892731	3.459555e-01	0.015758
1855653.316768	3.497116	3.524679e-02	0.015758
1855703.320068	3.567006	4.144986e-02	0.015758
1855753.323368	2.711672	2.616222e-02	0.015758
1855803.326667	3.246050	4.884536e-02	0.015758
1855853.329967	0.303000	1.914791e-01	0.031515
1855903.333267	2.326620	2.496772e-01	0.031515
1855953.336566	1.321715	2.130056e-01	0.015758
1856003.339866	2.133541	4.540382e-01	0.031515
1856053.343166	0.327425	2.013129e+00	0.031515
1856103.346465	0.782500	5.815464e-02	0.031515
1856153.349765	1.489190	4.079435e-01	0.031515
1856203.353065	0.884931	1.387774e+00	0.015758
1856253.356364	2.470833	6.806082e-01	0.031515
1856303.359664	0.631863	3.112730e-01	0.031515
1856353.362964	2.669068	3.048629e-01	0.031515
1856403.366263	0.000000	1.808936e+00	0.015758
1856453.369563	0.000000	5.064227e+00	0.015758
1856503.372863	0.000000	1.433202e+00	0.015758
1856553.376162	0.045200	9.277081e-02	0.031515
1856603.379462	0.218509	7.178934e+00	0.031515
1856653.382762	1.159436	2.497844e-01	0.031515
