location	LR	alpha
509701.000000	0.000164	4.670029e+08
509751.002921	0.000164	4.670029e+08
509801.005841	0.000164	4.670029e+08
509851.008762	0.310362	1.599863e+05
509901.011682	0.310362	1.557423e+08
509951.014603	0.310361	1.004991e+05
510001.017523	0.664297	1.241688e+08
510051.020444	0.664297	1.241688e+08
510101.023364	0.344249	3.514806e+07
510151.026285	0.344249	3.514806e+07
510201.029206	0.344249	3.514806e+07
510251.032126	0.813090	7.905771e+07
510301.035047	0.813090	7.905771e+07
510351.037967	0.810074	1.619988e+04
510401.040888	1.281618	4.481939e+07
510451.043808	1.281618	4.481939e+07
510501.046729	0.033233	1.676212e+05
510551.049650	0.033233	2.515980e+08
510601.052570	0.033233	2.515980e+08
510651.055491	1.695803	7.506685e+07
510701.058411	1.695803	7.506685e+07
510751.061332	3.987252	1.043562e+04
510801.064252	2.013567	2.773066e+07
510851.067173	2.037706	3.687756e+04
510901.070093	1.524012	1.575427e+04
510951.073014	0.746132	7.780061e+07
511001.075935	0.746132	5.122871e+05
511051.078855	0.304317	9.865281e+07
511101.081776	0.304317	9.865281e+07
511151.084696	0.000000	1.200000e+09
511201.087617	0.000000	1.200000e+09
511251.090537	0.000000	2.675639e+05
511301.093458	0.000000	1.200000e+09
511351.096379	0.000000	1.200000e+09
511401.099299	0.000000	4.306919e+05
511451.102220	0.000000	1.200000e+09
511501.105140	0.000000	1.200000e+09
511551.108061	3.539080	2.882930e+07
511601.110981	3.539080	2.882930e+07
511651.113902	3.539080	2.882930e+07
511701.116822	0.006417	2.201167e+08
511751.119743	0.006417	2.201167e+08
511801.122664	0.524621	9.118281e+07
511851.125584	0.524621	9.118281e+07
511901.128505	0.613865	2.909188e+04
511951.131425	1.644636	1.198432e+04
512001.134346	5.106762	9.790692e+03
512051.137266	0.539711	8.817630e+04
512101.140187	0.539710	2.925912e+07
512151.143107	0.539710	2.925912e+07
512201.146028	0.000881	6.321204e+04
512251.148949	0.025266	2.866738e+08
512301.151869	0.025266	2.866738e+08
512351.154790	0.000000	1.200000e+09
512401.157710	0.000000	1.200000e+09
512451.160631	0.000003	1.307504e+05
512501.163551	0.000358	1.285076e+05
512551.166472	0.000358	5.724405e+04
512601.169393	0.000356	3.684880e+04
512651.172313	0.124052	1.063623e+04
512701.175234	0.272293	1.283969e+04
512751.178154	0.425659	4.429271e+03
512801.181075	0.915857	1.634303e+04
512851.183995	1.152292	3.327674e+07
512901.186916	1.152292	3.327674e+07
512951.189836	1.111981	7.338253e+03
513001.192757	0.013817	3.043580e+08
513051.195678	0.013817	3.043580e+08
513101.198598	2.662242	3.390846e+07
513151.201519	2.662242	3.390846e+07
513201.204439	2.662242	3.390846e+07
513251.207360	2.323582	1.354239e+04
513301.210280	2.573979	4.021137e+03
513351.213201	2.651157	3.119283e+03
513401.216121	2.368810	2.431721e+03
513451.219042	2.731559	1.549027e+03
513501.221963	2.877813	1.481166e+03
513551.224883	2.745292	1.477102e+03
513601.227804	2.396565	1.521267e+03
513651.230724	1.903541	1.620660e+03
513701.233645	1.346123	1.786826e+03
513751.236565	0.781677	2.029688e+03
513801.239486	0.199131	2.392049e+03
513851.242407	0.052699	2.376069e+04
513901.245327	0.051451	4.393639e+04
513951.248248	0.051427	2.692760e+05
514001.251168	0.084866	7.621846e+04
514051.254089	0.084815	1.905227e+08
514101.257009	0.422087	9.423758e+03
514151.259930	1.483991	3.473503e+07
514201.262850	1.483991	3.473503e+07
514251.265771	1.925403	1.616148e+04
514301.268692	0.621929	1.116026e+08
514351.271612	0.621929	1.116026e+08
514401.274533	0.016414	1.640650e+08
514451.277453	0.016414	1.640650e+08
514501.280374	0.023475	5.467935e+04
514551.283294	0.432909	1.485398e+05
514601.286215	0.432909	1.088665e+08
514651.289136	0.820184	1.368083e+05
514701.292056	0.820184	8.841105e+07
514751.294977	0.820184	8.841105e+07
514801.297897	0.000000	1.200000e+09
514851.300818	0.000000	1.200000e+09
514901.303738	0.000000	1.200000e+09
514951.306659	0.440336	1.366917e+08
515001.309579	0.440336	6.919743e+04
515051.312500	0.436439	2.206984e+04
515101.315421	0.708216	1.132903e+04
515151.318341	1.714491	8.620744e+03
515201.321262	0.941058	4.220714e+04
515251.324182	0.937426	4.571001e+07
515301.327103	0.604840	3.135324e+04
515351.330023	0.609998	1.010150e+08
515401.332944	0.609998	1.010150e+08
515451.335864	0.001810	3.570923e+08
515501.338785	0.001810	3.570923e+08
515551.341706	0.274708	7.625020e+03
515601.344626	0.313800	1.257788e+08
515651.347547	0.313800	1.257788e+08
515701.350467	0.779517	3.771274e+07
515751.353388	0.779517	3.771274e+07
515801.356308	0.799287	2.414533e+04
515851.359229	0.724613	3.474652e+07
515901.362150	0.724613	3.474652e+07
515951.365070	0.411333	1.627776e+04
516001.367991	0.026409	1.218092e+08
516051.370911	0.026409	8.052424e+04
516101.373832	0.037067	2.123348e+04
516151.376752	0.056379	1.226152e+04
516201.379673	0.066072	8.774970e+03
516251.382593	0.068135	6.918588e+03
516301.385514	0.124527	1.673373e+03
516351.388435	0.274071	1.657927e+03
516401.391355	0.257997	1.728576e+03
516451.394276	0.229914	2.185711e+03
516501.397196	0.324206	2.548626e+03
516551.400117	0.382339	2.659141e+03
516601.403037	0.390298	2.795742e+03
516651.405958	0.359346	3.016702e+03
516701.408879	0.315439	3.375871e+03
516751.411799	0.282284	3.885053e+03
516801.414720	0.263655	4.547475e+03
516851.417640	0.253694	5.419661e+03
516901.420561	0.245078	6.650373e+03
516951.423481	0.234214	8.586769e+03
517001.426402	0.220902	1.209908e+04
517051.429322	0.207291	2.038698e+04
517101.432243	0.202910	6.219292e+04
517151.435164	0.202909	1.258144e+08
517201.438084	0.202909	1.258144e+08
517251.441005	0.366595	2.138282e+04
517301.443925	1.107021	1.072813e+04
517351.446846	0.627349	8.188078e+03
517401.449766	0.465990	6.895781e+03
517451.452687	0.293921	6.087736e+03
517501.455607	0.101284	5.519484e+03
517551.458528	0.013772	1.385535e+04
517601.461449	0.005492	1.810088e+04
517651.464369	0.004711	2.335747e+04
517701.467290	0.004725	3.159937e+04
517751.470210	0.004733	4.884183e+04
517801.473131	0.004733	1.076507e+05
517851.476051	0.004733	2.862700e+05
517901.478972	0.025353	4.658892e+07
517951.481893	0.018958	6.353202e+04
518001.484813	0.006327	1.478279e+05
518051.487734	0.006327	1.703826e+05
518101.490654	0.006327	5.752613e+04
518151.493575	0.006320	3.461481e+04
518201.496495	0.006288	2.477608e+04
518251.499416	0.006617	1.907565e+04
518301.502336	0.014218	1.392884e+04
518351.505257	0.086407	7.410456e+03
518401.508178	0.248275	6.973269e+03
518451.511098	0.385157	7.302793e+03
518501.514019	0.496842	8.137746e+03
518551.516939	0.674223	9.899967e+03
518601.519860	1.102678	1.351425e+04
518651.522780	0.262234	2.847826e+04
518701.525701	0.191184	1.053726e+06
518751.528621	0.153502	3.466157e+04
518801.531542	0.002477	2.951110e+08
518851.534463	0.002477	2.951110e+08
518901.537383	1.434922	8.562082e+03
518951.540304	0.704265	6.282948e+03
519001.543224	0.572470	5.166670e+03
519051.546145	0.507675	4.434781e+03
519101.549065	0.455618	3.919825e+03
519151.551986	0.406874	3.508298e+03
519201.554907	0.369820	3.112928e+03
519251.557827	0.366018	2.706234e+03
519301.560748	0.414833	2.358305e+03
519351.563668	0.516665	2.084893e+03
519401.566589	0.666961	1.863113e+03
519451.569509	0.854875	1.700778e+03
519501.572430	1.056183	1.602375e+03
519551.575350	1.247699	1.549432e+03
519601.578271	1.416133	1.524885e+03
519651.581192	1.555431	1.519708e+03
519701.584112	1.663658	1.530123e+03
519751.587033	1.741626	1.555437e+03
519801.589953	1.792596	1.597265e+03
519851.592874	1.822570	1.659236e+03
519901.595794	1.840906	1.747510e+03
519951.598715	1.861204	1.871039e+03
520001.601636	1.901968	2.042063e+03
520051.604556	1.987666	2.286444e+03
520101.607477	2.140874	2.765995e+03
520151.610397	1.977231	4.138663e+03
520201.613318	0.088875	3.900438e+07
520251.616238	0.423799	1.311234e+04
520301.619159	0.309468	8.970749e+07
520351.622079	0.309468	8.970749e+07
520401.625000	0.310159	2.461364e+04
520451.627921	0.751423	9.471252e+03
520501.630841	0.586016	9.626183e+06
520551.633762	0.836092	6.808819e+03
520601.636682	0.355453	1.328082e+04
520651.639603	0.347381	5.179218e+04
520701.642523	0.347356	1.138207e+08
520751.645444	0.342958	2.593945e+04
520801.648364	0.002058	3.403314e+08
520851.651285	0.002058	1.319840e+05
520901.654206	0.003938	2.319576e+04
520951.657126	0.018635	1.373332e+04
521001.660047	0.037859	9.590790e+03
521051.662967	0.055221	7.332561e+03
521101.665888	0.067740	5.947839e+03
521151.668808	0.075083	5.015294e+03
521201.671729	0.078473	4.332314e+03
521251.674650	0.078986	3.807984e+03
521301.677570	0.076546	3.404211e+03
521351.680491	0.070073	3.093943e+03
521401.683411	0.058753	2.844568e+03
521451.686332	0.043214	2.599354e+03
521501.689252	0.029984	2.164031e+03
521551.692173	0.079674	1.520978e+03
521601.695093	0.603621	6.165977e+02
521651.698014	1.450380	5.650631e+02
521701.700935	2.300325	5.346664e+02
521751.703855	3.137044	5.134869e+02
521801.706776	3.953399	4.980772e+02
521851.709696	4.745667	4.865684e+02
521901.712617	5.511749	4.781142e+02
521951.715537	6.250450	4.720435e+02
522001.718458	6.961258	4.678634e+02
522051.721379	7.644076	4.652379e+02
522101.724299	8.299019	4.639274e+02
522151.727220	8.926262	4.637523e+02
522201.730140	9.525916	4.645759e+02
522251.733061	10.097898	4.662972e+02
522301.735981	10.641779	4.688427e+02
522351.738902	11.156593	4.721598e+02
522401.741822	11.640554	4.762126e+02
522451.744743	12.090631	4.809904e+02
522501.747664	12.501840	4.865060e+02
522551.750584	12.865966	4.927981e+02
522601.753505	13.169047	4.999317e+02
522651.756425	13.385857	5.080064e+02
522701.759346	13.465981	5.171890e+02
522751.762266	13.288978	5.277546e+02
522801.765187	12.434296	5.401544e+02
522851.768107	0.000000	1.200000e+09
522901.771028	12.187908	5.587573e+02
522951.773949	13.176476	5.663074e+02
523001.776869	13.130988	5.754347e+02
523051.779790	14.247382	5.949084e+02
523101.782710	7.046943	6.270232e+02
523151.785631	14.199064	6.482746e+02
523201.788551	0.061913	3.656823e+07
523251.791472	0.061913	3.656823e+07
523301.794393	8.576073	6.912950e+02
523351.797313	15.569363	7.062332e+02
523401.800234	17.222221	7.320465e+02
523451.803154	18.059082	7.679592e+02
523501.806075	18.610958	8.149094e+02
523551.808995	19.054275	8.750424e+02
523601.811916	19.464018	9.519516e+02
523651.814836	19.850101	1.053010e+03
523701.817757	19.941641	1.200117e+03
