location	LR	alpha
2000009.000000	0.000000	1.200000e+03
2000059.002050	0.117781	2.503625e-01
2000109.004100	2.761637	8.096046e-03
2000159.006150	1.909370	9.324877e-02
2000209.008200	0.000000	1.200000e+03
2000259.010251	0.231998	1.328792e-01
2000309.012301	0.049854	7.827818e-02
2000359.014351	0.280579	2.064097e-02
2000409.016401	0.327947	1.248044e-02
2000459.018451	0.197640	8.734121e-03
2000509.020501	0.050779	3.103688e-02
2000559.022551	0.094713	6.579329e-02
2000609.024601	0.840937	8.613256e-02
2000659.026651	0.552978	2.733565e-02
2000709.028701	0.427992	1.240711e-02
2000759.030752	0.001845	8.481242e-02
2000809.032802	0.088546	7.008339e-02
2000859.034852	0.314048	4.700686e-02
2000909.036902	0.001808	1.730355e+00
2000959.038952	0.359463	1.198374e-02
2001009.041002	0.061289	1.069791e+00
2001059.043052	1.643153	6.581998e-01
2001109.045102	0.000000	1.095401e+00
2001159.047152	0.000000	3.938104e+00
2001209.049202	0.252487	7.403288e-02
2001259.051253	0.000000	1.340970e+00
2001309.053303	0.000000	1.267565e+01
2001359.055353	0.000000	1.700836e+00
2001409.057403	0.000000	6.177298e+00
2001459.059453	0.701288	1.386776e-01
2001509.061503	1.222301	5.103102e-02
2001559.063553	0.023296	2.080325e-01
2001609.065603	1.848479	1.241948e+00
2001659.067653	0.495892	3.563581e-01
2001709.069703	0.000360	5.857758e+01
2001759.071754	0.071418	2.260256e-01
2001809.073804	0.019272	1.002640e-01
2001859.075854	0.012969	3.738489e-02
2001909.077904	0.010514	2.375473e-02
2001959.079954	0.000000	6.899723e-02
2002009.082004	0.000000	9.683824e-02
2002059.084054	0.210096	7.331379e-03
2002109.086104	0.386643	9.635303e-03
2002159.088154	0.841611	2.908676e-02
2002209.090205	0.000000	1.100711e+01
2002259.092255	0.769484	9.027617e-03
2002309.094305	0.459034	5.780056e-03
2002359.096355	0.001808	1.620363e+00
2002409.098405	0.000000	6.310494e+00
2002459.100455	0.000000	2.494779e-01
2002509.102505	0.000000	1.223211e-01
2002559.104555	0.000000	8.102384e-02
2002609.106605	0.087147	1.134188e-02
2002659.108655	0.167784	1.341835e-02
2002709.110706	0.145987	2.134103e-02
2002759.112756	0.116253	6.813125e-02
2002809.114806	0.239930	5.795927e-02
2002859.116856	0.059978	6.768548e-01
2002909.118906	0.001821	8.232777e-01
2002959.120956	0.000851	1.193690e+00
2003009.123006	0.000000	1.959822e+00
2003059.125056	0.001815	8.757830e-01
2003109.127106	0.000000	4.176974e+00
2003159.129156	0.000000	2.546195e-01
2003209.131207	0.359024	1.783364e-02
2003259.133257	0.000000	1.058895e+01
2003309.135307	0.000000	2.346715e-01
2003359.137357	0.000000	1.186505e-01
2003409.139407	0.097513	7.320362e-03
2003459.141457	0.002002	2.111043e-01
2003509.143507	0.199191	3.333104e-01
2003559.145557	1.730172	6.015767e-02
2003609.147607	0.000000	8.129677e+01
2003659.149657	0.130666	8.253173e-01
2003709.151708	1.303335	2.588758e-02
2003759.153758	0.463067	1.344972e-01
2003809.155808	0.776143	1.344267e-02
2003859.157858	0.660216	2.081314e-02
2003909.159908	0.309619	3.482046e-01
2003959.161958	0.079172	4.045432e-02
2004009.164008	0.000000	1.030921e+01
2004059.166058	0.000360	1.440771e+00
2004109.168108	0.000000	7.138253e+01
2004159.170159	0.689809	7.442523e-02
2004209.172209	0.992988	2.582583e-02
2004259.174259	0.000852	7.719286e-01
2004309.176309	0.653090	3.576395e-02
2004359.178359	0.298360	4.233476e-01
2004409.180409	0.000000	2.489839e+00
2004459.182459	0.354387	1.400082e-01
2004509.184509	0.441120	2.457159e-02
2004559.186559	0.076202	1.815159e-01
2004609.188609	0.000852	1.975051e+01
2004659.190660	0.034514	2.817429e+00
2004709.192710	0.000000	2.310932e+00
2004759.194760	0.000000	1.177075e+00
2004809.196810	0.000000	1.993462e-01
2004859.198860	0.000138	9.133663e-02
2004909.200910	0.001808	2.828570e+00
2004959.202960	0.024917	3.084884e+00
2005009.205010	0.000360	3.388404e+00
2005059.207060	0.011576	1.342522e-02
2005109.209110	1.086311	1.094255e-01
2005159.211161	0.718582	1.098026e-02
2005209.213211	0.074202	1.186061e-02
2005259.215261	0.000000	6.122661e-02
2005309.217311	0.000000	9.853617e-02
2005359.219361	0.000000	1.671760e-01
2005409.221411	0.000000	5.510000e-01
2005459.223461	0.000015	3.586954e-01
2005509.225511	0.009799	1.213949e-01
2005559.227561	0.000333	1.094678e+00
2005609.229611	0.000000	9.759181e+00
2005659.231662	0.000852	1.608006e+01
2005709.233712	0.001997	3.602194e-01
2005759.235762	0.584405	2.587086e-01
2005809.237812	0.000000	1.574415e+01
2005859.239862	0.000000	6.578999e-01
2005909.241912	0.000000	1.758451e-01
2005959.243962	0.002643	2.129465e-02
2006009.246012	0.009068	1.456399e-02
2006059.248062	0.005106	1.206834e-02
2006109.250113	0.079521	6.668023e-03
2006159.252163	0.206222	6.228414e-03
2006209.254213	0.121793	7.159104e-03
2006259.256263	0.037417	1.457298e-02
2006309.258313	0.037381	2.932399e-02
2006359.260363	0.000000	4.608950e+01
2006409.262413	0.001808	4.605365e+00
2006459.264463	1.512662	3.584473e-02
2006509.266513	0.000853	7.867687e-01
2006559.268563	0.329003	5.830865e-01
2006609.270614	0.023841	3.410838e+00
2006659.272664	0.335877	4.246754e-02
2006709.274714	0.559641	2.162594e-02
2006759.276764	0.016219	1.106450e-01
2006809.278814	0.005200	4.958733e-01
2006859.280864	0.423887	2.144914e-01
2006909.282914	0.000000	9.353708e+00
2006959.284964	0.115605	1.068453e-01
2007009.287014	0.000000	9.323907e+00
2007059.289064	0.000000	1.687917e+01
2007109.291115	0.492338	1.162078e-01
2007159.293165	0.922054	3.105045e-02
2007209.295215	0.181982	2.232857e-01
2007259.297265	0.450237	6.627408e-01
2007309.299315	0.065836	2.400385e-01
2007359.301365	0.000000	1.445546e+00
2007409.303415	0.000000	7.073034e+00
2007459.305465	1.954103	1.495639e-02
2007509.307515	0.000000	7.090169e+00
2007559.309565	2.713827	3.577846e-02
2007609.311616	0.632776	1.780486e-02
2007659.313666	0.000000	3.621367e+00
2007709.315716	0.409294	7.545508e-02
2007759.317766	0.026370	8.287811e-02
2007809.319816	0.061289	3.081104e+00
2007859.321866	0.000360	1.758526e+00
2007909.323916	0.646369	6.297967e-01
2007959.325966	0.000852	2.809372e+00
2008009.328016	0.024917	3.658981e+00
2008059.330067	0.951164	1.813646e+00
2008109.332117	0.016041	4.780801e-01
2008159.334167	0.683216	8.133777e-02
2008209.336217	0.278110	1.657036e-01
2008259.338267	0.000000	3.594681e+00
2008309.340317	0.288689	1.288578e-01
2008359.342367	0.000000	2.246195e+00
2008409.344417	0.082425	1.198338e-01
2008459.346467	0.235608	1.913574e-01
2008509.348517	0.000000	8.898662e+00
2008559.350568	0.000000	5.105150e+00
2008609.352618	0.611598	1.460249e+00
2008659.354668	1.408179	2.009206e-02
2008709.356718	1.165589	1.127495e-02
2008759.358768	1.085815	7.604931e-03
2008809.360818	1.136133	5.421130e-03
2008859.362868	1.281463	4.166482e-03
2008909.364918	1.430109	3.508461e-03
2008959.366968	1.527948	3.102661e-03
2009009.369018	1.567094	2.811096e-03
2009059.371069	1.558370	2.579700e-03
2009109.373119	1.519662	2.383377e-03
2009159.375169	1.473941	2.207157e-03
2009209.377219	1.455793	2.037686e-03
2009259.379269	1.521457	1.869919e-03
2009309.381319	1.715940	1.727737e-03
2009359.383369	1.990370	1.632616e-03
2009409.385419	2.228552	1.577448e-03
2009459.387469	2.316773	1.551800e-03
2009509.389519	2.154575	1.552230e-03
2009559.391570	1.640226	1.586532e-03
2009609.393620	0.665672	1.709948e-03
2009659.395670	0.116733	3.675140e-03
2009709.397720	0.219001	5.554459e-03
2009759.399770	0.542199	9.656342e-03
2009809.401820	0.465391	2.132124e-02
2009859.403870	1.199507	3.737288e-02
2009909.405920	0.081398	5.745193e-01
2009959.407970	0.000000	1.132928e+00
2010009.410021	0.000000	3.607330e-01
2010059.412071	0.000000	4.636912e+00
2010109.414121	0.024917	5.937339e+00
2010159.416171	0.110864	6.064140e-03
2010209.418221	0.734920	2.234863e-03
2010259.420271	0.553002	2.145271e-03
2010309.422321	0.099534	2.328145e-03
2010359.424371	0.000000	5.054242e-02
2010409.426421	0.003961	9.419755e-03
2010459.428471	0.084688	7.170460e-03
2010509.430522	0.156885	7.188037e-03
2010559.432572	0.238981	5.231500e-03
2010609.434622	0.348258	6.202235e-03
2010659.436672	0.471183	9.463222e-03
2010709.438722	0.790995	3.685019e-02
2010759.440772	0.034513	9.342535e-01
2010809.442822	0.059069	5.796282e-02
2010859.444872	0.279818	1.254579e-01
2010909.446922	0.273015	3.023883e-02
2010959.448972	2.661781	1.072699e-01
2011009.451023	1.018802	1.603107e-02
2011059.453073	0.000000	4.711560e+00
2011109.455123	1.844126	3.851216e-02
2011159.457173	1.490863	5.500723e-01
2011209.459223	0.000000	8.252654e-01
2011259.461273	1.489453	3.700697e-01
2011309.463323	0.024917	1.600052e+00
2011359.465373	0.084217	1.334151e+00
2011409.467423	0.000000	8.177601e+00
2011459.469473	0.018968	4.926594e+00
2011509.471524	0.000360	8.659294e+00
2011559.473574	0.054109	2.876504e-01
2011609.475624	0.065856	8.330693e-01
2011659.477674	0.052120	8.319643e-02
2011709.479724	0.001813	6.149168e-01
2011759.481774	0.000360	1.621404e+00
2011809.483824	0.000360	1.643861e+00
2011859.485874	0.000360	7.941758e+00
2011909.487924	0.031879	1.083734e-01
2011959.489974	0.052813	1.503838e-02
2012009.492025	1.093594	3.064593e-02
2012059.494075	0.018968	1.749370e+00
2012109.496125	0.842016	1.427118e+00
2012159.498175	0.000000	8.009748e+00
2012209.500225	0.000000	2.666534e+00
2012259.502275	0.998083	3.595771e-02
2012309.504325	0.031169	5.537573e-02
2012359.506375	0.018968	3.481958e-01
2012409.508425	0.000000	1.848550e+00
2012459.510476	0.000013	6.455533e-01
2012509.512526	1.694225	5.152502e-02
2012559.514576	0.018968	5.384339e+00
2012609.516626	0.018968	5.829755e-01
2012659.518676	0.000000	2.892868e-01
2012709.520726	0.000000	2.654441e+00
2012759.522776	0.000360	1.618479e+00
2012809.524826	0.000000	1.266468e+00
2012859.526876	0.052332	6.245276e-02
2012909.528926	0.000000	2.649635e+00
2012959.530977	0.000000	2.558508e+01
2013009.533027	0.002991	1.070382e-01
2013059.535077	0.000000	3.394552e+00
2013109.537127	0.000000	2.167190e+00
2013159.539177	0.000000	2.604037e+01
2013209.541227	0.000000	4.880483e+00
2013259.543277	0.047890	1.508127e-01
2013309.545327	0.040028	5.821718e-02
2013359.547377	0.023183	2.529752e-02
2013409.549427	0.051038	1.661513e-02
2013459.551478	0.034958	2.611181e-02
2013509.553528	0.034461	6.259085e-02
2013559.555578	0.034690	1.679205e-01
2013609.557628	0.017787	1.609118e-01
2013659.559678	0.000000	2.205752e+00
2013709.561728	0.000852	8.499592e+00
2013759.563778	0.143002	1.663739e-01
2013809.565828	0.000000	2.120785e+01
2013859.567878	0.049122	5.870132e-02
2013909.569928	0.201170	1.181255e-01
2013959.571979	0.080195	3.064927e-02
2014009.574029	0.070204	1.752374e-02
2014059.576079	0.055263	1.223527e-02
2014109.578129	0.051379	9.020746e-03
2014159.580179	0.057433	6.617260e-03
2014209.582229	0.072018	5.182458e-03
2014259.584279	0.086752	4.396940e-03
2014309.586329	0.100607	3.858186e-03
2014359.588379	0.113621	3.475414e-03
2014409.590430	0.121969	3.219116e-03
2014459.592480	0.120047	3.063014e-03
2014509.594530	0.104895	2.991019e-03
2014559.596580	0.078502	3.011724e-03
