location	LR	alpha
560538.000000	0.575520	6.294684e+07
560588.001313	1.693157	4.588692e+03
560638.002625	0.226789	1.931836e+04
560688.003938	0.196951	6.272753e+03
560738.005251	2.496592	8.791667e+02
560788.006564	6.621778	6.048317e+02
560838.007876	1.083010	8.007633e+06
560888.009189	11.114030	4.768708e+02
560938.010502	11.880075	4.929711e+02
560988.011814	0.862119	1.970908e+07
561038.013127	11.910436	5.818398e+02
561088.014440	5.481647	8.118026e+02
561138.015753	2.267364	3.933400e+03
561188.017065	1.281236	1.338059e+04
561238.018378	5.685012	7.467753e+02
561288.019691	5.788026	5.555161e+02
561338.021004	6.919179	5.357464e+02
561388.022316	2.178063	6.006739e+02
561438.023629	7.473998	6.391145e+02
561488.024942	0.692695	2.187915e+07
561538.026254	3.870872	1.176660e+03
561588.027567	0.007432	5.528839e+04
561638.028880	0.081745	1.573332e+08
561688.030193	0.069033	3.208493e+04
561738.031505	0.162453	6.864234e+04
561788.032818	3.147838	1.119900e+04
561838.034131	2.745266	2.434017e+03
561888.035443	2.607241	3.335204e+03
561938.036756	0.245708	9.676937e+07
561988.038069	5.609526	8.582185e+03
562038.039382	0.052663	1.841843e+05
562088.040694	0.027010	8.985048e+07
562138.042007	1.311297	6.606526e+03
562188.043320	0.105870	4.322348e+07
562238.044632	3.174874	1.489842e+03
562288.045945	3.042294	1.540123e+03
562338.047258	1.850292	1.940465e+04
562388.048571	0.528560	7.997085e+03
562438.049883	0.000000	1.830437e+06
562488.051196	0.000000	3.035401e+06
562538.052509	0.000000	3.045340e+05
562588.053821	0.000000	7.046474e+04
562638.055134	0.137982	2.204410e+03
562688.056447	0.463392	6.999068e+03
562738.057760	0.053773	1.699937e+08
562788.059072	1.106637	1.096436e+04
562838.060385	0.461296	3.643889e+03
562888.061698	0.342779	2.550119e+03
562938.063011	0.135827	6.054718e+03
562988.064323	0.034771	7.051408e+07
563038.065636	0.018185	6.317611e+04
563088.066949	0.000000	3.362481e+05
563138.068261	0.000000	1.200000e+09
563188.069574	0.000000	1.217642e+06
563238.070887	0.267688	2.632007e+04
563288.072200	0.018668	2.342428e+08
563338.073512	0.000000	1.200000e+09
563388.074825	0.000000	1.200000e+09
563438.076138	0.000000	3.204399e+05
563488.077450	0.026238	2.250225e+08
563538.078763	0.033099	5.826342e+04
563588.080076	0.000000	1.200000e+09
563638.081389	0.001022	8.028144e+04
563688.082701	0.036831	3.781110e+04
563738.084014	0.053870	1.115499e+05
563788.085327	0.764097	5.482132e+03
563838.086639	1.038613	2.830398e+03
563888.087952	1.355746	3.356612e+03
563938.089265	0.355971	1.787264e+04
563988.090578	0.330338	1.002057e+04
564038.091890	0.000000	1.808309e+05
564088.093203	0.202747	1.099698e+05
564138.094516	0.000000	1.200000e+09
564188.095828	0.006728	2.930629e+05
564238.097141	0.035908	1.592219e+03
564288.098454	0.987985	1.007690e+03
564338.099767	1.798189	8.410033e+02
564388.101079	2.697375	7.742448e+02
564438.102392	2.284599	7.568301e+02
564488.103705	2.591161	6.950568e+02
564538.105018	1.855841	7.696173e+02
564588.106330	0.000000	1.351917e+06
564638.107643	0.784517	1.107351e+06
564688.108956	1.828126	7.620472e+02
564738.110268	3.551656	6.711454e+02
564788.111581	4.758123	6.809714e+02
564838.112894	4.300823	7.091533e+02
564888.114207	3.615522	7.747926e+02
564938.115519	1.740746	5.196268e+06
564988.116832	2.801206	1.156814e+03
565038.118145	0.158963	1.616152e+03
565088.119457	0.817008	1.807942e+03
565138.120770	0.190934	1.452264e+04
565188.122083	0.198258	8.759666e+07
565238.123396	0.000000	2.543098e+06
565288.124708	0.258404	8.372621e+07
565338.126021	0.535575	3.529863e+04
565388.127334	1.288049	9.041813e+06
565438.128646	1.339609	7.895757e+03
565488.129959	0.000000	1.234652e+05
565538.131272	0.019236	1.085521e+05
565588.132585	0.658340	1.316060e+05
565638.133897	0.024206	3.957751e+04
565688.135210	0.128529	9.200955e+03
565738.136523	0.000104	1.822771e+04
565788.137835	0.000000	9.012595e+04
565838.139148	0.000000	5.324958e+06
565888.140461	0.123750	3.375762e+04
565938.141774	0.000000	5.951255e+05
565988.143086	0.000000	1.200000e+09
566038.144399	0.012775	2.066874e+08
566088.145712	2.199667	2.765166e+03
566138.147025	0.228074	4.033468e+03
566188.148337	1.290188	1.256322e+04
566238.149650	0.656515	1.311503e+07
566288.150963	2.803285	2.732283e+03
