location	LR	alpha	D
5223865.000000	2.888495	1.233316e+01	0.041242
5223915.004514	3.821098	2.167915e-01	0.041242
5223965.009029	2.406506	2.342711e-02	0.005892
5224015.013543	3.697043	1.385703e-02	0.011784
5224065.018058	5.367523	1.607290e-03	0.017675
5224115.022572	6.445058	1.693963e-03	0.017675
5224165.027087	2.503793	2.564666e-03	0.017675
5224215.031601	1.677439	5.803360e-01	0.041242
5224265.036116	5.126668	2.654300e-03	0.011784
5224315.040630	1.964345	2.672365e-02	0.023567
5224365.045144	1.471377	1.837337e-02	0.005892
5224415.049659	2.290769	1.530709e-02	0.011784
5224465.054173	4.032807	3.370273e-02	0.041242
5224515.058688	2.791039	4.075587e-02	0.023567
5224565.063202	3.460903	7.148719e-03	0.005892
5224615.067717	0.517729	3.554405e+00	0.041242
5224665.072231	5.202578	4.013474e-03	0.017675
5224715.076746	4.968263	4.583086e-03	0.017675
5224765.081260	2.917806	2.146823e-01	0.041242
5224815.085774	4.036743	4.452140e-02	0.041242
5224865.090289	4.282757	3.816587e-02	0.029459
5224915.094803	3.112309	8.084639e-03	0.023567
5224965.099318	7.220496	7.981582e-03	0.023567
5225015.103832	4.773880	8.509626e-03	0.023567
5225065.108347	4.583277	1.189168e-02	0.029459
5225115.112861	5.640385	1.736897e-02	0.041242
5225165.117376	3.568394	3.798400e-02	0.041242
5225215.121890	5.092647	6.871915e-02	0.041242
5225265.126404	4.810923	2.347124e-01	0.041242
5225315.130919	6.498614	2.943563e-02	0.041242
5225365.135433	6.349357	1.798736e-02	0.041242
5225415.139948	5.792120	1.381120e-02	0.041242
5225465.144462	2.529381	1.235656e-02	0.029459
5225515.148977	0.214274	1.502798e-01	0.005892
5225565.153491	0.714511	4.982425e-02	0.005892
5225615.158006	0.672300	4.132989e-01	0.041242
5225665.162520	0.229236	7.914251e-01	0.005892
5225715.167035	0.671703	8.899898e-02	0.005892
5225765.171549	0.811727	4.299472e-02	0.005892
5225815.176063	0.822978	1.073723e+00	0.041242
5225865.180578	0.503977	1.123391e-01	0.005892
5225915.185092	0.497537	4.314232e-01	0.035351
5225965.189607	0.869786	6.550814e-02	0.005892
5226015.194121	0.653901	1.301601e-01	0.005892
5226065.198636	0.768569	4.282675e-02	0.005892
5226115.203150	0.929570	2.552089e-02	0.005892
5226165.207665	1.241981	2.831575e-02	0.023567
5226215.212179	1.049976	2.789320e-02	0.005892
5226265.216693	0.911404	7.785720e-02	0.035351
5226315.221208	0.661549	7.829478e-01	0.041242
5226365.225722	1.188817	2.713545e-02	0.005892
5226415.230237	1.223621	2.361135e-02	0.011784
5226465.234751	1.586079	5.131383e-02	0.041242
5226515.239266	1.446303	2.595198e-01	0.023567
5226565.243780	2.810515	9.575156e-03	0.011784
5226615.248295	4.128975	1.445351e-02	0.035351
5226665.252809	3.114666	1.212431e-02	0.029459
5226715.257323	3.008742	1.126488e-02	0.029459
5226765.261838	3.230954	1.939618e-02	0.041242
5226815.266352	3.645920	2.770463e-02	0.041242
5226865.270867	1.332771	3.545885e-02	0.041242
5226915.275381	0.185153	2.096209e+00	0.005892
5226965.279896	2.765064	3.340053e-01	0.041242
5227015.284410	0.249706	1.235128e+00	0.005892
5227065.288925	0.661549	1.219068e+00	0.041242
5227115.293439	0.749849	4.324586e-01	0.041242
5227165.297953	0.338794	7.046474e-02	0.005892
5227215.302468	0.273451	3.399194e-01	0.005892
5227265.306982	0.753220	3.007977e-01	0.041242
5227315.311497	0.473451	3.813294e-02	0.005892
5227365.316011	1.042387	8.319949e-03	0.005892
5227415.320526	1.139898	2.950726e-02	0.005892
5227465.325040	0.986174	3.266861e-02	0.005892
5227515.329555	1.125953	1.020990e-02	0.005892
5227565.334069	1.498112	2.196458e-02	0.005892
5227615.338583	1.391508	4.676633e-02	0.005892
5227665.343098	2.786880	6.366499e+00	0.041242
5227715.347612	2.372477	5.806853e-02	0.005892
5227765.352127	3.038395	2.223673e-02	0.005892
5227815.356641	3.116120	1.456941e-02	0.005892
5227865.361156	1.137011	1.378738e-02	0.005892
5227915.365670	0.618659	4.986166e-01	0.041242
5227965.370185	0.954507	4.925505e-02	0.005892
5228015.374699	1.843446	1.394335e-02	0.005892
5228065.379213	3.120792	1.737567e-02	0.005892
5228115.383728	1.705817	1.529410e-02	0.005892
5228165.388242	1.605232	5.821918e-01	0.041242
5228215.392757	2.224348	1.908983e-02	0.005892
5228265.397271	2.472984	2.224705e-02	0.005892
5228315.401786	2.561582	1.228245e-01	0.041242
5228365.406300	2.290726	2.988095e-02	0.005892
5228415.410815	0.842788	2.478785e-01	0.041242
5228465.415329	0.924138	9.131359e-02	0.041242
5228515.419843	1.129032	1.316396e-02	0.005892
5228565.424358	1.011697	1.865021e-02	0.005892
5228615.428872	1.485093	4.263956e-02	0.005892
5228665.433387	2.828876	5.362403e-01	0.041242
5228715.437901	1.079551	6.501878e-02	0.005892
5228765.442416	0.661549	2.121866e+00	0.041242
5228815.446930	0.580459	8.852625e-02	0.041242
5228865.451445	0.419504	8.788085e-02	0.029459
5228915.455959	3.842244	3.502487e-01	0.041242
5228965.460474	1.885494	4.695946e-02	0.029459
5229015.464988	3.387460	1.490035e-01	0.041242
5229065.469502	0.634292	3.319222e-02	0.017675
5229115.474017	0.451709	1.745521e-02	0.011784
5229165.478531	1.904753	1.032277e-02	0.023567
5229215.483046	2.726082	9.897045e-03	0.029459
5229265.487560	2.126570	1.399368e-01	0.041242
5229315.492075	1.576351	3.827849e-02	0.041242
5229365.496589	3.025236	3.306045e-02	0.041242
5229415.501104	0.917530	2.351029e-01	0.041242
5229465.505618	3.226723	1.470823e-01	0.041242
5229515.510132	5.296502	3.265217e-02	0.041242
5229565.514647	3.299678	3.791295e-02	0.041242
5229615.519161	2.693972	1.825148e-02	0.041242
5229665.523676	2.576288	1.124097e-02	0.041242
5229715.528190	3.253200	6.743573e-03	0.041242
5229765.532705	5.903410	6.797065e-03	0.041242
5229815.537219	6.813804	6.508284e-03	0.041242
5229865.541734	5.787071	6.442807e-03	0.041242
5229915.546248	3.126378	7.492759e-03	0.041242
5229965.550762	0.446439	8.944871e-03	0.041242
5230015.555277	0.284964	1.727993e-01	0.005892
5230065.559791	1.017174	4.003256e-03	0.029459
5230115.564306	7.169322	4.043897e-03	0.035351
5230165.568820	2.149649	3.467948e-01	0.041242
5230215.573335	3.630782	4.772789e-02	0.041242
5230265.577849	3.696066	2.154665e-02	0.041242
5230315.582364	1.773326	1.406111e-02	0.035351
5230365.586878	1.247455	1.029678e-02	0.029459
5230415.591392	0.965370	8.978061e-03	0.029459
5230465.595907	0.794354	7.959695e-03	0.029459
5230515.600421	3.163056	5.154143e-01	0.041242
5230565.604936	0.730460	1.153176e-02	0.005892
5230615.609450	0.807111	1.293953e-02	0.017675
5230665.613965	0.333602	1.052065e-02	0.011784
5230715.618479	0.675275	2.482511e-02	0.005892
5230765.622994	0.771871	2.768951e-02	0.005892
5230815.627508	0.773984	3.130114e-02	0.005892
5230865.632022	1.048521	3.554165e-02	0.005892
5230915.636537	0.950098	4.234843e-02	0.005892
5230965.641051	0.948680	5.142292e-02	0.005892
5231015.645566	0.943509	6.544700e-02	0.005892
5231065.650080	2.618311	1.489138e-03	0.011784
5231115.654595	5.359896	1.498437e-03	0.011784
5231165.659109	6.991198	1.507852e-03	0.017675
5231215.663624	6.286209	1.517386e-03	0.011784
5231265.668138	4.629292	1.527041e-03	0.011784
5231315.672652	3.715085	1.536820e-03	0.017675
5231365.677167	4.829198	1.546726e-03	0.011784
5231415.681681	5.436013	1.520466e-03	0.011784
5231465.686196	6.058583	1.555954e-03	0.011784
5231515.690710	5.848367	1.570333e-03	0.011784
5231565.695225	4.648694	1.576396e-03	0.011784
5231615.699739	3.715149	1.550047e-03	0.011784
5231665.704254	2.960638	1.416883e-03	0.005892
5231715.708768	2.831104	1.566930e-03	0.005892
5231765.713283	2.749917	1.546649e-03	0.005892
5231815.717797	2.975489	1.536744e-03	0.005892
5231865.722311	3.109757	1.526966e-03	0.005892
5231915.726826	2.911752	1.502770e-03	0.011784
5231965.731340	2.522503	2.414133e-03	0.005892
5232015.735855	2.116382	6.569095e-03	0.011784
5232065.740369	3.228318	1.717062e-01	0.041242
5232115.744884	1.654742	5.448228e-02	0.041242
5232165.749398	1.430909	1.103702e-02	0.005892
5232215.753913	2.534945	1.315125e-01	0.041242
5232265.758427	1.321436	3.225031e+00	0.041242
5232315.762941	3.793328	5.947180e-03	0.017675
5232365.767456	2.488734	3.709378e-01	0.041242
5232415.771970	5.930146	4.990712e-02	0.041242
5232465.776485	3.282902	1.944191e-02	0.035351
5232515.780999	1.649277	1.236834e-02	0.017675
5232565.785514	1.659512	8.305728e-03	0.017675
5232615.790028	2.750393	6.696229e-03	0.023567
5232665.794543	4.048387	5.135418e-03	0.017675
5232715.799057	2.083046	4.963192e-03	0.017675
5232765.803571	1.952350	6.485800e-03	0.017675
5232815.808086	0.586200	5.763912e-02	0.005892
5232865.812600	0.671065	6.586623e-02	0.005892
5232915.817115	0.576647	9.078328e-02	0.005892
5232965.821629	0.416978	1.460238e-01	0.005892
5233015.826144	0.397384	1.940926e-01	0.005892
5233065.830658	1.017844	1.795583e-01	0.041242
5233115.835173	2.794918	8.748600e-02	0.041242
5233165.839687	3.014009	1.007047e-01	0.041242
5233215.844201	3.041315	2.932867e-02	0.041242
5233265.848716	3.091539	2.074875e-02	0.041242
5233315.853230	0.195990	3.889380e-01	0.005892
5233365.857745	0.895674	2.235943e-02	0.029459
5233415.862259	0.195990	3.106989e+00	0.005892
5233465.866774	2.894399	1.034619e-01	0.041242
5233515.871288	4.552089	5.803778e+00	0.041242
5233565.875803	2.838680	2.552517e-02	0.029459
5233615.880317	1.058260	3.869475e-02	0.005892
5233665.884831	1.768954	1.128759e-02	0.011784
5233715.889346	2.124940	4.624473e-03	0.011784
5233765.893860	2.116695	4.462448e-03	0.011784
5233815.898375	2.023316	4.450569e-03	0.011784
5233865.902889	2.136541	4.371739e-03	0.011784
5233915.907404	0.569448	3.385197e-01	0.041242
5233965.911918	0.367508	5.061757e-02	0.005892
5234015.916433	0.422441	2.020215e-01	0.041242
5234065.920947	0.185153	8.042383e-01	0.005892
5234115.925461	0.235869	9.762013e-02	0.005892
5234165.929976	0.240246	6.939224e-02	0.005892
5234215.934490	0.240781	5.382746e-02	0.005892
5234265.939005	1.100213	1.801967e-02	0.035351
5234315.943519	2.178766	2.001383e-02	0.041242
5234365.948034	2.380106	2.791036e-02	0.041242
5234415.952548	2.839164	4.254604e-02	0.041242
5234465.957063	3.028393	1.160448e-01	0.041242
