location	LR	alpha
1000033.000000	0.000000	1.200000e+03
1000083.000725	1.172750	1.215168e-01
1000133.001450	0.295361	3.980096e-01
1000183.002175	0.002519	3.764666e-01
1000233.002900	0.575525	5.471240e-02
1000283.003625	0.000000	4.999245e-01
1000333.004351	0.000000	1.499185e+00
1000383.005076	0.251294	1.619973e-01
1000433.005801	0.004035	2.813798e+00
1000483.006526	0.011861	6.561878e-02
1000533.007251	0.013301	2.995480e-02
1000583.007976	0.013784	1.968040e-02
1000633.008701	0.000000	6.818520e-02
1000683.009426	0.000000	9.524524e-02
1000733.010151	0.000000	1.579159e-01
1000783.010876	0.000000	4.617317e-01
1000833.011601	0.000000	2.003875e+00
1000883.012327	0.000000	2.405932e+00
1000933.013052	0.044129	1.490478e-01
1000983.013777	0.000000	1.183693e+01
1001033.014502	0.764443	9.823748e-02
1001083.015227	1.007054	3.328515e-02
1001133.015952	0.004030	3.989004e-01
1001183.016677	0.001346	5.749817e-02
1001233.017402	0.000628	3.293715e-02
1001283.018127	0.000429	2.308713e-02
1001333.018852	0.000092	2.079961e-02
1001383.019577	0.000000	5.941170e-02
1001433.020303	0.000000	7.895792e-02
1001483.021028	0.000000	1.176713e-01
1001533.021753	0.000000	2.308658e-01
1001583.022478	0.000000	6.068202e+00
1001633.023203	0.000000	1.336780e+00
1001683.023928	0.005652	1.264340e-01
1001733.024653	0.146126	1.603256e-02
1001783.025378	0.794814	1.500024e-02
1001833.026103	0.038352	1.956685e+00
1001883.026828	1.384626	5.621601e-02
1001933.027553	0.000000	2.386847e+00
1001983.028279	0.000000	9.210735e-01
1002033.029004	0.001374	1.613258e+00
1002083.029729	0.000000	2.009959e+00
1002133.030454	0.004949	2.887571e-02
1002183.031179	0.008954	1.897510e-02
1002233.031904	0.005737	1.517124e-02
1002283.032629	0.000000	6.184528e-02
1002333.033354	0.000000	7.274198e-02
1002383.034079	0.000000	1.043788e-01
1002433.034804	0.000000	1.847143e-01
1002483.035529	0.000000	8.018996e-01
1002533.036255	0.000000	3.952238e+00
1002583.036980	0.003487	4.147509e-01
1002633.037705	0.208448	4.501666e-02
1002683.038430	0.001366	6.605162e-01
1002733.039155	0.033561	5.188523e-02
1002783.039880	0.000000	3.947525e+00
1002833.040605	0.170192	2.787156e-01
1002883.041330	0.066214	7.361584e-01
1002933.042055	1.369479	9.874006e-02
1002983.042780	0.000000	9.200494e-01
1003033.043505	1.353078	5.237105e-03
1003083.044231	1.801069	3.149623e-02
1003133.044956	0.037672	2.862740e-01
1003183.045681	1.605399	2.016683e-02
1003233.046406	1.548165	1.654144e-02
1003283.047131	3.219880	8.344165e-03
1003333.047856	4.344988	4.456989e-03
1003383.048581	1.477579	4.123689e-03
1003433.049306	0.000000	1.262236e+01
1003483.050031	0.173635	9.142037e-02
1003533.050756	2.963666	2.373923e-02
1003583.051481	0.093111	9.629812e-02
1003633.052207	0.090089	4.879868e-02
1003683.052932	0.000000	4.071845e+00
1003733.053657	0.000000	1.490007e+00
1003783.054382	0.152275	3.693455e-01
1003833.055107	0.000000	1.137326e+01
1003883.055832	0.000000	1.341656e+00
1003933.056557	0.014084	2.902742e-01
1003983.057282	1.581837	6.055661e-02
1004033.058007	1.128781	3.514842e-01
1004083.058732	0.152275	1.376454e+00
1004133.059457	0.000000	4.080880e+00
1004183.060183	0.000000	6.186151e+00
1004233.060908	0.677392	1.704758e-02
1004283.061633	0.507835	9.374567e-01
1004333.062358	0.023199	7.601742e-02
1004383.063083	2.445499	3.432695e-02
1004433.063808	0.038658	3.949106e-01
1004483.064533	0.650768	6.661915e-03
1004533.065258	0.000000	1.838851e+02
1004583.065983	3.446308	6.045309e-03
1004633.066708	0.033168	5.774476e-02
1004683.067433	0.891743	1.017588e-01
1004733.068159	0.000000	3.435262e-01
1004783.068884	0.131460	3.342895e-02
1004833.069609	0.004035	4.717122e-01
1004883.070334	0.009880	2.385934e-01
1004933.071059	1.081547	2.527729e-02
1004983.071784	0.326050	1.554906e+01
1005033.072509	0.000000	1.654966e+02
1005083.073234	0.093407	1.659283e-01
1005133.073959	0.000000	5.472946e-01
1005183.074684	0.014897	2.138145e-02
1005233.075409	1.700144	3.461330e-02
1005283.076135	0.152491	1.575676e+00
1005333.076860	0.000000	5.693448e-01
1005383.077585	0.004017	3.139893e-01
1005433.078310	0.000754	3.594509e-01
