location	LR	alpha	D
2476326.000000	1.960243	7.249141e+01	0.035367
2476376.007155	2.279458	8.490035e-02	0.035367
2476426.014311	2.528010	4.995661e+01	0.035367
2476476.021466	7.042670	1.428608e-02	0.035367
2476526.028621	3.554138	2.150648e-02	0.017683
2476576.035777	2.954235	2.597603e-02	0.035367
2476626.042932	2.428194	4.073381e-03	0.017683
2476676.050087	2.150821	4.518159e-03	0.017683
2476726.057243	4.151956	3.846858e-02	0.035367
2476776.064398	7.245806	3.305199e-02	0.035367
2476826.071554	5.154025	3.084265e-02	0.017683
2476876.078709	3.828448	7.411007e-02	0.017683
2476926.085864	6.423655	7.320907e-02	0.017683
2476976.093020	4.065272	1.938392e-01	0.017683
2477026.100175	7.260091	8.415737e-03	0.017683
2477076.107330	5.752283	7.687018e-02	0.017683
2477126.114486	4.728607	5.260518e-02	0.017683
2477176.121641	5.846004	5.907789e-02	0.035367
2477226.128796	6.952722	3.657102e-02	0.035367
2477276.135952	8.193496	2.205332e-02	0.035367
2477326.143107	5.900632	2.954623e-02	0.035367
2477376.150262	3.963487	7.342581e-03	0.035367
2477426.157418	12.399728	6.645683e-04	0.035367
2477476.164573	16.454529	6.664137e-04	0.035367
2477526.171728	15.842482	6.682696e-04	0.035367
2477576.178884	13.165626	6.701358e-04	0.035367
2477626.186039	8.902135	1.442630e-02	0.035367
2477676.193194	8.943662	1.542034e-02	0.035367
2477726.200350	5.549332	1.488463e-02	0.035367
2477776.207505	2.305088	4.258454e-02	0.035367
2477826.214661	8.921716	8.637973e-03	0.035367
2477876.221816	0.643336	4.803999e-01	0.035367
2477926.228971	1.328381	2.358624e-02	0.035367
2477976.236127	3.552557	1.136110e-02	0.035367
2478026.243282	6.249817	9.420951e-03	0.035367
2478076.250437	0.616331	3.016974e-02	0.035367
2478126.257593	0.940817	1.309389e-01	0.035367
2478176.264748	1.808021	1.867276e-01	0.035367
2478226.271903	1.545945	8.838291e-03	0.035367
2478276.279059	4.819669	6.485510e-03	0.035367
2478326.286214	2.272996	3.841644e-01	0.035367
2478376.293369	2.149634	1.585065e-01	0.035367
2478426.300525	2.627790	4.048995e-03	0.035367
2478476.307680	0.779532	1.195410e-01	0.017683
2478526.314835	1.360972	4.821890e-02	0.035367
2478576.321991	2.507937	7.457560e-02	0.035367
2478626.329146	1.359571	2.111453e-02	0.017683
2478676.336301	5.716552	1.472273e-03	0.017683
2478726.343457	9.430449	1.129448e-03	0.035367
2478776.350612	11.609691	1.134789e-03	0.035367
2478826.357768	12.948832	1.140181e-03	0.035367
2478876.364923	13.920869	1.145624e-03	0.035367
2478926.372078	14.879230	1.151120e-03	0.035367
2478976.379234	16.442551	1.034160e-03	0.035367
2479026.386389	18.449221	1.038636e-03	0.035367
2479076.393544	20.000720	1.120489e-03	0.035367
2479126.400700	21.507972	1.125746e-03	0.035367
2479176.407855	20.746111	1.179408e-03	0.035367
2479226.415010	16.800203	1.264544e-03	0.035367
2479276.422166	5.308941	1.465555e-03	0.035367
2479326.429321	2.462684	1.432892e-01	0.035367
2479376.436476	0.303970	2.300775e-02	0.017683
2479426.443632	1.271679	6.874571e-02	0.035367
2479476.450787	0.706221	4.896386e+00	0.017683
2479526.457942	2.803244	2.008226e-02	0.035367
2479576.465098	1.194023	5.590471e-01	0.035367
2479626.472253	2.912785	7.205587e-01	0.035367
2479676.479408	1.940750	7.312993e-01	0.035367
2479726.486564	1.030030	3.381562e-01	0.035367
2479776.493719	0.604834	4.527230e-01	0.035367
2479826.500875	3.606824	8.501598e-03	0.017683
2479876.508030	1.869913	3.265148e-01	0.035367
