location	LR	alpha
2476116.000000	0.390814	1.380735e+07
2476166.010010	0.471965	7.830142e+03
2476216.020019	0.226645	9.623309e+07
2476266.030029	0.335296	2.553045e+04
2476316.040038	0.017673	1.790282e+08
2476366.050048	0.000252	3.282436e+05
2476416.060057	0.097675	2.191270e+07
2476466.070067	0.064896	2.641778e+04
2476516.080076	0.059356	1.163650e+04
2476566.090086	0.100433	7.167943e+03
2476616.100095	0.512662	4.959605e+03
2476666.110105	1.199133	5.049520e+04
2476716.120114	0.132619	5.019363e+04
2476766.130124	0.000000	1.200000e+09
2476816.140133	1.278352	6.289119e+06
2476866.150143	0.000000	1.200000e+09
2476916.160153	1.663312	8.478149e+06
2476966.170162	0.701890	2.706642e+07
2477016.180172	0.928485	7.650627e+07
2477066.190181	0.137919	1.266995e+08
2477116.200191	0.040895	1.959716e+08
2477166.210200	0.794295	7.908749e+07
2477216.220210	0.160016	9.774108e+07
2477266.230219	0.753262	2.955436e+04
2477316.240229	0.268197	8.947020e+03
2477366.250238	0.123576	1.548842e+05
2477416.260248	0.805541	2.721341e+04
2477466.270257	0.944762	5.287198e+03
2477516.280267	1.134854	2.813799e+03
2477566.290276	1.438301	1.915298e+03
2477616.300286	1.656814	1.502765e+03
2477666.310296	1.795548	1.252971e+03
2477716.320305	1.887388	1.079937e+03
2477766.330315	1.956185	9.486320e+02
2477816.340324	2.023139	8.427375e+02
2477866.350334	2.101973	7.574835e+02
2477916.360343	2.191797	6.912494e+02
2477966.370353	2.282823	6.401515e+02
2478016.380362	2.366402	5.997868e+02
2478066.390372	2.437890	5.671016e+02
2478116.400381	2.494581	5.405879e+02
2478166.410391	2.533142	5.197948e+02
2478216.420400	2.548652	5.046056e+02
2478266.430410	2.536003	4.948127e+02
2478316.440419	2.491999	4.901847e+02
2478366.450429	2.417028	4.906294e+02
2478416.460439	2.316125	4.963464e+02
2478466.470448	2.199915	5.078841e+02
2478516.480458	2.085895	5.261309e+02
2478566.490467	2.000866	5.523017e+02
2478616.500477	1.987577	5.883480e+02
2478666.510486	2.129782	6.407442e+02
2478716.520496	1.678686	6.829359e+02
2478766.530505	1.296401	7.409535e+02
2478816.540515	1.028790	8.178555e+02
2478866.550524	0.843269	9.168645e+02
2478916.560534	0.717842	1.042060e+03
2478966.570543	0.634200	1.197880e+03
2479016.580553	0.576814	1.392472e+03
2479066.590562	0.532832	1.643186e+03
2479116.600572	0.488695	1.994756e+03
2479166.610582	0.427368	2.589359e+03
2479216.620591	0.347637	3.940504e+03
2479266.630601	0.000000	1.140424e+06
2479316.640610	0.426254	7.303479e+07
2479366.650620	0.000000	1.295433e+06
2479416.660629	0.246773	1.029025e+05
2479466.670639	0.389966	9.235391e+07
2479516.680648	0.000000	8.197450e+05
2479566.690658	2.167025	2.153987e+07
2479616.700667	0.723127	3.774654e+07
2479666.710677	0.104828	1.743882e+08
2479716.720686	0.385660	9.831233e+05
2479766.730696	0.000000	1.200000e+09
2479816.740705	1.962493	2.487557e+07
2479866.750715	0.003738	3.293894e+08
2479916.760724	0.090394	8.782388e+04
2479966.770734	0.000000	1.200000e+09
2480016.780744	0.902016	4.907263e+07
2480066.790753	0.986077	3.890378e+03
2480116.800763	0.099532	6.715828e+03
2480166.810772	0.088061	5.813485e+07
2480216.820782	0.060327	4.125890e+07
2480266.830791	0.005288	1.428362e+05
2480316.840801	0.113251	1.707626e+08
2480366.850810	0.365665	1.517423e+04
2480416.860820	0.241443	1.281677e+08
2480466.870829	0.016303	1.068508e+05
2480516.880839	0.193177	7.497035e+07
2480566.890848	0.499308	5.245596e+03
2480616.900858	0.000000	1.200000e+09
2480666.910867	0.000000	6.733317e+05
2480716.920877	0.083498	5.180360e+03
2480766.930887	0.356180	8.830936e+03
2480816.940896	0.336249	4.867777e+04
2480866.950906	0.163357	1.721103e+08
2480916.960915	0.001732	3.753489e+08
2480966.970925	0.358777	9.795030e+07
2481016.980934	0.093500	1.037128e+08
2481066.990944	0.076859	4.648883e+07
2481117.000953	0.021492	3.742441e+04
2481167.010963	0.021653	1.357806e+05
2481217.020972	0.086162	3.809497e+04
2481267.030982	0.000000	1.200000e+09
2481317.040991	0.000000	1.200000e+09
2481367.051001	0.028113	2.352584e+08
2481417.061010	0.028086	4.054696e+04
2481467.071020	0.232700	7.189867e+03
2481517.081030	2.635691	8.773450e+03
2481567.091039	1.303011	4.360862e+03
2481617.101049	0.515640	1.827174e+03
2481667.111058	0.359809	2.419882e+03
2481717.121068	0.383174	2.635353e+03
2481767.131077	0.415603	2.872141e+03
2481817.141087	0.407936	3.408712e+03
2481867.151096	0.430737	4.721763e+03
2481917.161106	0.692137	7.602109e+03
2481967.171115	0.075951	1.416988e+08
2482017.181125	0.075987	4.610092e+04
2482067.191134	0.104141	1.031533e+04
2482117.201144	0.030923	5.348787e+03
2482167.211153	0.848274	2.641351e+03
